Leonardo_Garofalo_Right_4.c3d  



Time(s):	A_L_bicipite(μV):
0	30.71594
0.0005	34.94568
0.001	24.97559
0.0015	17.22107
0.002	13.99841
0.0025	11.17859
0.003	3.8269
0.0035	-3.52478
0.004	-2.81982
0.0045	4.02832
0.005	-1.2085
0.0055	7.5531
0.006	13.29346
0.0065	11.38
0.007	13.19275
0.0075	11.2793
0.008	10.77576
0.0085	8.05664
0.009	5.43823
0.0095	10.87646
0.01	7.25098
0.0105	3.22266
0.011	2.61841
0.0115	4.22974
0.012	0.20142
0.0125	1.10779
0.013	1.51062
0.0135	-1.00708
0.014	3.7262
0.0145	-0.60425
0.015	7.95593
0.0155	6.64673
0.016	4.53186
0.0165	-0.50354
0.017	14.80408
0.0175	11.48071
0.018	14.50195
0.0185	20.44373
0.019	17.01965
0.0195	14.90479
0.02	19.23523
0.0205	11.58142
0.021	8.56018
0.0215	8.05664
0.022	8.7616
0.0225	1.81274
0.023	4.93469
0.0235	4.43115
0.024	9.26514
0.0245	0.80566
0.025	3.12195
0.0255	3.12195
0.026	-3.42407
0.0265	-4.02832
0.027	-10.17151
0.0275	-3.22266
0.028	-6.84814
0.0285	-3.62549
0.029	2.61841
0.0295	1.10779
0.03	5.0354
0.0305	3.62549
0.031	3.32336
0.0315	4.02832
0.032	0.70496
0.0325	4.73328
0.033	4.53186
0.0335	6.84814
0.034	8.35876
0.0345	4.83398
0.035	-0.60425
0.0355	-0.10071
0.036	-5.84106
0.0365	-4.22974
0.037	-9.36584
0.0375	-11.98425
0.038	-20.1416
0.0385	-15.50903
0.039	-20.34302
0.0395	-15.91187
0.04	-3.52478
0.0405	-4.83398
0.041	2.31628
0.0415	3.62549
0.042	8.35876
0.0425	11.17859
0.043	11.78284
0.0435	15.60974
0.044	19.94019
0.0445	22.35718
0.045	31.32019
0.0455	35.75134
0.046	32.22656
0.0465	33.33435
0.047	27.39258
0.0475	27.29187
0.048	15.50903
0.0485	10.0708
0.049	6.44531
0.0495	12.28638
0.05	6.74744
0.0505	6.74744
0.051	13.29346
0.0515	11.2793
0.052	15.91187
0.0525	16.3147
0.053	14.50195
0.0535	16.71753
0.054	11.38
0.0545	12.89062
0.055	13.59558
0.0555	14.40125
0.056	11.58142
0.0565	10.67505
0.057	2.21558
0.0575	-10.47363
0.058	-9.46655
0.0585	-14.80408
0.059	-12.68921
0.0595	-16.3147
0.06	-16.71753
0.0605	-21.14868
0.061	-13.19275
0.0615	-3.52478
0.062	10.0708
0.0625	25.37842
0.063	26.48621
0.0635	33.23364
0.064	30.81665
0.0645	23.8678
0.065	14.60266
0.0655	5.84106
0.066	0.50354
0.0665	-6.3446
0.067	-20.04089
0.0675	-33.33435
0.068	-25.47913
0.0685	-19.43665
0.069	-15.40833
0.0695	-8.56018
0.07	6.44531
0.0705	19.63806
0.071	25.47913
0.0715	26.78833
0.072	24.47205
0.0725	23.56567
0.073	27.89612
0.0735	29.20532
0.074	31.11877
0.0745	23.56567
0.075	24.06921
0.0755	16.11328
0.076	10.0708
0.0765	11.68213
0.077	6.64673
0.0775	10.97717
0.078	8.96301
0.0785	3.62549
0.079	2.01416
0.0795	-4.63257
0.08	-2.92053
0.0805	-2.81982
0.081	-9.46655
0.0815	-9.36584
0.082	-5.13611
0.0825	-5.33752
0.083	4.73328
0.0835	6.04248
0.084	10.77576
0.0845	4.73328
0.085	10.47363
0.0855	8.96301
0.086	5.63965
0.0865	1.00708
0.087	3.52478
0.0875	13.59558
0.088	10.27222
0.0885	12.18567
0.089	13.29346
0.0895	10.0708
0.09	11.07788
0.0905	9.76868
0.091	9.56726
0.0915	11.98425
0.092	18.32886
0.0925	11.2793
0.093	7.75452
0.0935	8.96301
0.094	6.84814
0.0945	-0.70496
0.095	-1.10779
0.0955	4.63257
0.096	0.90637
0.0965	3.52478
0.097	-2.92053
0.0975	1.81274
0.098	5.84106
0.0985	4.83398
0.099	7.15027
0.0995	-0.60425
0.1	1.61133
0.1005	5.63965
0.101	1.00708
0.1015	0.70496
0.102	-3.7262
0.1025	-1.91345
0.103	3.12195
0.1035	5.94177
0.104	-0.60425
0.1045	6.2439
0.105	10.0708
0.1055	7.95593
0.106	0.10071
0.1065	2.5177
0.107	2.31628
0.1075	1.40991
0.108	7.5531
0.1085	11.98425
0.109	15.50903
0.1095	13.797
0.11	18.12744
0.1105	20.84656
0.111	23.06213
0.1115	15.60974
0.112	4.22974
0.1125	9.56726
0.113	1.00708
0.1135	4.53186
0.114	7.04956
0.1145	5.74036
0.115	3.22266
0.1155	-2.81982
0.116	0.40283
0.1165	1.61133
0.117	6.3446
0.1175	1.81274
0.118	5.23682
0.1185	-0.30212
0.119	0.10071
0.1195	2.31628
0.12	6.94885
0.1205	2.11487
0.121	3.62549
0.1215	5.43823
0.122	16.11328
0.1225	13.39417
0.123	13.09204
0.1235	13.29346
0.124	13.69629
0.1245	4.12903
0.125	4.93469
0.1255	10.57434
0.126	8.7616
0.1265	9.36584
0.127	10.17151
0.1275	15.60974
0.128	11.58142
0.1285	8.8623
0.129	6.44531
0.1295	3.8269
0.13	7.85522
0.1305	8.05664
0.131	9.66797
0.1315	10.47363
0.132	14.70337
0.1325	16.91895
0.133	17.6239
0.1335	21.95435
0.134	26.58691
0.1345	29.50745
0.135	25.78125
0.1355	24.67346
0.136	15.20691
0.1365	3.92761
0.137	-7.15027
0.1375	-22.05505
0.138	-26.68762
0.1385	-43.10303
0.139	-42.59949
0.1395	-48.84338
0.14	-44.11011
0.1405	-38.77258
0.141	-20.44373
0.1415	-12.38708
0.142	1.00708
0.1425	14.19983
0.143	14.40125
0.1435	19.94019
0.144	21.14868
0.1445	11.98425
0.145	13.59558
0.1455	17.22107
0.146	19.63806
0.1465	19.63806
0.147	24.27063
0.1475	23.56567
0.148	23.56567
0.1485	23.06213
0.149	18.42957
0.1495	9.86938
0.15	11.38
0.1505	12.38708
0.151	14.19983
0.1515	15.81116
0.152	10.47363
0.1525	4.12903
0.153	5.43823
0.1535	2.61841
0.154	1.10779
0.1545	-2.81982
0.155	-6.64673
0.1555	-8.15735
0.156	-3.32336
0.1565	3.7262
0.157	7.15027
0.1575	15.81116
0.158	12.18567
0.1585	18.63098
0.159	25.37842
0.1595	27.59399
0.16	32.02515
0.1605	37.26196
0.161	34.64355
0.1615	25.78125
0.162	16.51611
0.1625	12.28638
0.163	0.20142
0.1635	-10.47363
0.164	-24.57275
0.1645	-16.3147
0.165	-16.71753
0.1655	-16.21399
0.166	-19.94019
0.1665	-8.25806
0.167	7.5531
0.1675	21.04797
0.168	24.47205
0.1685	27.19116
0.169	29.50745
0.1695	35.65063
0.17	42.19666
0.1705	36.95984
0.171	25.37842
0.1715	13.69629
0.172	7.25098
0.1725	4.63257
0.173	2.61841
0.1735	1.51062
0.174	2.92053
0.1745	-6.04248
0.175	-4.02832
0.1755	-1.40991
0.176	-3.7262
0.1765	-6.84814
0.177	-3.8269
0.1775	-2.61841
0.178	3.8269
0.1785	-3.7262
0.179	-2.61841
0.1795	5.63965
0.18	0.60425
0.1805	3.22266
0.181	0.60425
0.1815	2.11487
0.182	4.43115
0.1825	8.45947
0.183	-4.53186
0.1835	-10.27222
0.184	-17.01965
0.1845	-15.91187
0.185	-15.20691
0.1855	-9.06372
0.186	-9.36584
0.1865	-5.53894
0.187	-4.12903
0.1875	0.30212
0.188	0.40283
0.1885	-1.2085
0.189	1.40991
0.1895	0.70496
0.19	4.02832
0.1905	-3.8269
0.191	-17.01965
0.1915	-26.08337
0.192	-12.08496
0.1925	-1.40991
0.193	6.3446
0.1935	1.81274
0.194	5.63965
0.1945	2.5177
0.195	7.5531
0.1955	16.11328
0.196	21.65222
0.1965	22.55859
0.197	31.01807
0.1975	24.97559
0.198	22.05505
0.1985	31.4209
0.199	44.11011
0.1995	41.29028
0.2	34.74426
0.2005	29.20532
0.201	23.66638
0.2015	27.79541
0.202	20.34302
0.2025	21.55151
0.203	15.60974
0.2035	17.92603
0.204	14.70337
0.2045	11.68213
0.205	11.88354
0.2055	6.54602
0.206	5.23682
0.2065	5.0354
0.207	7.65381
0.2075	0.70496
0.208	3.52478
0.2085	5.13611
0.209	3.22266
0.2095	7.04956
0.21	5.13611
0.2105	1.91345
0.211	-2.61841
0.2115	5.33752
0.212	4.93469
0.2125	1.91345
0.213	5.13611
0.2135	4.53186
0.214	8.66089
0.2145	0.40283
0.215	2.92053
0.2155	-4.63257
0.216	-5.63965
0.2165	-1.81274
0.217	-6.84814
0.2175	-8.56018
0.218	-10.77576
0.2185	-5.84106
0.219	-2.61841
0.2195	-3.7262
0.22	4.83398
0.2205	8.96301
0.221	21.75293
0.2215	27.29187
0.222	37.7655
0.2225	39.17542
0.223	44.41223
0.2235	64.05029
0.224	74.72534
0.2245	78.14941
0.225	76.33667
0.2255	66.56799
0.226	64.35242
0.2265	62.03613
0.227	47.33276
0.2275	36.4563
0.228	26.78833
0.2285	15.20691
0.229	-9.66797
0.2295	-34.24072
0.23	-45.41931
0.2305	-48.94409
0.231	-62.74109
0.2315	-66.97083
0.232	-74.62463
0.2325	-84.69543
0.233	-97.18323
0.2335	-94.16199
0.234	-89.328
0.2345	-86.40747
0.235	-73.91968
0.2355	-52.771
0.236	-35.14709
0.2365	-17.6239
0.237	1.51062
0.2375	8.56018
0.238	31.52161
0.2385	31.11877
0.239	28.50037
0.2395	32.83081
0.24	33.53577
0.2405	37.16125
0.241	34.64355
0.2415	29.60815
0.242	27.79541
0.2425	19.03381
0.243	22.76001
0.2435	24.57275
0.244	24.16992
0.2445	26.08337
0.245	24.67346
0.2455	19.33594
0.246	17.6239
0.2465	21.65222
0.247	24.57275
0.2475	20.24231
0.248	24.87488
0.2485	23.36426
0.249	20.84656
0.2495	15.91187
0.25	17.32178
0.2505	14.30054
0.251	12.38708
0.2515	7.04956
0.252	-0.90637
0.2525	2.5177
0.253	-3.02124
0.2535	-4.12903
0.254	-10.67505
0.2545	-7.25098
0.255	-18.42957
0.2555	-20.54443
0.256	-21.55151
0.2565	-20.24231
0.257	-12.08496
0.2575	-10.17151
0.258	-3.32336
0.2585	-6.54602
0.259	2.01416
0.2595	7.95593
0.26	3.62549
0.2605	5.23682
0.261	10.0708
0.2615	5.13611
0.262	-3.92761
0.2625	2.92053
0.263	6.14319
0.2635	18.73169
0.264	21.65222
0.2645	28.29895
0.265	23.46497
0.2655	30.51453
0.266	30.51453
0.2665	26.98975
0.267	21.14868
0.2675	19.73877
0.268	20.34302
0.2685	20.64514
0.269	20.94727
0.2695	21.45081
0.27	18.12744
0.2705	22.05505
0.271	15.91187
0.2715	7.35168
0.272	14.70337
0.2725	16.11328
0.273	7.95593
0.2735	-4.53186
0.274	-4.12903
0.2745	-10.17151
0.275	-10.67505
0.2755	-0.20142
0.276	3.62549
0.2765	3.32336
0.277	-2.5177
0.2775	-3.8269
0.278	-7.25098
0.2785	-9.66797
0.279	-16.11328
0.2795	-20.34302
0.28	-20.54443
0.2805	-28.39966
0.281	-25.27771
0.2815	-16.91895
0.282	-1.51062
0.2825	1.10779
0.283	9.26514
0.2835	12.78992
0.284	24.67346
0.2845	29.60815
0.285	36.75842
0.2855	35.34851
0.286	33.03223
0.2865	25.07629
0.287	17.6239
0.2875	15.81116
0.288	9.76868
0.2885	4.63257
0.289	-4.53186
0.2895	-7.65381
0.29	-11.17859
0.2905	-3.42407
0.291	7.85522
0.2915	19.03381
0.292	17.6239
0.2925	24.67346
0.293	31.4209
0.2935	35.14709
0.294	37.46338
0.2945	31.62231
0.295	28.19824
0.2955	19.03381
0.296	17.52319
0.2965	12.5885
0.297	7.85522
0.2975	-9.86938
0.298	-26.18408
0.2985	-38.57117
0.299	-54.38232
0.2995	-67.27295
0.3	-65.05737
0.3005	-57.50427
0.301	-52.8717
0.3015	-35.34851
0.302	-32.32727
0.3025	-15.91187
0.303	-14.30054
0.3035	-5.84106
0.304	-6.44531
0.3045	2.92053
0.305	7.75452
0.3055	15.91187
0.306	6.54602
0.3065	10.97717
0.307	2.21558
0.3075	4.33044
0.308	0.70496
0.3085	4.43115
0.309	9.66797
0.3095	7.65381
0.31	13.99841
0.3105	22.25647
0.311	27.29187
0.3115	25.98267
0.312	22.86072
0.3125	25.37842
0.313	18.02673
0.3135	20.84656
0.314	20.04089
0.3145	21.45081
0.315	30.31311
0.3155	30.41382
0.316	34.54285
0.3165	31.72302
0.317	21.04797
0.3175	20.34302
0.318	23.06213
0.3185	14.40125
0.319	10.87646
0.3195	6.14319
0.32	1.3092
0.3205	-5.23682
0.321	-17.52319
0.3215	-26.28479
0.322	-38.77258
0.3225	-39.47754
0.323	-42.09595
0.3235	-33.63647
0.324	-13.797
0.3245	-1.3092
0.325	18.73169
0.3255	22.25647
0.326	33.13293
0.3265	25.68054
0.327	26.78833
0.3275	29.30603
0.328	28.50037
0.3285	26.28479
0.329	12.89062
0.3295	3.42407
0.33	-11.48071
0.3305	-18.02673
0.331	-23.66638
0.3315	-24.06921
0.332	-21.95435
0.3325	-18.53027
0.333	-25.37842
0.3335	-29.40674
0.334	-27.39258
0.3345	-28.19824
0.335	-20.54443
0.3355	-6.04248
0.336	-0.80566
0.3365	1.3092
0.337	-5.23682
0.3375	2.11487
0.338	8.25806
0.3385	8.96301
0.339	12.78992
0.3395	11.68213
0.34	9.16443
0.3405	12.18567
0.341	11.2793
0.3415	14.30054
0.342	15.30762
0.3425	3.8269
0.343	4.93469
0.3435	10.17151
0.344	8.96301
0.3445	16.21399
0.345	12.99133
0.3455	12.89062
0.346	7.75452
0.3465	10.67505
0.347	9.46655
0.3475	16.91895
0.348	18.12744
0.3485	10.97717
0.349	5.0354
0.3495	1.71204
0.35	3.02124
0.3505	14.70337
0.351	16.11328
0.3515	17.42249
0.352	18.53027
0.3525	16.11328
0.353	11.98425
0.3535	10.0708
0.354	7.25098
0.3545	4.12903
0.355	4.53186
0.3555	9.86938
0.356	10.47363
0.3565	14.80408
0.357	15.91187
0.3575	24.97559
0.358	18.93311
0.3585	5.0354
0.359	-4.43115
0.3595	-8.8623
0.36	-8.45947
0.3605	-11.58142
0.361	-11.78284
0.3615	-6.74744
0.362	-9.36584
0.3625	-14.19983
0.363	-21.85364
0.3635	-15.1062
0.364	-16.51611
0.3645	-8.35876
0.365	-6.94885
0.3655	-17.01965
0.366	-12.68921
0.3665	-19.23523
0.367	-15.30762
0.3675	-9.16443
0.368	3.52478
0.3685	0.50354
0.369	7.15027
0.3695	6.54602
0.37	16.61682
0.3705	22.25647
0.371	18.32886
0.3715	19.94019
0.372	19.43665
0.3725	11.68213
0.373	3.02124
0.3735	2.41699
0.374	-4.33044
0.3745	-6.94885
0.375	-3.8269
0.3755	-9.56726
0.376	-5.74036
0.3765	-11.17859
0.377	-16.91895
0.3775	-26.08337
0.378	-28.60107
0.3785	-24.37134
0.379	-20.94727
0.3795	-12.68921
0.38	-11.07788
0.3805	-4.63257
0.381	-5.74036
0.3815	5.94177
0.382	14.50195
0.3825	10.87646
0.383	11.98425
0.3835	16.01257
0.384	18.53027
0.3845	20.04089
0.385	23.46497
0.3855	24.57275
0.386	20.54443
0.3865	15.20691
0.387	6.14319
0.3875	13.59558
0.388	8.8623
0.3885	8.66089
0.389	1.91345
0.3895	-2.71912
0.39	2.01416
0.3905	2.5177
0.391	0.10071
0.3915	0.20142
0.392	6.2439
0.3925	7.04956
0.393	9.36584
0.3935	9.46655
0.394	10.97717
0.3945	14.60266
0.395	16.41541
0.3955	15.81116
0.396	16.21399
0.3965	20.74585
0.397	16.11328
0.3975	8.96301
0.398	5.53894
0.3985	5.94177
0.399	8.96301
0.3995	8.8623
0.4	5.43823
0.4005	9.36584
0.401	14.90479
0.4015	17.82532
0.402	19.53735
0.4025	17.32178
0.403	17.01965
0.4035	22.96143
0.404	24.57275
0.4045	27.49329
0.405	30.2124
0.4055	34.03931
0.406	32.02515
0.4065	32.62939
0.407	32.7301
0.4075	29.00391
0.408	25.98267
0.4085	24.77417
0.409	17.6239
0.4095	12.99133
0.41	15.71045
0.4105	12.28638
0.411	10.17151
0.4115	13.89771
0.412	12.68921
0.4125	12.18567
0.413	12.78992
0.4135	18.02673
0.414	21.45081
0.4145	17.22107
0.415	18.53027
0.4155	16.3147
0.416	20.94727
0.4165	12.89062
0.417	19.94019
0.4175	17.12036
0.418	13.49487
0.4185	11.17859
0.419	11.07788
