Leonardo_Garofalo_Right_4.c3d  



Time(s):	A_R_bicipite(μV):
0	6.74744
0.0005	6.2439
0.001	2.41699
0.0015	2.92053
0.002	-4.02832
0.0025	-5.74036
0.003	-5.0354
0.0035	-7.04956
0.004	-6.74744
0.0045	-8.15735
0.005	-4.02832
0.0055	0.40283
0.006	-0.30212
0.0065	2.5177
0.007	1.81274
0.0075	-3.7262
0.008	2.31628
0.0085	6.64673
0.009	-0.20142
0.0095	7.95593
0.01	8.35876
0.0105	6.44531
0.011	11.98425
0.0115	14.80408
0.012	12.99133
0.0125	7.85522
0.013	13.59558
0.0135	10.87646
0.014	4.93469
0.0145	1.00708
0.015	6.74744
0.0155	9.26514
0.016	10.0708
0.0165	6.04248
0.017	3.8269
0.0175	6.2439
0.018	1.51062
0.0185	-2.61841
0.019	-5.63965
0.0195	-2.01416
0.02	-15.71045
0.0205	-15.50903
0.021	-12.18567
0.0215	-14.50195
0.022	-9.46655
0.0225	-13.29346
0.023	-16.11328
0.0235	-17.52319
0.024	-8.8623
0.0245	-11.48071
0.025	-8.05664
0.0255	-5.84106
0.026	-10.77576
0.0265	-4.12903
0.027	-2.11487
0.0275	2.81982
0.028	0.60425
0.0285	6.14319
0.029	5.84106
0.0295	7.25098
0.03	5.23682
0.0305	7.95593
0.031	9.46655
0.0315	14.19983
0.032	14.50195
0.0325	15.00549
0.033	11.17859
0.0335	5.0354
0.034	2.11487
0.0345	5.0354
0.035	4.83398
0.0355	14.40125
0.036	9.26514
0.0365	3.7262
0.037	5.13611
0.0375	6.84814
0.038	2.71912
0.0385	-1.51062
0.039	-7.95593
0.0395	-6.84814
0.04	-13.69629
0.0405	-12.28638
0.041	-11.58142
0.0415	-14.80408
0.042	-11.38
0.0425	-3.62549
0.043	1.3092
0.0435	0.80566
0.044	2.71912
0.0445	0.70496
0.045	1.40991
0.0455	-5.23682
0.046	-8.96301
0.0465	-12.99133
0.047	-9.36584
0.0475	-6.2439
0.048	-3.92761
0.0485	3.32336
0.049	-1.51062
0.0495	0.60425
0.05	-1.2085
0.0505	-0.50354
0.051	-1.00708
0.0515	-2.92053
0.052	1.71204
0.0525	4.53186
0.053	4.93469
0.0535	9.97009
0.054	11.17859
0.0545	10.47363
0.055	11.48071
0.0555	13.797
0.056	11.07788
0.0565	16.11328
0.057	12.99133
0.0575	10.57434
0.058	11.2793
0.0585	10.27222
0.059	3.02124
0.0595	-8.56018
0.06	-17.6239
0.0605	-20.1416
0.061	-25.78125
0.0615	-22.76001
0.062	-29.30603
0.0625	-27.79541
0.063	-26.3855
0.0635	-19.73877
0.064	-18.22815
0.0645	-13.29346
0.065	-13.69629
0.0655	-12.5885
0.066	-14.40125
0.0665	-10.87646
0.067	-12.68921
0.0675	0.60425
0.068	-6.84814
0.0685	-9.86938
0.069	-5.13611
0.0695	-5.33752
0.07	-6.84814
0.0705	-1.2085
0.071	-3.12195
0.0715	-1.2085
0.072	-5.23682
0.0725	-0.90637
0.073	1.10779
0.0735	0.10071
0.074	1.51062
0.0745	2.01416
0.075	6.3446
0.0755	8.25806
0.076	9.26514
0.0765	11.98425
0.077	8.25806
0.0775	13.39417
0.078	9.76868
0.0785	9.66797
0.079	13.09204
0.0795	8.05664
0.08	9.36584
0.0805	4.53186
0.081	11.07788
0.0815	5.53894
0.082	3.92761
0.0825	1.00708
0.083	1.51062
0.0835	0.60425
0.084	-2.71912
0.0845	-1.71204
0.085	0.10071
0.0855	-2.81982
0.086	-5.94177
0.0865	-5.33752
0.087	-0.70496
0.0875	-0.10071
0.088	-4.22974
0.0885	-4.73328
0.089	0.50354
0.0895	1.61133
0.09	-0.40283
0.0905	7.5531
0.091	0.70496
0.0915	-5.13611
0.092	-7.95593
0.0925	-1.81274
0.093	2.81982
0.0935	-6.3446
0.094	-2.11487
0.0945	-6.04248
0.095	-5.43823
0.0955	-4.53186
0.096	-4.43115
0.0965	1.10779
0.097	-4.33044
0.0975	-8.05664
0.098	-5.74036
0.0985	-4.02832
0.099	-5.33752
0.0995	-2.31628
0.1	-3.02124
0.1005	1.2085
0.101	2.92053
0.1015	2.21558
0.102	-2.01416
0.1025	-0.40283
0.103	0.80566
0.1035	-2.41699
0.104	4.83398
0.1045	4.63257
0.105	1.40991
0.1055	0.50354
0.106	0.90637
0.1065	0.20142
0.107	1.71204
0.1075	1.91345
0.108	2.01416
0.1085	6.54602
0.109	4.12903
0.1095	10.77576
0.11	6.94885
0.1105	6.84814
0.111	8.45947
0.1115	7.04956
0.112	4.53186
0.1125	5.0354
0.113	2.5177
0.1135	-0.30212
0.114	-1.2085
0.1145	3.62549
0.115	4.02832
0.1155	3.52478
0.116	5.0354
0.1165	-5.13611
0.117	4.22974
0.1175	-2.5177
0.118	-1.00708
0.1185	-3.02124
0.119	-7.95593
0.1195	-6.44531
0.12	-12.5885
0.1205	-10.0708
0.121	-4.93469
0.1215	-4.63257
0.122	-3.92761
0.1225	-2.61841
0.123	-4.73328
0.1235	-2.71912
0.124	-2.21558
0.1245	-7.75452
0.125	-5.13611
0.1255	-8.8623
0.126	-8.25806
0.1265	-4.43115
0.127	2.11487
0.1275	5.74036
0.128	-3.62549
0.1285	-4.93469
0.129	-5.74036
0.1295	-13.09204
0.13	-5.33752
0.1305	-2.31628
0.131	0.40283
0.1315	-3.02124
0.132	-4.22974
0.1325	-0.80566
0.133	-0.10071
0.1335	2.5177
0.134	6.74744
0.1345	7.04956
0.135	3.7262
0.1355	11.17859
0.136	7.85522
0.1365	3.62549
0.137	6.14319
0.1375	9.26514
0.138	8.15735
0.1385	7.25098
0.139	11.68213
0.1395	10.97717
0.14	8.15735
0.1405	5.53894
0.141	9.26514
0.1415	7.65381
0.142	10.77576
0.1425	5.84106
0.143	3.7262
0.1435	2.5177
0.144	3.8269
0.1445	4.43115
0.145	6.04248
0.1455	7.25098
0.146	7.75452
0.1465	4.83398
0.147	10.27222
0.1475	5.53894
0.148	6.94885
0.1485	2.21558
0.149	-5.0354
0.1495	-8.35876
0.15	-4.93469
0.1505	-9.56726
0.151	-8.8623
0.1515	-4.63257
0.152	-4.93469
0.1525	-4.02832
0.153	-5.63965
0.1535	-7.95593
0.154	1.81274
0.1545	-1.81274
0.155	-2.31628
0.1555	10.27222
0.156	7.45239
0.1565	2.31628
0.157	-4.73328
0.1575	-3.8269
0.158	0.10071
0.1585	-1.3092
0.159	-0.80566
0.1595	1.40991
0.16	2.61841
0.1605	2.5177
0.161	4.83398
0.1615	6.84814
0.162	1.81274
0.1625	6.2439
0.163	2.01416
0.1635	2.71912
0.164	4.33044
0.1645	4.22974
0.165	4.33044
0.1655	-0.40283
0.166	1.3092
0.1665	4.02832
0.167	9.06372
0.1675	2.21558
0.168	3.22266
0.1685	6.14319
0.169	9.46655
0.1695	5.63965
0.17	8.35876
0.1705	4.73328
0.171	7.35168
0.1715	7.75452
0.172	5.0354
0.1725	8.66089
0.173	13.89771
0.1735	15.20691
0.174	16.11328
0.1745	17.42249
0.175	13.09204
0.1755	12.18567
0.176	11.68213
0.1765	8.25806
0.177	9.26514
0.1775	11.68213
0.178	10.27222
0.1785	5.74036
0.179	2.61841
0.1795	6.2439
0.18	5.63965
0.1805	0.40283
0.181	2.11487
0.1815	-1.91345
0.182	-3.8269
