Leonardo_Garofalo_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0	17.82532
0.0005	22.45789
0.001	19.53735
0.0015	21.75293
0.002	16.3147
0.0025	18.73169
0.003	16.11328
0.0035	8.7616
0.004	8.96301
0.0045	6.3446
0.005	3.7262
0.0055	3.8269
0.006	9.06372
0.0065	4.22974
0.007	-4.02832
0.0075	-2.92053
0.008	-7.65381
0.0085	2.71912
0.009	4.02832
0.0095	2.31628
0.01	6.74744
0.0105	13.39417
0.011	15.1062
0.0115	12.18567
0.012	-6.54602
0.0125	-8.96301
0.013	-13.29346
0.0135	-11.38
0.014	-6.94885
0.0145	-9.76868
0.015	-1.91345
0.0155	8.66089
0.016	20.64514
0.0165	22.35718
0.017	11.38
0.0175	4.53186
0.018	2.61841
0.0185	1.40991
0.019	12.28638
0.0195	14.60266
0.02	17.52319
0.0205	20.54443
0.021	29.60815
0.0215	30.51453
0.022	24.57275
0.0225	14.70337
0.023	6.54602
0.0235	0.50354
0.024	-0.90637
0.0245	-4.02832
0.025	-1.81274
0.0255	-6.3446
0.026	-1.81274
0.0265	-2.81982
0.027	-1.91345
0.0275	1.00708
0.028	-0.70496
0.0285	1.2085
0.029	-1.51062
0.0295	3.92761
0.03	5.63965
0.0305	9.46655
0.031	6.64673
0.0315	10.97717
0.032	7.85522
0.0325	13.69629
0.033	16.11328
0.0335	16.51611
0.034	15.91187
0.0345	10.97717
0.035	5.74036
0.0355	-1.40991
0.036	1.2085
0.0365	-4.93469
0.037	-3.92761
0.0375	4.02832
0.038	2.92053
0.0385	7.75452
0.039	10.47363
0.0395	11.88354
0.04	-3.22266
0.0405	-9.26514
0.041	-0.80566
0.0415	3.8269
0.042	12.68921
0.0425	18.73169
0.043	21.3501
0.0435	19.53735
0.044	23.16284
0.0445	26.58691
0.045	27.19116
0.0455	30.91736
0.046	27.89612
0.0465	24.87488
0.047	15.91187
0.0475	12.68921
0.048	15.00549
0.0485	16.71753
0.049	-2.71912
0.0495	-11.88354
0.05	-14.19983
0.0505	-15.40833
0.051	-21.14868
0.0515	-28.80249
0.052	-29.20532
0.0525	-32.02515
0.053	-35.44922
0.0535	-18.12744
0.054	-11.58142
0.0545	-0.60425
0.055	7.65381
0.0555	7.04956
0.056	10.0708
0.0565	10.47363
0.057	15.81116
0.0575	18.8324
0.058	23.46497
0.0585	28.09753
0.059	35.54993
0.0595	30.91736
0.06	22.15576
0.0605	17.01965
0.061	17.01965
0.0615	20.84656
0.062	18.53027
0.0625	4.63257
0.063	6.2439
0.0635	8.96301
0.064	4.83398
0.0645	5.74036
0.065	2.31628
0.0655	1.61133
0.066	-10.47363
0.0665	-21.04797
0.067	-12.38708
0.0675	0.40283
0.068	3.52478
0.0685	5.84106
0.069	13.89771
0.0695	13.29346
0.07	10.47363
0.0705	6.3446
0.071	11.98425
0.0715	15.71045
0.072	16.3147
0.0725	16.11328
0.073	11.17859
0.0735	8.66089
0.074	9.26514
0.0745	11.78284
0.075	10.77576
0.0755	7.25098
0.076	15.60974
0.0765	16.11328
0.077	15.60974
0.0775	10.97717
0.078	21.75293
0.0785	27.19116
0.079	27.99683
0.0795	24.06921
0.08	18.63098
0.0805	9.46655
0.081	-0.60425
0.0815	-2.41699
0.082	-0.20142
0.0825	15.00549
0.083	21.24939
0.0835	32.32727
0.084	34.74426
0.0845	33.43506
0.085	21.85364
0.0855	7.15027
0.086	-1.00708
0.0865	-1.00708
0.087	12.08496
0.0875	19.43665
0.088	28.9032
0.0885	20.64514
0.089	0.80566
0.0895	-5.53894
0.09	-19.43665
0.0905	-21.3501
0.091	-25.68054
0.0915	-23.16284
0.092	-23.06213
0.0925	-13.69629
0.093	-8.8623
0.0935	3.7262
0.094	10.47363
0.0945	12.78992
0.095	14.60266
0.0955	16.21399
0.096	15.60974
0.0965	17.6239
0.097	25.27771
0.0975	22.96143
0.098	24.16992
0.0985	20.84656
0.099	10.57434
0.0995	9.36584
0.1	13.99841
0.1005	10.37292
0.101	10.87646
0.1015	7.35168
0.102	-4.83398
0.1025	-11.58142
0.103	-20.24231
0.1035	-20.44373
0.104	-13.89771
0.1045	-27.89612
0.105	-21.3501
0.1055	-15.50903
0.106	-4.63257
0.1065	-1.61133
0.107	-9.56726
0.1075	-8.8623
0.108	-12.89062
0.1085	-8.05664
0.109	-8.35876
0.1095	-0.40283
0.11	1.00708
0.1105	2.92053
0.111	5.43823
0.1115	1.2085
0.112	11.68213
0.1125	16.81824
0.113	20.54443
0.1135	17.22107
0.114	16.71753
0.1145	12.89062
0.115	9.56726
0.1155	14.80408
0.116	8.7616
0.1165	18.53027
0.117	18.02673
0.1175	14.09912
0.118	5.43823
0.1185	10.47363
0.119	5.63965
0.1195	7.5531
0.12	5.84106
0.1205	6.14319
0.121	-0.80566
0.1215	3.42407
0.122	-8.96301
