Domenico_Di_Fonza_Right_2.c3d  



Time(s):	A_L_bicipite(μV):
0	5.33752
0.0005	4.93469
0.001	17.92603
0.0015	11.48071
0.002	16.51611
0.0025	23.66638
0.003	20.24231
0.0035	14.60266
0.004	0.40283
0.0045	-0.70496
0.005	-5.43823
0.0055	-11.17859
0.006	-8.25806
0.0065	-3.22266
0.007	1.81274
0.0075	5.43823
0.008	11.58142
0.0085	13.797
0.009	13.69629
0.0095	12.5885
0.01	6.74744
0.0105	4.93469
0.011	-0.60425
0.0115	-8.45947
0.012	-19.23523
0.0125	-15.00549
0.013	-19.53735
0.0135	-7.95593
0.014	-2.92053
0.0145	3.02124
0.015	13.29346
0.0155	13.99841
0.016	16.81824
0.0165	19.33594
0.017	19.94019
0.0175	19.43665
0.018	14.19983
0.0185	20.1416
0.019	18.32886
0.0195	22.15576
0.02	17.12036
0.0205	16.91895
0.021	13.39417
0.0215	17.12036
0.022	13.29346
0.0225	5.43823
0.023	-4.53186
0.0235	-7.45239
0.024	-5.74036
0.0245	-2.81982
0.025	1.71204
0.0255	0.90637
0.026	1.51062
0.0265	1.51062
0.027	1.51062
0.0275	13.19275
0.028	5.43823
0.0285	6.94885
0.029	5.0354
0.0295	2.21558
0.03	3.02124
0.0305	4.63257
0.031	-1.00708
0.0315	2.41699
0.032	1.71204
0.0325	-3.02124
0.033	3.12195
0.0335	5.53894
0.034	17.22107
0.0345	16.71753
0.035	15.60974
0.0355	18.63098
0.036	12.68921
0.0365	9.56726
0.037	13.797
0.0375	12.5885
0.038	5.53894
0.0385	2.71912
0.039	6.44531
0.0395	8.25806
0.04	5.84106
0.0405	8.66089
0.041	20.74585
0.0415	20.84656
0.042	20.94727
0.0425	14.19983
0.043	11.38
0.0435	8.56018
0.044	4.43115
0.0445	-2.71912
0.045	-0.10071
0.0455	2.71912
0.046	0.50354
0.0465	2.21558
0.047	5.23682
0.0475	7.04956
0.048	15.20691
0.0485	11.98425
0.049	17.72461
0.0495	13.797
0.05	5.74036
0.0505	5.84106
0.051	2.92053
0.0515	2.31628
0.052	4.73328
0.0525	4.93469
0.053	-2.01416
0.0535	2.11487
0.054	-2.31628
0.0545	2.71912
0.055	0.60425
0.0555	-6.64673
0.056	-1.3092
0.0565	-0.80566
0.057	1.51062
0.0575	-3.52478
0.058	-5.84106
0.0585	-11.2793
0.059	-13.69629
0.0595	-6.74744
0.06	-8.56018
0.0605	1.10779
0.061	6.74744
0.0615	19.13452
0.062	15.40833
0.0625	18.8324
0.063	19.53735
0.0635	17.32178
0.064	12.38708
0.0645	3.7262
0.065	3.22266
0.0655	-9.86938
0.066	-5.84106
0.0665	-2.71912
0.067	-2.21558
0.0675	4.93469
0.068	5.23682
0.0685	4.63257
0.069	6.3446
0.0695	5.23682
0.07	9.16443
0.0705	18.73169
0.071	23.76709
0.0715	24.67346
0.072	28.19824
0.0725	13.89771
0.073	10.77576
0.0735	12.68921
0.074	6.14319
0.0745	7.25098
0.075	-2.41699
0.0755	-7.95593
0.076	-13.99841
0.0765	-12.89062
0.077	-12.38708
0.0775	-13.29346
0.078	-6.64673
0.0785	-5.33752
0.079	-6.2439
0.0795	-9.06372
0.08	-9.86938
0.0805	-4.22974
0.081	-5.84106
0.0815	1.10779
0.082	3.42407
0.0825	7.65381
0.083	7.85522
0.0835	10.17151
0.084	16.3147
0.0845	21.24939
0.085	25.37842
0.0855	25.47913
0.086	33.83789
0.0865	31.01807
0.087	25.57983
0.0875	16.01257
0.088	25.177
0.0885	18.32886
0.089	9.26514
0.0895	6.84814
0.09	6.64673
