Domenico_Di_Fonza_Right_1.c3d  



Time(s):	B_R_bicipite(μV):
0	-75.32959
0.0005	-80.4657
0.001	-77.948
0.0015	-57.60498
0.002	-31.52161
0.0025	-8.8623
0.003	12.28638
0.0035	29.20532
0.004	44.61365
0.0045	57.40356
0.005	65.3595
0.0055	63.44604
0.006	64.45312
0.0065	49.64905
0.007	38.06763
0.0075	30.71594
0.008	12.08496
0.0085	5.74036
0.009	-6.3446
0.0095	-20.34302
0.01	-22.45789
0.0105	-26.78833
0.011	-35.04639
0.0115	-41.39099
0.012	-39.17542
0.0125	-40.1825
0.013	-34.54285
0.0135	-19.03381
0.014	-10.67505
0.0145	-3.12195
0.015	6.84814
0.0155	10.0708
0.016	26.68762
0.0165	30.51453
0.017	38.26904
0.0175	43.80798
0.018	53.07312
0.0185	48.03772
0.019	40.88745
0.0195	31.21948
0.02	20.04089
0.0205	13.69629
0.021	12.18567
0.0215	11.38
0.022	3.92761
0.0225	-12.89062
0.023	-16.21399
0.0235	-16.01257
0.024	-15.50903
0.0245	-17.72461
0.025	-13.89771
0.0255	-13.49487
0.026	-20.44373
0.0265	-25.88196
0.027	-33.43506
0.0275	-43.90869
0.028	-61.53259
0.0285	-67.27295
0.029	-71.50269
0.0295	-67.97791
0.03	-69.68994
0.0305	-69.38782
0.031	-57.70569
0.0315	-45.41931
0.032	-25.98267
0.0325	-8.8623
0.033	14.40125
0.0335	46.72852
0.034	79.96216
0.0345	112.39014
0.035	143.81104
0.0355	161.13281
0.036	164.85901
0.0365	158.11157
0.037	151.76697
0.0375	139.68201
0.038	120.64819
0.0385	94.96765
0.039	70.89844
0.0395	44.71436
0.04	15.60974
0.0405	-4.83398
0.041	-13.69629
0.0415	-5.33752
0.042	-1.00708
0.0425	-5.94177
0.043	-20.34302
0.0435	-14.30054
0.044	-13.797
0.0445	-16.81824
0.045	-8.45947
0.0455	-16.01257
0.046	-6.94885
0.0465	-13.39417
0.047	-14.19983
0.0475	-12.38708
0.048	-14.09912
0.0485	-23.56567
0.049	-22.25647
0.0495	-24.47205
0.05	-25.88196
0.0505	-20.1416
0.051	-15.81116
0.0515	-18.42957
0.052	-25.88196
0.0525	-20.34302
0.053	-16.3147
0.0535	-13.89771
0.054	-8.7616
0.0545	2.41699
0.055	4.53186
0.0555	7.15027
0.056	7.5531
0.0565	15.1062
0.057	14.09912
0.0575	15.40833
0.058	16.71753
0.0585	14.60266
0.059	13.99841
0.0595	17.52319
0.06	19.13452
0.0605	13.59558
0.061	3.8269
0.0615	-5.43823
0.062	-8.45947
0.0625	-20.94727
0.063	-21.3501
0.0635	-23.46497
0.064	-26.3855
0.0645	-25.78125
0.065	-24.57275
0.0655	-25.78125
0.066	-19.33594
0.0665	-13.89771
0.067	-12.99133
0.0675	-16.3147
0.068	-13.99841
