Domenico_Di_Fonza_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0	-88.42163
0.0005	-98.79456
0.001	-116.41846
0.0015	-118.53333
0.002	-93.35632
0.0025	-59.01489
0.003	-34.54285
0.0035	-13.29346
0.004	-4.22974
0.0045	12.89062
0.005	36.85913
0.0055	57.00073
0.006	75.22888
0.0065	92.24854
0.007	89.12659
0.0075	80.56641
0.008	70.79773
0.0085	61.33118
0.009	46.72852
0.0095	29.30603
0.01	12.99133
0.0105	-9.86938
0.011	-15.1062
0.0115	-10.47363
0.012	-1.81274
0.0125	-1.3092
0.013	3.8269
0.0135	7.75452
0.014	8.56018
0.0145	8.96301
0.015	8.8623
0.0155	11.68213
0.016	9.36584
0.0165	10.17151
0.017	4.53186
0.0175	5.84106
0.018	2.01416
0.0185	1.2085
0.019	1.2085
0.0195	-3.8269
0.02	-20.84656
0.0205	-22.15576
0.021	-11.88354
0.0215	-5.74036
0.022	-0.10071
0.0225	18.12744
0.023	22.05505
0.0235	11.68213
0.024	-17.82532
0.0245	-45.62073
0.025	-62.33826
0.0255	-71.60339
0.026	-90.03296
0.0265	-86.8103
0.027	-89.02588
0.0275	-94.2627
0.028	-96.17615
0.0285	-101.61438
0.029	-90.33508
0.0295	-77.74658
0.03	-58.41064
0.0305	-41.18958
0.031	-30.11169
0.0315	-12.08496
0.032	4.22974
0.0325	10.47363
0.033	33.33435
0.0335	54.38232
0.034	81.67419
0.0345	98.59314
0.035	96.57898
0.0355	79.35791
0.036	56.79932
0.0365	41.18958
0.037	27.29187
0.0375	22.35718
0.038	14.60266
0.0385	11.17859
0.039	-7.45239
0.0395	-16.21399
0.04	-14.90479
0.0405	-7.35168
0.041	12.48779
0.0415	17.6239
0.042	34.74426
0.0425	26.68762
0.043	27.19116
0.0435	14.19983
0.044	3.02124
0.0445	4.22974
0.045	6.74744
0.0455	9.16443
0.046	11.68213
0.0465	1.91345
0.047	-16.81824
0.0475	-34.64355
0.048	-30.41382
0.0485	-36.85913
0.049	-62.03613
0.0495	-66.97083
0.05	-48.03772
0.0505	-13.39417
0.051	-1.40991
0.0515	-5.94177
0.052	-37.36267
0.0525	-53.97949
0.053	-57.00073
0.0535	-62.8418
0.054	-57.8064
0.0545	-60.02197
0.055	-42.7002
0.0555	2.81982
0.056	61.33118
0.0565	91.44287
0.057	115.61279
0.0575	125.98572
0.058	140.78979
0.0585	131.72607
0.059	96.27686
0.0595	51.86462
0.06	32.22656
0.0605	30.51453
0.061	19.63806
0.0615	10.47363
0.062	9.86938
0.0625	3.22266
0.063	-10.77576
0.0635	-19.43665
0.064	-20.54443
0.0645	-18.63098
0.065	-18.02673
0.0655	-28.09753
0.066	-40.48462
0.0665	-62.23755
0.067	-73.71826
0.0675	-85.90393
0.068	-112.08801
0.0685	-136.15723
0.069	-162.2406
0.0695	-167.98096
0.07	-161.13281
0.0705	-141.89758
0.071	-104.53491
0.0715	-56.69861
0.072	-4.53186
0.0725	49.95117
0.073	99.3988
0.0735	127.69775
0.074	153.479
0.0745	160.52856
0.075	174.02344
0.0755	165.56396
0.076	142.19971
0.0765	106.14624
0.077	80.66711
0.0775	55.49011
0.078	31.62231
0.0785	-4.12903
0.079	-30.81665
0.0795	-49.85046
0.08	-48.84338
0.0805	-40.48462
0.081	-24.77417
0.0815	-12.78992
0.082	3.7262
0.0825	4.73328
0.083	7.65381
0.0835	3.7262
0.084	5.63965
0.0845	3.02124
0.085	-3.12195
0.0855	-7.85522
0.086	-5.63965
0.0865	-16.81824
0.087	-22.15576
0.0875	-30.01099
0.088	-26.08337
0.0885	-22.6593
0.089	1.00708
0.0895	25.37842
0.09	44.31152
0.0905	58.41064
0.091	68.17932
0.0915	48.54126
0.092	15.40833
0.0925	-1.10779
0.093	-19.83948
0.0935	-30.11169
0.094	-33.9386
0.0945	-35.04639
0.095	-39.27612
0.0955	-37.06055
0.096	-34.54285
0.0965	-18.73169
0.097	-12.18567
0.0975	7.85522
0.098	32.32727
0.0985	53.37524
0.099	55.18799
0.0995	47.13135
0.1	44.41223
0.1005	37.66479
0.101	25.47913
0.1015	15.00549
0.102	25.27771
0.1025	6.84814
0.103	-9.06372
0.1035	-23.96851
0.104	-58.41064
0.1045	-106.64978
0.105	-146.32874
0.1055	-179.96521
0.106	-209.77478
0.1065	-208.06274
0.107	-184.09424
0.1075	-165.36255
0.108	-149.55139
0.1085	-119.64111
0.109	-85.90393
0.1095	-27.99683
0.11	34.74426
0.1105	91.44287
0.111	131.72607
0.1115	154.18396
0.112	180.26733
0.1125	187.61902
0.113	181.47583
0.1135	151.66626
0.114	116.01562
0.1145	84.89685
0.115	52.36816
0.1155	38.16833
0.116	25.37842
0.1165	10.17151
0.117	11.48071
0.1175	8.8623
0.118	7.85522
0.1185	-5.43823
0.119	-14.90479
0.1195	-12.89062
0.12	-8.45947
0.1205	-11.48071
0.121	-7.15027
0.1215	-6.54602
0.122	-16.3147
0.1225	-21.85364
0.123	-30.81665
0.1235	-35.34851
0.124	-44.81506
0.1245	-52.36816
0.125	-61.6333
