Domenico_Di_Fonza_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0	10.27222
0.0005	14.40125
0.001	16.01257
0.0015	16.71753
0.002	6.94885
0.0025	3.8269
0.003	6.2439
0.0035	10.47363
0.004	9.26514
0.0045	5.13611
0.005	11.58142
0.0055	10.27222
0.006	17.01965
0.0065	15.71045
0.007	13.797
0.0075	17.12036
0.008	9.06372
0.0085	4.22974
0.009	8.7616
0.0095	9.76868
0.01	9.26514
0.0105	7.75452
0.011	2.92053
0.0115	7.85522
0.012	4.22974
0.0125	3.7262
0.013	6.54602
0.0135	12.99133
0.014	8.45947
0.0145	12.48779
0.015	14.40125
0.0155	15.91187
0.016	10.47363
0.0165	17.82532
0.017	22.15576
0.0175	20.44373
0.018	19.03381
0.0185	13.59558
0.019	12.5885
0.0195	8.45947
0.02	7.25098
0.0205	13.49487
0.021	6.94885
0.0215	7.25098
0.022	4.02832
0.0225	3.62549
0.023	4.93469
0.0235	7.35168
0.024	9.76868
0.0245	15.20691
0.025	7.04956
0.0255	-1.81274
0.026	-0.80566
0.0265	-2.11487
0.027	2.11487
0.0275	7.95593
0.028	6.44531
0.0285	7.15027
0.029	12.48779
0.0295	10.47363
0.03	15.30762
0.0305	15.60974
0.031	14.30054
0.0315	9.16443
0.032	10.77576
0.0325	11.2793
0.033	14.90479
0.0335	20.44373
0.034	23.76709
0.0345	16.91895
0.035	16.01257
0.0355	10.37292
0.036	12.28638
0.0365	6.44531
0.037	7.65381
0.0375	12.89062
0.038	7.45239
0.0385	10.27222
0.039	14.19983
0.0395	11.78284
0.04	12.99133
0.0405	14.09912
0.041	9.46655
0.0415	12.78992
0.042	14.30054
0.0425	16.61682
0.043	14.60266
0.0435	18.12744
0.044	16.51611
0.0445	14.40125
0.045	10.57434
0.0455	10.47363
0.046	11.2793
0.0465	8.8623
0.047	7.15027
0.0475	6.74744
0.048	8.45947
0.0485	10.87646
0.049	10.37292
0.0495	7.75452
0.05	7.04956
0.0505	8.7616
0.051	15.1062
0.0515	18.22815
0.052	13.797
0.0525	15.91187
0.053	15.1062
0.0535	12.78992
0.054	14.19983
0.0545	9.16443
0.055	9.86938
0.0555	5.74036
0.056	6.94885
0.0565	12.48779
0.057	13.49487
0.0575	12.08496
0.058	13.09204
0.0585	13.29346
0.059	10.87646
0.0595	10.97717
0.06	4.73328
0.0605	8.96301
0.061	5.84106
0.0615	1.91345
0.062	2.31628
0.0625	7.85522
0.063	12.38708
0.0635	10.87646
0.064	4.12903
0.0645	11.78284
0.065	10.57434
0.0655	14.50195
0.066	11.07788
0.0665	8.8623
0.067	10.97717
0.0675	6.44531
0.068	3.52478
0.0685	3.7262
0.069	4.43115
0.0695	14.19983
0.07	11.78284
0.0705	11.07788
0.071	7.75452
0.0715	9.56726
0.072	8.56018
0.0725	15.50903
0.073	12.18567
0.0735	8.35876
0.074	15.00549
0.0745	13.797
0.075	8.15735
0.0755	4.53186
0.076	4.53186
0.0765	11.38
0.077	8.35876
0.0775	4.53186
0.078	6.64673
0.0785	9.86938
0.079	7.65381
0.0795	6.3446
0.08	9.76868
0.0805	10.67505
0.081	4.02832
0.0815	4.43115
0.082	6.2439
0.0825	1.61133
0.083	8.7616
0.0835	7.15027
0.084	10.57434
0.0845	9.36584
0.085	7.25098
0.0855	5.13611
0.086	9.36584
0.0865	11.68213
0.087	12.89062
0.0875	13.59558
0.088	10.77576
0.0885	10.77576
0.089	2.81982
0.0895	2.71912
0.09	6.94885
0.0905	6.3446
0.091	11.88354
0.0915	8.8623
0.092	6.14319
0.0925	8.45947
0.093	11.88354
0.0935	11.38
0.094	5.74036
0.0945	6.64673
0.095	4.83398
0.0955	10.0708
0.096	11.98425
0.0965	10.47363
0.097	9.86938
0.0975	3.12195
0.098	6.14319
0.0985	10.87646
0.099	6.74744
0.0995	10.77576
0.1	9.76868
0.1005	16.21399
0.101	7.15027
0.1015	9.36584
0.102	4.63257
0.1025	15.00549
0.103	7.65381
0.1035	6.2439
0.104	11.58142
0.1045	13.49487
0.105	10.97717
0.1055	7.25098
0.106	5.63965
0.1065	4.53186
0.107	1.71204
0.1075	4.02832
0.108	2.21558
0.1085	1.81274
0.109	0.90637
0.1095	1.40991
0.11	1.81274
0.1105	3.7262
0.111	-6.3446
0.1115	-3.02124
0.112	-1.00708
0.1125	-2.71912
0.113	2.41699
0.1135	0.60425
0.114	2.5177
0.1145	2.61841
0.115	4.73328
0.1155	2.11487
0.116	0.90637
0.1165	4.22974
0.117	4.12903
0.1175	4.22974
0.118	5.84106
0.1185	10.67505
0.119	5.23682
0.1195	8.25806
0.12	2.11487
0.1205	3.32336
0.121	6.2439
0.1215	3.8269
0.122	8.15735
0.1225	6.2439
0.123	1.81274
0.1235	9.66797
0.124	9.26514
0.1245	4.83398
0.125	6.94885
0.1255	4.33044
0.126	3.7262
0.1265	5.33752
0.127	5.53894
0.1275	9.46655
0.128	11.98425
0.1285	6.74744
0.129	3.02124
0.1295	2.61841
0.13	1.00708
0.1305	3.12195
0.131	7.95593
0.1315	5.13611
0.132	5.43823
0.1325	2.61841
0.133	2.41699
0.1335	4.93469
0.134	-3.32336
0.1345	6.44531
0.135	7.5531
0.1355	4.43115
0.136	2.31628
0.1365	-0.50354
0.137	2.61841
0.1375	-4.53186
0.138	1.91345
0.1385	-1.2085
0.139	0
0.1395	-0.30212
0.14	-1.40991
0.1405	-4.63257
0.141	-2.31628
0.1415	-2.71912
0.142	-0.40283
0.1425	-3.62549
0.143	4.63257
0.1435	4.63257
0.144	6.84814
0.1445	9.46655
0.145	6.14319
0.1455	6.2439
0.146	8.7616
0.1465	6.74744
0.147	3.42407
0.1475	2.11487
0.148	6.14319
0.1485	0.70496
0.149	5.74036
0.1495	4.93469
0.15	-0.20142
0.1505	6.54602
0.151	10.77576
0.1515	8.96301
0.152	6.54602
0.1525	7.25098
0.153	14.70337
0.1535	11.98425
0.154	12.28638
0.1545	7.15027
0.155	7.65381
0.1555	7.15027
0.156	8.96301
0.1565	10.47363
0.157	2.61841
0.1575	3.22266
0.158	0.60425
0.1585	4.73328
0.159	2.81982
0.1595	2.71912
0.16	1.2085
0.1605	2.21558
0.161	0.50354
0.1615	3.7262
0.162	5.33752
0.1625	3.12195
0.163	3.02124
0.1635	3.7262
0.164	4.93469
0.1645	3.22266
0.165	2.5177
0.1655	1.81274
0.166	4.43115
0.1665	7.35168
0.167	5.0354
0.1675	-1.61133
0.168	1.2085
0.1685	1.51062
0.169	0.50354
0.1695	2.21558
0.17	3.92761
0.1705	2.21558
0.171	1.71204
0.1715	-3.02124
0.172	4.22974
0.1725	4.93469
0.173	6.14319
0.1735	8.35876
0.174	6.3446
0.1745	1.2085
0.175	4.22974
0.1755	13.19275
0.176	12.38708
0.1765	7.5531
0.177	-1.51062
0.1775	4.22974
0.178	4.22974
0.1785	9.06372
0.179	2.31628
0.1795	4.53186
0.18	0.50354
0.1805	0.40283
0.181	-1.81274
0.1815	4.02832
0.182	-1.00708
0.1825	3.42407
0.183	1.10779
0.1835	1.00708
0.184	0.40283
0.1845	-6.74744
0.185	-4.83398
0.1855	-1.91345
0.186	4.53186
0.1865	2.01416
0.187	8.66089
0.1875	5.23682
0.188	7.25098
0.1885	0.50354
0.189	2.71912
0.1895	3.8269
0.19	10.0708
0.1905	0.40283
0.191	5.63965
0.1915	4.12903
0.192	4.43115
0.1925	4.22974
0.193	8.56018
0.1935	5.13611
0.194	5.53894
0.1945	1.2085
0.195	6.54602
0.1955	4.63257
0.196	5.0354
0.1965	2.61841
0.197	4.63257
0.1975	9.26514
0.198	7.5531
0.1985	9.26514
0.199	6.04248
0.1995	2.81982
0.2	0.40283
0.2005	-0.70496
0.201	-1.3092
0.2015	-3.42407
0.202	0.50354
0.2025	7.35168
0.203	9.06372
0.2035	7.25098
0.204	5.43823
0.2045	12.89062
0.205	6.94885
0.2055	6.64673
0.206	10.77576
0.2065	3.8269
0.207	3.92761
0.2075	6.14319
0.208	7.04956
0.2085	4.43115
0.209	5.53894
0.2095	7.35168
0.21	4.22974
0.2105	5.74036
0.211	3.02124
0.2115	1.71204
0.212	1.71204
0.2125	4.22974
0.213	5.84106
0.2135	10.87646
0.214	7.45239
0.2145	9.56726
0.215	6.64673
0.2155	10.57434
0.216	7.35168
0.2165	8.7616
0.217	7.95593
0.2175	3.42407
0.218	6.94885
0.2185	9.46655
0.219	10.17151
0.2195	11.2793
0.22	6.94885
0.2205	9.16443
0.221	7.5531
0.2215	9.56726
0.222	3.12195
0.2225	3.02124
0.223	2.71912
0.2235	7.04956
0.224	3.52478
0.2245	3.32336
0.225	3.12195
0.2255	8.35876
0.226	8.7616
0.2265	6.54602
0.227	1.91345
0.2275	5.53894
0.228	3.12195
0.2285	2.41699
0.229	-0.60425
0.2295	-5.0354
0.23	-3.62549
0.2305	1.10779
0.231	0.40283
0.2315	-2.5177
0.232	0.80566
0.2325	3.12195
0.233	2.5177
0.2335	5.0354
0.234	6.04248
0.2345	5.94177
0.235	7.45239
0.2355	8.56018
0.236	10.57434
0.2365	8.7616
0.237	7.15027
0.2375	5.63965
0.238	5.63965
0.2385	6.64673
0.239	3.7262
0.2395	6.84814
0.24	4.73328
0.2405	2.5177
0.241	4.12903
0.2415	4.22974
0.242	1.40991
0.2425	1.10779
0.243	0.70496
0.2435	1.40991
0.244	3.02124
0.2445	2.11487
0.245	6.64673
0.2455	6.64673
0.246	6.44531
0.2465	8.96301
0.247	1.10779
0.2475	-4.73328
0.248	1.2085
0.2485	-1.3092
0.249	-1.81274
0.2495	-1.91345
0.25	4.43115
0.2505	2.11487
0.251	6.44531
0.2515	-1.91345
0.252	0.90637
0.2525	4.02832
0.253	6.3446
0.2535	2.5177
0.254	7.65381
0.2545	3.92761
0.255	1.91345
0.2555	6.2439
0.256	3.12195
0.2565	1.71204
0.257	4.73328
0.2575	0
0.258	2.31628
0.2585	3.62549
0.259	-1.2085
0.2595	-1.51062
0.26	1.00708
0.2605	2.5177
0.261	1.51062
0.2615	1.61133
0.262	-3.02124
0.2625	-1.40991
0.263	3.52478
0.2635	6.04248
0.264	3.02124
0.2645	1.3092
0.265	0.40283
0.2655	4.33044
0.266	5.0354
0.2665	1.51062
0.267	1.10779
0.2675	-0.70496
0.268	4.93469
0.2685	2.21558
0.269	-2.81982
0.2695	4.22974
0.27	6.74744
0.2705	6.14319
0.271	6.04248
0.2715	2.11487
0.272	6.64673
0.2725	8.25806
0.273	0.20142
0.2735	-0.30212
0.274	-1.2085
0.2745	7.75452
0.275	1.00708
