Domenico_Di_Fonza_Left_1.c3d  



Time(s):	B_L_bicipite(μV):
0	-0.40283
0.0005	6.2439
0.001	3.32336
0.0015	3.32336
0.002	2.31628
0.0025	3.62549
0.003	4.02832
0.0035	2.71912
0.004	0.10071
0.0045	2.21558
0.005	1.81274
0.0055	4.53186
0.006	0
0.0065	3.42407
0.007	-3.32336
0.0075	-2.71912
0.008	1.61133
0.0085	6.2439
0.009	6.94885
0.0095	3.22266
0.01	1.51062
0.0105	3.52478
0.011	6.2439
0.0115	1.2085
0.012	1.3092
0.0125	-2.41699
0.013	-5.74036
0.0135	4.63257
0.014	-2.5177
0.0145	-1.51062
0.015	1.51062
0.0155	-0.40283
0.016	-0.70496
0.0165	3.8269
0.017	4.53186
0.0175	9.06372
0.018	4.53186
0.0185	8.35876
0.019	5.23682
0.0195	-0.40283
0.02	1.71204
0.0205	3.22266
0.021	2.11487
0.0215	7.45239
0.022	1.51062
0.0225	8.7616
0.023	3.7262
0.0235	5.74036
0.024	6.44531
0.0245	5.94177
0.025	4.93469
0.0255	7.04956
0.026	8.05664
0.0265	9.16443
0.027	2.5177
0.0275	3.12195
0.028	2.92053
0.0285	3.12195
0.029	2.81982
0.0295	5.13611
0.03	5.74036
0.0305	1.51062
0.031	-0.30212
0.0315	4.53186
0.032	2.41699
0.0325	-1.00708
0.033	0.50354
0.0335	5.43823
0.034	1.81274
0.0345	2.61841
0.035	8.8623
0.0355	1.40991
0.036	4.53186
0.0365	1.10779
0.037	1.3092
0.0375	2.21558
0.038	1.2085
0.0385	2.5177
0.039	5.94177
0.0395	6.54602
0.04	-2.5177
0.0405	-2.92053
0.041	-2.81982
0.0415	2.92053
0.042	1.81274
0.0425	3.92761
0.043	8.15735
0.0435	3.42407
0.044	6.74744
0.0445	8.8623
0.045	6.3446
0.0455	4.73328
0.046	4.93469
0.0465	0.50354
0.047	2.92053
0.0475	-3.42407
0.048	1.61133
0.0485	-4.73328
0.049	-5.0354
0.0495	-3.42407
0.05	-5.74036
0.0505	-4.53186
0.051	-3.8269
0.0515	-3.12195
0.052	0.80566
0.0525	-0.60425
0.053	1.2085
0.0535	0.40283
0.054	-3.7262
0.0545	2.61841
0.055	0.50354
0.0555	0.10071
0.056	-0.50354
0.0565	-1.00708
0.057	-0.60425
0.0575	3.42407
0.058	-2.31628
0.0585	3.8269
0.059	3.42407
0.0595	4.02832
0.06	3.12195
0.0605	0.90637
0.061	7.15027
0.0615	6.74744
0.062	8.25806
0.0625	4.53186
0.063	6.64673
0.0635	9.66797
0.064	5.63965
0.0645	5.84106
0.065	10.47363
0.0655	5.43823
0.066	4.43115
0.0665	8.15735
0.067	8.35876
