Domenico_Di_Fonza_Left_2.c3d  



Time(s):	C_L_bicipite(μV):
0	-0.70496
0.0005	11.07788
0.001	7.04956
0.0015	6.84814
0.002	8.7616
0.0025	8.56018
0.003	3.7262
0.0035	-1.61133
0.004	5.94177
0.0045	4.43115
0.005	-2.01416
0.0055	4.53186
0.006	0.70496
0.0065	2.5177
0.007	9.76868
0.0075	10.67505
0.008	11.07788
0.0085	6.04248
0.009	8.35876
0.0095	2.81982
0.01	-2.21558
0.0105	0.70496
0.011	2.92053
0.0115	6.44531
0.012	2.81982
0.0125	5.84106
0.013	4.02832
0.0135	3.12195
0.014	-2.21558
0.0145	2.41699
0.015	1.00708
0.0155	7.15027
0.016	1.2085
0.0165	8.15735
0.017	4.93469
0.0175	9.76868
0.018	10.47363
0.0185	3.92761
0.019	2.92053
0.0195	0
0.02	0.90637
0.0205	3.22266
0.021	3.32336
0.0215	3.02124
0.022	4.93469
0.0225	2.5177
0.023	7.04956
0.0235	0.30212
0.024	2.01416
0.0245	5.33752
0.025	4.02832
0.0255	4.93469
0.026	4.33044
0.0265	4.83398
0.027	1.00708
0.0275	3.02124
0.028	3.42407
0.0285	2.31628
0.029	9.76868
0.0295	7.85522
0.03	5.94177
0.0305	13.09204
0.031	10.97717
0.0315	10.37292
0.032	13.99841
0.0325	14.50195
0.033	15.1062
0.0335	16.21399
0.034	10.17151
0.0345	16.01257
0.035	12.99133
0.0355	8.7616
0.036	9.76868
0.0365	11.38
0.037	15.30762
0.0375	12.89062
0.038	12.08496
0.0385	6.64673
0.039	11.2793
0.0395	12.68921
0.04	7.15027
0.0405	-4.53186
0.041	-0.80566
0.0415	-3.42407
0.042	-4.93469
0.0425	-1.00708
0.043	4.12903
0.0435	7.95593
0.044	4.93469
0.0445	3.7262
0.045	14.19983
0.0455	11.88354
0.046	17.32178
0.0465	21.65222
0.047	15.30762
0.0475	11.98425
0.048	0.90637
0.0485	4.43115
0.049	3.42407
0.0495	7.95593
0.05	13.59558
0.0505	6.64673
0.051	7.04956
0.0515	8.45947
0.052	4.02832
0.0525	6.04248
0.053	5.63965
0.0535	-1.81274
0.054	0.70496
0.0545	4.73328
0.055	12.89062
0.0555	15.1062
0.056	10.57434
0.0565	11.78284
0.057	9.06372
0.0575	6.2439
0.058	-3.22266
0.0585	-6.84814
0.059	-4.02832
0.0595	-3.12195
0.06	0.80566
0.0605	6.2439
0.061	8.15735
0.0615	4.93469
0.062	-0.90637
0.0625	-2.61841
0.063	-3.02124
0.0635	-1.61133
0.064	-2.21558
0.0645	-3.12195
0.065	0.30212
0.0655	-0.60425
0.066	0.60425
0.0665	-2.31628
0.067	-4.53186
0.0675	0.10071
0.068	-0.10071
0.0685	0.90637
0.069	0.50354
0.0695	4.43115
0.07	8.96301
0.0705	12.99133
0.071	12.5885
0.0715	8.8623
0.072	8.7616
0.0725	9.26514
0.073	9.56726
0.0735	13.797
0.074	10.77576
0.0745	8.25806
0.075	5.63965
0.0755	13.89771
0.076	9.97009
0.0765	6.94885
0.077	5.43823
0.0775	8.45947
0.078	6.64673
0.0785	9.97009
0.079	7.35168
0.0795	3.02124
0.08	1.81274
0.0805	12.48779
0.081	7.65381
0.0815	-0.60425
0.082	-5.13611
0.0825	-7.25098
0.083	0.10071
0.0835	-3.7262
0.084	-4.02832
0.0845	3.02124
0.085	-4.43115
0.0855	1.40991
0.086	1.10779
0.0865	5.74036
0.087	4.33044
0.0875	0.90637
0.088	0.70496
0.0885	3.8269
0.089	1.81274
0.0895	3.02124
0.09	7.85522
0.0905	0.20142
0.091	8.96301
0.0915	11.2793
0.092	8.56018
0.0925	8.35876
0.093	7.25098
0.0935	1.81274
0.094	6.54602
0.0945	2.5177
0.095	6.94885
0.0955	5.94177
0.096	5.74036
0.0965	5.0354
0.097	2.92053
0.0975	4.22974
0.098	4.53186
0.0985	10.47363
0.099	3.22266
0.0995	-0.80566
0.1	-0.60425
0.1005	-4.93469
0.101	0.80566
0.1015	5.63965
0.102	4.22974
0.1025	9.16443
0.103	5.43823
0.1035	3.8269
0.104	8.8623
0.1045	5.0354
0.105	7.75452
0.1055	0.90637
0.106	2.21558
0.1065	6.84814
0.107	7.25098
0.1075	6.44531
0.108	7.85522
0.1085	9.76868
0.109	11.38
0.1095	12.5885
0.11	6.54602
0.1105	11.68213
0.111	11.88354
0.1115	12.08496
0.112	8.35876
0.1125	7.75452
0.113	3.22266
0.1135	0.60425
0.114	-0.30212
0.1145	2.92053
0.115	3.62549
0.1155	3.92761
0.116	3.32336
0.1165	6.94885
0.117	12.38708
0.1175	7.85522
0.118	6.64673
0.1185	4.83398
0.119	6.74744
0.1195	7.65381
0.12	5.53894
0.1205	7.15027
0.121	2.71912
0.1215	6.44531
0.122	8.96301
0.1225	10.37292
0.123	11.07788
0.1235	8.15735
0.124	5.43823
0.1245	-3.7262
0.125	-11.48071
0.1255	-5.94177
0.126	-1.2085
0.1265	-2.11487
0.127	-4.33044
0.1275	2.92053
0.128	0
0.1285	2.11487
0.129	3.8269
0.1295	-1.00708
0.13	5.0354
0.1305	1.3092
0.131	-2.31628
0.1315	-2.61841
0.132	-7.35168
0.1325	-3.92761
0.133	-3.42407
0.1335	-4.12903
0.134	-0.40283
0.1345	4.73328
0.135	-0.40283
0.1355	-7.45239
0.136	-8.25806
0.1365	-6.64673
0.137	3.32336
0.1375	2.5177
0.138	5.23682
0.1385	4.63257
0.139	6.3446
0.1395	1.51062
0.14	-3.7262
0.1405	-9.26514
0.141	-12.5885
0.1415	-5.23682
0.142	-2.61841
0.1425	4.83398
0.143	4.93469
0.1435	9.16443
0.144	7.45239
0.1445	4.73328
0.145	6.54602
0.1455	12.5885
0.146	9.97009
0.1465	10.17151
0.147	12.5885
0.1475	11.2793
0.148	14.19983
0.1485	8.96301
0.149	10.47363
0.1495	12.18567
0.15	9.66797
0.1505	8.15735
0.151	8.96301
0.1515	7.45239
0.152	8.96301
0.1525	12.28638
0.153	11.38
0.1535	12.08496
0.154	6.74744
0.1545	8.56018
0.155	12.68921
0.1555	12.48779
0.156	9.97009
0.1565	9.86938
0.157	16.41541
0.1575	9.66797
0.158	1.3092
0.1585	3.02124
0.159	-0.40283
0.1595	-1.00708
0.16	-3.92761
0.1605	-0.80566
0.161	-1.51062
0.1615	4.33044
0.162	8.25806
0.1625	6.44531
0.163	5.84106
0.1635	2.41699
0.164	-0.50354
0.1645	3.02124
0.165	6.04248
0.1655	9.06372
0.166	2.21558
0.1665	1.00708
0.167	2.11487
0.1675	3.8269
0.168	5.63965
0.1685	1.71204
0.169	-3.02124
0.1695	5.43823
0.17	-1.51062
0.1705	1.3092
0.171	2.92053
0.1715	4.43115
0.172	2.92053
0.1725	6.3446
0.173	9.26514
0.1735	10.57434
0.174	16.3147
0.1745	17.22107
0.175	22.05505
0.1755	21.95435
0.176	23.16284
0.1765	23.36426
0.177	18.02673
0.1775	14.19983
0.178	6.44531
0.1785	7.95593
0.179	8.15735
0.1795	9.97009
0.18	7.45239
0.1805	7.95593
0.181	0.70496
0.1815	-7.15027
0.182	-8.96301
0.1825	-8.15735
0.183	-3.32336
0.1835	-3.22266
0.184	2.92053
0.1845	3.7262
0.185	4.43115
0.1855	-0.40283
0.186	7.65381
0.1865	6.84814
0.187	2.01416
0.1875	4.02832
0.188	0.50354
0.1885	3.12195
0.189	4.43115
0.1895	6.04248
0.19	4.63257
0.1905	2.01416
0.191	1.00708
0.1915	-0.30212
0.192	1.10779
0.1925	2.81982
0.193	8.25806
0.1935	3.92761
0.194	4.83398
0.1945	4.12903
0.195	4.73328
0.1955	-0.20142
0.196	3.7262
0.1965	8.8623
0.197	11.58142
0.1975	6.14319
0.198	3.62549
0.1985	8.66089
0.199	11.78284
0.1995	6.2439
0.2	5.43823
0.2005	0.80566
0.201	14.09912
0.2015	12.68921
0.202	16.01257
0.2025	16.71753
0.203	16.01257
0.2035	23.46497
0.204	14.90479
0.2045	11.07788
0.205	4.33044
0.2055	3.02124
0.206	-0.20142
0.2065	-0.50354
0.207	-3.12195
0.2075	5.13611
0.208	0.40283
0.2085	4.93469
0.209	1.10779
0.2095	6.3446
0.21	3.8269
0.2105	7.15027
0.211	6.74744
0.2115	2.5177
0.212	7.25098
0.2125	-0.10071
0.213	0.10071
0.2135	0.40283
0.214	5.43823
0.2145	0.70496
0.215	3.32336
0.2155	1.10779
0.216	1.51062
0.2165	1.10779
0.217	4.43115
0.2175	3.92761
0.218	7.15027
0.2185	2.11487
0.219	7.95593
0.2195	7.04956
0.22	10.17151
0.2205	8.15735
0.221	7.45239
0.2215	8.15735
0.222	10.77576
0.2225	12.5885
0.223	10.57434
0.2235	11.17859
0.224	12.18567
0.2245	19.03381
0.225	12.78992
0.2255	11.48071
0.226	11.48071
0.2265	4.22974
0.227	5.43823
0.2275	13.19275
0.228	5.53894
0.2285	9.16443
0.229	0.60425
0.2295	-1.2085
0.23	-0.40283
0.2305	8.35876
0.231	3.42407
0.2315	9.66797
0.232	2.5177
0.2325	2.21558
0.233	-3.12195
0.2335	-8.15735
0.234	-5.74036
0.2345	-9.46655
0.235	-4.53186
0.2355	-0.30212
0.236	1.71204
0.2365	11.78284
0.237	8.66089
0.2375	7.65381
0.238	8.15735
0.2385	5.84106
0.239	1.40991
0.2395	3.02124
0.24	0.30212
0.2405	-6.64673
0.241	-11.98425
0.2415	-17.42249
0.242	-9.97009
0.2425	-3.02124
0.243	4.02832
