Domenico_Di_Fonza_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0	219.24133
0.0005	159.52148
0.001	101.9165
0.0015	69.99207
0.002	12.18567
0.0025	-22.45789
0.003	-35.2478
0.0035	-61.6333
0.004	-92.34924
0.0045	-120.84961
0.005	-129.61121
0.0055	-138.07068
0.006	-128.70483
0.0065	-128.20129
0.007	-107.25403
0.0075	-84.59473
0.008	-53.37524
0.0085	-15.50903
0.009	31.72302
0.0095	60.3241
0.01	97.88818
0.0105	143.50891
0.011	162.84485
0.0115	185.80627
0.012	187.01477
0.0125	191.1438
0.013	179.46167
0.0135	167.77954
0.014	147.33582
0.0145	120.95032
0.015	94.46411
0.0155	70.09277
0.016	35.04639
0.0165	1.40991
0.017	-28.80249
0.0175	-33.03223
0.018	-41.29028
0.0185	-51.15967
0.019	-63.84888
0.0195	-63.54675
0.02	-59.82056
0.0205	-54.68445
0.021	-53.07312
0.0215	-50.95825
0.022	-47.7356
0.0225	-47.63489
0.023	-41.08887
0.0235	-38.57117
0.024	-37.16125
0.0245	-33.33435
0.025	-32.02515
0.0255	-36.4563
0.026	-30.41382
0.0265	-30.2124
0.027	-29.80957
0.0275	-26.08337
0.028	-30.81665
0.0285	-38.26904
0.029	-42.59949
0.0295	-47.93701
0.03	-48.03772
0.0305	-45.62073
0.031	-44.11011
0.0315	-49.34692
0.032	-39.17542
0.0325	-35.65063
0.033	-25.37842
0.0335	-17.72461
0.034	-18.12744
0.0345	-12.18567
0.035	-12.48779
0.0355	-14.70337
0.036	-13.797
0.0365	-14.70337
0.037	-9.66797
0.0375	-3.32336
0.038	-9.36584
0.0385	-12.5885
0.039	-13.19275
0.0395	-17.52319
0.04	-16.81824
0.0405	-10.97717
0.041	-5.94177
0.0415	-7.45239
0.042	-18.12744
0.0425	-12.78992
0.043	-17.01965
0.0435	-16.71753
0.044	-28.70178
0.0445	-34.34143
0.045	-24.77417
0.0455	-21.45081
0.046	-23.8678
0.0465	-22.96143
0.047	-23.76709
0.0475	-23.16284
0.048	-22.25647
0.0485	-17.82532
0.049	-6.84814
0.0495	-8.96301
0.05	-11.78284
0.0505	-10.37292
0.051	-5.53894
0.0515	-13.69629
0.052	-17.92603
0.0525	-12.48779
0.053	-6.04248
0.0535	-5.13611
0.054	-5.53894
0.0545	-8.8623
0.055	-15.1062
0.0555	-14.19983
0.056	-19.73877
0.0565	-23.96851
0.057	-29.60815
0.0575	-27.09045
0.058	-28.50037
0.0585	-27.89612
0.059	-22.6593
0.0595	-19.33594
0.06	-18.12744
0.0605	-13.89771
0.061	-8.45947
0.0615	3.32336
0.062	8.7616
0.0625	14.09912
0.063	11.48071
0.0635	18.63098
0.064	21.45081
0.0645	24.77417
0.065	18.73169
0.0655	14.90479
0.066	9.46655
0.0665	0.20142
0.067	-9.86938
0.0675	-36.05347
0.068	-61.43188
0.0685	-80.4657
0.069	-86.8103
0.0695	-85.90393
0.07	-102.21863
0.0705	-104.4342
0.071	-95.87402
0.0715	-77.44446
0.072	-56.5979
0.0725	-27.6947
0.073	5.74036
0.0735	33.23364
0.074	63.44604
0.0745	86.00464
0.075	98.49243
0.0755	110.47668
0.076	121.9574
0.0765	111.48376
0.077	107.35474
0.0775	93.15491
0.078	80.16357
0.0785	65.76233
0.079	57.70569
0.0795	34.54285
0.08	18.02673
0.0805	10.67505
0.081	4.12903
0.0815	-12.18567
0.082	-18.22815
0.0825	-19.73877
0.083	-21.65222
0.0835	-18.73169
0.084	-16.11328
0.0845	-11.68213
0.085	-17.92603
0.0855	-15.30762
0.086	-24.06921
0.0865	-30.31311
0.087	-31.01807
0.0875	-28.29895
0.088	-25.88196
0.0885	-24.67346
0.089	-25.37842
0.0895	-24.67346
0.09	-17.12036
0.0905	-15.40833
0.091	-9.06372
0.0915	-9.86938
0.092	-8.45947
0.0925	-12.99133
0.093	-17.82532
0.0935	-13.59558
0.094	-10.37292
0.0945	-18.53027
0.095	-35.44922
0.0955	-43.80798
0.096	-51.36108
0.0965	-52.36816
0.097	-64.25171
0.0975	-58.30994
0.098	-58.30994
0.0985	-58.00781
0.099	-57.00073
0.0995	-60.82764
0.1	-61.93542
0.1005	-46.22498
0.101	-37.16125
0.1015	-27.39258
0.102	-15.71045
0.1025	5.63965
0.103	21.95435
0.1035	41.39099
0.104	60.52551
0.1045	71.60339
0.105	79.76074
0.1055	85.40039
0.106	84.79614
0.1065	87.41455
0.107	82.47986
0.1075	75.93384
0.108	58.51135
0.1085	39.57825
0.109	17.6239
0.1095	0.80566
0.11	-21.3501
0.1105	-33.53577
0.111	-35.04639
0.1115	-29.50745
0.112	-20.94727
0.1125	-15.1062
0.113	-6.64673
0.1135	-15.40833
0.114	-27.19116
0.1145	-27.19116
0.115	-17.6239
0.1155	-10.97717
0.116	-11.98425
0.1165	-11.2793
0.117	-5.23682
0.1175	1.91345
0.118	9.06372
0.1185	1.40991
0.119	-31.01807
0.1195	-54.18091
0.12	-57.00073
0.1205	-53.37524
0.121	-49.34692
0.1215	-44.41223
0.122	-33.33435
0.1225	-23.06213
0.123	-5.53894
0.1235	8.45947
0.124	29.10461
0.1245	49.74976
0.125	63.24463
0.1255	76.43738
0.126	77.44446
0.1265	82.58057
0.127	78.75366
0.1275	68.88428
0.128	54.98657
0.1285	43.10303
0.129	31.72302
0.1295	17.32178
0.13	9.66797
0.1305	10.87646
0.131	11.07788
0.1315	16.81824
0.132	9.66797
0.1325	-4.93469
0.133	-13.69629
0.1335	-21.65222
0.134	-14.50195
0.1345	-10.97717
0.135	-10.67505
0.1355	-9.06372
0.136	-7.85522
0.1365	-10.17151
0.137	-11.17859
0.1375	-9.46655
0.138	-11.07788
0.1385	-7.85522
0.139	-6.74744
0.1395	-10.57434
0.14	-5.94177
0.1405	-8.05664
0.141	-14.19983
0.1415	-16.51611
0.142	-19.13452
0.1425	-11.07788
0.143	-12.68921
0.1435	-13.49487
0.144	-15.50903
0.1445	-13.69629
0.145	-17.22107
0.1455	-15.00549
0.146	-14.19983
0.1465	-18.63098
0.147	-13.19275
0.1475	-12.28638
0.148	-16.51611
0.1485	-17.6239
0.149	-18.42957
0.1495	-19.23523
0.15	-14.19983
0.1505	-14.09912
0.151	-1.91345
0.1515	4.53186
0.152	4.93469
0.1525	3.22266
0.153	8.96301
0.1535	9.16443
0.154	-9.97009
0.1545	-4.43115
0.155	-5.33752
0.1555	-3.52478
0.156	-4.63257
0.1565	-0.20142
0.157	2.21558
0.1575	6.04248
0.158	17.01965
0.1585	13.59558
0.159	11.17859
0.1595	9.86938
0.16	14.60266
0.1605	17.42249
0.161	13.29346
0.1615	3.12195
0.162	-3.22266
0.1625	-7.85522
0.163	-8.8623
0.1635	-14.40125
0.164	-23.56567
0.1645	-32.12585
0.165	-35.34851
0.1655	-44.41223
0.166	-50.65613
0.1665	-47.13135
0.167	-57.9071
0.1675	-59.1156
0.168	-63.44604
0.1685	-68.98499
0.169	-66.16516
0.1695	-57.10144
0.17	-44.81506
0.1705	-28.09753
0.171	-6.3446
0.1715	2.61841
0.172	17.12036
0.1725	27.49329
0.173	37.86621
0.1735	46.72852
0.174	53.17383
0.1745	49.85046
0.175	52.46887
0.1755	51.66321
0.176	43.70728
0.1765	41.59241
0.177	33.23364
0.1775	27.79541
0.178	33.33435
0.1785	26.78833
0.179	26.18408
0.1795	32.52869
0.18	29.30603
0.1805	18.63098
0.181	0.50354
0.1815	-8.15735
0.182	-24.97559
0.1825	-42.49878
0.183	-51.26038
0.1835	-62.64038
0.184	-57.30286
0.1845	-65.46021
0.185	-55.18799
0.1855	-50.85754
0.186	-31.92444
0.1865	-4.63257
0.187	17.52319
0.1875	36.05347
0.188	53.67737
0.1885	69.48853
0.189	71.30127
0.1895	69.89136
0.19	65.46021
0.1905	66.06445
0.191	49.44763
0.1915	40.48462
0.192	23.36426
0.1925	17.72461
0.193	4.22974
0.1935	6.2439
0.194	-6.64673
0.1945	-15.00549
0.195	-25.68054
0.1955	-44.51294
0.196	-54.68445
0.1965	-61.83472
0.197	-64.45312
0.1975	-63.14392
0.198	-58.41064
0.1985	-51.46179
0.199	-47.23206
0.1995	-39.88037
0.2	-25.88196
0.2005	-21.14868
0.201	-5.23682
0.2015	16.61682
0.202	32.52869
0.2025	42.7002
0.203	53.57666
0.2035	65.3595
0.204	69.08569
0.2045	67.37366
0.205	68.78357
0.2055	61.53259
0.206	55.49011
0.2065	47.53418
0.207	43.40515
0.2075	31.32019
0.208	13.89771
0.2085	4.83398
0.209	2.11487
0.2095	7.85522
0.21	5.23682
