Gabriele_Carluccio_Right_2.c3d  



Time(s):	A_L_bicipite(μV):
0	3.42407
0.0005	0.30212
0.001	3.02124
0.0015	5.94177
0.002	0.70496
0.0025	0.10071
0.003	3.62549
0.0035	2.92053
0.004	-1.2085
0.0045	-0.70496
0.005	3.62549
0.0055	-0.10071
0.006	-1.2085
0.0065	7.65381
0.007	4.73328
0.0075	5.13611
0.008	3.22266
0.0085	2.61841
0.009	5.84106
0.0095	2.5177
0.01	-1.10779
0.0105	2.81982
0.011	6.04248
0.0115	2.81982
0.012	9.16443
0.0125	8.05664
0.013	4.53186
0.0135	3.22266
0.014	9.46655
0.0145	3.02124
0.015	3.02124
0.0155	6.94885
0.016	6.14319
0.0165	7.04956
0.017	1.91345
0.0175	8.7616
0.018	3.42407
0.0185	10.87646
0.019	8.96301
0.0195	5.23682
0.02	10.17151
0.0205	5.84106
0.021	5.84106
0.0215	7.04956
0.022	6.74744
0.0225	4.53186
0.023	8.35876
0.0235	4.83398
0.024	8.56018
0.0245	4.73328
0.025	5.94177
0.0255	3.42407
0.026	2.31628
0.0265	8.05664
0.027	5.84106
0.0275	4.53186
0.028	2.92053
0.0285	3.92761
0.029	3.12195
0.0295	5.53894
0.03	4.53186
0.0305	4.22974
0.031	6.84814
0.0315	7.04956
0.032	3.7262
0.0325	11.17859
0.033	9.06372
0.0335	8.15735
0.034	8.25806
0.0345	6.54602
0.035	9.26514
0.0355	5.43823
0.036	1.00708
0.0365	1.2085
0.037	3.42407
0.0375	2.81982
0.038	0.10071
0.0385	1.71204
0.039	3.12195
0.0395	0.10071
0.04	0.40283
0.0405	-3.32336
0.041	3.32336
0.0415	3.52478
0.042	6.84814
0.0425	6.2439
0.043	3.12195
0.0435	4.33044
0.044	8.15735
0.0445	10.47363
0.045	6.14319
0.0455	11.68213
0.046	5.33752
0.0465	2.61841
0.047	0.10071
0.0475	1.61133
0.048	1.51062
0.0485	1.51062
0.049	5.53894
0.0495	6.14319
0.05	9.16443
0.0505	3.92761
0.051	1.91345
0.0515	2.61841
0.052	0.80566
0.0525	6.14319
0.053	4.33044
0.0535	8.56018
0.054	5.94177
0.0545	10.77576
0.055	6.3446
0.0555	1.81274
0.056	2.01416
0.0565	1.2085
0.057	3.8269
0.0575	5.94177
0.058	4.22974
0.0585	1.00708
0.059	-1.71204
0.0595	3.7262
0.06	8.05664
0.0605	8.56018
0.061	10.87646
0.0615	2.21558
0.062	8.56018
0.0625	7.75452
0.063	2.61841
0.0635	2.21558
0.064	1.2085
0.0645	-0.10071
0.065	3.42407
0.0655	1.91345
0.066	4.63257
0.0665	2.61841
0.067	2.41699
0.0675	2.81982
0.068	-2.5177
0.0685	-5.94177
0.069	-2.5177
0.0695	-0.20142
0.07	1.2085
0.0705	1.40991
0.071	1.71204
0.0715	1.3092
0.072	6.54602
0.0725	3.12195
0.073	3.42407
0.0735	6.2439
0.074	5.33752
0.0745	7.04956
0.075	7.25098
0.0755	4.22974
0.076	1.40991
0.0765	-2.01416
0.077	3.52478
0.0775	1.91345
0.078	3.7262
0.0785	5.84106
0.079	4.12903
0.0795	2.71912
0.08	2.11487
0.0805	1.10779
0.081	5.84106
0.0815	4.83398
0.082	5.53894
0.0825	1.3092
0.083	5.74036
0.0835	3.92761
0.084	1.2085
0.0845	3.42407
0.085	5.23682
0.0855	6.3446
