Gabriele_Carluccio_Right_2.c3d  



Time(s):	C_R_bicipite(μV):
0	-2.61841
0.0005	-6.54602
0.001	-7.75452
0.0015	-1.40991
0.002	-1.91345
0.0025	-2.41699
0.003	0.30212
0.0035	-2.01416
0.004	2.61841
0.0045	8.25806
0.005	5.33752
0.0055	4.63257
0.006	-2.21558
0.0065	-8.66089
0.007	-3.62549
0.0075	-6.3446
0.008	-11.88354
0.0085	-10.37292
0.009	-3.42407
0.0095	-8.8623
0.01	-7.04956
0.0105	-6.04248
0.011	-3.32336
0.0115	-6.74744
0.012	-7.85522
0.0125	-6.64673
0.013	1.61133
0.0135	12.78992
0.014	11.58142
0.0145	10.67505
0.015	9.26514
0.0155	2.31628
0.016	-2.41699
0.0165	3.42407
0.017	6.94885
0.0175	6.54602
0.018	7.25098
0.0185	6.44531
0.019	10.47363
0.0195	3.12195
0.02	3.42407
0.0205	3.8269
0.021	-1.2085
0.0215	0.70496
0.022	-0.50354
0.0225	2.61841
0.023	1.81274
0.0235	-0.10071
0.024	4.63257
0.0245	4.73328
0.025	5.33752
0.0255	0.60425
0.026	6.74744
0.0265	2.71912
0.027	-0.30212
0.0275	2.41699
0.028	6.14319
0.0285	3.42407
0.029	1.40991
0.0295	-2.92053
0.03	-4.63257
0.0305	0.60425
0.031	2.11487
0.0315	0.70496
0.032	-4.12903
0.0325	2.61841
0.033	2.11487
0.0335	3.32336
0.034	-2.5177
0.0345	-4.53186
0.035	-3.02124
0.0355	-3.42407
0.036	1.3092
0.0365	-3.92761
0.037	1.3092
0.0375	-1.51062
0.038	-5.53894
0.0385	-3.02124
0.039	-10.97717
0.0395	-3.02124
0.04	-0.40283
0.0405	-4.12903
0.041	-6.04248
0.0415	-4.22974
0.042	-1.3092
0.0425	0
0.043	-1.61133
0.0435	-4.02832
0.044	-6.3446
0.0445	-2.61841
0.045	2.11487
0.0455	-1.51062
0.046	-7.85522
0.0465	-3.62549
0.047	-9.56726
0.0475	-4.83398
0.048	-9.16443
0.0485	-6.04248
0.049	-9.26514
0.0495	-4.43115
0.05	-5.63965
0.0505	-6.44531
0.051	-1.40991
0.0515	0.20142
0.052	-1.91345
0.0525	1.71204
0.053	0
0.0535	1.71204
0.054	2.61841
0.0545	-0.20142
0.055	1.51062
0.0555	3.12195
0.056	4.12903
0.0565	5.23682
0.057	0.70496
0.0575	-0.60425
0.058	0.20142
0.0585	1.71204
0.059	7.95593
0.0595	3.92761
0.06	4.02832
0.0605	3.22266
0.061	3.32336
0.0615	-1.91345
0.062	-0.20142
0.0625	0.80566
0.063	5.0354
0.0635	5.43823
0.064	5.94177
0.0645	6.44531
0.065	3.62549
0.0655	9.76868
0.066	8.15735
0.0665	5.13611
0.067	5.23682
0.0675	3.8269
0.068	-0.10071
0.0685	-0.80566
0.069	-2.11487
0.0695	4.63257
0.07	2.5177
0.0705	-1.71204
0.071	-1.2085
0.0715	6.2439
0.072	1.40991
0.0725	0.50354
0.073	-2.31628
0.0735	-3.8269
0.074	-1.71204
0.0745	1.91345
0.075	-0.90637
0.0755	1.81274
0.076	6.74744
0.0765	7.85522
0.077	3.22266
0.0775	3.42407
0.078	8.35876
0.0785	4.12903
0.079	11.88354
0.0795	15.1062
0.08	13.59558
0.0805	9.86938
0.081	17.01965
0.0815	19.83948
0.082	20.94727
0.0825	27.09045
0.083	22.25647
0.0835	24.37134
0.084	17.01965
0.0845	12.78992
0.085	6.64673
0.0855	-4.73328
0.086	-14.50195
0.0865	-23.76709
0.087	-20.54443
0.0875	-27.6947
0.088	-36.65771
0.0885	-39.88037
0.089	-36.25488
0.0895	-32.32727
0.09	-21.3501
0.0905	-21.04797
0.091	-16.21399
0.0915	-12.28638
0.092	-5.74036
0.0925	-1.81274
0.093	2.01416
0.0935	-0.50354
0.094	2.01416
0.0945	-1.71204
0.095	-0.90637
0.0955	-3.7262
0.096	-4.93469
0.0965	-2.01416
0.097	2.71912
0.0975	2.11487
0.098	2.31628
0.0985	4.33044
0.099	2.71912
0.0995	2.31628
0.1	6.64673
0.1005	4.73328
0.101	2.61841
0.1015	3.52478
0.102	-0.60425
0.1025	3.12195
0.103	2.31628
0.1035	6.94885
0.104	9.26514
0.1045	7.85522
0.105	13.39417
0.1055	7.35168
0.106	6.2439
0.1065	6.14319
0.107	1.91345
0.1075	3.12195
0.108	7.25098
0.1085	12.5885
0.109	7.35168
0.1095	10.17151
0.11	9.76868
0.1105	8.25806
0.111	11.58142
0.1115	10.67505
0.112	8.15735
0.1125	8.7616
0.113	10.37292
0.1135	6.54602
0.114	7.95593
0.1145	7.85522
0.115	8.56018
0.1155	4.53186
0.116	9.16443
0.1165	8.25806
0.117	6.2439
0.1175	10.87646
0.118	4.83398
0.1185	2.71912
0.119	4.83398
0.1195	0.80566
0.12	-0.80566
0.1205	-1.71204
0.121	3.02124
0.1215	0.40283
0.122	0.40283
0.1225	6.2439
0.123	1.10779
0.1235	5.53894
0.124	-0.90637
0.1245	2.11487
0.125	1.81274
0.1255	4.93469
0.126	-0.30212
0.1265	-0.70496
0.127	-3.22266
0.1275	-3.12195
0.128	-3.62549
0.1285	-4.63257
0.129	-1.81274
0.1295	0.30212
0.13	5.63965
0.1305	2.21558
0.131	-1.61133
0.1315	-3.42407
0.132	1.91345
0.1325	4.02832
0.133	0
0.1335	-0.30212
0.134	-0.60425
0.1345	2.5177
0.135	5.0354
0.1355	4.43115
0.136	1.81274
0.1365	7.15027
0.137	6.14319
0.1375	6.3446
0.138	4.53186
0.1385	2.92053
