Gabriele_Carluccio_Right_2.c3d  



Time(s):	C_L_bicipite(μV):
0	-12.08496
0.0005	-10.77576
0.001	-10.17151
0.0015	4.33044
0.002	-1.2085
0.0025	-0.30212
0.003	3.8269
0.0035	9.66797
0.004	10.97717
0.0045	19.53735
0.005	13.09204
0.0055	8.25806
0.006	7.45239
0.0065	4.73328
0.007	11.68213
0.0075	12.08496
0.008	17.52319
0.0085	17.12036
0.009	17.01965
0.0095	18.93311
0.01	19.13452
0.0105	4.22974
0.011	2.11487
0.0115	-1.51062
0.012	-5.13611
0.0125	-4.33044
0.013	-6.14319
0.0135	4.22974
0.014	13.69629
0.0145	7.65381
0.015	9.26514
0.0155	9.56726
0.016	4.93469
0.0165	5.74036
0.017	11.98425
0.0175	12.28638
0.018	13.797
0.0185	12.89062
0.019	14.90479
0.0195	13.49487
0.02	11.98425
0.0205	19.13452
0.021	21.45081
0.0215	16.81824
0.022	21.65222
0.0225	13.69629
0.023	5.13611
0.0235	0.30212
0.024	4.12903
0.0245	5.63965
0.025	13.09204
0.0255	13.59558
0.026	13.797
0.0265	1.00708
0.027	0.90637
0.0275	-1.61133
0.028	3.92761
0.0285	2.11487
0.029	7.15027
0.0295	9.86938
0.03	9.36584
0.0305	0.50354
0.031	0.10071
0.0315	-8.35876
0.032	-13.39417
0.0325	-14.30054
0.033	-2.81982
0.0335	1.91345
0.034	-1.10779
0.0345	-0.60425
0.035	-6.64673
0.0355	-3.12195
0.036	4.53186
0.0365	6.44531
0.037	7.45239
0.0375	7.95593
0.038	12.38708
0.0385	13.89771
0.039	14.50195
0.0395	11.88354
0.04	16.71753
0.0405	12.38708
0.041	15.20691
0.0415	15.81116
0.042	14.09912
0.0425	11.17859
0.043	13.69629
0.0435	8.66089
0.044	8.15735
0.0445	13.69629
0.045	16.01257
0.0455	19.03381
0.046	22.25647
0.0465	28.80249
0.047	25.98267
0.0475	21.04797
0.048	21.14868
0.0485	8.66089
0.049	13.09204
0.0495	19.63806
0.05	25.57983
0.0505	18.53027
0.051	12.5885
0.0515	0.70496
0.052	-3.02124
0.0525	-2.92053
0.053	0.60425
0.0535	2.01416
0.054	10.0708
0.0545	15.20691
