Gabriele_Carluccio_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	4.22974
0.0005	9.86938
0.001	13.49487
0.0015	15.20691
0.002	12.38708
0.0025	7.85522
0.003	9.06372
0.0035	10.97717
0.004	10.17151
0.0045	7.04956
0.005	4.63257
0.0055	4.53186
0.006	6.3446
0.0065	10.67505
0.007	7.75452
0.0075	8.05664
0.008	7.75452
0.0085	7.15027
0.009	9.46655
0.0095	11.48071
0.01	9.76868
0.0105	9.97009
0.011	10.77576
0.0115	12.68921
0.012	11.68213
0.0125	7.25098
0.013	5.13611
0.0135	7.45239
0.014	3.42407
0.0145	0.10071
0.015	9.26514
0.0155	9.97009
0.016	7.75452
0.0165	4.22974
0.017	6.74744
0.0175	6.94885
0.018	9.46655
0.0185	7.25098
0.019	10.97717
0.0195	7.15027
0.02	10.67505
0.0205	18.22815
0.021	7.95593
0.0215	14.40125
0.022	10.27222
0.0225	13.29346
0.023	12.78992
0.0235	12.78992
0.024	12.68921
0.0245	14.30054
0.025	12.18567
0.0255	8.56018
0.026	13.09204
0.0265	11.78284
0.027	11.58142
0.0275	8.25806
0.028	9.36584
0.0285	8.96301
0.029	10.0708
0.0295	7.75452
0.03	17.72461
0.0305	9.86938
0.031	9.97009
0.0315	10.87646
0.032	8.96301
0.0325	8.7616
0.033	5.63965
0.0335	9.76868
0.034	5.84106
0.0345	11.68213
0.035	7.15027
0.0355	7.15027
0.036	7.45239
0.0365	7.5531
0.037	7.04956
0.0375	7.5531
0.038	8.25806
0.0385	5.94177
0.039	6.14319
0.0395	7.5531
0.04	2.01416
0.0405	9.46655
0.041	5.43823
0.0415	8.45947
0.042	11.88354
0.0425	6.14319
0.043	11.17859
0.0435	11.48071
0.044	7.65381
0.0445	6.54602
0.045	8.05664
0.0455	4.53186
0.046	9.26514
0.0465	7.25098
0.047	3.02124
0.0475	7.35168
0.048	4.93469
0.0485	3.22266
0.049	0.80566
0.0495	5.43823
0.05	5.43823
0.0505	6.74744
0.051	0.80566
0.0515	1.91345
0.052	7.04956
0.0525	8.66089
0.053	1.3092
0.0535	7.65381
0.054	9.86938
0.0545	7.75452
0.055	3.02124
0.0555	2.21558
0.056	5.74036
0.0565	2.71912
0.057	1.71204
0.0575	6.14319
0.058	2.41699
0.0585	5.33752
0.059	9.66797
0.0595	8.66089
0.06	7.65381
0.0605	6.44531
0.061	7.65381
0.0615	-0.10071
0.062	6.14319
0.0625	4.63257
0.063	7.5531
0.0635	5.84106
0.064	11.17859
0.0645	6.64673
0.065	8.45947
0.0655	8.7616
0.066	5.0354
0.0665	2.5177
0.067	10.37292
0.0675	7.04956
0.068	10.27222
0.0685	12.78992
0.069	7.15027
0.0695	12.38708
0.07	6.84814
0.0705	10.67505
0.071	7.45239
0.0715	6.64673
0.072	6.64673
0.0725	8.96301
0.073	12.08496
0.0735	9.86938
0.074	11.17859
0.0745	9.16443
0.075	4.43115
0.0755	3.92761
0.076	4.02832
0.0765	6.64673
0.077	10.87646
0.0775	7.04956
0.078	7.45239
0.0785	7.04956
0.079	0.10071
0.0795	3.22266
0.08	8.35876
0.0805	5.23682
0.081	-1.10779
0.0815	3.62549
0.082	5.84106
0.0825	9.06372
0.083	4.73328
0.0835	3.12195
0.084	4.73328
0.0845	2.81982
0.085	7.04956
0.0855	2.92053
0.086	5.63965
0.0865	6.14319
0.087	9.16443
0.0875	6.3446
0.088	3.52478
0.0885	4.63257
0.089	10.0708
0.0895	6.54602
0.09	8.05664
0.0905	7.25098
0.091	4.02832
0.0915	3.02124
0.092	5.0354
0.0925	3.22266
0.093	4.33044
0.0935	2.81982
0.094	6.44531
0.0945	7.65381
0.095	6.3446
0.0955	6.14319
0.096	6.44531
0.0965	7.75452
0.097	6.74744
0.0975	9.86938
0.098	9.86938
0.0985	10.47363
0.099	12.99133
0.0995	4.12903
0.1	3.7262
0.1005	8.45947
0.101	11.38
0.1015	9.06372
0.102	4.12903
0.1025	8.66089
0.103	7.65381
0.1035	7.45239
0.104	10.67505
0.1045	11.88354
0.105	4.53186
0.1055	8.35876
0.106	10.37292
0.1065	8.15735
0.107	8.8623
0.1075	10.57434
0.108	9.66797
0.1085	11.88354
