Gabriele_Carluccio_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0	49.14551
0.0005	61.02905
0.001	55.69153
0.0015	35.14709
0.002	17.6239
0.0025	3.42407
0.003	-20.94727
0.0035	-18.02673
0.004	-11.38
0.0045	-13.09204
0.005	-10.47363
0.0055	-17.22107
0.006	-51.5625
0.0065	-71.20056
0.007	-54.18091
0.0075	-40.88745
0.008	-30.31311
0.0085	-22.96143
0.009	-38.67188
0.0095	-32.22656
0.01	-29.10461
0.0105	-39.47754
0.011	-30.71594
0.0115	1.51062
0.012	85.5011
0.0125	128.90625
0.013	144.91882
0.0135	130.31616
0.014	109.67102
0.0145	70.69702
0.015	30.31311
0.0155	-0.50354
0.016	-35.54993
0.0165	-51.5625
0.017	-59.82056
0.0175	-53.87878
0.018	-34.03931
0.0185	-7.75452
0.019	15.50903
0.0195	27.09045
0.02	40.58533
0.0205	78.25012
0.021	102.21863
0.0215	100.30518
0.022	129.81262
0.0225	175.13123
0.023	185.90698
0.0235	166.87317
0.024	125.7843
0.0245	70.89844
0.025	7.15027
0.0255	-46.22498
0.026	-85.29968
0.0265	-111.28235
0.027	-122.56165
0.0275	-134.74731
0.028	-134.74731
0.0285	-112.79297
0.029	-93.45703
0.0295	-70.79773
0.03	-60.02197
0.0305	-47.63489
0.031	-21.45081
0.0315	-3.12195
0.032	-1.81274
0.0325	-0.90637
0.033	-4.53186
0.0335	-6.84814
0.034	11.98425
0.0345	26.28479
0.035	74.82605
0.0355	149.04785
0.036	197.28699
0.0365	206.25
0.037	182.48291
0.0375	143.20679
0.038	103.93066
0.0385	105.23987
0.039	98.29102
0.0395	92.34924
0.04	57.50427
0.0405	23.76709
0.041	-3.92761
0.0415	-35.14709
0.042	-71.09985
0.0425	-92.85278
0.043	-119.54041
0.0435	-148.3429
0.044	-146.42944
0.0445	-117.92908
0.045	-99.90234
0.0455	-108.46252
0.046	-104.3335
0.0465	-87.01172
0.047	-70.99915
0.0475	-50.65613
0.048	-42.90161
0.0485	-34.14001
0.049	-7.25098
0.0495	44.31152
0.05	89.73083
0.0505	161.93848
0.051	227.6001
0.0515	262.74719
0.052	256.80542
0.0525	245.52612
0.053	241.59851
0.0535	217.12646
0.054	189.73389
0.0545	160.83069
0.055	121.9574
0.0555	68.68286
0.056	-5.13611
0.0565	-66.76941
0.057	-123.2666
0.0575	-162.2406
0.058	-200.81177
0.0585	-234.85107
0.059	-253.9856
0.0595	-260.63232
0.06	-228.50647
0.0605	-209.77478
0.061	-157.60803
0.0615	-129.71191
0.062	-99.90234
