Gabriele_Carluccio_Left_1.c3d  



Time(s):	C_L_bicipite(μV):
0	-51.46179
0.0005	-7.5531
0.001	23.46497
0.0015	39.07471
0.002	49.64905
0.0025	57.40356
0.003	68.58215
0.0035	69.08569
0.004	62.33826
0.0045	64.55383
0.005	75.83313
0.0055	105.94482
0.006	132.93457
0.0065	140.78979
0.007	144.01245
0.0075	140.08484
0.008	130.51758
0.0085	120.44678
0.009	100.30518
0.0095	76.63879
0.01	48.44055
0.0105	21.04797
0.011	-0.90637
0.0115	-17.12036
0.012	-34.84497
0.0125	-42.90161
0.013	-18.93311
0.0135	0.70496
0.014	13.29346
0.0145	40.38391
0.015	58.61206
0.0155	77.14233
0.016	100.90942
0.0165	105.94482
0.017	112.18872
0.0175	117.42554
0.018	102.92358
0.0185	97.08252
0.019	112.89368
0.0195	145.52307
0.02	161.33423
0.0205	177.74963
0.021	177.14539
0.0215	177.74963
0.022	185.10132
0.0225	176.23901
0.023	157.30591
0.0235	115.61279
0.024	72.20764
0.0245	17.22107
0.025	-44.51294
0.0255	-101.21155
0.026	-146.73157
0.0265	-178.95813
0.027	-192.65442
0.0275	-182.18079
0.028	-151.46484
0.0285	-124.37439
0.029	-92.85278
0.0295	-58.00781
0.03	-15.40833
0.0305	10.67505
0.031	16.81824
0.0315	14.30054
0.032	15.50903
0.0325	8.66089
0.033	1.10779
0.0335	-18.12744
0.034	-36.15417
0.0345	-49.64905
0.035	-66.06445
0.0355	-87.31384
0.036	-107.25403
0.0365	-112.99438
0.037	-107.95898
0.0375	-71.90552
0.038	-21.75293
0.0385	44.81506
0.039	110.07385
0.0395	149.85352
0.04	181.27441
0.0405	232.03125
0.041	292.45605
0.0415	337.77466
0.042	359.32617
0.0425	330.62439
0.043	266.6748
0.0435	182.3822
0.044	86.8103
0.0445	0.10071
0.045	-80.16357
0.0455	-150.15564
0.046	-206.14929
0.0465	-261.13586
0.047	-292.75818
0.0475	-297.69287
0.048	-293.66455
0.0485	-276.74561
0.049	-243.20984
0.0495	-215.51514
0.05	-185.50415
0.0505	-160.9314
0.051	-140.68909
0.0515	-131.32324
0.052	-113.09509
0.0525	-101.71509
0.053	-96.07544
0.0535	-64.75525
0.054	-21.55151
0.0545	21.75293
0.055	62.74109
0.0555	106.24695
0.056	147.1344
0.0565	162.44202
0.057	171.10291
0.0575	164.45618
0.058	141.99829
0.0585	119.13757
0.059	89.73083
0.0595	53.77808
0.06	15.20691
0.0605	-13.797
0.061	-29.40674
0.0615	-45.01648
0.062	-59.61914
0.0625	-81.87561
0.063	-90.83862
0.0635	-101.41296
0.064	-100.10376
0.0645	-86.30676
0.065	-56.29578
0.0655	-24.16992
0.066	-3.7262
0.0665	11.68213
0.067	23.46497
0.0675	33.23364
0.068	52.26746
0.0685	69.1864
0.069	83.18481
0.0695	90.13367
0.07	100.30518
0.0705	121.05103
0.071	127.69775
0.0715	113.29651
0.072	100.50659
0.0725	94.16199
0.073	93.96057
0.0735	121.9574
0.074	151.26343
0.0745	156.70166
0.075	140.48767
0.0755	115.20996
0.076	76.94092
0.0765	47.33276
0.077	14.40125
0.0775	-7.5531
0.078	-40.58533
0.0785	-70.79773
0.079	-90.43579
0.0795	-104.4342
0.08	-106.54907
0.0805	-98.19031
0.081	-88.11951
0.0815	-76.03455
0.082	-63.74817
0.0825	-55.79224
0.083	-42.39807
0.0835	-32.62939
0.084	-18.8324
0.0845	-12.78992
0.085	-5.63965
0.0855	0.10071
0.086	1.61133
0.0865	15.00549
0.087	30.41382
0.0875	35.85205
0.088	38.36975
0.0885	51.26038
0.089	58.41064
0.0895	60.92834
0.09	61.02905
0.0905	62.33826
0.091	60.12268
0.0915	59.1156
0.092	62.23755
0.0925	66.76941
0.093	62.23755
0.0935	58.30994
0.094	48.13843
0.0945	39.67896
0.095	29.60815
0.0955	14.30054
0.096	-9.56726
0.0965	-21.75293
0.097	-34.64355
0.0975	-43.20374
0.098	-57.9071
0.0985	-64.55383
0.099	-72.10693
0.0995	-64.25171
0.1	-62.9425
0.1005	-50.55542
0.101	-46.82922
0.1015	-36.35559
0.102	-33.03223
0.1025	-17.12036
0.103	-11.2793
0.1035	1.3092
0.104	-0.60425
0.1045	3.92761
0.105	10.57434
0.1055	14.50195
0.106	12.08496
0.1065	28.70178
0.107	44.91577
0.1075	51.86462
0.108	51.26038
0.1085	62.03613
0.109	85.19897
0.1095	94.46411
0.11	96.07544
0.1105	92.65137
0.111	84.69543
0.1115	70.19348
0.112	56.79932
0.1125	41.39099
0.113	21.3501
0.1135	7.25098
0.114	-3.02124
0.1145	-7.75452
0.115	-12.89062
0.1155	-18.73169
0.116	-17.01965
0.1165	-14.19983
0.117	-14.70337
0.1175	-14.19983
0.118	-8.15735
0.1185	-2.92053
0.119	-1.81274
0.1195	-12.68921
0.12	-13.29346
0.1205	-14.70337
0.121	-0.60425
0.1215	14.70337
0.122	17.72461
0.1225	18.22815
0.123	16.51611
0.1235	4.53186
0.124	-10.87646
0.1245	-21.45081
0.125	-19.83948
0.1255	-25.68054
0.126	-22.76001
0.1265	-14.30054
0.127	6.04248
0.1275	25.98267
0.128	33.73718
0.1285	44.61365
0.129	78.55225
0.1295	121.15173
0.13	175.93689
0.1305	197.3877
0.131	211.99036
0.1315	217.73071
0.132	203.63159
0.1325	160.02502
0.133	106.34766
0.1335	59.71985
0.134	14.30054
0.1345	-21.3501
0.135	-58.81348
0.1355	-86.91101
0.136	-111.08093
0.1365	-138.87634
0.137	-153.57971
0.1375	-136.66077
0.138	-118.43262
0.1385	-90.33508
0.139	-72.9126
0.1395	-74.72534
0.14	-77.74658
0.1405	-87.81738
0.141	-83.18481
0.1415	-78.14941
0.142	-69.58923
0.1425	-64.25171
0.143	-56.79932
0.1435	-70.29419
0.144	-68.28003
0.1445	-55.18799
0.145	-32.32727
0.1455	-13.49487
0.146	-2.21558
0.1465	-1.71204
0.147	2.92053
0.1475	15.60974
0.148	24.67346
0.1485	22.6593
0.149	25.177
0.1495	24.37134
0.15	32.22656
0.1505	25.57983
0.151	27.19116
0.1515	25.47913
0.152	21.24939
0.1525	24.16992
0.153	32.7301
0.1535	19.03381
0.154	7.85522
0.1545	1.3092
0.155	-3.32336
0.1555	1.40991
0.156	7.15027
0.1565	7.35168
0.157	11.2793
0.1575	9.66797
0.158	19.43665
0.1585	13.39417
0.159	16.11328
0.1595	9.97009
0.16	14.60266
0.1605	23.16284
0.161	29.70886
0.1615	35.65063
0.162	36.55701
0.1625	40.2832
0.163	34.94568
0.1635	34.34143
0.164	35.04639
0.1645	86.91101
0.165	153.17688
0.1655	188.12256
0.166	191.04309
0.1665	182.48291
0.167	219.74487
0.1675	271.50879
0.168	270.09888
0.1685	252.37427
0.169	239.78577
0.1695	229.81567
0.17	186.51123
0.1705	121.75598
0.171	64.85596
0.1715	60.02197
0.172	74.92676
0.1725	50.45471
0.173	-7.75452
0.1735	-78.25012
0.174	-145.32166
0.1745	-205.14221
0.175	-260.53162
0.1755	-305.85022
0.176	-322.16492
0.1765	-299.70703
0.177	-266.47339
0.1775	-247.33887
0.178	-235.65674
0.1785	-213.8031
0.179	-188.02185
0.1795	-160.22644
0.18	-128.80554
0.1805	-100.80872
0.181	-74.82605
