Gabriele_Carluccio_Left_2.c3d  



Time(s):	B_L_bicipite(μV):
0	0.10071
0.0005	4.43115
0.001	1.81274
0.0015	-1.51062
0.002	3.92761
0.0025	4.53186
0.003	-1.81274
0.0035	1.61133
0.004	1.3092
0.0045	1.91345
0.005	-3.8269
0.0055	3.8269
0.006	4.93469
0.0065	7.65381
0.007	6.2439
0.0075	5.23682
0.008	5.0354
0.0085	8.7616
0.009	13.49487
0.0095	8.15735
0.01	5.63965
0.0105	6.3446
0.011	3.62549
0.0115	3.62549
0.012	6.04248
0.0125	6.84814
0.013	3.02124
0.0135	7.5531
0.014	1.51062
0.0145	5.13611
0.015	4.93469
0.0155	-0.20142
0.016	-3.32336
0.0165	3.7262
0.017	-0.10071
0.0175	4.63257
0.018	2.5177
0.0185	7.75452
0.019	-0.20142
0.0195	-3.22266
0.02	-1.10779
0.0205	2.81982
0.021	2.5177
0.0215	2.92053
0.022	3.22266
0.0225	2.31628
0.023	3.62549
0.0235	3.8269
0.024	2.92053
0.0245	5.63965
0.025	8.66089
0.0255	4.63257
0.026	6.2439
0.0265	5.94177
0.027	5.63965
0.0275	6.84814
0.028	-1.51062
0.0285	7.15027
0.029	7.85522
0.0295	9.06372
0.03	8.56018
0.0305	5.33752
0.031	6.94885
0.0315	5.63965
0.032	4.93469
0.0325	6.64673
0.033	10.17151
0.0335	3.22266
0.034	5.53894
0.0345	5.43823
0.035	1.51062
0.0355	1.71204
0.036	1.81274
0.0365	4.73328
0.037	5.53894
0.0375	6.04248
0.038	5.23682
0.0385	9.76868
0.039	8.7616
0.0395	7.75452
0.04	6.64673
0.0405	7.95593
0.041	7.5531
0.0415	0.90637
0.042	2.21558
0.0425	-0.10071
0.043	1.71204
0.0435	5.23682
0.044	9.46655
0.0445	3.8269
0.045	-1.10779
0.0455	2.31628
0.046	3.62549
0.0465	2.5177
0.047	5.74036
0.0475	6.2439
0.048	7.95593
0.0485	5.63965
0.049	3.32336
0.0495	-0.60425
0.05	-1.00708
0.0505	1.3092
0.051	10.57434
0.0515	9.66797
0.052	5.0354
0.0525	4.12903
0.053	10.97717
0.0535	9.26514
0.054	0
0.0545	4.53186
0.055	2.92053
0.0555	8.25806
0.056	3.62549
0.0565	8.66089
0.057	3.42407
0.0575	9.16443
0.058	5.63965
0.0585	4.22974
0.059	4.22974
0.0595	3.62549
0.06	9.66797
0.0605	8.25806
0.061	4.12903
0.0615	6.14319
0.062	6.14319
0.0625	6.14319
0.063	10.37292
0.0635	8.96301
0.064	7.85522
0.0645	10.57434
0.065	7.35168
0.0655	3.32336
0.066	5.63965
0.0665	7.35168
0.067	4.53186
0.0675	9.56726
0.068	6.44531
0.0685	3.62549
0.069	3.12195
0.0695	2.5177
0.07	5.13611
0.0705	5.0354
0.071	7.35168
0.0715	13.09204
0.072	3.02124
0.0725	1.00708
0.073	5.0354
0.0735	0.60425
0.074	11.2793
0.0745	4.22974
0.075	5.43823
0.0755	-2.31628
0.076	5.0354
0.0765	2.92053
0.077	3.32336
0.0775	0.90637
0.078	1.10779
0.0785	3.8269
0.079	5.0354
0.0795	6.44531
0.08	8.56018
0.0805	8.35876
0.081	13.59558
0.0815	7.15027
0.082	8.7616
0.0825	7.75452
0.083	5.23682
0.0835	12.18567
0.084	8.45947
0.0845	6.84814
0.085	5.53894
0.0855	6.14319
0.086	6.14319
0.0865	6.84814
0.087	3.22266
0.0875	2.61841
0.088	-0.40283
0.0885	4.12903
0.089	9.06372
0.0895	8.35876
0.09	9.36584
0.0905	8.7616
0.091	12.99133
0.0915	17.72461
0.092	10.57434
0.0925	19.53735
0.093	14.90479
0.0935	11.2793
0.094	10.67505
0.0945	14.19983
0.095	7.15027
0.0955	7.65381
0.096	8.66089
0.0965	8.66089
0.097	4.43115
0.0975	11.2793
0.098	4.02832
0.0985	3.32336
0.099	1.00708
0.0995	6.64673
0.1	7.25098
0.1005	7.15027
0.101	-1.71204
0.1015	2.5177
0.102	1.10779
0.1025	5.13611
0.103	-0.40283
0.1035	3.12195
0.104	4.02832
0.1045	6.54602
0.105	6.04248
0.1055	3.52478
0.106	1.61133
0.1065	1.40991
0.107	1.40991
0.1075	6.2439
0.108	0.90637
0.1085	4.02832
0.109	-1.2085
0.1095	0.10071
0.11	7.25098
0.1105	5.33752
0.111	7.95593
0.1115	5.0354
0.112	4.73328
0.1125	7.35168
0.113	8.05664
0.1135	9.86938
0.114	9.36584
0.1145	6.84814
0.115	4.63257
0.1155	7.85522
0.116	7.5531
0.1165	5.43823
0.117	2.92053
0.1175	9.56726
0.118	7.15027
0.1185	14.40125
0.119	8.8623
0.1195	4.63257
0.12	6.64673
0.1205	3.62549
0.121	1.51062
0.1215	5.33752
0.122	4.83398
0.1225	8.25806
0.123	6.84814
0.1235	6.2439
0.124	11.78284
0.1245	7.85522
0.125	7.95593
0.1255	11.17859
0.126	14.60266
0.1265	8.25806
0.127	11.88354
0.1275	8.35876
0.128	12.48779
0.1285	10.87646
0.129	13.09204
0.1295	8.35876
0.13	9.06372
0.1305	11.17859
0.131	14.80408
0.1315	9.16443
0.132	12.28638
0.1325	13.09204
0.133	10.37292
0.1335	7.85522
0.134	10.37292
0.1345	3.92761
0.135	6.64673
0.1355	11.2793
0.136	7.15027
0.1365	3.62549
0.137	8.56018
0.1375	11.38
0.138	8.7616
0.1385	9.26514
0.139	9.56726
0.1395	3.42407
0.14	4.63257
0.1405	4.33044
0.141	3.12195
0.1415	3.02124
0.142	2.11487
0.1425	4.53186
0.143	3.22266
0.1435	1.2085
0.144	7.45239
0.1445	3.42407
0.145	4.83398
0.1455	3.42407
0.146	2.61841
0.1465	1.51062
0.147	5.74036
0.1475	2.81982
0.148	0.20142
0.1485	4.12903
0.149	2.01416
0.1495	-5.43823
0.15	-7.65381
0.1505	-0.10071
0.151	1.10779
0.1515	0.20142
0.152	4.53186
0.1525	-5.94177
0.153	-4.83398
0.1535	-2.41699
0.154	1.10779
0.1545	5.94177
0.155	3.92761
0.1555	6.04248
0.156	4.73328
0.1565	2.11487
0.157	6.2439
0.1575	6.2439
0.158	6.3446
0.1585	4.93469
0.159	6.14319
0.1595	1.10779
0.16	5.74036
0.1605	-0.10071
0.161	0.90637
0.1615	-2.81982
0.162	3.52478
0.1625	1.61133
0.163	2.41699
0.1635	1.3092
0.164	4.83398
0.1645	3.7262
0.165	4.93469
0.1655	5.33752
0.166	7.15027
0.1665	9.46655
0.167	6.04248
0.1675	7.95593
0.168	3.7262
0.1685	8.35876
0.169	5.43823
0.1695	4.93469
0.17	4.53186
0.1705	7.35168
0.171	4.22974
0.1715	6.44531
0.172	6.2439
0.1725	1.81274
0.173	8.8623
0.1735	8.05664
0.174	6.2439
0.1745	9.06372
0.175	4.93469
0.1755	6.54602
0.176	9.16443
0.1765	9.56726
0.177	5.84106
0.1775	7.45239
0.178	11.07788
0.1785	7.45239
0.179	5.84106
0.1795	3.62549
0.18	2.71912
0.1805	-1.51062
0.181	1.2085
0.1815	4.93469
0.182	6.2439
0.1825	4.83398
0.183	10.77576
0.1835	7.75452
0.184	6.44531
0.1845	1.10779
0.185	5.43823
0.1855	10.27222
0.186	3.22266
0.1865	3.42407
0.187	2.92053
0.1875	4.73328
0.188	3.12195
0.1885	7.15027
0.189	5.13611
0.1895	5.33752
0.19	4.73328
0.1905	3.92761
0.191	7.5531
0.1915	5.33752
0.192	4.63257
0.1925	0.20142
0.193	7.04956
0.1935	9.26514
0.194	13.69629
0.1945	15.50903
0.195	13.59558
0.1955	14.40125
0.196	14.19983
0.1965	8.96301
0.197	6.94885
0.1975	8.96301
0.198	4.73328
0.1985	6.84814
0.199	4.93469
0.1995	5.84106
0.2	3.22266
0.2005	3.12195
