Gabriele_Carluccio_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0	8.35876
0.0005	8.45947
0.001	12.5885
0.0015	8.15735
0.002	2.31628
0.0025	2.31628
0.003	5.53894
0.0035	3.32336
0.004	6.2439
0.0045	5.23682
0.005	10.97717
0.0055	7.65381
0.006	6.64673
0.0065	-1.2085
0.007	3.02124
0.0075	2.21558
0.008	6.3446
0.0085	4.33044
0.009	1.40991
0.0095	7.04956
0.01	7.75452
0.0105	13.29346
0.011	6.74744
0.0115	3.42407
0.012	-0.40283
0.0125	0.30212
0.013	6.74744
0.0135	8.25806
0.014	7.45239
0.0145	6.94885
0.015	6.84814
0.0155	7.15027
0.016	8.15735
0.0165	10.0708
0.017	11.07788
0.0175	13.59558
0.018	9.26514
0.0185	8.96301
0.019	7.35168
0.0195	3.8269
0.02	8.35876
0.0205	12.99133
0.021	10.37292
0.0215	7.95593
0.022	3.32336
0.0225	5.74036
0.023	9.26514
0.0235	9.26514
0.024	13.09204
0.0245	6.74744
0.025	5.74036
0.0255	8.05664
0.026	9.76868
0.0265	8.8623
0.027	8.7616
0.0275	9.16443
0.028	4.53186
0.0285	7.15027
0.029	9.16443
0.0295	10.0708
0.03	4.73328
0.0305	6.74744
0.031	6.94885
0.0315	4.12903
0.032	5.23682
0.0325	6.44531
0.033	3.32336
0.0335	5.43823
0.034	1.40991
0.0345	3.62549
0.035	4.63257
0.0355	7.95593
0.036	6.04248
0.0365	7.25098
0.037	7.85522
0.0375	3.52478
0.038	6.3446
0.0385	7.65381
0.039	2.92053
0.0395	0.60425
0.04	3.52478
0.0405	4.43115
0.041	4.02832
0.0415	2.31628
0.042	6.04248
0.0425	7.75452
0.043	12.38708
0.0435	6.64673
0.044	5.13611
0.0445	5.63965
0.045	10.27222
0.0455	13.99841
0.046	9.97009
0.0465	11.58142
0.047	6.14319
0.0475	9.97009
0.048	6.14319
0.0485	11.38
0.049	10.57434
0.0495	9.16443
0.05	4.12903
0.0505	5.74036
0.051	8.35876
0.0515	8.56018
0.052	6.14319
0.0525	3.8269
0.053	3.62549
0.0535	1.10779
0.054	3.42407
0.0545	-5.43823
0.055	2.31628
0.0555	4.73328
0.056	4.02832
0.0565	8.7616
0.057	9.36584
0.0575	7.65381
0.058	3.42407
0.0585	8.35876
0.059	5.0354
0.0595	4.33044
0.06	4.93469
0.0605	9.76868
0.061	2.21558
0.0615	6.54602
0.062	5.53894
0.0625	4.12903
0.063	3.32336
0.0635	6.3446
0.064	6.74744
0.0645	10.0708
0.065	4.43115
0.0655	-0.50354
0.066	5.13611
0.0665	10.27222
0.067	6.74744
0.0675	6.14319
0.068	10.47363
0.0685	6.2439
0.069	10.87646
0.0695	6.14319
0.07	11.68213
0.0705	3.42407
0.071	8.35876
0.0715	6.44531
0.072	6.74744
0.0725	8.35876
0.073	12.28638
0.0735	2.5177
0.074	5.33752
0.0745	7.35168
0.075	8.8623
0.0755	4.53186
0.076	11.98425
0.0765	11.07788
0.077	10.57434
0.0775	10.17151
0.078	8.8623
0.0785	14.30054
0.079	8.56018
0.0795	2.21558
0.08	2.41699
0.0805	3.7262
0.081	6.2439
0.0815	5.74036
0.082	6.04248
0.0825	2.11487
0.083	-1.51062
0.0835	-4.22974
0.084	-3.32336
0.0845	-5.13611
0.085	-7.15027
0.0855	-2.31628
0.086	4.53186
0.0865	1.10779
0.087	3.8269
0.0875	4.73328
0.088	0.40283
0.0885	0.90637
0.089	-1.3092
0.0895	0.20142
0.09	2.81982
0.0905	2.5177
0.091	5.33752
0.0915	5.74036
0.092	6.94885
0.0925	2.5177
0.093	4.33044
0.0935	7.95593
0.094	4.33044
0.0945	4.22974
0.095	1.2085
0.0955	5.53894
0.096	2.41699
0.0965	5.74036
0.097	2.92053
0.0975	6.74744
0.098	1.91345
0.0985	0.60425
0.099	4.43115
0.0995	4.53186
0.1	1.40991
0.1005	-3.32336
0.101	-2.41699
0.1015	3.22266
0.102	5.23682
0.1025	7.04956
0.103	4.93469
0.1035	2.71912
0.104	4.63257
0.1045	6.84814
0.105	5.43823
0.1055	-0.30212
0.106	4.22974
0.1065	6.44531
0.107	4.93469
0.1075	2.11487
0.108	0.80566
0.1085	7.04956
0.109	8.35876
0.1095	3.7262
0.11	10.17151
0.1105	2.21558
0.111	5.74036
0.1115	4.53186
0.112	8.35876
0.1125	4.33044
0.113	7.25098
0.1135	12.5885
0.114	8.35876
0.1145	4.83398
0.115	7.04956
0.1155	9.26514
0.116	9.46655
0.1165	11.17859
0.117	12.18567
0.1175	4.43115
0.118	-3.02124
0.1185	-4.63257
0.119	1.61133
0.1195	3.52478
0.12	8.35876
0.1205	0.20142
0.121	-1.00708
0.1215	3.52478
0.122	5.84106
0.1225	4.33044
0.123	3.62549
0.1235	0.30212
0.124	5.63965
0.1245	-1.51062
0.125	0.50354
0.1255	-4.63257
0.126	-0.80566
0.1265	-1.3092
0.127	0.50354
0.1275	2.11487
0.128	3.62549
0.1285	3.62549
0.129	5.23682
0.1295	-1.91345
0.13	-1.61133
0.1305	-3.52478
0.131	-3.02124
0.1315	0.90637
0.132	0.70496
0.1325	-2.21558
0.133	-3.32336
0.1335	4.83398
0.134	1.51062
0.1345	0.80566
0.135	5.33752
0.1355	9.16443
0.136	7.5531
0.1365	4.63257
0.137	-2.5177
0.1375	3.62549
0.138	-0.10071
0.1385	0.60425
0.139	-0.60425
0.1395	8.8623
0.14	3.62549
0.1405	4.63257
0.141	6.2439
0.1415	6.94885
0.142	6.64673
0.1425	9.16443
0.143	11.2793
0.1435	10.57434
0.144	10.67505
0.1445	6.04248
0.145	10.77576
0.1455	8.05664
0.146	9.26514
0.1465	5.53894
0.147	8.35876
0.1475	7.35168
0.148	8.05664
0.1485	2.81982
0.149	6.2439
0.1495	5.53894
0.15	4.53186
0.1505	7.35168
0.151	15.1062
0.1515	12.28638
0.152	15.00549
0.1525	11.98425
0.153	16.51611
0.1535	10.57434
0.154	9.56726
0.1545	11.88354
0.155	13.49487
0.1555	10.0708
0.156	18.63098
0.1565	22.35718
0.157	18.22815
0.1575	9.76868
0.158	12.89062
0.1585	7.85522
0.159	8.35876
0.1595	13.69629
0.16	10.87646
0.1605	14.70337
0.161	15.71045
0.1615	11.58142
0.162	16.21399
0.1625	12.78992
0.163	22.45789
0.1635	16.01257
0.164	13.59558
0.1645	17.01965
0.165	16.11328
0.1655	13.797
0.166	10.87646
0.1665	12.38708
0.167	13.09204
0.1675	10.47363
0.168	7.15027
0.1685	8.35876
0.169	3.12195
0.1695	5.84106
0.17	-1.2085
0.1705	2.31628
0.171	-2.5177
0.1715	1.71204
0.172	6.14319
0.1725	3.62549
0.173	0.20142
0.1735	0.20142
0.174	0.70496
0.1745	2.71912
0.175	3.92761
0.1755	5.94177
0.176	2.71912
0.1765	0
0.177	5.33752
0.1775	6.54602
0.178	5.84106
0.1785	8.15735
0.179	10.27222
0.1795	3.02124
0.18	6.64673
0.1805	4.53186
0.181	3.32336
0.1815	4.83398
0.182	1.40991
0.1825	2.01416
0.183	8.8623
0.1835	10.37292
0.184	3.7262
0.1845	7.75452
0.185	13.797
0.1855	2.01416
0.186	1.81274
0.1865	2.01416
0.187	-1.00708
0.1875	-1.61133
0.188	-0.20142
0.1885	1.51062
0.189	1.91345
0.1895	2.11487
0.19	-2.61841
0.1905	-0.40283
0.191	1.51062
0.1915	1.81274
0.192	4.33044
0.1925	4.02832
0.193	6.2439
0.1935	7.45239
0.194	2.61841
0.1945	-2.71912
0.195	1.2085
0.1955	-2.41699
0.196	1.91345
0.1965	0.20142
0.197	3.22266
0.1975	4.83398
0.198	2.61841
0.1985	-0.70496
0.199	7.15027
0.1995	10.27222
0.2	2.5177
0.2005	1.40991
0.201	4.02832
0.2015	4.22974
0.202	4.83398
0.2025	4.63257
0.203	6.74744
0.2035	1.51062
0.204	1.00708
0.2045	-3.12195
0.205	-1.71204
0.2055	4.12903
0.206	-0.20142
0.2065	1.71204
0.207	5.94177
0.2075	4.53186
0.208	0.50354
0.2085	3.8269
0.209	2.5177
0.2095	9.66797
0.21	6.54602
0.2105	6.3446
0.211	4.33044
0.2115	7.65381
0.212	7.95593
0.2125	4.43115
0.213	2.92053
0.2135	6.54602
0.214	2.21558
0.2145	9.26514
0.215	4.63257
0.2155	7.95593
0.216	2.81982
0.2165	-4.93469
0.217	2.61841
0.2175	3.12195
0.218	5.63965
0.2185	5.43823
0.219	3.12195
0.2195	0.70496
0.22	2.31628
0.2205	6.04248
0.221	5.94177
0.2215	3.32336
0.222	3.12195
0.2225	6.54602
0.223	2.41699
0.2235	2.31628
0.224	12.68921
0.2245	8.56018
0.225	9.06372
0.2255	11.38
0.226	10.97717
0.2265	7.95593
0.227	7.95593
0.2275	5.43823
0.228	6.44531
0.2285	9.26514
0.229	3.8269
0.2295	1.3092
0.23	4.83398
0.2305	3.42407
0.231	6.84814
0.2315	5.43823
0.232	11.38
0.2325	11.48071
0.233	9.46655
0.2335	4.83398
0.234	8.96301
0.2345	4.53186
0.235	8.45947
0.2355	9.06372
0.236	2.71912
0.2365	5.0354
0.237	5.94177
0.2375	5.23682
0.238	7.15027
0.2385	3.52478
0.239	4.83398
0.2395	0.10071
0.24	4.73328
0.2405	6.54602
0.241	4.12903
0.2415	2.71912
0.242	9.36584
0.2425	6.74744
0.243	2.31628
0.2435	3.7262
0.244	12.48779
0.2445	4.83398
0.245	-0.40283
0.2455	3.22266
0.246	2.71912
0.2465	2.21558
0.247	3.8269
0.2475	1.91345
0.248	7.45239
0.2485	9.46655
0.249	3.12195
0.2495	3.02124
0.25	5.13611
0.2505	7.25098
0.251	5.63965
0.2515	5.33752
0.252	4.02832
0.2525	5.33752
0.253	4.63257
0.2535	5.74036
0.254	1.2085
0.2545	2.01416
0.255	3.02124
0.2555	4.63257
0.256	5.84106
0.2565	3.92761
0.257	5.0354
0.2575	11.78284
0.258	3.52478
0.2585	5.74036
0.259	4.22974
0.2595	7.04956
0.26	10.97717
0.2605	10.37292
0.261	9.86938
0.2615	4.93469
0.262	2.21558
0.2625	6.2439
0.263	5.74036
0.2635	3.92761
0.264	10.37292
0.2645	9.16443
0.265	3.32336
0.2655	4.12903
0.266	3.52478
0.2665	3.52478
0.267	7.85522
0.2675	2.11487
0.268	3.32336
0.2685	6.74744
0.269	8.45947
0.2695	6.2439
0.27	4.83398
0.2705	5.23682
0.271	5.74036
0.2715	5.74036
0.272	6.3446
0.2725	6.3446
0.273	4.43115
0.2735	2.81982
0.274	4.73328
0.2745	8.05664
0.275	7.15027
0.2755	4.12903
0.276	5.94177
0.2765	5.43823
0.277	7.85522
0.2775	2.01416
0.278	6.44531
0.2785	6.84814
0.279	12.68921
0.2795	12.99133
0.28	16.3147
0.2805	8.56018
0.281	10.47363
0.2815	14.40125
0.282	8.56018
0.2825	11.98425
0.283	14.30054
0.2835	14.60266
0.284	7.95593
0.2845	-1.2085
0.285	-1.91345
0.2855	-5.33752
0.286	-11.38
0.2865	-8.25806
0.287	0.50354
