Franco_Iuliano_Right_2.c3d  



Time(s):	C_R_bicipite(μV):
0	4.63257
0.0005	3.8269
0.001	-0.80566
0.0015	-0.80566
0.002	0.90637
0.0025	2.21558
0.003	-2.92053
0.0035	-2.21558
0.004	2.61841
0.0045	2.21558
0.005	-1.61133
0.0055	-0.40283
0.006	-4.22974
0.0065	-4.63257
0.007	-9.86938
0.0075	-10.87646
0.008	-5.43823
0.0085	-9.16443
0.009	2.71912
0.0095	1.40991
0.01	7.65381
0.0105	5.84106
0.011	1.2085
0.0115	6.64673
0.012	1.61133
0.0125	-2.61841
0.013	-2.71912
0.0135	-2.71912
0.014	-6.14319
0.0145	-4.83398
0.015	-3.12195
0.0155	-0.30212
0.016	-3.7262
0.0165	-4.93469
0.017	-1.40991
0.0175	-0.90637
0.018	-2.61841
0.0185	-6.3446
0.019	3.32336
0.0195	1.61133
0.02	1.51062
0.0205	-2.71912
0.021	-2.11487
0.0215	-1.2085
0.022	-2.81982
0.0225	-0.60425
0.023	-2.21558
0.0235	-1.40991
0.024	1.10779
0.0245	-4.53186
0.025	2.01416
0.0255	-4.83398
0.026	0.80566
0.0265	-0.10071
0.027	2.11487
0.0275	-1.51062
0.028	-1.00708
0.0285	2.71912
0.029	0.90637
0.0295	3.22266
0.03	1.61133
0.0305	-0.40283
0.031	-4.93469
0.0315	-6.64673
0.032	-3.22266
0.0325	-4.83398
0.033	-8.05664
0.0335	-7.25098
0.034	-1.00708
0.0345	-5.74036
0.035	3.02124
0.0355	3.92761
0.036	4.73328
0.0365	3.62549
0.037	0.70496
0.0375	-1.00708
0.038	1.71204
0.0385	0.40283
0.039	2.5177
0.0395	-2.5177
0.04	-0.90637
0.0405	-0.70496
0.041	2.5177
0.0415	4.12903
0.042	-0.70496
0.0425	2.31628
0.043	2.11487
0.0435	1.71204
0.044	-3.22266
0.0445	-6.3446
0.045	1.00708
0.0455	1.40991
0.046	1.71204
0.0465	-5.63965
0.047	-17.22107
0.0475	-8.66089
0.048	0.90637
0.0485	1.00708
