Franco_Uliana_Right_2.c3d  



Time(s):	A_L_bicipite(μV):
0	4.53186
0.0005	3.52478
0.001	3.92761
0.0015	4.53186
0.002	11.58142
0.0025	6.54602
0.003	6.04248
0.0035	9.16443
0.004	4.63257
0.0045	3.32336
0.005	4.73328
0.0055	3.7262
0.006	9.36584
0.0065	8.96301
0.007	8.45947
0.0075	9.66797
0.008	4.73328
0.0085	5.74036
0.009	0
0.0095	2.41699
0.01	2.92053
0.0105	3.12195
0.011	5.74036
0.0115	2.92053
0.012	2.81982
0.0125	3.22266
0.013	4.22974
0.0135	3.12195
0.014	8.05664
0.0145	4.12903
0.015	2.01416
0.0155	8.8623
0.016	6.04248
0.0165	4.53186
0.017	2.81982
0.0175	8.15735
0.018	2.61841
0.0185	7.65381
0.019	2.5177
0.0195	5.84106
0.02	-0.70496
0.0205	3.8269
0.021	-3.12195
0.0215	-1.2085
0.022	1.51062
0.0225	-0.20142
0.023	1.81274
0.0235	5.63965
0.024	0.50354
0.0245	1.61133
0.025	0.40283
0.0255	-2.61841
0.026	3.32336
0.0265	14.09912
0.027	18.32886
0.0275	23.06213
0.028	22.35718
0.0285	28.19824
0.029	28.19824
0.0295	19.73877
0.03	15.91187
0.0305	14.19983
0.031	4.63257
0.0315	-1.00708
0.032	-9.06372
0.0325	-13.89771
0.033	-14.60266
0.0335	-16.01257
0.034	-15.71045
0.0345	-13.89771
0.035	-12.18567
0.0355	-15.40833
0.036	-5.63965
0.0365	-2.41699
0.037	-3.92761
0.0375	-1.71204
0.038	3.62549
0.0385	2.5177
0.039	5.33752
0.0395	9.76868
0.04	13.29346
0.0405	17.6239
0.041	17.82532
0.0415	19.63806
0.042	14.40125
0.0425	15.71045
0.043	14.90479
0.0435	9.06372
0.044	9.36584
0.0445	12.18567
0.045	14.09912
0.0455	2.71912
0.046	4.43115
0.0465	9.16443
0.047	6.64673
0.0475	3.92761
0.048	6.44531
0.0485	4.53186
0.049	3.22266
0.0495	2.41699
0.05	6.94885
0.0505	5.84106
0.051	7.15027
0.0515	8.05664
0.052	4.93469
0.0525	6.2439
0.053	2.01416
0.0535	3.32336
0.054	-0.30212
0.0545	0.10071
0.055	-0.40283
0.0555	-0.60425
0.056	4.43115
0.0565	4.12903
0.057	-1.00708
0.0575	1.00708
0.058	6.64673
0.0585	-0.40283
0.059	5.63965
0.0595	4.93469
0.06	-1.10779
0.0605	-0.30212
0.061	3.92761
0.0615	3.62549
0.062	1.81274
0.0625	1.3092
0.063	-2.61841
0.0635	2.92053
0.064	0.80566
0.0645	1.81274
0.065	3.8269
0.0655	3.7262
0.066	4.33044
0.0665	-2.31628
0.067	4.73328
0.0675	1.81274
0.068	1.00708
0.0685	-3.02124
0.069	2.41699
0.0695	1.10779
0.07	1.40991
0.0705	2.01416
0.071	0.90637
0.0715	0
0.072	0.70496
0.0725	1.51062
0.073	-0.30212
0.0735	1.3092
0.074	2.41699
0.0745	0.60425
0.075	-1.91345
0.0755	4.22974
0.076	-3.22266
0.0765	3.8269
0.077	-0.10071
0.0775	-2.5177
0.078	-0.20142
0.0785	5.94177
0.079	2.5177
0.0795	5.84106
0.08	8.15735
0.0805	8.56018
0.081	1.71204
0.0815	1.61133
0.082	7.35168
0.0825	0.60425
0.083	3.7262
0.0835	3.32336
0.084	6.2439
0.0845	4.12903
0.085	4.83398
0.0855	1.10779
0.086	3.42407
0.0865	5.0354
0.087	2.92053
0.0875	-1.61133
0.088	1.51062
0.0885	1.61133
0.089	0.10071
0.0895	1.3092
0.09	-0.70496
0.0905	-3.92761
0.091	2.71912
0.0915	5.23682
0.092	0.10071
0.0925	1.40991
0.093	6.64673
0.0935	8.96301
0.094	4.33044
0.0945	4.02832
0.095	2.01416
0.0955	2.31628
0.096	6.74744
0.0965	5.23682
0.097	7.25098
0.0975	6.94885
0.098	1.40991
0.0985	11.2793
0.099	10.0708
0.0995	1.61133
0.1	-2.92053
0.1005	-10.47363
0.101	-11.2793
0.1015	-9.26514
0.102	-5.43823
0.1025	6.14319
0.103	25.47913
0.1035	46.02356
0.104	65.76233
0.1045	90.5365
0.105	100.80872
0.1055	111.28235
0.106	114.70642
0.1065	110.98022
0.107	104.13208
0.1075	89.42871
0.108	58.10852
0.1085	23.26355
0.109	-2.21558
0.1095	-36.35559
0.11	-66.26587
0.1105	-95.5719
0.111	-108.86536
0.1115	-106.44836
0.112	-87.81738
0.1125	-74.52393
0.113	-63.84888
0.1135	-56.49719
0.114	-43.60657
0.1145	-30.61523
0.115	-14.30054
0.1155	-1.51062
0.116	0.80566
0.1165	-4.02832
0.117	-7.35168
0.1175	-14.09912
0.118	-10.87646
0.1185	5.84106
0.119	10.57434
0.1195	7.85522
0.12	5.23682
0.1205	10.0708
0.121	9.56726
0.1215	14.40125
0.122	16.01257
0.1225	12.78992
0.123	19.33594
0.1235	23.56567
0.124	31.21948
0.1245	34.44214
0.125	39.47754
0.1255	45.2179
0.126	52.06604
0.1265	64.95667
0.127	62.8418
0.1275	72.9126
0.128	73.41614
0.1285	60.22339
0.129	49.64905
0.1295	37.7655
0.13	27.49329
0.1305	10.67505
0.131	-7.65381
0.1315	-30.61523
0.132	-40.58533
0.1325	-52.67029
0.133	-60.72693
0.1335	-66.06445
0.134	-68.68286
0.1345	-67.67578
0.135	-51.15967
0.1355	-49.85046
0.136	-42.8009
0.1365	-23.46497
0.137	-18.02673
0.1375	-1.81274
0.138	-1.51062
0.1385	3.62549
0.139	8.25806
0.1395	12.08496
0.14	14.09912
0.1405	10.47363
0.141	6.3446
0.1415	7.95593
0.142	13.99841
0.1425	20.24231
0.143	22.6593
0.1435	16.61682
0.144	21.24939
0.1445	24.87488
0.145	27.09045
0.1455	17.92603
0.146	10.67505
0.1465	3.22266
0.147	6.04248
0.1475	10.17151
0.148	15.20691
0.1485	28.19824
0.149	51.5625
0.1495	71.80481
0.15	85.09827
0.1505	104.4342
0.151	106.75049
0.1515	113.69934
0.152	99.19739
0.1525	74.02039
0.153	45.01648
0.1535	18.93311
0.154	-13.797
0.1545	-41.69312
0.155	-74.72534
0.1555	-100.20447
0.156	-118.73474
0.1565	-109.87244
0.157	-105.54199
0.1575	-98.49243
0.158	-89.52942
0.1585	-86.30676
0.159	-69.28711
0.1595	-52.67029
0.16	-33.73718
0.1605	-17.12036
0.161	-1.61133
0.1615	8.56018
0.162	5.43823
0.1625	6.14319
0.163	13.69629
0.1635	15.20691
0.164	20.84656
0.1645	19.83948
0.165	17.12036
0.1655	15.00549
0.166	14.60266
0.1665	15.71045
0.167	9.86938
0.1675	12.89062
0.168	13.99841
0.1685	7.95593
0.169	13.99841
0.1695	19.73877
0.17	32.83081
0.1705	36.25488
0.171	35.14709
0.1715	35.14709
0.172	37.56409
0.1725	28.60107
0.173	26.68762
0.1735	27.59399
0.174	14.50195
0.1745	15.00549
0.175	3.12195
0.1755	3.22266
0.176	-3.42407
0.1765	-5.33752
0.177	-2.11487
0.1775	0.80566
0.178	-1.81274
0.1785	-9.97009
0.179	-10.0708
0.1795	-7.95593
0.18	-16.91895
0.1805	-19.03381
0.181	-22.45789
0.1815	-16.61682
0.182	-13.39417
0.1825	-8.45947
0.183	-6.54602
0.1835	-4.53186
0.184	7.65381
0.1845	17.6239
0.185	21.55151
0.1855	25.98267
0.186	22.35718
0.1865	22.55859
0.187	25.98267
0.1875	28.19824
0.188	24.97559
0.1885	23.16284
0.189	25.57983
0.1895	24.97559
0.19	29.50745
0.1905	30.31311
0.191	27.79541
0.1915	21.45081
0.192	20.24231
0.1925	13.59558
0.193	9.26514
0.1935	5.53894
0.194	9.26514
0.1945	20.24231
0.195	26.58691
0.1955	33.03223
0.196	38.36975
0.1965	55.79224
0.197	60.02197
0.1975	60.12268
0.198	53.97949
0.1985	49.74976
0.199	37.96692
0.1995	35.65063
0.2	27.79541
0.2005	18.02673
0.201	2.92053
0.2015	-6.3446
0.202	-24.37134
0.2025	-40.78674
0.203	-53.77808
0.2035	-64.45312
0.204	-63.54675
0.2045	-67.27295
0.205	-63.74817
0.2055	-53.17383
0.206	-47.03064
0.2065	-40.98816
0.207	-34.74426
0.2075	-23.36426
0.208	-6.3446
0.2085	6.44531
0.209	14.50195
0.2095	13.69629
0.21	24.06921
0.2105	22.35718
0.211	23.66638
0.2115	9.56726
0.212	-12.68921
0.2125	-16.61682
0.213	-20.64514
0.2135	-23.8678
0.214	-18.42957
0.2145	-15.71045
0.215	-14.60266
0.2155	-18.73169
0.216	-15.71045
0.2165	-5.0354
0.217	0
0.2175	4.22974
0.218	4.12903
0.2185	4.93469
0.219	5.63965
0.2195	8.05664
