Franco_Uliana_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0	3.12195
0.0005	6.64673
0.001	5.0354
0.0015	2.21558
0.002	2.61841
0.0025	6.94885
0.003	9.66797
0.0035	6.2439
0.004	8.35876
0.0045	6.44531
0.005	6.74744
0.0055	5.0354
0.006	7.75452
0.0065	5.94177
0.007	4.53186
0.0075	1.81274
0.008	8.45947
0.0085	12.68921
0.009	4.12903
0.0095	3.02124
0.01	9.76868
0.0105	7.95593
0.011	6.54602
0.0115	12.18567
0.012	9.16443
0.0125	4.83398
0.013	5.63965
0.0135	8.96301
0.014	7.5531
0.0145	7.75452
0.015	13.29346
0.0155	13.89771
0.016	10.47363
0.0165	4.02832
0.017	4.12903
0.0175	0.30212
0.018	-1.81274
0.0185	5.23682
0.019	4.83398
0.0195	3.62549
0.02	5.94177
0.0205	10.47363
0.021	8.8623
0.0215	1.00708
0.022	2.71912
0.0225	4.53186
0.023	2.92053
0.0235	7.35168
0.024	8.7616
0.0245	3.32336
0.025	10.37292
0.0255	5.23682
0.026	3.8269
0.0265	8.05664
0.027	7.85522
0.0275	7.15027
0.028	7.04956
0.0285	13.19275
0.029	7.45239
0.0295	5.0354
0.03	9.06372
0.0305	10.47363
0.031	6.54602
0.0315	2.01416
0.032	1.91345
0.0325	-1.10779
0.033	3.12195
0.0335	0.60425
0.034	3.8269
0.0345	0.80566
0.035	5.63965
0.0355	7.75452
0.036	11.17859
0.0365	8.25806
0.037	9.76868
0.0375	13.59558
0.038	10.77576
0.0385	10.77576
0.039	8.8623
0.0395	7.45239
0.04	17.42249
0.0405	14.19983
0.041	15.91187
0.0415	16.3147
0.042	13.39417
0.0425	5.74036
0.043	4.93469
0.0435	9.26514
0.044	13.99841
0.0445	12.48779
0.045	14.50195
0.0455	12.68921
0.046	14.09912
0.0465	6.2439
0.047	7.5531
0.0475	9.76868
0.048	9.97009
0.0485	11.78284
0.049	3.12195
0.0495	5.63965
0.05	5.63965
0.0505	9.16443
0.051	9.26514
0.0515	11.38
0.052	5.74036
0.0525	7.75452
0.053	7.35168
0.0535	1.61133
0.054	4.33044
0.0545	-1.81274
0.055	6.84814
0.0555	7.5531
0.056	8.66089
0.0565	9.76868
0.057	6.3446
0.0575	9.06372
0.058	7.35168
0.0585	7.04956
0.059	6.04248
0.0595	10.37292
0.06	9.56726
0.0605	2.81982
0.061	-0.20142
0.0615	6.04248
0.062	9.06372
0.0625	7.45239
0.063	7.45239
0.0635	6.94885
0.064	13.49487
0.0645	10.67505
0.065	6.74744
0.0655	10.17151
0.066	11.38
0.0665	11.2793
0.067	10.87646
0.0675	12.38708
