Franco_Uliana_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0	11.17859
0.0005	8.35876
0.001	9.16443
0.0015	9.97009
0.002	7.25098
0.0025	8.15735
0.003	4.53186
0.0035	10.47363
0.004	6.14319
0.0045	0.60425
0.005	5.33752
0.0055	6.14319
0.006	11.88354
0.0065	7.65381
0.007	6.74744
0.0075	0.10071
0.008	4.93469
0.0085	0.70496
0.009	2.92053
0.0095	2.81982
0.01	4.53186
0.0105	0.30212
0.011	-0.70496
0.0115	3.42407
0.012	3.02124
0.0125	6.94885
0.013	2.01416
0.0135	3.22266
0.014	-0.20142
0.0145	4.53186
0.015	1.40991
0.0155	4.83398
0.016	1.61133
0.0165	13.19275
0.017	13.69629
0.0175	10.47363
0.018	7.25098
0.0185	7.95593
0.019	8.25806
0.0195	10.17151
0.02	3.62549
0.0205	5.13611
0.021	6.14319
0.0215	7.45239
0.022	5.84106
0.0225	3.42407
0.023	3.42407
0.0235	5.74036
0.024	6.2439
0.0245	1.91345
0.025	2.92053
0.0255	7.5531
0.026	7.5531
0.0265	2.5177
0.027	2.61841
0.0275	-2.01416
0.028	0.20142
0.0285	5.13611
0.029	9.76868
0.0295	-0.10071
0.03	3.92761
0.0305	1.00708
0.031	8.56018
0.0315	1.91345
0.032	-3.02124
0.0325	-0.20142
0.033	5.94177
0.0335	2.21558
0.034	3.52478
0.0345	6.3446
0.035	4.02832
0.0355	3.52478
0.036	4.43115
0.0365	-1.71204
0.037	-3.12195
0.0375	5.84106
0.038	5.23682
0.0385	2.92053
0.039	2.11487
0.0395	-0.10071
0.04	1.61133
0.0405	1.51062
0.041	1.3092
0.0415	5.94177
0.042	4.83398
0.0425	2.71912
0.043	2.81982
0.0435	4.12903
0.044	7.25098
0.0445	-0.30212
0.045	4.02832
0.0455	5.23682
0.046	3.52478
0.0465	3.42407
0.047	5.0354
0.0475	-0.30212
0.048	-0.70496
0.0485	3.12195
0.049	4.43115
0.0495	6.04248
0.05	-0.20142
0.0505	3.7262
0.051	1.91345
0.0515	-0.10071
0.052	5.53894
0.0525	6.44531
0.053	3.32336
0.0535	7.65381
0.054	9.56726
0.0545	3.8269
0.055	2.61841
0.0555	2.81982
0.056	-0.30212
0.0565	6.2439
0.057	9.36584
0.0575	8.45947
0.058	5.23682
0.0585	11.48071
0.059	8.8623
0.0595	7.25098
0.06	2.71912
0.0605	5.63965
0.061	5.53894
0.0615	-0.70496
0.062	5.63965
0.0625	6.2439
0.063	11.38
0.0635	11.98425
0.064	6.84814
0.0645	9.56726
0.065	9.16443
0.0655	7.45239
0.066	7.5531
0.0665	2.5177
0.067	11.58142
0.0675	6.74744
0.068	7.35168
0.0685	5.84106
0.069	3.52478
0.0695	0
0.07	-0.40283
0.0705	-2.21558
0.071	1.61133
0.0715	4.73328
0.072	1.3092
0.0725	3.02124
0.073	6.04248
0.0735	6.94885
0.074	6.84814
0.0745	3.12195
0.075	4.02832
0.0755	4.93469
0.076	9.26514
0.0765	6.3446
0.077	4.83398
0.0775	4.12903
0.078	7.75452
0.0785	6.2439
0.079	12.89062
0.0795	10.97717
0.08	7.45239
0.0805	11.78284
0.081	8.45947
0.0815	6.44531
0.082	11.2793
0.0825	10.57434
0.083	5.63965
0.0835	8.8623
0.084	7.35168
0.0845	6.44531
0.085	5.33752
0.0855	9.06372
0.086	7.75452
0.0865	12.5885
0.087	17.01965
0.0875	12.5885
0.088	14.09912
0.0885	16.11328
0.089	13.797
0.0895	10.67505
0.09	12.78992
0.0905	14.19983
0.091	20.34302
0.0915	15.40833
0.092	17.01965
0.0925	11.48071
0.093	12.28638
0.0935	14.09912
0.094	13.29346
0.0945	9.66797
0.095	10.37292
0.0955	8.7616
0.096	8.7616
0.0965	4.22974
0.097	3.12195
0.0975	2.81982
0.098	5.13611
0.0985	4.33044
0.099	6.3446
0.0995	8.7616
0.1	7.45239
0.1005	4.53186
0.101	-0.90637
0.1015	10.37292
0.102	9.56726
0.1025	5.94177
0.103	7.04956
0.1035	4.22974
0.104	9.66797
0.1045	4.22974
0.105	2.71912
0.1055	3.12195
0.106	3.42407
0.1065	10.77576
0.107	6.44531
0.1075	3.32336
0.108	6.74744
0.1085	2.41699
0.109	0.20142
0.1095	7.15027
0.11	5.84106
0.1105	1.51062
0.111	2.01416
0.1115	0.20142
0.112	2.21558
0.1125	7.65381
0.113	2.21558
0.1135	4.53186
0.114	3.92761
0.1145	5.33752
0.115	3.92761
0.1155	0.10071
0.116	0.70496
0.1165	-4.83398
0.117	-0.60425
0.1175	7.5531
0.118	6.54602
0.1185	0.60425
0.119	3.22266
0.1195	1.61133
0.12	1.71204
0.1205	1.2085
0.121	2.71912
0.1215	9.26514
0.122	8.35876
0.1225	8.05664
0.123	5.63965
0.1235	9.26514
0.124	8.7616
0.1245	11.17859
0.125	8.96301
0.1255	6.44531
0.126	5.0354
0.1265	2.81982
0.127	3.52478
0.1275	6.04248
0.128	4.53186
0.1285	4.63257
0.129	7.35168
0.1295	7.15027
0.13	8.96301
0.1305	8.96301
0.131	1.10779
0.1315	0.80566
0.132	5.84106
0.1325	1.71204
0.133	4.43115
0.1335	0.50354
0.134	3.92761
0.1345	1.2085
0.135	3.7262
0.1355	4.93469
0.136	2.01416
0.1365	0.90637
0.137	3.32336
0.1375	-1.3092
0.138	1.81274
0.1385	-3.52478
