Franco_Uliana_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0	8.15735
0.0005	16.01257
0.001	21.45081
0.0015	32.12585
0.002	37.26196
0.0025	50.2533
0.003	59.1156
0.0035	63.64746
0.004	66.16516
0.0045	60.52551
0.005	49.85046
0.0055	45.62073
0.006	39.98108
0.0065	30.2124
0.007	21.55151
0.0075	9.36584
0.008	6.84814
0.0085	-6.14319
0.009	-8.7616
0.0095	-12.89062
0.01	-19.43665
0.0105	-27.29187
0.011	-25.57983
0.0115	-22.25647
0.012	-14.90479
0.0125	-9.97009
0.013	-18.22815
0.0135	-11.98425
0.014	-0.30212
0.0145	-3.62549
0.015	2.92053
0.0155	8.8623
0.016	9.97009
0.0165	11.78284
0.017	15.40833
0.0175	22.25647
0.018	13.99841
0.0185	21.65222
0.019	15.30762
0.0195	13.19275
0.02	9.76868
0.0205	10.17151
0.021	5.43823
0.0215	-2.61841
0.022	-2.41699
0.0225	-10.87646
0.023	-9.86938
0.0235	-9.16443
0.024	-6.14319
0.0245	-9.36584
0.025	-10.67505
0.0255	-3.02124
0.026	-0.30212
0.0265	3.02124
0.027	3.7262
0.0275	5.74036
0.028	8.05664
0.0285	7.04956
0.029	7.45239
0.0295	7.75452
0.03	-0.40283
0.0305	-2.92053
0.031	-1.91345
0.0315	-4.53186
0.032	-8.96301
0.0325	-8.66089
0.033	-11.38
0.0335	-8.7616
0.034	-14.40125
0.0345	-10.97717
0.035	-8.56018
0.0355	0.30212
0.036	2.41699
0.0365	-1.71204
0.037	-3.02124
0.0375	-0.90637
0.038	5.33752
0.0385	7.95593
0.039	-0.80566
0.0395	-0.70496
0.04	-3.42407
0.0405	-3.7262
0.041	-0.30212
0.0415	3.8269
0.042	10.87646
0.0425	14.40125
0.043	10.47363
0.0435	12.99133
0.044	11.07788
0.0445	11.17859
0.045	4.12903
0.0455	6.04248
0.046	-1.40991
0.0465	2.01416
0.047	-5.94177
0.0475	-13.797
0.048	-15.30762
0.0485	-14.60266
0.049	-14.30054
0.0495	-13.797
0.05	-19.33594
0.0505	-21.24939
0.051	-11.78284
0.0515	-17.52319
0.052	-17.82532
0.0525	-12.18567
0.053	-7.5531
0.0535	-3.62549
0.054	-1.10779
0.0545	-3.62549
0.055	0.90637
0.0555	4.93469
0.056	5.84106
0.0565	6.54602
0.057	3.52478
0.0575	3.12195
0.058	0.70496
0.0585	-1.3092
0.059	-1.2085
0.0595	-12.28638
0.06	-7.85522
0.0605	-6.84814
0.061	-10.77576
0.0615	-8.35876
0.062	-9.56726
0.0625	-10.77576
0.063	-16.11328
0.0635	-11.07788
0.064	-11.88354
0.0645	-6.04248
0.065	-4.83398
0.0655	-4.43115
0.066	-5.43823
0.0665	-5.74036
0.067	-2.11487
0.0675	-1.00708
0.068	-1.91345
0.0685	1.61133
0.069	3.7262
0.0695	4.73328
0.07	-0.90637
0.0705	4.73328
0.071	-0.10071
0.0715	-2.61841
0.072	-5.13611
0.0725	-7.75452
0.073	-5.74036
0.0735	-7.45239
0.074	-6.14319
0.0745	-5.33752
0.075	-4.22974
0.0755	-3.42407
0.076	-5.63965
0.0765	-3.32336
0.077	-2.21558
0.0775	-4.43115
0.078	-4.93469
0.0785	-2.21558
0.079	-4.83398
0.0795	-1.61133
0.08	-3.32336
0.0805	-1.91345
0.081	-2.11487
0.0815	-3.92761
0.082	-4.02832
0.0825	-7.95593
0.083	-9.46655
0.0835	-5.53894
0.084	-5.13611
0.0845	-3.42407
0.085	-2.31628
0.0855	-7.25098
0.086	-3.32336
0.0865	-4.22974
0.087	-2.61841
0.0875	-3.62549
0.088	-4.02832
0.0885	-6.64673
0.089	3.52478
0.0895	2.5177
0.09	3.7262
0.0905	7.04956
0.091	13.49487
0.0915	7.15027
0.092	7.35168
0.0925	5.13611
0.093	-1.2085
0.0935	-3.22266
0.094	-2.11487
0.0945	-3.8269
0.095	-4.22974
0.0955	-9.46655
0.096	-7.04956
0.0965	-4.53186
0.097	-4.02832
0.0975	-3.42407
0.098	-2.21558
0.0985	-1.3092
0.099	1.3092
0.0995	2.71912
0.1	2.01416
0.1005	-5.33752
0.101	2.21558
0.1015	2.01416
0.102	-1.61133
0.1025	0.30212
0.103	-5.0354
0.1035	-1.3092
0.104	-0.10071
0.1045	-4.22974
0.105	-2.21558
0.1055	-6.14319
0.106	-8.7616
0.1065	-4.12903
0.107	0.90637
0.1075	-2.92053
0.108	-0.40283
0.1085	4.12903
0.109	2.71912
0.1095	-0.50354
0.11	8.66089
0.1105	5.0354
0.111	1.81274
0.1115	4.02832
0.112	-0.60425
0.1125	-1.00708
0.113	-2.92053
0.1135	-6.84814
0.114	-10.0708
0.1145	-2.92053
0.115	1.91345
0.1155	6.14319
0.116	6.74744
0.1165	12.08496
0.117	1.81274
0.1175	4.53186
0.118	6.64673
0.1185	7.35168
0.119	3.02124
0.1195	5.13611
0.12	5.74036
0.1205	4.43115
0.121	2.21558
0.1215	-2.31628
0.122	0.80566
0.1225	1.91345
0.123	1.00708
0.1235	-5.13611
0.124	-2.21558
0.1245	1.3092
0.125	-0.30212
0.1255	2.01416
0.126	0
0.1265	2.71912
0.127	2.31628
0.1275	7.04956
0.128	4.63257
0.1285	8.15735
0.129	3.12195
0.1295	8.15735
0.13	5.74036
0.1305	10.37292
0.131	0.70496
0.1315	3.22266
0.132	7.15027
0.1325	6.54602
0.133	7.85522
0.1335	-0.10071
0.134	3.42407
0.1345	8.8623
0.135	8.7616
0.1355	7.25098
0.136	4.93469
0.1365	9.46655
0.137	6.74744
0.1375	3.92761
0.138	3.92761
0.1385	8.56018
0.139	10.27222
0.1395	6.3446
0.14	9.06372
0.1405	7.25098
0.141	5.63965
0.1415	9.06372
0.142	7.85522
0.1425	13.49487
0.143	14.50195
0.1435	21.14868
