Daniele_De_Santis_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	6.3446
0.0005	9.86938
0.001	7.5531
0.0015	6.04248
0.002	10.87646
0.0025	7.15027
0.003	2.92053
0.0035	8.45947
0.004	8.96301
0.0045	7.65381
0.005	6.54602
0.0055	8.8623
0.006	7.5531
0.0065	6.94885
0.007	10.47363
0.0075	3.12195
0.008	7.85522
0.0085	7.65381
0.009	4.53186
0.0095	1.91345
0.01	5.33752
0.0105	12.78992
0.011	8.15735
0.0115	5.74036
0.012	5.23682
0.0125	0.80566
0.013	4.43115
0.0135	4.73328
0.014	4.93469
0.0145	6.3446
0.015	4.83398
0.0155	3.42407
0.016	0.70496
0.0165	-3.22266
0.017	3.42407
0.0175	3.62549
0.018	1.00708
0.0185	2.61841
0.019	0.90637
0.0195	2.81982
0.02	2.31628
0.0205	1.40991
0.021	4.33044
0.0215	2.41699
0.022	5.74036
0.0225	1.81274
0.023	1.10779
0.0235	3.62549
0.024	5.84106
0.0245	5.43823
0.025	3.92761
0.0255	7.85522
0.026	-1.51062
0.0265	1.2085
0.027	6.64673
0.0275	9.66797
0.028	9.66797
0.0285	4.33044
0.029	2.5177
0.0295	0.60425
0.03	4.83398
0.0305	3.12195
0.031	5.33752
0.0315	6.84814
0.032	2.31628
0.0325	5.43823
0.033	2.21558
0.0335	4.33044
0.034	3.22266
0.0345	2.92053
0.035	6.84814
0.0355	4.53186
0.036	7.04956
0.0365	4.83398
0.037	5.0354
0.0375	8.25806
0.038	11.48071
0.0385	12.89062
0.039	3.7262
0.0395	1.00708
0.04	6.64673
0.0405	4.73328
0.041	7.85522
0.0415	9.16443
0.042	14.60266
0.0425	12.08496
0.043	6.14319
0.0435	5.74036
0.044	12.99133
0.0445	3.92761
0.045	2.5177
0.0455	2.11487
0.046	-2.21558
0.0465	4.93469
0.047	4.83398
0.0475	4.83398
0.048	6.84814
0.0485	4.33044
0.049	7.25098
0.0495	5.84106
0.05	8.15735
0.0505	8.45947
0.051	7.95593
0.0515	10.67505
0.052	7.04956
0.0525	9.97009
0.053	8.25806
0.0535	6.84814
0.054	6.3446
0.0545	10.0708
0.055	5.84106
0.0555	12.48779
0.056	7.45239
0.0565	8.96301
0.057	3.02124
0.0575	6.2439
0.058	4.63257
0.0585	10.67505
0.059	6.14319
0.0595	2.92053
0.06	1.40991
0.0605	-1.91345
0.061	4.93469
0.0615	2.21558
0.062	6.2439
0.0625	1.40991
0.063	1.00708
0.0635	9.56726
0.064	4.63257
0.0645	7.65381
0.065	8.8623
0.0655	5.94177
0.066	2.41699
0.0665	1.51062
0.067	3.22266
0.0675	2.61841
0.068	4.93469
0.0685	0.40283
0.069	0.90637
0.0695	-0.80566
0.07	-1.81274
0.0705	2.01416
0.071	2.01416
0.0715	2.5177
0.072	-4.22974
0.0725	7.65381
0.073	1.61133
0.0735	6.54602
0.074	7.15027
0.0745	3.32336
0.075	6.64673
0.0755	8.15735
0.076	4.43115
0.0765	5.23682
0.077	2.41699
0.0775	5.63965
0.078	4.43115
0.0785	8.56018
0.079	6.14319
0.0795	4.33044
0.08	7.75452
0.0805	2.21558
0.081	2.61841
0.0815	1.71204
0.082	9.56726
0.0825	4.73328
0.083	3.42407
0.0835	3.32336
0.084	3.22266
0.0845	6.2439
0.085	11.48071
0.0855	7.25098
0.086	7.75452
0.0865	5.13611
0.087	5.13611
0.0875	7.15027
0.088	7.95593
0.0885	7.95593
0.089	7.35168
0.0895	9.16443
0.09	5.0354
0.0905	7.35168
0.091	12.78992
0.0915	5.94177
0.092	3.62549
0.0925	3.7262
0.093	4.12903
0.0935	6.2439
0.094	9.36584
0.0945	3.02124
0.095	7.04956
0.0955	2.41699
0.096	5.23682
0.0965	6.3446
0.097	7.15027
0.0975	9.16443
0.098	8.56018
0.0985	0.50354
0.099	6.3446
0.0995	-1.10779
0.1	2.21558
0.1005	-0.90637
0.101	-2.92053
0.1015	4.43115
0.102	4.73328
0.1025	1.10779
0.103	5.63965
0.1035	3.8269
0.104	5.84106
0.1045	4.12903
0.105	1.10779
0.1055	3.12195
0.106	1.2085
0.1065	1.91345
0.107	6.54602
0.1075	6.44531
0.108	4.12903
0.1085	-0.60425
0.109	0.80566
0.1095	3.32336
0.11	5.84106
0.1105	3.42407
0.111	4.73328
0.1115	0.90637
0.112	9.97009
0.1125	3.32336
0.113	0.10071
0.1135	0.60425
0.114	4.33044
0.1145	4.63257
0.115	6.74744
0.1155	4.73328
0.116	3.92761
0.1165	6.14319
0.117	2.01416
0.1175	6.84814
0.118	7.35168
0.1185	3.92761
0.119	2.71912
0.1195	7.75452
0.12	3.42407
0.1205	-0.10071
0.121	1.71204
0.1215	-1.51062
0.122	-0.80566
0.1225	1.61133
0.123	5.74036
0.1235	3.22266
0.124	1.2085
0.1245	5.84106
0.125	5.94177
0.1255	2.21558
0.126	-1.81274
0.1265	7.75452
0.127	7.65381
0.1275	4.93469
0.128	3.42407
0.1285	5.63965
0.129	5.23682
0.1295	3.62549
0.13	5.74036
0.1305	5.43823
0.131	5.63965
0.1315	2.92053
0.132	-0.80566
0.1325	3.7262
0.133	6.64673
0.1335	7.45239
0.134	8.7616
0.1345	8.05664
0.135	3.92761
0.1355	5.84106
0.136	1.00708
0.1365	9.06372
0.137	6.3446
0.1375	4.83398
0.138	12.48779
0.1385	3.7262
0.139	7.75452
0.1395	5.23682
0.14	9.36584
0.1405	12.89062
0.141	9.36584
0.1415	8.05664
0.142	6.84814
0.1425	7.04956
0.143	3.8269
0.1435	4.33044
0.144	2.01416
0.1445	7.65381
0.145	12.99133
0.1455	5.43823
0.146	4.22974
0.1465	8.56018
0.147	5.23682
0.1475	4.53186
0.148	5.0354
0.1485	4.93469
0.149	0.20142
0.1495	1.10779
0.15	3.42407
0.1505	2.5177
0.151	1.10779
0.1515	1.10779
0.152	3.52478
0.1525	6.64673
0.153	3.8269
0.1535	4.22974
0.154	8.15735
0.1545	11.68213
0.155	8.96301
0.1555	4.63257
0.156	8.15735
0.1565	6.44531
0.157	5.84106
0.1575	6.54602
0.158	8.7616
0.1585	5.23682
0.159	7.25098
0.1595	8.05664
0.16	3.62549
0.1605	6.44531
0.161	4.33044
0.1615	2.92053
0.162	7.15027
0.1625	8.56018
0.163	8.35876
0.1635	7.5531
0.164	13.49487
0.1645	5.94177
0.165	4.02832
0.1655	6.3446
0.166	7.04956
0.1665	6.94885
0.167	9.97009
0.1675	9.97009
0.168	8.56018
0.1685	10.27222
0.169	12.68921
0.1695	11.88354
0.17	6.94885
0.1705	2.71912
0.171	6.64673
0.1715	7.15027
0.172	7.95593
0.1725	5.53894
0.173	7.5531
0.1735	4.53186
0.174	3.92761
0.1745	8.25806
0.175	5.43823
0.1755	2.11487
0.176	11.68213
0.1765	8.7616
0.177	4.43115
0.1775	6.64673
0.178	8.25806
0.1785	4.12903
0.179	3.8269
0.1795	2.81982
0.18	9.46655
0.1805	3.22266
0.181	5.94177
0.1815	2.5177
0.182	6.14319
0.1825	6.04248
0.183	8.66089
0.1835	9.06372
0.184	4.53186
0.1845	6.54602
0.185	7.35168
0.1855	2.81982
0.186	7.15027
0.1865	6.64673
0.187	9.26514
0.1875	1.40991
0.188	2.31628
0.1885	1.10779
0.189	1.10779
0.1895	1.71204
0.19	3.52478
0.1905	5.33752
0.191	3.7262
0.1915	6.04248
0.192	4.43115
0.1925	1.51062
0.193	8.45947
0.1935	9.46655
0.194	5.53894
0.1945	10.87646
0.195	2.92053
0.1955	6.2439
0.196	5.43823
0.1965	5.13611
0.197	5.84106
0.1975	8.8623
0.198	7.35168
0.1985	9.26514
0.199	7.15027
0.1995	6.3446
0.2	3.92761
0.2005	1.91345
0.201	4.63257
0.2015	7.85522
0.202	6.84814
0.2025	10.27222
0.203	7.15027
0.2035	12.68921
0.204	3.8269
0.2045	8.05664
0.205	7.85522
0.2055	5.94177
0.206	2.81982
0.2065	2.11487
0.207	6.2439
0.2075	8.66089
0.208	1.81274
0.2085	3.22266
0.209	4.83398
0.2095	4.22974
0.21	8.45947
0.2105	2.92053
0.211	7.04956
0.2115	4.73328
0.212	10.37292
0.2125	2.41699
0.213	5.84106
0.2135	9.26514
0.214	6.54602
0.2145	5.13611
0.215	-3.8269
0.2155	5.13611
0.216	1.10779
0.2165	2.41699
0.217	0.10071
0.2175	4.12903
0.218	3.42407
0.2185	5.53894
0.219	5.43823
0.2195	4.02832
0.22	1.51062
0.2205	5.13611
0.221	4.43115
0.2215	5.13611
0.222	4.53186
0.2225	0.20142
0.223	2.81982
0.2235	5.33752
0.224	7.04956
0.2245	10.27222
0.225	3.62549
0.2255	5.43823
0.226	3.42407
0.2265	3.62549
0.227	4.22974
0.2275	3.02124
0.228	6.14319
0.2285	5.74036
0.229	-1.51062
0.2295	6.64673
0.23	8.45947
0.2305	9.26514
0.231	5.43823
0.2315	7.85522
0.232	6.74744
0.2325	5.74036
0.233	4.02832
0.2335	2.81982
0.234	2.61841
0.2345	5.63965
0.235	11.78284
0.2355	6.94885
0.236	2.11487
0.2365	4.73328
0.237	5.33752
0.2375	3.22266
0.238	2.01416
0.2385	5.63965
0.239	6.74744
0.2395	11.17859
0.24	2.11487
0.2405	4.02832
0.241	3.02124
0.2415	4.12903
0.242	-2.5177
0.2425	6.04248
0.243	2.5177
0.2435	1.71204
0.244	6.3446
0.2445	8.56018
0.245	3.7262
0.2455	1.00708
0.246	3.92761
0.2465	4.02832
0.247	4.33044
0.2475	8.05664
0.248	7.85522
0.2485	9.76868
0.249	7.25098
0.2495	6.64673
0.25	4.73328
0.2505	8.8623
0.251	7.35168
0.2515	6.64673
0.252	0
0.2525	4.83398
0.253	7.15027
0.2535	4.63257
0.254	4.83398
0.2545	7.75452
0.255	9.36584
0.2555	4.73328
0.256	9.56726
0.2565	7.04956
0.257	5.0354
0.2575	1.00708
0.258	0.90637
0.2585	6.44531
0.259	4.12903
0.2595	-0.20142
0.26	7.65381
0.2605	10.67505
0.261	9.86938
0.2615	4.12903
0.262	4.73328
0.2625	6.04248
0.263	4.02832
0.2635	5.84106
0.264	7.25098
0.2645	8.25806
0.265	9.46655
0.2655	10.97717
0.266	9.46655
0.2665	6.04248
0.267	7.45239
0.2675	14.40125
0.268	5.74036
0.2685	4.53186
0.269	6.74744
0.2695	2.61841
0.27	3.7262
0.2705	7.25098
0.271	8.25806
0.2715	10.37292
0.272	8.45947
0.2725	12.99133
0.273	7.04956
0.2735	6.94885
0.274	5.33752
0.2745	-0.20142
0.275	8.25806
0.2755	5.84106
0.276	7.35168
0.2765	5.33752
0.277	2.61841
0.2775	7.65381
0.278	6.04248
0.2785	1.81274
0.279	2.61841
0.2795	0.70496
0.28	1.81274
0.2805	2.92053
0.281	4.12903
0.2815	9.86938
0.282	4.53186
0.2825	5.13611
0.283	7.65381
0.2835	7.25098
0.284	-1.51062
0.2845	5.84106
0.285	2.41699
0.2855	3.32336
0.286	5.43823
0.2865	6.04248
0.287	4.12903
0.2875	-2.41699
0.288	3.02124
0.2885	1.40991
0.289	8.56018
0.2895	3.8269
0.29	0.40283
0.2905	-1.61133
0.291	-0.30212
0.2915	3.52478
0.292	2.81982
0.2925	1.10779
0.293	-7.04956
0.2935	-2.81982
0.294	-4.22974
0.2945	1.2085
0.295	-6.54602
0.2955	-10.67505
0.296	-13.797
0.2965	-8.05664
0.297	-5.23682
0.2975	-9.16443
0.298	-2.61841
0.2985	-1.61133
