Daniele_De_Santis_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0	-36.15417
0.0005	-35.95276
0.001	-37.46338
0.0015	-39.77966
0.002	-18.02673
0.0025	-21.75293
0.003	-10.0708
0.0035	-4.43115
0.004	-8.45947
0.0045	-13.19275
0.005	-9.76868
0.0055	6.44531
0.006	20.1416
0.0065	22.96143
0.007	28.60107
0.0075	28.29895
0.008	34.74426
0.0085	31.82373
0.009	29.30603
0.0095	21.55151
0.01	5.94177
0.0105	6.74744
0.011	2.61841
0.0115	4.02832
0.012	10.37292
0.0125	9.06372
0.013	12.68921
0.0135	12.78992
0.014	21.04797
0.0145	24.87488
0.015	31.11877
0.0155	38.57117
0.016	35.85205
0.0165	33.33435
0.017	22.76001
0.0175	21.65222
0.018	23.76709
0.0185	12.89062
0.019	14.30054
0.0195	9.46655
0.02	1.2085
0.0205	-13.49487
0.021	-17.22107
0.0215	-17.82532
0.022	-22.35718
0.0225	-24.97559
0.023	-35.44922
0.0235	-28.19824
0.024	-22.76001
0.0245	-17.72461
0.025	-16.61682
0.0255	-17.01965
0.026	-8.45947
0.0265	5.23682
0.027	7.35168
0.0275	9.16443
0.028	14.09912
0.0285	17.6239
0.029	5.23682
0.0295	24.27063
0.03	38.36975
0.0305	60.92834
0.031	71.7041
0.0315	68.58215
0.032	65.25879
0.0325	48.44055
0.033	38.36975
0.0335	10.17151
0.034	-9.06372
0.0345	-18.32886
0.035	-30.01099
0.0355	-39.27612
0.036	-42.59949
0.0365	-44.11011
0.037	-40.68604
0.0375	-39.98108
0.038	-34.94568
0.0385	-41.79382
0.039	-51.96533
0.0395	-47.63489
0.04	-43.20374
0.0405	-40.88745
0.041	-29.60815
0.0415	-20.04089
0.042	-16.01257
0.0425	-19.23523
0.043	-30.81665
0.0435	-21.45081
0.044	-21.14868
0.0445	-17.42249
0.045	-24.57275
0.0455	-27.6947
0.046	-28.29895
0.0465	-23.26355
0.047	-21.55151
0.0475	-30.2124
0.048	-29.70886
0.0485	-28.80249
0.049	-27.59399
0.0495	-20.84656
0.05	-15.30762
0.0505	-7.15027
0.051	4.43115
0.0515	7.25098
0.052	18.93311
0.0525	41.08887
0.053	63.44604
0.0535	74.62463
0.054	82.88269
0.0545	78.25012
0.055	60.72693
0.0555	45.01648
0.056	32.93152
0.0565	15.60974
0.057	6.04248
0.0575	3.92761
0.058	3.8269
0.0585	16.3147
0.059	22.76001
0.0595	24.47205
0.06	26.78833
0.0605	23.96851
0.061	12.18567
0.0615	-0.10071
0.062	-8.8623
0.0625	-25.37842
0.063	-24.47205
0.0635	-30.2124
0.064	-30.41382
0.0645	-30.51453
0.065	-34.64355
0.0655	-43.70728
0.066	-38.67188
0.0665	-43.30444
0.067	-40.2832
0.0675	-34.54285
0.068	-33.9386
0.0685	-23.46497
0.069	6.74744
0.0695	27.39258
0.07	38.06763
0.0705	44.91577
0.071	47.7356
0.0715	46.72852
0.072	51.96533
0.0725	38.57117
0.073	25.57983
0.0735	26.18408
0.074	27.89612
0.0745	31.32019
0.075	26.3855
0.0755	20.44373
0.076	6.3446
0.0765	-4.73328
0.077	-5.63965
0.0775	-9.16443
0.078	-14.30054
0.0785	-23.56567
0.079	-33.63647
0.0795	-24.06921
0.08	-7.75452
0.0805	12.89062
0.081	24.16992
0.0815	15.91187
0.082	23.96851
0.0825	37.46338
0.083	34.24072
0.0835	24.06921
0.084	19.23523
0.0845	11.07788
0.085	6.74744
0.0855	7.15027
0.086	-11.07788
0.0865	-17.22107
0.087	-16.51611
0.0875	-17.72461
0.088	-31.52161
0.0885	-21.55151
0.089	-10.17151
0.0895	-5.23682
0.09	-0.90637
0.0905	0.90637
0.091	-5.63965
0.0915	1.71204
0.092	8.7616
0.0925	8.7616
0.093	13.797
0.0935	8.56018
0.094	5.53894
0.0945	3.22266
0.095	-2.41699
0.0955	-11.07788
0.096	-22.35718
0.0965	-40.2832
0.097	-59.21631
0.0975	-66.16516
0.098	-70.19348
0.0985	-59.92126
0.099	-52.46887
0.0995	-49.64905
0.1	-41.4917
0.1005	-33.63647
0.101	-32.42798
0.1015	-30.81665
0.102	-23.96851
0.1025	-8.15735
0.103	-5.43823
0.1035	-0.90637
0.104	9.46655
0.1045	36.35559
0.105	68.58215
0.1055	99.3988
0.106	117.52625
0.1065	125.88501
0.107	125.48218
0.1075	105.54199
0.108	80.86853
0.1085	53.67737
0.109	24.37134
0.1095	2.21558
0.11	-15.00549
0.1105	-35.95276
0.111	-47.8363
0.1115	-54.28162
0.112	-50.354
0.1125	-43.60657
0.113	-57.40356
0.1135	-58.91418
0.114	-59.1156
0.1145	-60.02197
0.115	-55.69153
0.1155	-47.23206
0.116	-51.15967
0.1165	-44.41223
0.117	-40.38391
0.1175	-34.54285
0.118	-37.66479
0.1185	-31.52161
0.119	-33.9386
0.1195	-33.83789
0.12	-25.47913
0.1205	-19.03381
0.121	-15.71045
0.1215	-14.30054
0.122	-2.61841
0.1225	-9.06372
