Daniele_De_Santis_Right_1.c3d  



Time(s):	A_L_bicipite(μV):
0	4.02832
0.0005	9.36584
0.001	8.66089
0.0015	9.86938
0.002	7.35168
0.0025	2.61841
0.003	3.52478
0.0035	8.96301
0.004	7.15027
0.0045	3.8269
0.005	4.53186
0.0055	3.02124
0.006	0.80566
0.0065	3.8269
0.007	3.12195
0.0075	6.04248
0.008	3.52478
0.0085	5.13611
0.009	6.44531
0.0095	2.61841
0.01	1.40991
0.0105	6.64673
0.011	2.21558
0.0115	3.62549
0.012	6.74744
0.0125	9.16443
0.013	4.73328
0.0135	8.05664
0.014	10.27222
0.0145	13.09204
0.015	11.58142
0.0155	12.89062
0.016	16.61682
0.0165	11.88354
0.017	5.43823
0.0175	11.17859
0.018	6.04248
0.0185	7.75452
0.019	6.44531
0.0195	7.85522
0.02	4.93469
0.0205	4.83398
0.021	1.61133
0.0215	3.22266
0.022	3.32336
0.0225	3.62549
0.023	2.31628
0.0235	7.95593
0.024	2.5177
0.0245	2.81982
0.025	4.53186
0.0255	4.02832
0.026	8.7616
0.0265	11.17859
0.027	6.04248
0.0275	11.2793
0.028	5.33752
0.0285	5.84106
0.029	2.41699
0.0295	5.94177
0.03	0.90637
0.0305	-0.70496
0.031	0.10071
0.0315	1.2085
0.032	0.90637
0.0325	7.04956
0.033	5.53894
0.0335	5.0354
0.034	4.83398
0.0345	7.95593
0.035	7.85522
0.0355	1.61133
0.036	8.7616
0.0365	9.26514
0.037	10.17151
0.0375	6.94885
0.038	6.74744
0.0385	13.99841
0.039	2.61841
0.0395	6.04248
0.04	6.04248
0.0405	4.63257
0.041	8.8623
0.0415	8.96301
0.042	9.86938
0.0425	10.27222
0.043	1.81274
0.0435	13.39417
0.044	11.17859
0.0445	5.13611
0.045	6.84814
0.0455	5.63965
0.046	2.71912
0.0465	2.81982
0.047	3.52478
0.0475	6.54602
0.048	6.94885
0.0485	3.22266
0.049	1.91345
0.0495	4.33044
0.05	0.20142
0.0505	-0.40283
0.051	3.92761
0.0515	4.73328
0.052	6.64673
0.0525	7.15027
0.053	12.68921
0.0535	7.95593
0.054	8.15735
0.0545	8.7616
0.055	6.74744
0.0555	9.36584
0.056	8.05664
0.0565	8.25806
0.057	3.52478
0.0575	5.0354
0.058	3.42407
0.0585	3.7262
0.059	2.41699
0.0595	10.0708
0.06	10.77576
0.0605	2.61841
0.061	3.52478
0.0615	8.25806
0.062	7.25098
0.0625	5.84106
0.063	5.53894
0.0635	0.30212
0.064	2.81982
0.0645	6.3446
0.065	8.05664
0.0655	5.63965
0.066	6.84814
0.0665	6.54602
0.067	6.74744
0.0675	9.66797
0.068	8.25806
0.0685	8.45947
0.069	5.33752
0.0695	4.12903
0.07	5.43823
0.0705	4.83398
0.071	3.92761
0.0715	9.46655
0.072	8.96301
0.0725	6.44531
0.073	5.63965
0.0735	4.02832
0.074	3.62549
0.0745	0.20142
0.075	4.63257
0.0755	3.22266
0.076	4.33044
0.0765	4.93469
0.077	2.41699
0.0775	4.83398
0.078	2.01416
0.0785	6.94885
0.079	11.17859
0.0795	7.45239
0.08	8.66089
0.0805	6.3446
0.081	7.45239
0.0815	10.37292
0.082	7.04956
0.0825	9.46655
0.083	5.63965
0.0835	8.05664
0.084	5.94177
0.0845	1.40991
0.085	6.54602
0.0855	5.43823
0.086	4.43115
0.0865	3.02124
0.087	5.94177
0.0875	6.3446
0.088	10.27222
0.0885	10.27222
0.089	8.35876
0.0895	8.96301
0.09	9.97009
0.0905	7.25098
0.091	-0.80566
0.0915	2.71912
0.092	-3.32336
0.0925	3.32336
0.093	1.91345
0.0935	4.73328
0.094	5.63965
0.0945	-4.22974
0.095	5.43823
0.0955	6.3446
0.096	7.35168
0.0965	3.92761
0.097	4.12903
0.0975	7.65381
0.098	8.25806
0.0985	7.5531
0.099	9.16443
0.0995	3.52478
0.1	11.17859
0.1005	9.86938
0.101	7.35168
0.1015	4.33044
0.102	5.43823
0.1025	7.04956
0.103	-0.80566
0.1035	2.61841
0.104	8.15735
0.1045	5.0354
0.105	1.00708
0.1055	8.56018
0.106	6.64673
0.1065	7.75452
0.107	8.56018
0.1075	8.45947
0.108	10.77576
0.1085	7.75452
0.109	14.40125
0.1095	13.19275
0.11	8.15735
0.1105	6.84814
0.111	10.17151
0.1115	9.46655
0.112	11.78284
0.1125	9.86938
0.113	5.84106
0.1135	5.43823
0.114	3.02124
0.1145	6.64673
0.115	11.48071
0.1155	10.67505
0.116	8.56018
0.1165	4.33044
0.117	5.23682
0.1175	5.13611
0.118	1.10779
0.1185	-1.91345
0.119	6.2439
0.1195	4.53186
0.12	7.04956
0.1205	4.12903
0.121	4.43115
0.1215	8.35876
0.122	4.12903
0.1225	7.04956
0.123	3.42407
0.1235	7.45239
0.124	9.86938
0.1245	11.38
0.125	13.19275
0.1255	12.5885
0.126	8.96301
0.1265	8.15735
0.127	6.2439
0.1275	7.85522
0.128	4.22974
0.1285	5.94177
0.129	5.94177
0.1295	3.92761
0.13	7.35168
0.1305	2.41699
0.131	5.23682
0.1315	6.2439
0.132	4.22974
0.1325	1.2085
0.133	-2.11487
0.1335	-1.61133
0.134	2.41699
0.1345	1.3092
0.135	4.83398
0.1355	1.3092
0.136	10.17151
0.1365	12.5885
0.137	10.87646
0.1375	8.56018
0.138	7.75452
0.1385	5.0354
0.139	5.63965
0.1395	3.32336
0.14	6.94885
0.1405	8.15735
0.141	7.75452
0.1415	12.28638
0.142	6.94885
0.1425	1.3092
0.143	7.5531
0.1435	4.83398
