Daniele_De_Santis_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0	5.84106
0.0005	-1.71204
0.001	5.53894
0.0015	4.12903
0.002	4.53186
0.0025	4.33044
0.003	5.33752
0.0035	3.8269
0.004	3.22266
0.0045	6.64673
0.005	6.64673
0.0055	0.50354
0.006	3.7262
0.0065	4.73328
0.007	5.0354
0.0075	8.35876
0.008	5.84106
0.0085	6.14319
0.009	6.14319
0.0095	6.64673
0.01	6.2439
0.0105	12.89062
0.011	7.45239
0.0115	8.15735
0.012	5.94177
0.0125	6.2439
0.013	10.57434
0.0135	10.67505
0.014	10.0708
0.0145	10.87646
0.015	7.04956
0.0155	6.14319
0.016	5.23682
0.0165	10.0708
0.017	6.94885
0.0175	7.04956
0.018	5.23682
0.0185	6.74744
0.019	5.84106
0.0195	3.02124
0.02	10.47363
0.0205	7.25098
0.021	-1.61133
0.0215	0
0.022	2.81982
0.0225	8.56018
0.023	5.43823
0.0235	4.93469
0.024	9.36584
0.0245	5.43823
0.025	9.46655
0.0255	9.97009
0.026	7.85522
0.0265	4.93469
0.027	3.12195
0.0275	4.22974
0.028	8.96301
0.0285	8.35876
0.029	10.77576
0.0295	8.15735
0.03	2.5177
0.0305	7.35168
0.031	13.39417
0.0315	7.04956
0.032	3.92761
0.0325	8.15735
0.033	6.44531
0.0335	8.56018
0.034	3.42407
0.0345	8.25806
0.035	0.70496
0.0355	3.12195
0.036	2.5177
0.0365	4.12903
0.037	3.7262
0.0375	2.92053
0.038	-0.30212
0.0385	-1.2085
0.039	-1.91345
0.0395	3.7262
0.04	3.8269
0.0405	1.91345
0.041	2.41699
0.0415	4.12903
0.042	-0.10071
0.0425	2.92053
0.043	2.5177
0.0435	0.90637
0.044	2.61841
0.0445	10.17151
0.045	7.15027
0.0455	1.2085
0.046	1.3092
0.0465	5.43823
0.047	7.15027
0.0475	4.02832
0.048	7.45239
0.0485	11.88354
0.049	7.65381
0.0495	2.41699
0.05	6.14319
0.0505	10.17151
0.051	6.64673
0.0515	5.94177
0.052	9.36584
0.0525	5.84106
0.053	4.22974
0.0535	6.2439
0.054	4.53186
0.0545	1.81274
0.055	-1.00708
0.0555	8.35876
0.056	12.18567
0.0565	9.97009
0.057	7.45239
0.0575	3.52478
0.058	4.43115
0.0585	5.53894
0.059	10.57434
0.0595	1.81274
0.06	-1.71204
0.0605	1.71204
0.061	2.11487
0.0615	7.85522
0.062	7.75452
0.0625	2.5177
0.063	6.04248
0.0635	3.62549
0.064	5.43823
0.0645	1.81274
0.065	6.14319
0.0655	8.56018
0.066	3.8269
0.0665	10.37292
0.067	3.92761
0.0675	7.5531
0.068	7.45239
0.0685	4.83398
0.069	3.7262
0.0695	1.81274
0.07	2.21558
0.0705	6.94885
0.071	6.74744
0.0715	12.5885
0.072	5.63965
0.0725	4.73328
0.073	10.87646
0.0735	9.46655
0.074	5.0354
0.0745	6.04248
0.075	7.65381
0.0755	7.95593
0.076	3.02124
0.0765	4.12903
0.077	5.13611
0.0775	1.71204
0.078	6.64673
0.0785	6.54602
0.079	2.11487
0.0795	3.7262
0.08	1.61133
0.0805	2.71912
0.081	2.21558
0.0815	10.47363
0.082	4.53186
0.0825	9.46655
0.083	2.31628
0.0835	7.65381
0.084	6.54602
0.0845	10.77576
0.085	5.84106
0.0855	1.71204
0.086	-0.10071
0.0865	5.0354
0.087	4.93469
0.0875	4.12903
0.088	7.65381
0.0885	12.5885
0.089	6.04248
0.0895	7.5531
0.09	3.02124
0.0905	2.01416
0.091	6.3446
0.0915	7.65381
0.092	4.22974
0.0925	7.5531
0.093	6.04248
0.0935	2.81982
0.094	3.92761
0.0945	-0.10071
0.095	5.43823
0.0955	6.64673
0.096	4.22974
0.0965	0.70496
0.097	8.45947
0.0975	-0.10071
0.098	0.90637
0.0985	5.84106
0.099	6.84814
0.0995	6.74744
0.1	3.32336
0.1005	4.93469
0.101	10.47363
0.1015	0.20142
0.102	2.31628
0.1025	-0.20142
0.103	8.05664
0.1035	3.8269
0.104	1.51062
0.1045	3.8269
0.105	3.8269
0.1055	6.64673
0.106	10.17151
0.1065	3.62549
0.107	3.52478
0.1075	8.96301
0.108	8.35876
0.1085	5.23682
0.109	1.91345
0.1095	9.66797
0.11	6.84814
0.1105	10.57434
0.111	7.85522
0.1115	8.7616
0.112	3.32336
0.1125	3.7262
0.113	4.73328
0.1135	3.22266
0.114	8.56018
0.1145	7.95593
0.115	7.04956
0.1155	8.15735
0.116	3.02124
0.1165	4.43115
0.117	3.92761
0.1175	4.63257
0.118	-2.11487
0.1185	5.0354
0.119	3.62549
0.1195	9.46655
0.12	7.5531
0.1205	9.36584
0.121	4.83398
0.1215	6.74744
0.122	4.93469
0.1225	4.02832
0.123	8.15735
0.1235	8.56018
0.124	5.13611
0.1245	5.23682
0.125	9.76868
0.1255	5.63965
0.126	4.73328
0.1265	9.06372
0.127	1.71204
0.1275	3.52478
0.128	3.8269
0.1285	10.87646
0.129	9.86938
0.1295	6.74744
0.13	8.66089
0.1305	9.06372
0.131	2.81982
0.1315	6.74744
0.132	4.63257
0.1325	7.65381
0.133	11.07788
0.1335	12.48779
0.134	9.06372
0.1345	3.42407
0.135	7.85522
0.1355	4.12903
0.136	8.25806
0.1365	3.02124
0.137	0.30212
0.1375	3.32336
0.138	-0.60425
0.1385	1.81274
0.139	-0.90637
0.1395	1.61133
0.14	1.81274
0.1405	3.7262
0.141	8.66089
0.1415	8.35876
0.142	8.15735
0.1425	7.45239
0.143	6.14319
0.1435	7.65381
0.144	3.02124
0.1445	8.15735
0.145	0.10071
0.1455	2.11487
0.146	-1.61133
0.1465	3.92761
0.147	2.01416
0.1475	3.32336
0.148	2.01416
0.1485	-0.10071
0.149	-1.3092
0.1495	6.44531
0.15	0.90637
0.1505	-3.52478
0.151	4.83398
0.1515	3.7262
0.152	6.64673
0.1525	4.22974
0.153	6.14319
0.1535	2.81982
0.154	3.22266
0.1545	1.51062
0.155	5.13611
0.1555	4.93469
0.156	0.40283
0.1565	2.92053
0.157	9.06372
0.1575	7.95593
0.158	7.75452
0.1585	11.48071
0.159	8.7616
0.1595	5.43823
0.16	1.40991
0.1605	8.7616
0.161	7.35168
0.1615	1.71204
0.162	4.12903
0.1625	5.33752
0.163	6.44531
0.1635	-1.00708
0.164	9.36584
0.1645	12.08496
0.165	7.45239
0.1655	6.54602
0.166	3.02124
0.1665	7.45239
0.167	9.06372
0.1675	6.04248
0.168	1.40991
0.1685	5.23682
0.169	8.15735
0.1695	4.63257
0.17	6.44531
0.1705	7.15027
0.171	3.22266
0.1715	8.35876
0.172	5.74036
0.1725	0.80566
0.173	-1.00708
0.1735	4.93469
0.174	3.7262
0.1745	5.84106
0.175	4.12903
0.1755	2.21558
0.176	7.35168
0.1765	1.71204
0.177	9.97009
0.1775	7.15027
0.178	4.02832
0.1785	4.53186
0.179	6.64673
0.1795	6.94885
0.18	-0.40283
0.1805	-2.71912
0.181	2.61841
0.1815	4.02832
0.182	-0.30212
0.1825	5.43823
0.183	0.30212
0.1835	7.04956
0.184	3.62549
0.1845	2.61841
0.185	3.42407
0.1855	-1.81274
0.186	-2.01416
0.1865	0.70496
0.187	0.80566
0.1875	1.61133
0.188	3.52478
0.1885	3.12195
0.189	2.41699
0.1895	6.84814
0.19	7.15027
0.1905	3.22266
0.191	5.0354
0.1915	6.94885
0.192	5.53894
0.1925	5.94177
0.193	9.36584
0.1935	9.86938
