Daniele_De_Santis_Left_2.c3d  



Time(s):	C_L_bicipite(μV):
0	-0.80566
0.0005	8.7616
0.001	7.15027
0.0015	2.41699
0.002	0
0.0025	4.73328
0.003	1.51062
0.0035	5.0354
0.004	6.84814
0.0045	6.44531
0.005	9.46655
0.0055	7.25098
0.006	-0.10071
0.0065	5.13611
0.007	6.54602
0.0075	4.63257
0.008	3.32336
0.0085	5.63965
0.009	8.25806
0.0095	7.15027
0.01	6.54602
0.0105	2.11487
0.011	6.64673
0.0115	7.75452
0.012	8.7616
0.0125	3.62549
0.013	2.01416
0.0135	5.23682
0.014	6.44531
0.0145	7.25098
0.015	0.90637
0.0155	2.21558
0.016	2.71912
0.0165	-0.30212
0.017	6.64673
0.0175	0.40283
0.018	1.10779
0.0185	0.60425
0.019	1.71204
0.0195	0.40283
0.02	-2.92053
0.0205	3.62549
0.021	4.02832
0.0215	6.74744
0.022	4.53186
0.0225	7.75452
0.023	10.17151
0.0235	4.53186
0.024	3.52478
0.0245	6.3446
0.025	5.0354
0.0255	4.93469
0.026	6.44531
0.0265	-0.20142
0.027	4.02832
0.0275	6.3446
0.028	5.0354
0.0285	7.15027
0.029	0
0.0295	2.92053
0.03	5.33752
0.0305	2.61841
0.031	7.45239
0.0315	6.64673
0.032	5.84106
0.0325	6.2439
0.033	2.5177
0.0335	4.73328
0.034	1.91345
0.0345	6.94885
0.035	6.14319
0.0355	8.15735
0.036	7.15027
0.0365	4.63257
0.037	6.14319
0.0375	5.33752
0.038	7.25098
0.0385	6.04248
0.039	9.86938
0.0395	6.84814
0.04	8.45947
0.0405	10.0708
0.041	4.63257
0.0415	10.87646
0.042	9.86938
0.0425	6.54602
0.043	4.63257
0.0435	1.40991
0.044	4.53186
0.0445	-1.40991
0.045	4.83398
0.0455	4.22974
0.046	7.15027
0.0465	7.5531
0.047	11.48071
0.0475	7.65381
0.048	10.97717
0.0485	4.93469
0.049	1.40991
0.0495	5.13611
0.05	7.5531
0.0505	1.61133
0.051	5.53894
0.0515	8.7616
0.052	6.14319
0.0525	4.83398
0.053	10.27222
0.0535	8.56018
0.054	1.10779
0.0545	5.84106
0.055	4.43115
0.0555	8.35876
0.056	4.63257
0.0565	6.04248
0.057	6.54602
0.0575	6.64673
