Daniele_De_Santis_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0	12.78992
0.0005	14.80408
0.001	14.60266
0.0015	7.45239
0.002	9.36584
0.0025	-1.51062
0.003	-5.63965
0.0035	-10.97717
0.004	-10.77576
0.0045	-10.27222
0.005	-13.797
0.0055	-11.58142
0.006	-10.77576
0.0065	-12.78992
0.007	-9.76868
0.0075	-6.2439
0.008	-3.8269
0.0085	-7.25098
0.009	-3.52478
0.0095	-2.01416
0.01	-1.61133
0.0105	-9.76868
0.011	-10.37292
0.0115	-2.81982
0.012	-5.74036
0.0125	-1.91345
0.013	1.81274
0.0135	-2.41699
0.014	-3.62549
0.0145	-4.33044
0.015	-2.01416
0.0155	-3.7262
0.016	-2.5177
0.0165	-0.50354
0.017	1.51062
0.0175	-1.91345
0.018	-0.90637
0.0185	-7.15027
0.019	-7.04956
0.0195	-9.86938
0.02	-0.20142
0.0205	-3.02124
0.021	1.3092
0.0215	1.3092
0.022	-1.91345
0.0225	2.21558
0.023	0.30212
0.0235	5.0354
0.024	2.5177
0.0245	5.74036
0.025	8.25806
0.0255	10.27222
0.026	5.63965
0.0265	6.84814
0.027	8.66089
0.0275	8.05664
0.028	7.35168
0.0285	10.47363
0.029	9.46655
0.0295	9.06372
0.03	7.04956
0.0305	10.0708
0.031	10.87646
0.0315	12.99133
0.032	11.48071
0.0325	10.17151
0.033	14.50195
0.0335	9.06372
0.034	12.08496
0.0345	9.66797
0.035	12.28638
0.0355	4.33044
0.036	6.54602
0.0365	12.28638
0.037	13.797
0.0375	11.68213
0.038	13.19275
0.0385	11.78284
0.039	9.36584
0.0395	7.75452
0.04	6.74744
0.0405	-1.61133
0.041	4.73328
0.0415	5.63965
0.042	11.48071
0.0425	7.5531
0.043	3.92761
0.0435	4.63257
0.044	-0.60425
0.0445	-0.40283
0.045	2.81982
0.0455	3.42407
0.046	-0.40283
0.0465	-1.10779
0.047	-0.40283
0.0475	1.00708
0.048	4.83398
0.0485	3.92761
0.049	3.02124
0.0495	1.3092
0.05	6.44531
0.0505	4.43115
0.051	5.13611
0.0515	5.84106
0.052	6.14319
0.0525	6.84814
0.053	0.10071
0.0535	0.10071
0.054	3.52478
0.0545	7.85522
0.055	4.02832
0.0555	5.33752
0.056	2.41699
0.0565	5.33752
0.057	10.0708
0.0575	8.8623
0.058	10.67505
0.0585	7.75452
0.059	5.53894
0.0595	11.58142
0.06	9.16443
0.0605	11.2793
0.061	4.63257
0.0615	4.83398
0.062	2.5177
0.0625	4.02832
0.063	3.52478
0.0635	6.44531
0.064	5.84106
0.0645	16.3147
0.065	11.2793
0.0655	12.18567
0.066	13.89771
0.0665	6.14319
0.067	14.09912
0.0675	7.45239
0.068	7.25098
0.0685	10.87646
0.069	13.09204
0.0695	14.09912
0.07	7.45239
0.0705	13.19275
0.071	15.81116
0.0715	12.08496
0.072	9.06372
0.0725	6.54602
0.073	5.84106
0.0735	10.0708
0.074	6.94885
0.0745	2.21558
0.075	7.25098
0.0755	1.81274
0.076	1.3092
0.0765	7.5531
0.077	5.43823
0.0775	4.12903
0.078	1.91345
0.0785	8.05664
0.079	5.84106
0.0795	5.0354
0.08	2.5177
0.0805	3.22266
0.081	1.91345
0.0815	2.5177
0.082	2.11487
0.0825	2.5177
0.083	9.56726
0.0835	5.74036
0.084	6.3446
0.0845	0.80566
0.085	3.32336
0.0855	0.90637
0.086	8.25806
0.0865	6.44531
0.087	8.66089
0.0875	7.35168
0.088	7.95593
0.0885	6.64673
0.089	2.81982
0.0895	11.98425
0.09	11.2793
0.0905	13.49487
0.091	14.50195
0.0915	13.19275
0.092	6.2439
0.0925	2.92053
0.093	10.57434
0.0935	3.7262
0.094	4.02832
0.0945	4.12903
0.095	2.11487
0.0955	5.13611
0.096	8.35876
0.0965	11.2793
0.097	3.7262
0.0975	2.31628
0.098	7.15027
0.0985	4.83398
0.099	5.94177
0.0995	8.15735
0.1	5.33752
0.1005	5.0354
0.101	7.65381
0.1015	6.44531
0.102	9.46655
0.1025	6.3446
0.103	8.35876
0.1035	6.04248
0.104	8.56018
0.1045	2.01416
0.105	3.32336
0.1055	1.91345
0.106	7.75452
0.1065	5.0354
0.107	6.94885
0.1075	5.84106
0.108	8.35876
0.1085	10.87646
0.109	10.87646
0.1095	14.40125
0.11	3.92761
0.1105	5.33752
0.111	6.04248
0.1115	9.86938
0.112	8.96301
0.1125	9.66797
0.113	10.37292
0.1135	14.50195
0.114	9.76868
0.1145	8.7616
0.115	4.53186
0.1155	12.68921
0.116	14.19983
0.1165	12.28638
0.117	9.76868
0.1175	11.78284
0.118	8.7616
0.1185	7.15027
0.119	3.22266
0.1195	6.54602
0.12	8.25806
0.1205	11.07788
0.121	4.12903
0.1215	6.3446
0.122	12.89062
0.1225	7.85522
0.123	4.53186
0.1235	7.35168
0.124	5.43823
0.1245	6.74744
0.125	2.11487
0.1255	2.61841
0.126	6.2439
0.1265	7.35168
0.127	8.96301
0.1275	9.26514
0.128	4.53186
0.1285	8.05664
0.129	10.37292
0.1295	10.37292
0.13	13.09204
0.1305	11.2793
0.131	7.5531
0.1315	9.97009
0.132	6.44531
0.1325	6.54602
0.133	8.56018
0.1335	6.04248
0.134	6.44531
0.1345	9.56726
0.135	4.63257
0.1355	8.8623
0.136	6.74744
0.1365	10.57434
0.137	12.38708
0.1375	8.15735
0.138	8.8623
0.1385	7.95593
0.139	11.2793
0.1395	9.86938
0.14	6.04248
0.1405	8.66089
