Alessio_Russo_Right_2.c3d  



Time(s):	A_L_bicipite(μV):
0	-39.67896
0.0005	18.53027
0.001	73.11401
0.0015	100.20447
0.002	140.58838
0.0025	166.87317
0.003	193.46008
0.0035	211.99036
0.004	206.35071
0.0045	170.19653
0.005	127.69775
0.0055	84.79614
0.006	47.33276
0.0065	2.92053
0.007	-48.84338
0.0075	-92.95349
0.008	-97.58606
0.0085	-87.71667
0.009	-69.1864
0.0095	-63.94958
0.01	-65.56091
0.0105	-65.86304
0.011	-56.39648
0.0115	-34.44214
0.012	-20.84656
0.0125	13.19275
0.013	36.75842
0.0135	62.43896
0.014	80.26428
0.0145	89.63013
0.015	98.49243
0.0155	97.38464
0.016	96.47827
0.0165	90.73792
0.017	97.88818
0.0175	110.77881
0.018	106.04553
0.0185	99.49951
0.019	96.98181
0.0195	94.3634
0.02	97.98889
0.0205	67.8772
0.021	-19.03381
0.0215	-116.82129
0.022	-208.96912
0.0225	-285.20508
0.023	-312.09412
0.0235	-290.5426
0.024	-230.52063
0.0245	-175.53406
0.025	-115.10925
0.0255	-83.28552
0.026	-112.18872
0.0265	-132.12891
0.027	-118.83545
0.0275	-80.66711
0.028	-40.2832
0.0285	-20.94727
0.029	3.22266
0.0295	25.37842
0.03	85.5011
0.0305	147.63794
0.031	187.82043
0.0315	201.61743
0.032	199.50256
0.0325	186.41052
0.033	160.42786
0.0335	130.8197
0.034	122.56165
0.0345	103.22571
0.035	90.73792
0.0355	79.05579
0.036	70.79773
0.0365	69.99207
0.037	65.66162
0.0375	74.12109
0.038	72.81189
0.0385	36.25488
0.039	6.74744
0.0395	5.33752
0.04	-10.77576
0.0405	-34.44214
0.041	-61.6333
0.0415	-72.10693
0.042	-77.14233
0.0425	-68.78357
0.043	-80.56641
0.0435	-93.55774
0.044	-91.94641
0.0445	-105.44128
0.045	-102.72217
0.0455	-88.11951
0.046	-43.60657
0.0465	11.07788
0.047	36.65771
0.0475	-19.33594
0.048	-114.10217
0.0485	-193.05725
0.049	-233.34045
0.0495	-234.34753
0.05	-249.0509
0.0505	-236.66382
0.051	-188.12256
0.0515	-114.60571
0.052	-21.95435
0.0525	71.09985
0.053	150.75989
0.0535	206.25
0.054	251.77002
0.0545	277.34985
0.055	302.32544
0.0555	313.1012
0.056	301.21765
0.0565	291.54968
0.057	284.70154
0.0575	213.09814
0.058	94.3634
0.0585	10.87646
0.059	-20.54443
0.0595	-32.83081
0.06	-26.58691
0.0605	-15.1062
0.061	-3.62549
0.0615	-3.02124
0.062	-9.06372
0.0625	-18.12744
0.063	-18.93311
0.0635	-9.26514
0.064	-5.13611
0.0645	15.1062
0.065	25.78125
0.0655	29.80957
0.066	-3.02124
0.0665	-109.4696
0.067	-233.9447
0.0675	-286.01074
0.068	-323.07129
0.0685	-340.99731
0.069	-309.07288
0.0695	-254.18701
0.07	-186.71265
0.0705	-101.01013
0.071	-2.31628
0.0715	87.11243
0.072	159.62219
0.0725	211.88965
0.073	242.50488
0.0735	266.5741
0.074	294.36951
0.0745	305.44739
0.075	275.4364
0.0755	223.37036
0.076	184.19495
0.0765	154.98962
0.077	120.7489
0.0775	108.66394
0.078	70.29419
0.0785	9.97009
0.079	-23.06213
0.0795	-45.62073
0.08	-69.99207
0.0805	-87.71667
0.081	-89.02588
0.0815	-88.52234
0.082	-97.68677
0.0825	-102.52075
0.083	-119.84253
0.0835	-156.90308
0.084	-186.81335
0.0845	-171.10291
0.085	-137.0636
0.0855	-87.81738
0.086	-37.26196
0.0865	18.22815
0.087	73.71826
0.0875	115.7135
0.088	148.74573
0.0885	165.16113
0.089	158.01086
0.0895	151.96838
0.09	146.53015
0.0905	161.63635
0.091	172.21069
0.0915	149.24927
0.092	114.70642
0.0925	94.76624
0.093	64.25171
0.0935	15.91187
0.094	-54.18091
0.0945	-123.16589
0.095	-224.47815
0.0955	-298.39783
0.096	-325.48828
0.0965	-298.0957
0.097	-247.64099
0.0975	-200.10681
0.098	-128.60413
0.0985	-78.14941
0.099	-77.14233
0.0995	-88.92517
0.1	-118.93616
0.1005	-142.60254
0.101	-128.80554
0.1015	-106.04553
0.102	-75.4303
0.1025	-54.38232
0.103	-48.74268
0.1035	-33.13293
0.104	-10.87646
0.1045	15.60974
0.105	22.15576
0.1055	10.47363
0.106	16.51611
0.1065	50.85754
0.107	108.96606
0.1075	175.83618
0.108	217.83142
0.1085	217.5293
0.109	213.8031
0.1095	212.4939
0.11	190.74097
0.1105	173.5199
0.111	195.07141
0.1115	233.03833
0.112	266.87622
0.1125	267.17834
0.113	245.12329
0.1135	225.38452
0.114	203.53088
0.1145	174.42627
0.115	138.47351
0.1155	95.47119
0.116	57.20215
0.1165	10.27222
0.117	-25.78125
0.1175	-72.20764
0.118	-144.21387
0.1185	-182.08008
0.119	-170.59937
0.1195	-144.91882
0.12	-99.60022
0.1205	-54.0802
0.121	-18.93311
0.1215	9.16443
0.122	16.11328
0.1225	-9.76868
0.123	-67.27295
0.1235	-127.49634
0.124	-188.92822
0.1245	-210.98328
0.125	-186.00769
0.1255	-133.63953
0.126	-82.58057
0.1265	-20.64514
0.127	32.7301
0.1275	81.7749
0.128	132.43103
0.1285	159.01794
0.129	159.92432
0.1295	156.90308
0.13	148.14148
0.1305	144.51599
0.131	122.05811
0.1315	86.20605
0.132	50.85754
0.1325	29.10461
0.133	29.20532
0.1335	45.01648
0.134	62.9425
0.1345	55.89294
0.135	3.02124
0.1355	-89.02588
0.136	-210.17761
0.1365	-277.65198
0.137	-336.56616
0.1375	-363.4552
0.138	-363.25378
0.1385	-361.54175
0.139	-317.43164
0.1395	-259.92737
0.14	-179.8645
0.1405	-108.86536
0.141	-39.37683
0.1415	-17.22107
0.142	-15.1062
0.1425	11.48071
0.143	44.81506
0.1435	75.53101
0.144	118.02979
0.1445	153.27759
0.145	212.39319
0.1455	235.55603
0.146	207.35779
0.1465	181.67725
0.147	114.30359
0.1475	20.84656
0.148	-55.2887
0.1485	-112.18872
0.149	-159.52148
0.1495	-239.68506
0.15	-273.32153
0.1505	-250.05798
0.151	-189.73389
0.1515	-106.64978
0.152	-21.55151
0.1525	61.83472
0.153	119.64111
0.1535	138.47351
0.154	96.67969
0.1545	60.02197
0.155	89.12659
0.1555	150.8606
0.156	180.56946
0.1565	213.40027
0.157	257.00684
0.1575	308.67004
0.158	326.69678
0.1585	304.23889
0.159	274.1272
0.1595	250.36011
0.16	192.55371
0.1605	114.00146
0.161	32.52869
0.1615	-31.92444
0.162	-80.16357
0.1625	-88.32092
0.163	-77.54517
0.1635	-38.47046
0.164	12.5885
0.1645	16.01257
0.165	33.73718
0.1655	41.18958
0.166	42.8009
0.1665	41.99524
0.167	14.80408
0.1675	-26.48621
0.168	-64.85596
0.1685	-61.02905
0.169	-21.3501
0.1695	-11.88354
0.17	-18.73169
0.1705	-44.11011
0.171	-41.4917
0.1715	-44.31152
0.172	-60.62622
0.1725	-106.8512
0.173	-144.6167
0.1735	-155.29175
0.174	-159.62219
0.1745	-143.3075
0.175	-112.79297
0.1755	-62.9425
0.176	-13.39417
0.1765	48.94409
0.177	46.22498
0.1775	-13.39417
0.178	-57.50427
0.1785	-97.78748
0.179	-118.73474
0.1795	-116.61987
0.18	-117.72766
0.1805	-84.49402
0.181	-24.37134
0.1815	45.2179
0.182	109.4696
0.1825	193.15796
0.183	275.63782
0.1835	311.59058
0.184	324.38049
0.1845	308.0658
0.185	288.52844
0.1855	263.04932
0.186	217.32788
0.1865	128.80554
0.187	50.2533
0.1875	18.02673
0.188	30.01099
0.1885	35.34851
0.189	31.4209
0.1895	14.90479
0.19	1.81274
0.1905	-29.10461
0.191	-58.20923
0.1915	-87.11243
0.192	-105.74341
0.1925	-121.9574
0.193	-130.11475
0.1935	-128.90625
0.194	-135.95581
0.1945	-143.20679
0.195	-178.95813
0.1955	-213.90381
0.196	-191.24451
0.1965	-151.86768
0.197	-125.07935
0.1975	-80.66711
0.198	-13.797
0.1985	59.51843
0.199	108.56323
0.1995	139.5813
0.2	154.38538
0.2005	169.59229
0.201	152.67334
0.2015	119.84253
0.202	90.93933
0.2025	93.25562
0.203	106.14624
0.2035	74.92676
0.204	25.177
0.2045	-32.83081
0.205	-74.32251
0.2055	-97.78748
0.206	-123.16589
0.2065	-183.28857
0.207	-238.77869
0.2075	-264.25781
0.208	-272.61658
0.2085	-261.6394
0.209	-256.40259
0.2095	-254.58984
0.21	-230.72205
0.2105	-189.63318
0.211	-105.54199
0.2115	4.12903
0.212	108.76465
0.2125	186.61194
0.213	231.72913
0.2135	239.88647
0.214	232.33337
0.2145	232.53479
0.215	228.80859
0.2155	192.85583
0.216	148.84644
0.2165	112.59155
0.217	93.75916
0.2175	99.80164
0.218	124.37439
0.2185	126.18713
0.219	90.73792
0.2195	58.10852
0.22	36.65771
0.2205	29.40674
0.221	29.80957
0.2215	28.39966
0.222	22.76001
0.2225	-7.45239
0.223	-22.35718
0.2235	-44.61365
0.224	-36.85913
0.2245	-42.59949
0.225	-68.88428
0.2255	-88.82446
0.226	-78.75366
0.2265	-66.26587
