Alessio_Russo_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	-52.97241
0.0005	-48.54126
0.001	-50.15259
0.0015	-44.31152
0.002	-49.0448
0.0025	-45.82214
0.003	-42.19666
0.0035	-36.05347
0.004	-29.20532
0.0045	-16.41541
0.005	-14.19983
0.0055	-16.71753
0.006	-8.56018
0.0065	-12.78992
0.007	-10.97717
0.0075	-11.17859
0.008	-11.48071
0.0085	0.10071
0.009	6.44531
0.0095	19.63806
0.01	25.78125
0.0105	44.0094
0.011	48.03772
0.0115	51.26038
0.012	56.39648
0.0125	60.72693
0.013	62.53967
0.0135	61.43188
0.014	57.50427
0.0145	57.40356
0.015	62.03613
0.0155	64.151
0.016	68.38074
0.0165	63.04321
0.017	57.00073
0.0175	56.09436
0.018	41.89453
0.0185	31.62231
0.019	23.66638
0.0195	18.73169
0.02	17.32178
0.0205	0.50354
0.021	0.80566
0.0215	-2.01416
0.022	-3.02124
0.0225	-4.43115
0.023	-4.12903
0.0235	9.66797
0.024	20.24231
0.0245	30.2124
0.025	34.94568
0.0255	31.52161
0.026	20.24231
0.0265	6.44531
0.027	-7.85522
0.0275	-30.11169
0.028	-42.39807
0.0285	-53.87878
0.029	-49.54834
0.0295	-45.11719
0.03	-43.70728
0.0305	-41.08887
0.031	-33.43506
0.0315	-14.90479
0.032	-10.47363
0.0325	-9.36584
0.033	-8.05664
0.0335	0.60425
0.034	-0.10071
0.0345	1.00708
0.035	-0.80566
0.0355	-3.8269
0.036	1.61133
0.0365	12.48779
0.037	8.66089
0.0375	7.75452
0.038	10.87646
0.0385	18.02673
0.039	16.41541
0.0395	10.0708
0.04	8.96301
0.0405	5.43823
0.041	6.3446
0.0415	6.84814
0.042	7.35168
0.0425	3.52478
0.043	8.05664
0.0435	33.33435
0.044	43.00232
0.0445	47.33276
0.045	32.62939
0.0455	22.05505
0.046	11.38
0.0465	11.2793
0.047	-1.71204
0.0475	-17.82532
0.048	-35.65063
0.0485	-39.77966
0.049	-36.65771
0.0495	-39.47754
0.05	-40.38391
0.0505	-29.20532
0.051	-15.50903
0.0515	-6.54602
0.052	-5.33752
0.0525	-16.11328
0.053	-14.40125
0.0535	-7.5531
0.054	2.31628
0.0545	8.8623
0.055	20.1416
0.0555	21.95435
0.056	34.54285
0.0565	38.57117
0.057	46.02356
0.0575	36.35559
0.058	38.06763
0.0585	42.09595
0.059	29.20532
0.0595	21.85364
0.06	36.35559
0.0605	50.354
0.061	52.06604
0.0615	38.77258
0.062	24.57275
0.0625	9.76868
0.063	-5.84106
0.0635	-18.02673
0.064	-27.99683
0.0645	-33.9386
0.065	-40.98816
0.0655	-40.38391
0.066	-38.67188
0.0665	-40.88745
0.067	-29.30603
0.0675	-26.68762
0.068	-26.58691
0.0685	-31.11877
0.069	-40.68604
0.0695	-38.36975
0.07	-31.11877
0.0705	-21.04797
0.071	-6.2439
0.0715	7.85522
0.072	16.61682
0.0725	12.48779
0.073	8.8623
0.0735	4.83398
0.074	6.3446
0.0745	-0.10071
0.075	4.53186
0.0755	11.88354
0.076	24.27063
0.0765	32.83081
0.077	40.78674
0.0775	40.2832
0.078	41.18958
0.0785	40.38391
0.079	40.2832
0.0795	39.17542
0.08	32.7301
0.0805	24.67346
0.081	25.27771
0.0815	24.57275
0.082	23.56567
0.0825	20.94727
0.083	17.22107
0.0835	6.74744
0.084	4.83398
0.0845	-0.90637
0.085	-12.5885
0.0855	-10.27222
0.086	-4.83398
0.0865	2.41699
0.087	7.04956
0.0875	11.98425
0.088	19.53735
0.0885	8.35876
0.089	13.59558
0.0895	24.06921
0.09	35.04639
0.0905	37.66479
0.091	32.52869
0.0915	32.32727
0.092	29.30603
0.0925	20.54443
0.093	16.71753
0.0935	12.89062
0.094	11.88354
0.0945	6.3446
0.095	7.75452
0.0955	17.12036
0.096	16.81824
0.0965	18.53027
0.097	17.92603
0.0975	21.85364
0.098	23.16284
0.0985	22.96143
0.099	14.80408
0.0995	-2.5177
0.1	-3.12195
0.1005	-6.74744
0.101	-5.23682
0.1015	20.64514
0.102	41.39099
0.1025	40.98816
0.103	36.85913
0.1035	23.06213
0.104	14.60266
0.1045	-8.45947
0.105	-17.6239
0.1055	-28.70178
0.106	-30.31311
0.1065	-22.96143
0.107	-11.58142
0.1075	-0.50354
0.108	8.7616
0.1085	1.81274
0.109	-10.27222
0.1095	-25.27771
0.11	-30.41382
0.1105	-42.7002
0.111	-43.60657
0.1115	-41.08887
0.112	-37.66479
0.1125	-34.74426
0.113	-9.97009
0.1135	3.02124
0.114	-0.40283
0.1145	-0.20142
0.115	-9.56726
0.1155	-20.34302
0.116	-23.96851
0.1165	-24.97559
0.117	-23.16284
0.1175	-26.78833
0.118	-30.11169
0.1185	-35.54993
0.119	-24.97559
0.1195	-11.38
0.12	-0.90637
0.1205	-3.7262
0.121	8.35876
0.1215	13.39417
0.122	13.59558
0.1225	18.12744
0.123	22.86072
0.1235	28.09753
0.124	32.83081
0.1245	34.64355
0.125	35.65063
0.1255	33.43506
0.126	30.91736
0.1265	29.60815
0.127	35.14709
0.1275	43.60657
0.128	40.58533
0.1285	24.77417
0.129	15.60974
0.1295	13.19275
0.13	5.13611
0.1305	-5.23682
0.131	-18.02673
0.1315	-16.71753
0.132	-19.03381
0.1325	-17.52319
