Alessio_Russo_Right_2.c3d  



Time(s):	A_R_bicipite(μV):
0	-29.70886
0.0005	-18.73169
0.001	-3.22266
0.0015	7.35168
0.002	10.27222
0.0025	9.46655
0.003	9.66797
0.0035	7.35168
0.004	5.63965
0.0045	-4.93469
0.005	-9.66797
0.0055	-5.13611
0.006	-5.33752
0.0065	-7.65381
0.007	-16.3147
0.0075	-20.84656
0.008	-25.98267
0.0085	-20.64514
0.009	-21.3501
0.0095	-33.9386
0.01	-34.44214
0.0105	-26.48621
0.011	-20.44373
0.0115	-20.84656
0.012	-17.52319
0.0125	-13.39417
0.013	-8.35876
0.0135	-14.80408
0.014	-13.99841
0.0145	-12.28638
0.015	-8.66089
0.0155	-3.62549
0.016	-1.3092
0.0165	11.78284
0.017	9.76868
0.0175	10.37292
0.018	21.14868
0.0185	35.54993
0.019	55.59082
0.0195	74.32251
0.02	92.85278
0.0205	86.70959
0.021	86.70959
0.0215	78.75366
0.022	59.41772
0.0225	43.80798
0.023	17.52319
0.0235	7.45239
0.024	-8.96301
0.0245	-23.76709
0.025	-30.11169
0.0255	-39.88037
0.026	-38.57117
0.0265	-31.32019
0.027	-37.56409
0.0275	-31.32019
0.028	-25.68054
0.0285	-16.41541
0.029	-13.797
0.0295	-14.80408
0.03	-11.88354
0.0305	-5.13611
0.031	-5.74036
0.0315	-4.73328
0.032	-6.14319
0.0325	-5.13611
0.033	-2.11487
0.0335	12.38708
0.034	24.97559
0.0345	36.05347
0.035	40.08179
0.0355	42.29736
0.036	55.08728
0.0365	64.151
0.037	64.05029
0.0375	57.60498
0.038	49.85046
0.0385	30.61523
0.039	25.37842
0.0395	18.53027
0.04	13.09204
0.0405	-3.22266
0.041	-13.49487
0.0415	-27.99683
0.042	-36.05347
0.0425	-39.47754
0.043	-45.82214
0.0435	-51.66321
0.044	-50.75684
0.0445	-48.33984
0.045	-55.49011
0.0455	-44.91577
0.046	-36.85913
0.0465	-33.43506
0.047	-15.1062
0.0475	1.2085
0.048	12.89062
0.0485	16.01257
0.049	15.71045
0.0495	12.89062
0.05	20.34302
0.0505	17.12036
0.051	13.39417
0.0515	10.97717
0.052	5.43823
0.0525	11.88354
0.053	6.74744
0.0535	5.33752
0.054	13.29346
0.0545	19.13452
0.055	37.86621
0.0555	45.52002
0.056	54.38232
0.0565	44.51294
0.057	38.57117
0.0575	26.58691
0.058	19.33594
0.0585	28.50037
0.059	32.12585
0.0595	26.28479
0.06	16.91895
0.0605	4.02832
0.061	-2.81982
0.0615	-7.25098
0.062	-14.70337
0.0625	-24.47205
0.063	-28.29895
0.0635	-18.8324
0.064	-6.3446
0.0645	8.35876
0.065	19.33594
0.0655	16.61682
0.066	14.70337
0.0665	15.91187
0.067	6.44531
0.0675	-1.40991
0.068	-1.81274
0.0685	-6.54602
0.069	-8.96301
0.0695	-7.25098
0.07	-6.2439
0.0705	-10.17151
0.071	-7.25098
0.0715	-4.33044
0.072	0.70496
0.0725	5.13611
0.073	5.0354
0.0735	5.74036
0.074	9.26514
0.0745	4.33044
0.075	5.43823
0.0755	-5.84106
0.076	-0.60425
0.0765	-4.33044
0.077	-8.35876
0.0775	-0.60425
0.078	-0.60425
0.0785	1.51062
0.079	0.10071
0.0795	2.11487
0.08	-1.51062
0.0805	4.93469
0.081	6.94885
0.0815	12.68921
0.082	13.797
0.0825	17.32178
0.083	33.33435
0.0835	35.14709
0.084	36.65771
0.0845	31.72302
0.085	35.95276
0.0855	41.59241
0.086	32.7301
0.0865	26.98975
0.087	11.68213
0.0875	0.40283
0.088	-13.89771
0.0885	-19.94019
0.089	-24.67346
0.0895	-29.50745
0.09	-17.72461
0.0905	-4.53186
0.091	7.04956
0.0915	10.87646
0.092	10.97717
0.0925	21.3501
0.093	18.73169
0.0935	16.41541
0.094	20.84656
0.0945	14.30054
0.095	7.85522
0.0955	-7.04956
0.096	-11.88354
0.0965	-9.46655
0.097	-1.00708
0.0975	-5.13611
