Alessio_Russo_Left_1.c3d  



Time(s):	C_R_bicipite(μV):
0	0.40283
0.0005	-1.10779
0.001	-12.89062
0.0015	-7.25098
0.002	-18.63098
0.0025	-24.97559
0.003	-24.67346
0.0035	-27.79541
0.004	-33.03223
0.0045	-31.52161
0.005	-34.64355
0.0055	-28.60107
0.006	-34.34143
0.0065	-26.58691
0.007	-23.56567
0.0075	-11.2793
0.008	7.5531
0.0085	35.54993
0.009	55.79224
0.0095	70.99915
0.01	69.68994
0.0105	61.53259
0.011	75.12817
0.0115	86.91101
0.012	78.65295
0.0125	57.9071
0.013	36.95984
0.0135	10.97717
0.014	-9.86938
0.0145	-30.81665
0.015	-45.01648
0.0155	-55.79224
0.016	-66.6687
0.0165	-70.69702
0.017	-70.69702
0.0175	-70.49561
0.018	-61.6333
0.0185	-49.0448
0.019	-43.10303
0.0195	-37.86621
0.02	-29.70886
0.0205	-28.80249
0.021	-20.74585
0.0215	-11.48071
0.022	-4.12903
0.0225	23.46497
0.023	37.16125
0.0235	36.05347
0.024	30.51453
0.0245	32.32727
0.025	24.16992
0.0255	6.94885
0.026	-5.33752
0.0265	-18.8324
0.027	-27.59399
0.0275	-34.34143
0.028	-29.30603
0.0285	-24.47205
0.029	-18.32886
0.0295	-18.42957
0.03	-21.45081
0.0305	-22.15576
0.031	-18.12744
0.0315	-20.54443
0.032	-19.03381
0.0325	-21.65222
0.033	-18.02673
0.0335	-16.51611
0.034	-16.71753
0.0345	-15.71045
0.035	-13.797
0.0355	-8.8623
0.036	-3.22266
0.0365	-4.83398
0.037	-1.3092
0.0375	1.51062
0.038	-1.91345
0.0385	5.43823
0.039	5.84106
0.0395	2.01416
0.04	2.92053
0.0405	8.96301
0.041	16.41541
0.0415	10.47363
0.042	19.73877
0.0425	15.1062
0.043	21.45081
0.0435	37.16125
0.044	42.49878
0.0445	42.19666
0.045	33.43506
0.0455	28.50037
0.046	14.19983
0.0465	-0.40283
0.047	-3.42407
0.0475	-8.56018
0.048	-11.48071
0.0485	-3.62549
0.049	1.91345
0.0495	4.93469
0.05	8.7616
0.0505	6.74744
0.051	7.5531
0.0515	11.98425
0.052	6.2439
0.0525	-0.80566
0.053	-8.35876
0.0535	-14.40125
0.054	-16.91895
0.0545	-20.54443
0.055	-20.74585
0.0555	-16.51611
0.056	-18.8324
0.0565	-24.47205
0.057	-20.24231
0.0575	-21.45081
0.058	-14.40125
0.0585	-14.30054
0.059	-7.65381
0.0595	-3.92761
0.06	0.60425
0.0605	4.53186
0.061	2.71912
0.0615	-2.5177
0.062	1.81274
0.0625	-0.20142
0.063	-5.33752
0.0635	-1.61133
0.064	4.83398
0.0645	39.88037
0.065	66.36658
0.0655	65.86304
0.066	64.75525
0.0665	52.46887
0.067	35.2478
0.0675	12.68921
0.068	-0.20142
0.0685	-14.70337
0.069	-30.2124
0.0695	-37.26196
0.07	-44.11011
0.0705	-44.0094
0.071	-42.7002
