Alessio_Russo_Left_2.c3d  



Time(s):	A_R_bicipite(μV):
0	9.97009
0.0005	10.57434
0.001	9.76868
0.0015	10.17151
0.002	12.78992
0.0025	8.45947
0.003	4.12903
0.0035	8.25806
0.004	13.49487
0.0045	9.86938
0.005	15.81116
0.0055	7.65381
0.006	8.15735
0.0065	12.18567
0.007	6.54602
0.0075	9.16443
0.008	8.56018
0.0085	8.8623
0.009	10.37292
0.0095	13.19275
0.01	7.85522
0.0105	6.3446
0.011	6.14319
0.0115	6.3446
0.012	6.64673
0.0125	5.43823
0.013	4.53186
0.0135	2.5177
0.014	4.93469
0.0145	7.85522
0.015	3.32336
0.0155	2.81982
0.016	3.8269
0.0165	4.22974
0.017	2.11487
0.0175	4.83398
0.018	5.43823
0.0185	3.22266
0.019	4.93469
0.0195	5.74036
0.02	3.52478
0.0205	5.94177
0.021	5.33752
0.0215	3.52478
0.022	6.04248
0.0225	6.94885
0.023	2.11487
0.0235	8.7616
0.024	5.43823
0.0245	4.73328
0.025	5.13611
0.0255	1.2085
0.026	0.10071
0.0265	6.2439
0.027	4.33044
0.0275	8.66089
0.028	3.32336
0.0285	8.05664
0.029	17.52319
0.0295	13.09204
0.03	8.96301
0.0305	7.45239
0.031	7.35168
0.0315	9.97009
0.032	4.63257
0.0325	10.77576
0.033	16.11328
0.0335	12.08496
0.034	6.74744
0.0345	7.25098
0.035	13.49487
0.0355	11.88354
0.036	5.53894
0.0365	10.47363
0.037	8.96301
0.0375	10.67505
0.038	-0.40283
0.0385	2.31628
0.039	10.27222
0.0395	5.0354
0.04	7.5531
0.0405	6.14319
0.041	8.8623
0.0415	7.25098
0.042	8.66089
0.0425	6.74744
0.043	2.11487
0.0435	6.64673
0.044	9.36584
0.0445	8.45947
0.045	6.74744
0.0455	7.25098
0.046	9.86938
0.0465	5.53894
0.047	5.13611
0.0475	7.75452
0.048	7.25098
0.0485	11.88354
0.049	12.48779
0.0495	3.52478
0.05	4.73328
0.0505	3.42407
0.051	5.0354
0.0515	7.25098
0.052	6.44531
0.0525	6.3446
0.053	3.32336
0.0535	3.7262
0.054	-0.80566
0.0545	2.21558
0.055	2.21558
0.0555	2.21558
0.056	0.60425
0.0565	3.22266
0.057	6.74744
0.0575	6.54602
0.058	7.75452
0.0585	6.94885
0.059	6.04248
0.0595	8.8623
0.06	7.5531
0.0605	6.44531
0.061	7.95593
0.0615	9.76868
0.062	5.23682
0.0625	2.81982
0.063	10.57434
0.0635	12.68921
0.064	11.17859
0.0645	8.05664
0.065	8.35876
0.0655	9.86938
0.066	11.78284
0.0665	12.28638
0.067	12.18567
0.0675	8.7616
0.068	9.97009
0.0685	7.85522
0.069	3.7262
0.0695	8.96301
0.07	9.76868
0.0705	11.07788
0.071	8.8623
0.0715	10.57434
0.072	8.8623
0.0725	7.15027
0.073	8.45947
0.0735	5.23682
0.074	8.96301
0.0745	6.94885
0.075	8.35876
0.0755	12.08496
0.076	7.95593
0.0765	10.27222
0.077	9.66797
0.0775	9.66797
0.078	9.66797
0.0785	5.0354
0.079	5.33752
0.0795	12.78992
0.08	10.47363
