Alessio_Russo_Left_1.c3d  



Time(s):	C_L_bicipite(μV):
0	-43.00232
0.0005	-41.59241
0.001	-31.92444
0.0015	-25.68054
0.002	-21.14868
0.0025	-12.08496
0.003	31.92444
0.0035	60.12268
0.004	70.79773
0.0045	70.19348
0.005	55.89294
0.0055	45.92285
0.006	27.49329
0.0065	23.36426
0.007	12.08496
0.0075	3.42407
0.008	-3.02124
0.0085	-10.97717
0.009	-14.40125
0.0095	-7.85522
0.01	0.30212
0.0105	13.39417
0.011	77.44446
0.0115	118.2312
0.012	129.71191
0.0125	119.23828
0.013	87.71667
0.0135	60.22339
0.014	32.22656
0.0145	1.61133
0.015	-37.46338
0.0155	-61.12976
0.016	-72.50977
0.0165	-92.04712
0.017	-95.67261
0.0175	-85.90393
0.018	-67.67578
0.0185	-44.21082
0.019	-19.23523
0.0195	0.50354
0.02	12.5885
0.0205	13.69629
0.021	19.53735
0.0215	28.19824
0.022	27.49329
0.0225	19.94019
0.023	20.54443
0.0235	10.67505
0.024	5.33752
0.0245	3.8269
0.025	0.30212
0.0255	-12.78992
0.026	42.09595
0.0265	111.48376
0.027	122.46094
0.0275	101.8158
0.028	69.99207
0.0285	40.1825
0.029	33.33435
0.0295	24.67346
0.03	1.61133
0.0305	-29.30603
0.031	-52.26746
0.0315	-71.80481
0.032	-78.14941
0.0325	-75.63171
0.033	-31.4209
0.0335	-16.21399
0.034	-16.81824
0.0345	-10.37292
0.035	-4.43115
0.0355	7.25098
0.036	10.27222
0.0365	-1.61133
0.037	2.01416
0.0375	-6.14319
0.038	-11.88354
0.0385	-22.15576
0.039	-31.82373
0.0395	-37.16125
0.04	-39.57825
0.0405	-32.93152
0.041	-28.70178
0.0415	-20.34302
0.042	-11.17859
0.0425	-6.14319
0.043	-2.31628
0.0435	0.70496
0.044	20.1416
0.0445	36.4563
0.045	37.36267
0.0455	29.91028
0.046	28.50037
0.0465	22.55859
0.047	14.40125
0.0475	6.54602
0.048	-0.80566
0.0485	-9.97009
0.049	-12.78992
0.0495	-20.34302
0.05	-27.19116
0.0505	-31.01807
0.051	-25.27771
0.0515	-25.27771
0.052	-18.53027
0.0525	-14.90479
0.053	-7.95593
0.0535	3.62549
0.054	13.29346
0.0545	26.68762
0.055	29.80957
0.0555	31.92444
0.056	31.01807
0.0565	33.13293
0.057	32.32727
0.0575	27.99683
0.058	30.31311
0.0585	17.72461
0.059	23.26355
0.0595	71.09985
0.06	108.76465
0.0605	108.1604
0.061	91.54358
0.0615	65.56091
0.062	29.20532
0.0625	-0.80566
0.063	-28.50037
0.0635	-49.14551
0.064	-59.92126
0.0645	-61.23047
0.065	-58.30994
0.0655	-45.01648
0.066	-25.68054
0.0665	-15.1062
0.067	-4.53186
0.0675	12.18567
0.068	12.08496
0.0685	13.09204
0.069	15.91187
0.0695	14.90479
0.07	15.40833
0.0705	17.12036
0.071	21.95435
0.0715	26.48621
0.072	21.04797
0.0725	4.02832
0.073	-2.31628
0.0735	0.80566
0.074	-3.92761
0.0745	2.21558
0.075	8.8623
0.0755	20.04089
0.076	26.68762
0.0765	17.52319
0.077	8.96301
0.0775	3.02124
0.078	-0.50354
0.0785	-9.26514
0.079	-18.32886
0.0795	-19.83948
0.08	-20.44373
0.0805	-23.36426
0.081	-17.01965
0.0815	40.58533
0.082	88.0188
0.0825	112.18872
0.083	100.40588
0.0835	80.06287
0.084	47.33276
0.0845	22.15576
0.085	-14.09912
0.0855	-37.86621
0.086	-59.51843
0.0865	-74.62463
0.087	-78.65295
0.0875	-68.38074
0.088	-59.71985
0.0885	-36.15417
0.089	-15.30762
0.0895	1.61133
0.09	5.63965
0.0905	17.22107
0.091	20.64514
0.0915	21.95435
0.092	33.33435
0.0925	58.91418
0.093	81.97632
0.0935	82.17773
0.094	74.62463
0.0945	63.14392
0.095	49.0448
0.0955	35.44922
0.096	13.19275
0.0965	-5.74036
0.097	-20.84656
0.0975	-30.01099
0.098	-32.93152
0.0985	-46.62781
0.099	-55.59082
0.0995	-63.14392
0.1	-50.2533
0.1005	-28.9032
0.101	-22.86072
0.1015	-16.91895
0.102	-16.11328
0.1025	24.57275
0.103	63.24463
0.1035	67.57507
0.104	55.59082
0.1045	43.70728
0.105	29.50745
0.1055	8.7616
0.106	-5.53894
0.1065	-35.44922
0.107	-56.49719
0.1075	-66.97083
0.108	-67.07153
0.1085	-38.06763
0.109	-13.797
0.1095	6.3446
0.11	24.16992
0.1105	19.94019
0.111	11.78284
0.1115	14.30054
0.112	7.5531
0.1125	18.22815
0.113	44.41223
0.1135	56.39648
0.114	60.52551
0.1145	60.02197
0.115	48.64197
0.1155	32.42798
0.116	8.96301
0.1165	-9.26514
0.117	-13.29346
0.1175	-18.63098
0.118	-24.97559
0.1185	-38.67188
0.119	-35.44922
0.1195	-35.04639
0.12	-29.00391
0.1205	-16.71753
0.121	-3.02124
0.1215	4.22974
0.122	18.42957
0.1225	24.77417
0.123	29.50745
0.1235	23.76709
0.124	18.73169
0.1245	24.27063
0.125	37.36267
0.1255	34.64355
0.126	30.01099
0.1265	30.81665
0.127	35.95276
0.1275	108.05969
0.128	164.55688
0.1285	168.08167
0.129	145.52307
0.1295	107.75757
0.13	58.10852
0.1305	12.78992
0.131	-28.60107
0.1315	-66.36658
0.132	-89.63013
0.1325	-105.23987
0.133	-106.8512
0.1335	-103.52783
0.134	-90.83862
0.1345	-72.00623
0.135	-53.77808
0.1355	-57.00073
0.136	-46.42639
0.1365	-36.85913
0.137	-31.92444
0.1375	-19.63806
0.138	-4.73328
0.1385	8.15735
0.139	22.6593
0.1395	30.2124
0.14	36.85913
0.1405	45.52002
0.141	39.98108
0.1415	39.47754
0.142	36.25488
0.1425	34.54285
0.143	24.67346
0.1435	25.177
0.144	21.14868
0.1445	20.44373
0.145	12.78992
0.1455	5.53894
0.146	-0.20142
0.1465	-15.71045
0.147	-19.23523
0.1475	-15.71045
0.148	2.71912
0.1485	6.94885
