Alessio_Russo_Left_2.c3d  



Time(s):	A_L_bicipite(μV):
0	8.05664
0.0005	-2.41699
0.001	-7.15027
0.0015	-6.2439
0.002	-13.39417
0.0025	-19.33594
0.003	-22.35718
0.0035	-10.77576
0.004	-10.17151
0.0045	-4.63257
0.005	8.15735
0.0055	18.63098
0.006	24.57275
0.0065	21.45081
0.007	20.34302
0.0075	7.95593
0.008	7.04956
0.0085	-1.81274
0.009	-8.35876
0.0095	-5.94177
0.01	-6.14319
0.0105	-9.86938
0.011	-13.09204
0.0115	-9.16443
0.012	-7.85522
0.0125	-2.71912
0.013	-0.50354
0.0135	3.52478
0.014	13.797
0.0145	19.23523
0.015	13.49487
0.0155	14.90479
0.016	22.76001
0.0165	50.55542
0.017	70.59631
0.0175	79.05579
0.018	78.25012
0.0185	83.18481
0.019	82.37915
0.0195	68.88428
0.02	49.95117
0.0205	27.79541
0.021	14.70337
0.0215	-3.7262
0.022	0.20142
0.0225	15.00549
0.023	13.29346
0.0235	16.71753
0.024	33.9386
0.0245	70.09277
0.025	100.30518
0.0255	112.39014
0.026	105.34058
0.0265	96.7804
0.027	92.24854
0.0275	73.11401
0.028	57.30286
0.0285	72.40906
0.029	101.21155
0.0295	121.65527
0.03	128.10059
0.0305	123.06519
0.031	106.04553
0.0315	68.28003
0.032	48.84338
0.0325	20.74585
0.033	-26.68762
0.0335	-76.53809
0.034	-121.35315
0.0345	-164.95972
0.035	-190.64026
0.0355	-206.04858
0.036	-204.03442
0.0365	-183.48999
0.037	-169.89441
0.0375	-160.83069
0.038	-161.23352
0.0385	-148.54431
0.039	-125.48218
0.0395	-113.29651
0.04	-93.55774
0.0405	-80.16357
0.041	-77.948
0.0415	-79.55933
0.042	-75.4303
0.0425	-76.43738
0.043	-36.4563
0.0435	5.74036
0.044	25.177
0.0445	34.74426
0.045	33.23364
0.0455	32.32727
0.046	26.78833
0.0465	24.06921
0.047	25.98267
0.0475	19.23523
0.048	16.3147
