Alex_Venditti_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	4.73328
0.0005	3.42407
0.001	4.83398
0.0015	0.70496
0.002	5.84106
0.0025	10.57434
0.003	7.5531
0.0035	6.3446
0.004	5.63965
0.0045	0.40283
0.005	-2.01416
0.0055	0.30212
0.006	3.62549
0.0065	3.02124
0.007	0.80566
0.0075	-1.81274
0.008	0.50354
0.0085	-1.91345
0.009	-4.43115
0.0095	-11.38
0.01	-5.94177
0.0105	3.22266
0.011	8.7616
0.0115	20.1416
0.012	16.01257
0.0125	16.91895
0.013	20.84656
0.0135	21.95435
0.014	21.85364
0.0145	18.42957
0.015	13.69629
0.0155	9.56726
0.016	12.48779
0.0165	11.88354
0.017	7.75452
0.0175	8.7616
0.018	11.2793
0.0185	8.96301
0.019	14.50195
0.0195	12.28638
0.02	11.38
0.0205	4.63257
0.021	1.81274
0.0215	-0.40283
0.022	7.15027
0.0225	5.33752
0.023	8.96301
0.0235	9.06372
0.024	12.5885
0.0245	-2.5177
0.025	0.20142
0.0255	-3.62549
0.026	-9.36584
0.0265	-6.2439
0.027	2.01416
0.0275	3.92761
0.028	10.17151
0.0285	10.57434
0.029	4.93469
0.0295	1.81274
0.03	-0.40283
0.0305	-1.00708
0.031	0
0.0315	3.52478
0.032	-0.60425
0.0325	2.61841
0.033	9.16443
0.0335	10.77576
0.034	8.45947
0.0345	10.97717
0.035	8.15735
0.0355	10.97717
0.036	10.57434
0.0365	5.94177
0.037	5.43823
0.0375	7.25098
0.038	1.3092
0.0385	-1.51062
0.039	-5.13611
0.0395	-3.32336
0.04	0.30212
0.0405	-0.40283
0.041	-3.8269
0.0415	-1.81274
0.042	4.12903
0.0425	2.11487
0.043	1.71204
0.0435	-7.5531
0.044	-9.26514
0.0445	-5.94177
0.045	-6.54602
0.0455	-8.25806
0.046	-6.3446
0.0465	-0.30212
0.047	3.42407
0.0475	5.13611
0.048	1.40991
0.0485	4.22974
0.049	4.43115
0.0495	7.45239
0.05	12.18567
0.0505	-2.01416
0.051	-3.8269
0.0515	-11.17859
0.052	-10.67505
0.0525	-8.56018
0.053	0.80566
0.0535	7.45239
0.054	5.84106
0.0545	7.04956
0.055	7.35168
0.0555	3.7262
0.056	2.21558
0.0565	4.02832
0.057	0.90637
0.0575	5.84106
0.058	8.05664
0.0585	9.36584
0.059	11.98425
0.0595	7.95593
0.06	10.57434
0.0605	10.0708
0.061	11.2793
0.0615	10.27222
0.062	13.59558
0.0625	8.56018
0.063	5.63965
0.0635	-0.90637
0.064	0.10071
0.0645	-2.01416
