Alex_Venditti_Right_1.c3d  



Time(s):	A_L_bicipite(μV):
0	3.02124
0.0005	1.61133
0.001	-1.2085
0.0015	-3.12195
0.002	-2.81982
0.0025	-14.09912
0.003	-27.39258
0.0035	-33.63647
0.004	-35.85205
0.0045	-34.24072
0.005	-38.974
0.0055	-31.21948
0.006	-26.78833
0.0065	-15.91187
0.007	-5.13611
0.0075	-1.2085
0.008	4.93469
0.0085	20.04089
0.009	21.65222
0.0095	30.41382
0.01	40.1825
0.0105	40.48462
0.011	33.83789
0.0115	29.20532
0.012	25.78125
0.0125	25.47913
0.013	20.34302
0.0135	10.37292
0.014	10.27222
0.0145	9.26514
0.015	9.97009
0.0155	7.04956
0.016	17.6239
0.0165	8.96301
0.017	10.57434
0.0175	4.43115
0.018	4.93469
0.0185	8.35876
0.019	-0.40283
0.0195	5.74036
0.02	10.97717
0.0205	21.55151
0.021	24.37134
0.0215	19.94019
0.022	19.83948
0.0225	21.45081
0.023	19.53735
0.0235	19.53735
0.024	14.80408
0.0245	13.39417
0.025	10.17151
0.0255	12.48779
0.026	5.43823
0.0265	9.26514
0.027	9.16443
0.0275	3.02124
0.028	0.40283
0.0285	-6.2439
0.029	-7.04956
0.0295	-5.33752
0.03	-2.31628
0.0305	-1.10779
0.031	-4.83398
0.0315	-4.93469
0.032	-2.61841
0.0325	-7.65381
0.033	-5.13611
0.0335	-3.92761
0.034	-5.84106
0.0345	-4.12903
0.035	-7.85522
0.0355	-12.28638
0.036	-4.12903
0.0365	-11.17859
0.037	-5.0354
0.0375	-4.02832
0.038	-7.75452
0.0385	-2.92053
0.039	-10.77576
0.0395	-5.94177
0.04	-6.44531
0.0405	1.3092
0.041	-2.01416
0.0415	2.41699
0.042	8.45947
0.0425	13.09204
0.043	13.99841
0.0435	12.28638
0.044	13.69629
0.0445	5.74036
0.045	7.35168
0.0455	13.99841
0.046	6.3446
0.0465	11.98425
0.047	1.40991
0.0475	-4.93469
0.048	-6.54602
0.0485	-11.68213
0.049	-5.0354
0.0495	-1.71204
0.05	0.80566
0.0505	4.93469
0.051	8.45947
0.0515	15.91187
0.052	17.42249
0.0525	26.68762
0.053	26.98975
0.0535	33.43506
0.054	34.03931
0.0545	35.14709
0.055	26.18408
0.0555	22.05505
0.056	14.50195
0.0565	13.09204
0.057	14.40125
0.0575	9.26514
0.058	-1.51062
0.0585	1.51062
0.059	-2.41699
0.0595	8.25806
0.06	7.15027
0.0605	7.04956
0.061	4.12903
0.0615	-2.21558
0.062	-3.8269
0.0625	-4.53186
0.063	1.91345
0.0635	2.31628
0.064	2.81982
0.0645	-3.02124
0.065	-2.92053
0.0655	2.41699
0.066	0.50354
0.0665	-3.12195
0.067	-5.53894
0.0675	-4.43115
0.068	-5.94177
0.0685	-12.5885
0.069	-5.13611
0.0695	0.40283
0.07	6.14319
0.0705	10.97717
0.071	1.71204
0.0715	9.76868
0.072	8.56018
0.0725	17.6239
0.073	16.01257
0.0735	25.78125
0.074	25.177
0.0745	24.47205
0.075	18.73169
0.0755	13.19275
0.076	3.7262
0.0765	-0.30212
0.077	-0.10071
0.0775	7.35168
0.078	21.3501
0.0785	33.73718
0.079	31.52161
0.0795	28.29895
0.08	27.89612
0.0805	25.177
0.081	16.3147
0.0815	9.97009
0.082	2.92053
0.0825	-1.51062
0.083	-6.14319
0.0835	-11.2793
0.084	-14.19983
0.0845	-8.05664
0.085	-5.53894
0.0855	-7.15027
0.086	-9.36584
0.0865	-10.77576
0.087	-14.30054
0.0875	-13.69629
0.088	-10.27222
0.0885	-12.18567
0.089	-6.94885
0.0895	-7.04956
0.09	0.80566
0.0905	2.01416
0.091	12.48779
0.0915	17.6239
0.092	17.92603
0.0925	10.87646
0.093	13.09204
0.0935	9.46655
0.094	7.65381
0.0945	4.53186
0.095	-0.80566
0.0955	-2.41699
0.096	-6.54602
0.0965	-9.46655
0.097	-6.64673
0.0975	-8.25806
0.098	0.80566
0.0985	-2.41699
0.099	2.61841
0.0995	4.63257
0.1	0.10071
0.1005	8.45947
0.101	4.02832
0.1015	5.33752
0.102	11.38
0.1025	11.48071
0.103	7.45239
0.1035	8.7616
0.104	9.97009
0.1045	12.28638
0.105	19.73877
0.1055	15.81116
0.106	20.84656
0.1065	17.52319
0.107	5.33752
0.1075	2.92053
0.108	-3.32336
0.1085	-0.10071
0.109	0.30212
0.1095	4.02832
0.11	9.66797
0.1105	6.84814
0.111	6.64673
0.1115	3.32336
0.112	7.45239
0.1125	7.65381
0.113	7.04956
0.1135	11.98425
0.114	3.12195
0.1145	16.41541
0.115	12.28638
0.1155	11.88354
0.116	8.8623
0.1165	11.07788
0.117	4.63257
0.1175	-1.10779
0.118	-0.60425
0.1185	-6.04248
0.119	-7.45239
0.1195	-8.45947
0.12	-4.93469
0.1205	7.95593
0.121	13.59558
0.1215	12.68921
0.122	10.47363
0.1225	15.00549
0.123	7.65381
0.1235	2.21558
0.124	2.01416
0.1245	0.30212
0.125	1.71204
0.1255	2.81982
0.126	11.07788
0.1265	9.66797
0.127	-11.38
0.1275	-22.05505
0.128	-32.32727
0.1285	-26.18408
0.129	-30.2124
0.1295	-25.68054
0.13	-19.43665
0.1305	2.41699
0.131	13.59558
0.1315	21.55151
0.132	35.14709
0.1325	43.30444
0.133	41.59241
0.1335	35.34851
0.134	39.88037
0.1345	32.52869
0.135	32.22656
0.1355	27.99683
0.136	12.18567
0.1365	13.797
0.137	16.21399
0.1375	14.09912
0.138	0.80566
0.1385	-11.58142
0.139	-13.99841
0.1395	-13.99841
0.14	-13.09204
0.1405	-32.32727
0.141	-42.29736
0.1415	-43.00232
0.142	-45.92285
0.1425	-43.00232
0.143	-34.24072
0.1435	-30.91736
0.144	-21.65222
0.1445	-11.68213
0.145	14.19983
0.1455	21.65222
0.146	24.16992
0.1465	25.37842
0.147	44.81506
0.1475	41.29028
0.148	50.85754
0.1485	48.54126
0.149	54.38232
0.1495	58.30994
0.15	45.92285
0.1505	45.2179
0.151	40.38391
0.1515	34.84497
0.152	27.09045
0.1525	19.94019
0.153	22.25647
0.1535	23.76709
0.154	20.94727
0.1545	13.29346
0.155	14.80408
0.1555	19.23523
0.156	8.96301
0.1565	9.06372
0.157	4.33044
0.1575	5.74036
0.158	0.90637
0.1585	-4.53186
0.159	-2.21558
0.1595	2.21558
0.16	4.73328
0.1605	-2.41699
0.161	7.95593
0.1615	8.05664
0.162	4.73328
0.1625	7.5531
0.163	6.04248
0.1635	4.12903
0.164	4.12903
0.1645	4.02832
0.165	2.61841
0.1655	9.46655
0.166	21.85364
0.1665	25.88196
0.167	23.56567
0.1675	17.32178
0.168	13.39417
0.1685	15.30762
0.169	10.87646
0.1695	7.45239
0.17	13.09204
0.1705	2.01416
0.171	6.04248
0.1715	9.36584
0.172	6.3446
0.1725	2.92053
0.173	6.54602
0.1735	9.76868
0.174	11.48071
0.1745	8.05664
0.175	-3.52478
0.1755	-13.89771
0.176	-19.03381
0.1765	-14.70337
0.177	-16.41541
0.1775	-5.13611
0.178	-10.0708
0.1785	-11.68213
0.179	-12.5885
0.1795	-6.64673
0.18	-2.92053
0.1805	0.80566
0.181	-3.52478
0.1815	-5.13611
0.182	-9.16443
0.1825	-8.96301
0.183	-8.45947
0.1835	-1.71204
0.184	-5.53894
0.1845	-3.42407
0.185	-7.15027
0.1855	-10.17151
0.186	-14.30054
0.1865	-17.12036
0.187	-17.22107
0.1875	-21.95435
0.188	-16.61682
0.1885	-15.81116
0.189	-10.57434
0.1895	-3.22266
0.19	-5.33752
0.1905	3.12195
0.191	11.38
0.1915	11.68213
0.192	14.40125
0.1925	20.74585
0.193	17.6239
0.1935	18.63098
0.194	19.33594
0.1945	17.52319
0.195	16.01257
0.1955	15.91187
0.196	24.57275
0.1965	26.88904
0.197	20.34302
0.1975	25.78125
0.198	17.01965
0.1985	19.73877
0.199	23.36426
0.1995	18.42957
0.2	12.78992
0.2005	12.78992
0.201	14.60266
0.2015	4.43115
0.202	2.21558
0.2025	4.12903
0.203	6.04248
0.2035	-0.40283
0.204	-2.92053
0.2045	-5.33752
0.205	2.71912
0.2055	3.7262
0.206	4.93469
0.2065	-0.80566
0.207	0.20142
0.2075	0.90637
