Alex_Venditti_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0	78.55225
0.0005	92.14783
0.001	96.37756
0.0015	78.14941
0.002	61.93542
0.0025	59.71985
0.003	53.97949
0.0035	47.13135
0.004	44.31152
0.0045	41.4917
0.005	46.42639
0.0055	47.7356
0.006	51.96533
0.0065	60.4248
0.007	57.20215
0.0075	56.09436
0.008	53.27454
0.0085	56.29578
0.009	51.76392
0.0095	44.81506
0.01	22.76001
0.0105	-0.10071
0.011	-20.54443
0.0115	-41.59241
0.012	-68.48145
0.0125	-120.95032
0.013	-136.76147
0.0135	-126.79138
0.014	-106.54907
0.0145	-75.02747
0.015	-43.70728
0.0155	-11.68213
0.016	11.98425
0.0165	16.11328
0.017	9.16443
0.0175	-1.2085
0.018	-3.52478
0.0185	5.74036
0.019	6.04248
0.0195	18.12744
0.02	26.78833
0.0205	30.91736
0.021	38.77258
0.0215	46.42639
0.022	55.99365
0.0225	58.81348
0.023	60.62622
0.0235	56.39648
0.024	54.48303
0.0245	43.80798
0.025	26.18408
0.0255	-1.51062
0.026	-18.93311
0.0265	-20.74585
0.027	-18.63098
0.0275	-19.13452
0.028	-8.35876
0.0285	3.92761
0.029	5.43823
0.0295	11.98425
0.03	12.99133
0.0305	-6.04248
0.031	-21.65222
0.0315	-27.09045
0.032	-22.05505
0.0325	-37.66479
0.033	-46.92993
0.0335	-59.31702
0.034	-82.88269
0.0345	-98.0896
0.035	-105.6427
0.0355	-102.42004
0.036	-100.20447
0.0365	-101.9165
0.037	-89.63013
0.0375	-65.96375
0.038	-42.49878
0.0385	-7.75452
0.039	17.22107
0.0395	40.08179
0.04	66.36658
0.0405	73.31543
0.041	65.76233
0.0415	57.30286
0.042	54.18091
0.0425	54.18091
0.043	55.59082
0.0435	45.72144
0.044	37.56409
0.0445	34.44214
0.045	37.7655
0.0455	42.90161
0.046	47.53418
0.0465	46.82922
0.047	39.67896
0.0475	38.974
0.048	35.14709
0.0485	26.88904
0.049	25.57983
0.0495	12.18567
0.05	-0.10071
0.0505	1.00708
0.051	2.92053
0.0515	-0.70496
0.052	-0.10071
0.0525	3.02124
0.053	10.27222
0.0535	14.50195
0.054	21.85364
0.0545	20.34302
0.055	11.68213
0.0555	-20.34302
0.056	-96.67969
0.0565	-151.26343
0.057	-165.86609
0.0575	-158.81653
0.058	-146.53015
0.0585	-108.46252
0.059	-66.26587
0.0595	-32.22656
0.06	-8.56018
0.0605	24.77417
0.061	54.88586
0.0615	80.06287
0.062	95.26978
0.0625	104.4342
0.063	110.98022
0.0635	112.39014
0.064	101.8158
0.0645	88.72375
0.065	84.89685
0.0655	76.94092
0.066	57.20215
0.0665	36.55701
0.067	23.76709
0.0675	15.1062
0.068	13.39417
0.0685	11.58142
0.069	5.94177
0.0695	1.81274
0.07	-0.70496
0.0705	-5.74036
0.071	-4.43115
0.0715	-12.28638
0.072	-18.93311
0.0725	-60.52551
0.073	-119.74182
0.0735	-161.53564
0.074	-225.38452
0.0745	-273.12012
0.075	-301.11694
0.0755	-281.88171
0.076	-237.06665
0.0765	-190.94238
0.077	-155.79529
0.0775	-127.29492
0.078	-83.08411
0.0785	-26.08337
0.079	30.01099
0.0795	83.08411
0.08	119.4397
0.0805	153.27759
0.081	171.40503
0.0815	171.50574
0.082	159.21936
0.0825	155.896
0.083	148.24219
0.0835	137.46643
0.084	126.9928
0.0845	114.20288
0.085	99.49951
0.0855	87.91809
0.086	81.87561
0.0865	78.45154
0.087	73.91968
0.0875	77.24304
0.088	78.14941
0.0885	94.56482
0.089	100.20447
0.0895	103.72925
0.09	95.97473
0.0905	89.63013
0.091	72.61047
0.0915	55.69153
0.092	9.56726
0.0925	-63.64746
0.093	-115.41138
0.0935	-146.93298
0.094	-139.07776
0.0945	-120.64819
0.095	-92.44995
0.0955	-63.54675
0.096	-30.01099
0.0965	5.0354
0.097	38.974
0.0975	65.05737
0.098	87.41455
0.0985	100.20447
0.099	102.52075
0.0995	93.35632
0.1	86.30676
0.1005	72.10693
0.101	68.07861
0.1015	52.46887
0.102	36.65771
0.1025	14.80408
0.103	-32.83081
0.1035	-74.82605
0.104	-86.30676
0.1045	-76.84021
0.105	-53.67737
0.1055	-28.80249
0.106	-9.36584
0.1065	7.04956
0.107	33.23364
0.1075	41.39099
0.108	55.08728
0.1085	55.79224
0.109	51.66321
0.1095	44.11011
0.11	41.08887
0.1105	31.4209
0.111	31.72302
0.1115	25.07629
0.112	15.71045
0.1125	15.81116
0.113	18.8324
0.1135	22.25647
0.114	15.91187
0.1145	13.49487
0.115	13.39417
0.1155	11.78284
0.116	8.45947
0.1165	11.2793
0.117	10.77576
0.1175	8.7616
0.118	5.0354
0.1185	1.61133
0.119	-0.40283
0.1195	-0.80566
0.12	-6.04248
0.1205	-9.16443
0.121	-16.21399
0.1215	-15.91187
0.122	-16.3147
0.1225	-36.15417
0.123	-65.46021
0.1235	-75.73242
0.124	-76.63879
0.1245	-65.46021
0.125	-54.78516
0.1255	-45.82214
0.126	-34.34143
0.1265	-14.50195
0.127	-5.53894
0.1275	6.64673
0.128	13.69629
0.1285	6.54602
0.129	9.26514
0.1295	-14.19983
0.13	-31.72302
0.1305	-44.21082
0.131	-50.65613
0.1315	-68.88428
0.132	-131.62537
0.1325	-186.81335
0.133	-282.38525
0.1335	-327.60315
0.134	-320.55359
0.1345	-268.38684
0.135	-196.98486
0.1355	-116.11633
0.136	-34.03931
0.1365	38.77258
0.137	107.05261
0.1375	161.0321
0.138	199.70398
0.1385	229.61426
0.139	238.77869
0.1395	236.36169
0.14	232.33337
0.1405	221.3562
0.141	198.59619
0.1415	170.09583
0.142	147.23511
0.1425	138.27209
0.143	130.11475
0.1435	111.48376
0.144	90.73792
0.1445	70.29419
0.145	49.34692
0.1455	41.59241
0.146	33.83789
0.1465	24.06921
0.147	11.07788
0.1475	3.22266
0.148	6.44531
0.1485	5.43823
0.149	0
0.1495	-0.20142
0.15	-19.83948
0.1505	-40.08179
0.151	-50.85754
0.1515	-60.92834
0.152	-97.48535
0.1525	-125.58289
0.153	-134.24377
0.1535	-150.75989
0.154	-141.19263
0.1545	-123.66943
0.155	-91.24146
0.1555	-59.1156
0.156	-22.6593
0.1565	2.81982
0.157	19.73877
0.1575	27.59399
0.158	22.96143
0.1585	25.27771
0.159	23.26355
0.1595	28.70178
0.16	34.94568
0.1605	33.03223
0.161	38.57117
0.1615	43.90869
0.162	42.90161
0.1625	29.50745
0.163	1.10779
0.1635	-32.22656
0.164	-61.12976
0.1645	-57.8064
0.165	-59.71985
0.1655	-64.55383
0.166	-51.46179
0.1665	-47.03064
0.167	-29.40674
0.1675	-8.56018
0.168	13.29346
0.1685	40.78674
0.169	65.66162
0.1695	88.0188
0.17	98.59314
0.1705	100.90942
0.171	92.85278
