Alex_Venditti_Left_1.c3d  



Time(s):	A_R_bicipite(μV):
0	5.13611
0.0005	6.94885
0.001	7.95593
0.0015	5.94177
0.002	8.96301
0.0025	10.0708
0.003	8.66089
0.0035	9.06372
0.004	12.89062
0.0045	9.76868
0.005	5.43823
0.0055	4.73328
0.006	3.52478
0.0065	3.12195
0.007	1.3092
0.0075	5.43823
0.008	6.14319
0.0085	7.35168
0.009	6.04248
0.0095	4.43115
0.01	2.5177
0.0105	8.35876
0.011	12.48779
0.0115	7.25098
0.012	9.56726
0.0125	11.48071
0.013	8.56018
0.0135	1.10779
0.014	2.11487
0.0145	7.35168
0.015	9.26514
0.0155	12.08496
0.016	5.53894
0.0165	5.43823
0.017	9.46655
0.0175	9.56726
0.018	6.04248
0.0185	9.46655
0.019	9.66797
0.0195	1.71204
0.02	14.50195
0.0205	11.07788
0.021	7.35168
0.0215	12.89062
0.022	11.07788
0.0225	7.5531
0.023	8.35876
0.0235	4.53186
0.024	11.07788
0.0245	12.08496
0.025	15.71045
0.0255	11.17859
0.026	10.77576
0.0265	8.35876
0.027	13.797
0.0275	11.88354
0.028	10.0708
0.0285	2.92053
0.029	7.85522
0.0295	9.86938
0.03	7.04956
0.0305	12.89062
0.031	5.23682
0.0315	3.62549
0.032	5.13611
0.0325	-2.21558
0.033	2.61841
0.0335	9.97009
0.034	5.33752
0.0345	6.3446
0.035	8.56018
0.0355	6.74744
0.036	3.52478
0.0365	6.44531
0.037	9.97009
0.0375	2.71912
0.038	8.15735
0.0385	10.0708
0.039	8.45947
0.0395	2.31628
0.04	4.12903
0.0405	5.33752
0.041	7.25098
0.0415	0.90637
0.042	4.53186
0.0425	7.45239
0.043	11.38
0.0435	7.75452
0.044	8.15735
0.0445	5.0354
0.045	1.2085
0.0455	7.35168
0.046	7.65381
0.0465	6.54602
0.047	6.44531
0.0475	10.97717
0.048	12.5885
0.0485	10.17151
0.049	8.56018
0.0495	8.56018
0.05	8.15735
0.0505	3.12195
0.051	4.63257
0.0515	8.96301
0.052	5.84106
0.0525	7.45239
0.053	11.17859
0.0535	10.67505
0.054	4.93469
0.0545	13.797
0.055	4.73328
0.0555	9.36584
0.056	4.93469
0.0565	3.92761
0.057	3.12195
0.0575	4.33044
0.058	4.22974
0.0585	7.65381
0.059	9.56726
0.0595	3.12195
0.06	6.2439
0.0605	4.12903
0.061	6.14319
0.0615	4.93469
0.062	6.3446
0.0625	9.06372
0.063	2.61841
0.0635	3.7262
0.064	9.46655
0.0645	9.36584
0.065	3.42407
0.0655	3.52478
0.066	5.0354
0.0665	6.14319
0.067	4.43115
0.0675	1.61133
0.068	1.61133
0.0685	2.5177
0.069	-2.5177
0.0695	5.23682
0.07	3.12195
0.0705	-1.2085
0.071	0.60425
0.0715	6.74744
0.072	4.93469
0.0725	3.02124
0.073	4.53186
0.0735	6.44531
0.074	1.91345
0.0745	5.84106
0.075	7.35168
0.0755	9.16443
0.076	10.17151
0.0765	13.09204
0.077	15.71045
0.0775	11.88354
0.078	4.22974
0.0785	6.64673
0.079	7.04956
0.0795	9.97009
0.08	5.23682
0.0805	7.65381
0.081	8.35876
0.0815	5.94177
0.082	8.05664
0.0825	5.74036
0.083	3.12195
0.0835	3.22266
0.084	7.85522
0.0845	4.12903
0.085	3.32336
0.0855	5.53894
0.086	11.48071
0.0865	8.7616
0.087	3.92761
0.0875	5.84106
0.088	4.12903
0.0885	6.74744
0.089	5.63965
0.0895	2.71912
0.09	5.33752
0.0905	3.42407
0.091	1.71204
0.0915	1.91345
0.092	6.94885
0.0925	5.84106
0.093	4.93469
0.0935	8.45947
0.094	5.53894
0.0945	2.5177
0.095	-1.51062
0.0955	8.35876
0.096	6.44531
0.0965	6.2439
0.097	2.81982
0.0975	3.8269
0.098	1.91345
0.0985	2.81982
0.099	6.3446
0.0995	6.44531
0.1	1.3092
0.1005	11.38
0.101	7.75452
0.1015	11.48071
0.102	15.00549
0.1025	9.16443
0.103	8.66089
0.1035	7.95593
0.104	10.17151
0.1045	10.17151
0.105	14.90479
0.1055	6.14319
0.106	5.0354
0.1065	9.06372
0.107	9.36584
0.1075	6.94885
0.108	9.97009
0.1085	12.78992
0.109	9.46655
0.1095	4.83398
0.11	10.57434
0.1105	13.69629
0.111	13.29346
0.1115	4.93469
0.112	6.94885
0.1125	8.15735
0.113	9.86938
0.1135	4.53186
0.114	7.25098
0.1145	10.57434
0.115	7.25098
0.1155	10.87646
0.116	7.5531
0.1165	2.41699
0.117	3.92761
0.1175	6.54602
0.118	7.65381
0.1185	7.75452
0.119	8.66089
0.1195	9.56726
0.12	6.84814
0.1205	7.65381
0.121	5.74036
0.1215	9.66797
0.122	6.2439
0.1225	0.70496
0.123	3.22266
0.1235	1.00708
0.124	2.5177
0.1245	-1.2085
0.125	4.73328
0.1255	-0.30212
0.126	2.71912
0.1265	6.44531
0.127	5.0354
0.1275	7.85522
0.128	7.95593
0.1285	5.23682
0.129	10.37292
0.1295	7.25098
0.13	9.97009
0.1305	7.65381
0.131	9.36584
