Alex_Venditti_Left_3.c3d  



Time(s):	B_L_bicipite(μV):
0	3.12195
0.0005	4.93469
0.001	4.63257
0.0015	2.11487
0.002	3.12195
0.0025	1.00708
0.003	5.63965
0.0035	3.22266
0.004	2.81982
0.0045	-0.90637
0.005	3.02124
0.0055	5.84106
0.006	2.92053
0.0065	0.70496
0.007	3.62549
0.0075	5.84106
0.008	8.15735
0.0085	2.81982
0.009	-0.50354
0.0095	-0.50354
0.01	3.22266
0.0105	3.32336
0.011	7.75452
0.0115	6.14319
0.012	4.53186
0.0125	4.53186
0.013	6.74744
0.0135	10.67505
0.014	8.66089
0.0145	4.63257
0.015	-4.12903
0.0155	4.73328
0.016	9.97009
0.0165	3.32336
0.017	-0.20142
0.0175	2.5177
0.018	3.02124
0.0185	-1.91345
0.019	2.31628
0.0195	-1.40991
0.02	5.0354
0.0205	5.0354
0.021	3.42407
0.0215	2.21558
0.022	7.04956
0.0225	8.15735
0.023	8.56018
0.0235	7.35168
0.024	5.0354
0.0245	6.3446
0.025	0
0.0255	0.10071
0.026	0.80566
0.0265	-0.40283
0.027	1.10779
0.0275	4.63257
0.028	3.92761
0.0285	5.13611
0.029	5.94177
0.0295	3.62549
0.03	3.22266
0.0305	1.00708
0.031	-0.50354
0.0315	2.5177
0.032	7.65381
0.0325	1.2085
0.033	4.02832
0.0335	5.94177
0.034	0.30212
0.0345	2.41699
0.035	7.25098
0.0355	3.8269
0.036	0.20142
0.0365	1.10779
0.037	3.22266
0.0375	5.53894
0.038	3.92761
0.0385	5.53894
0.039	4.53186
0.0395	0.60425
0.04	10.77576
0.0405	6.64673
0.041	10.47363
0.0415	8.7616
0.042	8.35876
0.0425	9.36584
0.043	17.01965
0.0435	3.52478
0.044	2.81982
0.0445	10.87646
0.045	5.84106
0.0455	4.43115
0.046	8.7616
0.0465	9.76868
0.047	5.84106
0.0475	4.93469
0.048	11.78284
0.0485	10.87646
0.049	2.5177
0.0495	2.92053
0.05	2.31628
0.0505	1.91345
0.051	7.15027
0.0515	9.97009
0.052	10.77576
0.0525	8.15735
0.053	13.19275
0.0535	7.75452
0.054	7.95593
0.0545	3.02124
0.055	3.32336
0.0555	11.98425
0.056	4.73328
0.0565	8.66089
0.057	2.61841
0.0575	3.22266
0.058	4.22974
0.0585	7.35168
0.059	7.85522
0.0595	7.45239
0.06	2.31628
0.0605	4.02832
0.061	5.23682
0.0615	10.27222
0.062	4.83398
0.0625	2.11487
0.063	2.11487
0.0635	3.42407
0.064	6.84814
0.0645	1.81274
0.065	-3.8269
0.0655	2.21558
0.066	1.2085
0.0665	1.2085
0.067	7.65381
0.0675	8.15735
0.068	7.65381
0.0685	9.97009
0.069	7.95593
0.0695	7.85522
0.07	4.83398
0.0705	10.17151
0.071	11.88354
0.0715	10.77576
0.072	8.96301
0.0725	8.45947
0.073	8.15735
0.0735	5.53894
0.074	1.40991
0.0745	2.71912
0.075	1.81274
0.0755	11.07788
0.076	4.83398
0.0765	5.23682
0.077	5.53894
0.0775	7.25098
0.078	9.26514
0.0785	10.0708
0.079	12.08496
0.0795	1.00708
0.08	10.37292
0.0805	6.3446
0.081	-1.40991
0.0815	6.44531
0.082	5.84106
0.0825	3.02124
0.083	3.8269
0.0835	6.2439
0.084	0.60425
0.0845	5.84106
0.085	8.25806
0.0855	4.12903
0.086	2.21558
0.0865	-0.20142
0.087	3.12195
0.0875	4.43115
0.088	3.62549
0.0885	3.7262
0.089	6.14319
0.0895	9.46655
0.09	10.27222
0.0905	4.93469
0.091	3.42407
0.0915	6.2439
0.092	1.00708
0.0925	7.15027
0.093	12.5885
0.0935	3.8269
0.094	4.43115
0.0945	6.54602
0.095	5.74036
0.0955	5.63965
0.096	6.3446
0.0965	6.14319
0.097	5.94177
0.0975	8.15735
0.098	4.22974
0.0985	2.41699
0.099	4.22974
0.0995	3.52478
0.1	-0.60425
0.1005	9.16443
0.101	6.44531
0.1015	3.52478
0.102	10.47363
0.1025	9.97009
0.103	4.22974
0.1035	5.94177
0.104	3.42407
0.1045	8.25806
0.105	17.32178
0.1055	7.25098
0.106	6.64673
0.1065	12.48779
0.107	7.75452
0.1075	-1.40991
0.108	3.7262
0.1085	8.7616
0.109	4.73328
0.1095	3.32336
0.11	4.83398
0.1105	6.74744
0.111	0.80566
0.1115	1.10779
0.112	2.92053
0.1125	0.20142
0.113	2.71912
0.1135	-1.3092
0.114	2.71912
0.1145	2.71912
0.115	5.0354
0.1155	1.81274
0.116	1.71204
0.1165	-0.50354
0.117	1.2085
0.1175	7.04956
0.118	3.52478
0.1185	3.52478
0.119	5.0354
0.1195	0.40283
0.12	0.60425
0.1205	0.90637
0.121	0.10071
0.1215	2.61841
0.122	9.06372
0.1225	3.32336
0.123	4.12903
0.1235	2.01416
0.124	6.04248
0.1245	5.33752
0.125	4.93469
0.1255	2.41699
0.126	-1.3092
0.1265	2.01416
0.127	1.2085
0.1275	7.15027
0.128	3.12195
0.1285	5.63965
0.129	3.7262
0.1295	12.18567
0.13	3.02124
0.1305	-0.10071
0.131	4.43115
0.1315	5.63965
0.132	0.10071
0.1325	2.5177
0.133	10.17151
0.1335	7.45239
0.134	1.51062
0.1345	5.33752
0.135	2.61841
0.1355	5.0354
0.136	0.10071
0.1365	8.66089
0.137	8.7616
0.1375	6.3446
0.138	5.0354
0.1385	0.50354
0.139	7.85522
0.1395	6.54602
0.14	7.65381
0.1405	11.48071
0.141	11.68213
0.1415	10.0708
0.142	4.73328
0.1425	4.43115
0.143	5.33752
0.1435	4.02832
0.144	9.86938
0.1445	10.0708
0.145	1.71204
0.1455	2.61841
0.146	7.04956
0.1465	1.71204
0.147	-0.10071
0.1475	3.8269
0.148	4.43115
0.1485	4.53186
0.149	6.3446
0.1495	-1.10779
0.15	0.70496
0.1505	3.42407
0.151	4.43115
0.1515	1.51062
0.152	3.7262
0.1525	3.12195
0.153	1.00708
0.1535	7.65381
0.154	8.96301
0.1545	6.94885
0.155	-0.20142
0.1555	-2.41699
0.156	3.7262
0.1565	3.02124
0.157	1.00708
0.1575	2.81982
0.158	1.51062
0.1585	3.12195
0.159	2.5177
0.1595	8.8623
0.16	5.94177
0.1605	5.43823
0.161	7.25098
0.1615	11.58142
0.162	13.09204
0.1625	9.86938
0.163	13.49487
0.1635	7.15027
0.164	6.44531
0.1645	14.09912
0.165	8.7616
0.1655	11.88354
0.166	7.65381
0.1665	10.97717
0.167	10.67505
0.1675	11.38
0.168	10.77576
0.1685	10.47363
0.169	13.99841
0.1695	4.83398
0.17	4.63257
0.1705	6.04248
0.171	5.43823
0.1715	9.36584
0.172	10.87646
0.1725	11.78284
0.173	8.7616
0.1735	6.2439
0.174	9.46655
0.1745	5.94177
0.175	13.99841
0.1755	6.44531
0.176	6.74744
0.1765	12.38708
0.177	5.43823
0.1775	6.04248
0.178	9.56726
0.1785	13.09204
0.179	12.38708
0.1795	8.45947
0.18	4.83398
0.1805	1.51062
0.181	5.43823
0.1815	4.43115
0.182	3.22266
0.1825	0.80566
0.183	5.84106
0.1835	7.35168
0.184	5.94177
0.1845	1.71204
0.185	5.33752
0.1855	9.26514
0.186	10.87646
0.1865	6.64673
0.187	3.7262
0.1875	11.78284
0.188	9.56726
0.1885	8.05664
0.189	9.06372
0.1895	4.53186
0.19	1.3092
0.1905	7.75452
0.191	10.97717
0.1915	2.92053
0.192	4.63257
0.1925	11.78284
0.193	4.22974
0.1935	4.02832
0.194	4.53186
0.1945	8.7616
0.195	6.54602
0.1955	4.43115
0.196	7.15027
0.1965	1.51062
0.197	6.74744
0.1975	4.43115
0.198	4.02832
0.1985	0.30212
0.199	4.22974
0.1995	3.7262
0.2	-1.3092
0.2005	2.11487
0.201	0
0.2015	0.50354
0.202	-3.22266
0.2025	-0.80566
0.203	1.91345
0.2035	-1.91345
0.204	3.62549
0.2045	9.66797
0.205	2.81982
0.2055	5.23682
0.206	6.14319
0.2065	0.70496
0.207	-1.10779
0.2075	-2.61841
0.208	0.30212
0.2085	7.25098
0.209	4.43115
0.2095	0.90637
0.21	7.75452
0.2105	4.53186
0.211	3.32336
0.2115	3.52478
0.212	3.42407
0.2125	-0.90637
0.213	2.01416
0.2135	9.06372
0.214	2.11487
0.2145	4.83398
0.215	6.64673
0.2155	6.2439
0.216	4.73328
0.2165	2.61841
0.217	5.13611
0.2175	12.48779
0.218	7.45239
0.2185	7.04956
0.219	9.66797
0.2195	5.0354
0.22	8.05664
0.2205	10.57434
0.221	4.33044
0.2215	8.96301
0.222	7.04956
0.2225	13.09204
0.223	12.28638
0.2235	10.17151
0.224	6.84814
0.2245	10.67505
0.225	6.14319
0.2255	9.97009
0.226	8.7616
0.2265	2.21558
0.227	4.02832
0.2275	2.11487
0.228	2.5177
0.2285	3.22266
0.229	7.75452
0.2295	7.04956
0.23	4.12903
0.2305	4.63257
0.231	4.22974
0.2315	10.67505
0.232	6.54602
0.2325	8.25806
0.233	6.44531
0.2335	1.81274
0.234	5.63965
0.2345	2.41699
0.235	2.21558
0.2355	3.22266
0.236	3.42407
0.2365	6.14319
0.237	5.23682
0.2375	4.73328
0.238	4.83398
0.2385	3.52478
0.239	9.46655
0.2395	2.21558
0.24	8.96301
0.2405	8.8623
0.241	1.40991
0.2415	3.62549
0.242	5.63965
0.2425	5.43823
0.243	4.22974
0.2435	5.33752
0.244	3.62549
0.2445	-0.60425
0.245	6.14319
0.2455	2.61841
0.246	-0.60425
0.2465	5.53894
0.247	4.93469
0.2475	0.60425
0.248	-1.10779
0.2485	2.61841
0.249	3.12195
0.2495	6.14319
0.25	4.33044
0.2505	9.76868
0.251	8.25806
0.2515	5.0354
0.252	2.41699
0.2525	4.63257
0.253	5.74036
0.2535	5.94177
0.254	3.8269
0.2545	9.66797
0.255	1.81274
0.2555	1.51062
0.256	3.92761
0.2565	0.20142
0.257	5.33752
0.2575	7.5531
0.258	5.53894
