Antonio_Festa_Right_3.c3d  



Time(s):	B_L_bicipite(μV):
0	44.0094
0.0005	42.90161
0.001	39.67896
0.0015	40.98816
0.002	41.08887
0.0025	33.43506
0.003	39.47754
0.0035	36.75842
0.004	27.39258
0.0045	17.82532
0.005	18.42957
0.0055	9.86938
0.006	-6.84814
0.0065	-16.91895
0.007	-17.32178
0.0075	-19.23523
0.008	-22.96143
0.0085	-13.99841
0.009	-12.99133
0.0095	-7.65381
0.01	-3.32336
0.0105	-5.74036
0.011	-1.3092
0.0115	-1.40991
0.012	-4.63257
0.0125	-12.18567
0.013	-23.96851
0.0135	-23.66638
0.014	-33.13293
0.0145	-35.85205
0.015	-35.44922
0.0155	-33.23364
0.016	-22.15576
0.0165	-20.94727
0.017	-18.93311
0.0175	-18.8324
0.018	-11.68213
0.0185	-3.22266
0.019	1.61133
0.0195	15.50903
0.02	20.44373
0.0205	25.78125
0.021	32.52869
0.0215	29.50745
0.022	21.85364
0.0225	15.40833
0.023	13.59558
0.0235	18.53027
0.024	27.89612
0.0245	28.50037
0.025	34.64355
0.0255	36.05347
0.026	35.14709
0.0265	21.3501
0.027	15.00549
0.0275	1.61133
0.028	3.8269
0.0285	10.17151
0.029	13.29346
0.0295	13.89771
0.03	27.19116
0.0305	13.49487
0.031	16.3147
0.0315	18.42957
0.032	19.03381
0.0325	19.94019
0.033	14.19983
0.0335	14.30054
0.034	18.53027
0.0345	21.45081
0.035	21.75293
0.0355	18.73169
0.036	22.55859
0.0365	17.12036
0.037	13.19275
0.0375	4.93469
0.038	6.94885
0.0385	5.33752
0.039	-3.8269
0.0395	-4.02832
0.04	1.81274
0.0405	-0.50354
0.041	4.83398
0.0415	14.60266
0.042	14.09912
0.0425	10.17151
0.043	6.14319
0.0435	4.12903
0.044	-11.07788
0.0445	-22.96143
0.045	-36.05347
0.0455	-46.72852
0.046	-60.4248
0.0465	-84.59473
0.047	-114.70642
0.0475	-148.04077
0.048	-188.82751
0.0485	-224.37744
