Antonio_Festa_Right_3.c3d  



Time(s):	C_R_bicipite(μV):
0	5.63965
0.0005	7.45239
0.001	13.19275
0.0015	8.96301
0.002	7.25098
0.0025	12.48779
0.003	10.67505
0.0035	8.25806
0.004	10.57434
0.0045	2.31628
0.005	5.84106
0.0055	6.74744
0.006	-1.61133
0.0065	5.33752
0.007	-1.3092
0.0075	0
0.008	1.81274
0.0085	-0.80566
0.009	-7.5531
0.0095	-4.63257
0.01	-1.10779
0.0105	-3.92761
0.011	-10.87646
0.0115	-6.84814
0.012	-10.0708
0.0125	-7.65381
0.013	-9.46655
0.0135	-8.25806
0.014	-7.75452
0.0145	-10.97717
0.015	-11.78284
0.0155	-13.19275
0.016	-5.94177
0.0165	-3.7262
0.017	-4.12903
0.0175	-6.64673
0.018	-1.81274
0.0185	-4.22974
0.019	-7.35168
0.0195	-4.93469
0.02	-8.45947
0.0205	-7.5531
0.021	-7.04956
0.0215	-7.45239
0.022	-4.83398
0.0225	-2.31628
0.023	-3.8269
0.0235	-3.52478
0.024	-3.7262
0.0245	-5.53894
0.025	1.40991
0.0255	1.2085
0.026	-3.32336
0.0265	-3.62549
0.027	-4.43115
0.0275	-3.12195
0.028	-8.66089
0.0285	-4.53186
0.029	-6.44531
0.0295	-0.20142
0.03	-3.92761
0.0305	-6.3446
0.031	-8.8623
0.0315	-4.22974
0.032	-4.22974
0.0325	-2.21558
0.033	0.80566
0.0335	2.11487
0.034	2.21558
0.0345	-3.22266
0.035	0.70496
0.0355	3.02124
0.036	1.2085
0.0365	5.0354
0.037	3.8269
0.0375	4.33044
0.038	7.25098
0.0385	6.04248
0.039	4.93469
0.0395	0.70496
0.04	7.85522
0.0405	2.71912
0.041	4.02832
0.0415	-1.3092
0.042	-6.44531
0.0425	-8.66089
0.043	-3.52478
0.0435	-4.22974
0.044	-6.74744
0.0445	-7.75452
0.045	-13.69629
0.0455	-11.2793
0.046	-8.7616
0.0465	-6.14319
0.047	-5.94177
0.0475	-3.22266
0.048	-4.53186
0.0485	-4.43115
0.049	-1.81274
0.0495	-0.30212
0.05	-8.56018
0.0505	-7.75452
0.051	-6.04248
0.0515	-11.78284
0.052	-3.32336
0.0525	-10.67505
0.053	-9.06372
0.0535	-6.14319
0.054	-7.95593
0.0545	-13.09204
0.055	-8.35876
0.0555	-9.97009
0.056	-16.21399
0.0565	-10.37292
0.057	-17.92603
0.0575	-20.54443
0.058	-13.49487
0.0585	-10.77576
0.059	-11.17859
0.0595	-17.82532
0.06	-11.07788
0.0605	-11.88354
0.061	-7.85522
0.0615	-5.53894
0.062	-3.32336
0.0625	0.30212
0.063	3.7262
0.0635	1.71204
0.064	5.43823
0.0645	3.8269
0.065	3.52478
0.0655	-0.20142
0.066	2.92053
0.0665	3.7262
0.067	5.63965
0.0675	3.02124
0.068	3.92761
0.0685	-3.32336
0.069	-2.61841
0.0695	-3.92761
0.07	-3.62549
0.0705	-6.84814
0.071	-7.04956
0.0715	-5.33752
0.072	-10.97717
0.0725	-14.60266
0.073	-14.80408
0.0735	-14.90479
0.074	-20.74585
0.0745	-25.27771
0.075	-23.06213
0.0755	-21.85364
0.076	-18.22815
0.0765	-11.38
0.077	-10.97717
0.0775	-2.31628
0.078	2.01416
0.0785	4.63257
0.079	11.07788
0.0795	17.52319
0.08	26.3855
0.0805	30.51453
0.081	34.44214
0.0815	36.95984
0.082	32.22656
0.0825	30.01099
0.083	32.02515
0.0835	31.21948
0.084	30.81665
0.0845	29.00391
0.085	23.46497
0.0855	27.99683
0.086	21.85364
0.0865	19.03381
0.087	19.53735
0.0875	18.22815
0.088	23.36426
0.0885	16.21399
0.089	15.00549
0.0895	6.84814
0.09	1.40991
0.0905	2.5177
0.091	4.53186
0.0915	10.17151
0.092	0.40283
0.0925	2.92053
0.093	0.90637
0.0935	0.10071
0.094	2.92053
0.0945	3.12195
0.095	1.61133
0.0955	-2.81982
0.096	4.43115
0.0965	0.60425
0.097	-4.33044
0.0975	-2.61841
0.098	2.31628
0.0985	3.8269
0.099	4.93469
0.0995	2.41699
0.1	4.93469
0.1005	-0.30212
0.101	2.11487
0.1015	5.84106
0.102	2.5177
0.1025	1.3092
0.103	1.40991
0.1035	-3.62549
0.104	-0.70496
0.1045	-2.81982
0.105	-4.93469
0.1055	-5.13611
0.106	-5.43823
0.1065	-4.53186
0.107	-12.89062
0.1075	-9.36584
0.108	-5.43823
0.1085	-0.90637
0.109	-0.40283
0.1095	6.44531
0.11	10.57434
0.1105	11.17859
0.111	11.48071
0.1115	10.77576
0.112	11.98425
0.1125	13.49487
0.113	10.77576
0.1135	15.20691
0.114	16.91895
0.1145	11.17859
0.115	10.47363
0.1155	12.28638
0.116	1.81274
0.1165	6.04248
0.117	4.33044
0.1175	0
0.118	-1.71204
0.1185	-2.81982
0.119	-4.93469
0.1195	1.3092
0.12	-2.5177
0.1205	-3.92761
0.121	-10.77576
0.1215	-15.81116
0.122	-13.797
0.1225	-13.89771
0.123	-7.75452
0.1235	-4.53186
0.124	-4.53186
0.1245	-9.36584
0.125	0
0.1255	-0.40283
0.126	-3.62549
0.1265	-0.20142
0.127	-2.41699
0.1275	0.10071
0.128	-1.2085
0.1285	1.40991
0.129	3.62549
0.1295	2.81982
0.13	-0.10071
0.1305	4.22974
0.131	-0.50354
0.1315	1.81274
0.132	2.92053
0.1325	6.64673
0.133	5.23682
0.1335	6.84814
0.134	9.97009
0.1345	-2.31628
0.135	7.35168
0.1355	2.31628
0.136	6.64673
0.1365	2.81982
0.137	-3.52478
0.1375	1.40991
0.138	7.65381
0.1385	3.12195
0.139	6.2439
0.1395	4.22974
0.14	2.71912
0.1405	0.10071
0.141	2.41699
0.1415	4.73328
0.142	2.5177
0.1425	6.84814
0.143	3.32336
0.1435	2.5177
0.144	2.01416
0.1445	2.21558
0.145	1.51062
0.1455	4.93469
0.146	10.27222
0.1465	5.33752
0.147	7.04956
0.1475	7.35168
0.148	-1.51062
0.1485	-1.81274
0.149	-3.22266
0.1495	5.74036
0.15	1.51062
0.1505	2.61841
0.151	-0.70496
0.1515	0.10071
0.152	-1.10779
0.1525	-0.10071
0.153	-1.3092
0.1535	0.10071
0.154	-1.10779
0.1545	-0.20142
0.155	-0.80566
0.1555	-1.91345
0.156	-2.31628
0.1565	-1.10779
0.157	-5.53894
0.1575	-2.5177
0.158	-4.63257
0.1585	-0.30212
0.159	1.2085
0.1595	6.2439
0.16	6.64673
0.1605	6.64673
0.161	9.56726
0.1615	5.13611
0.162	9.97009
0.1625	10.0708
0.163	2.81982
0.1635	1.00708
0.164	-2.01416
0.1645	0.10071
0.165	3.92761
0.1655	7.65381
0.166	5.33752
0.1665	8.15735
0.167	11.58142
0.1675	1.61133
0.168	4.63257
0.1685	8.56018
0.169	2.21558
0.1695	0.30212
0.17	2.21558
0.1705	-3.32336
0.171	-0.40283
0.1715	2.01416
0.172	0
0.1725	-3.62549
0.173	-9.66797
0.1735	-2.61841
0.174	-1.2085
0.1745	-2.5177
0.175	-4.73328
0.1755	-6.2439
0.176	-7.95593
0.1765	-3.8269
0.177	-4.93469
0.1775	3.42407
0.178	4.33044
0.1785	1.61133
0.179	2.5177
0.1795	-0.50354
0.18	3.02124
0.1805	0.20142
0.181	-0.20142
0.1815	-1.51062
0.182	2.21558
0.1825	-4.33044
0.183	-0.40283
0.1835	-4.73328
0.184	-6.44531
0.1845	-11.68213
0.185	-10.0708
0.1855	-8.56018
0.186	-8.7616
0.1865	-8.25806
0.187	-9.16443
0.1875	-6.44531
0.188	-7.75452
0.1885	-7.04956
0.189	-6.94885
0.1895	-7.35168
0.19	-20.84656
0.1905	-18.12744
0.191	-22.35718
0.1915	-18.53027
0.192	-14.60266
0.1925	-14.60266
0.193	-11.2793
0.1935	-4.22974
0.194	-3.32336
0.1945	-2.01416
0.195	-6.14319
0.1955	-2.41699
0.196	-6.3446
0.1965	-3.7262
0.197	1.3092
