Antonio_Festa_Right_2.c3d  



Time(s):	B_R_bicipite(μV):
0	1.71204
0.0005	5.33752
0.001	3.52478
0.0015	-1.51062
0.002	-2.21558
0.0025	-0.80566
0.003	1.91345
0.0035	0.80566
0.004	3.62549
0.0045	5.0354
0.005	1.3092
0.0055	7.04956
0.006	7.95593
0.0065	4.73328
0.007	3.42407
0.0075	5.0354
0.008	7.25098
0.0085	9.46655
0.009	5.33752
0.0095	4.22974
0.01	5.33752
0.0105	4.02832
0.011	5.0354
0.0115	9.66797
0.012	0.90637
0.0125	6.74744
0.013	13.19275
0.0135	12.68921
0.014	7.15027
0.0145	9.16443
0.015	12.5885
0.0155	3.12195
0.016	2.31628
0.0165	6.44531
0.017	2.92053
0.0175	5.63965
0.018	5.53894
0.0185	6.44531
0.019	5.13611
0.0195	6.14319
0.02	5.53894
0.0205	8.15735
0.021	1.91345
0.0215	1.81274
0.022	3.7262
0.0225	5.33752
0.023	7.15027
0.0235	9.26514
0.024	6.94885
0.0245	10.27222
0.025	6.94885
0.0255	9.76868
0.026	4.33044
0.0265	6.74744
0.027	2.11487
0.0275	1.51062
0.028	1.91345
0.0285	6.84814
0.029	10.17151
0.0295	5.53894
0.03	9.76868
0.0305	16.11328
0.031	7.15027
0.0315	2.01416
0.032	7.15027
0.0325	6.14319
0.033	5.33752
0.0335	-0.70496
0.034	6.04248
0.0345	6.04248
0.035	8.25806
0.0355	7.35168
0.036	5.53894
0.0365	7.75452
0.037	2.11487
0.0375	5.0354
0.038	5.23682
0.0385	5.33752
0.039	5.74036
0.0395	9.26514
0.04	8.7616
0.0405	5.63965
0.041	10.17151
0.0415	3.32336
0.042	5.43823
0.0425	12.28638
0.043	6.04248
0.0435	9.16443
0.044	1.61133
0.0445	5.43823
0.045	1.51062
0.0455	5.33752
0.046	7.04956
0.0465	8.15735
0.047	7.85522
0.0475	8.15735
0.048	3.22266
0.0485	9.86938
0.049	10.47363
0.0495	13.39417
0.05	10.27222
0.0505	5.13611
0.051	4.63257
0.0515	10.37292
0.052	7.5531
0.0525	9.46655
0.053	10.17151
0.0535	8.05664
0.054	6.14319
0.0545	10.37292
0.055	5.23682
0.0555	11.78284
0.056	12.08496
0.0565	7.65381
0.057	5.94177
0.0575	11.48071
0.058	9.56726
0.0585	11.2793
0.059	11.58142
0.0595	9.86938
0.06	8.56018
0.0605	3.22266
0.061	6.84814
0.0615	9.97009
0.062	4.93469
0.0625	6.44531
0.063	9.36584
0.0635	3.22266
0.064	10.17151
0.0645	9.56726
0.065	7.04956
0.0655	6.14319
0.066	4.63257
0.0665	6.04248
0.067	-1.51062
0.0675	2.31628
0.068	9.46655
0.0685	5.33752
0.069	6.84814
0.0695	6.2439
0.07	-2.21558
0.0705	7.15027
0.071	5.33752
0.0715	6.74744
0.072	2.92053
0.0725	2.5177
0.073	4.53186
0.0735	4.53186
0.074	8.7616
0.0745	10.27222
0.075	10.27222
0.0755	9.36584
0.076	10.0708
0.0765	6.04248
0.077	6.74744
0.0775	7.04956
0.078	4.22974
0.0785	5.0354
0.079	7.65381
0.0795	3.12195
0.08	6.84814
0.0805	8.56018
0.081	9.56726
