Antonio_Festa_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0	-14.30054
0.0005	-19.63806
0.001	-32.52869
0.0015	-57.9071
0.002	-73.61755
0.0025	-72.40906
0.003	-50.15259
0.0035	-28.29895
0.004	12.48779
0.0045	41.89453
0.005	54.88586
0.0055	52.46887
0.006	44.71436
0.0065	27.39258
0.007	-5.13611
0.0075	-35.85205
0.008	-52.8717
0.0085	-71.7041
0.009	-87.51526
0.0095	-88.11951
0.01	-73.71826
0.0105	-63.14392
0.011	-61.6333
0.0115	-62.64038
0.012	-61.73401
0.0125	-46.62781
0.013	-31.62231
0.0135	-18.53027
0.014	-23.26355
0.0145	-20.84656
0.015	-11.58142
0.0155	-2.81982
0.016	7.15027
0.0165	23.16284
0.017	52.36816
0.0175	66.16516
0.018	68.38074
0.0185	61.43188
0.019	58.51135
0.0195	48.94409
0.02	37.06055
0.0205	19.63806
0.021	-3.92761
0.0215	-31.11877
0.022	-50.05188
0.0225	-61.12976
0.023	-71.40198
0.0235	-85.5011
0.024	-87.01172
0.0245	-51.15967
0.025	-13.19275
0.0255	-1.91345
0.026	-7.75452
0.0265	-18.42957
0.027	-28.9032
0.0275	-47.93701
0.028	-76.53809
0.0285	-87.71667
0.029	-94.46411
0.0295	-90.83862
0.03	-73.11401
0.0305	-60.02197
0.031	-41.69312
0.0315	-22.86072
0.032	-3.7262
0.0325	36.85913
0.033	81.7749
0.0335	129.30908
0.034	174.8291
0.0345	194.36646
0.035	186.41052
0.0355	167.98096
0.036	150.35706
0.0365	107.95898
0.037	70.89844
0.0375	38.87329
0.038	3.62549
0.0385	-17.32178
0.039	-26.98975
0.0395	-30.61523
0.04	-26.08337
0.0405	1.3092
0.041	76.7395
0.0415	154.28467
0.042	199.50256
0.0425	207.15637
0.043	185.70557
0.0435	143.91174
0.044	101.01013
0.0445	65.66162
0.045	22.55859
0.0455	-22.6593
0.046	-65.25879
0.0465	-111.28235
0.047	-133.3374
0.0475	-150.8606
0.048	-155.49316
0.0485	-166.77246
0.049	-168.58521
0.0495	-166.67175
0.05	-153.98254
0.0505	-140.38696
0.051	-112.49084
0.0515	-77.74658
0.052	-3.62549
0.0525	61.02905
0.053	97.98889
0.0535	101.61438
0.054	120.64819
0.0545	121.05103
0.055	107.95898
0.0555	93.55774
0.056	65.56091
0.0565	41.89453
0.057	20.24231
0.0575	-2.61841
0.058	-25.47913
0.0585	-43.50586
0.059	-57.10144
0.0595	-74.52393
0.06	-65.56091
0.0605	-43.80798
0.061	-20.74585
0.0615	10.27222
0.062	26.48621
0.0625	35.14709
0.063	28.80249
0.0635	32.42798
0.064	43.40515
0.0645	46.5271
0.065	41.39099
0.0655	25.98267
0.066	5.74036
0.0665	-6.14319
