Antonio_Festa_Left_3.c3d  



Time(s):	C_L_bicipite(μV):
0	3.62549
0.0005	1.71204
0.001	3.22266
0.0015	-1.91345
0.002	1.40991
0.0025	2.61841
0.003	6.14319
0.0035	8.7616
0.004	9.26514
0.0045	6.3446
0.005	8.35876
0.0055	6.74744
0.006	9.66797
0.0065	9.66797
0.007	4.02832
0.0075	4.93469
0.008	4.83398
0.0085	7.25098
0.009	6.2439
0.0095	11.48071
0.01	7.15027
0.0105	3.52478
0.011	-0.60425
0.0115	6.74744
0.012	3.62549
0.0125	3.8269
0.013	1.2085
0.0135	5.33752
0.014	6.2439
0.0145	3.52478
0.015	3.62549
0.0155	0.90637
0.016	1.2085
0.0165	8.7616
0.017	5.33752
0.0175	8.7616
0.018	6.14319
0.0185	3.32336
0.019	2.21558
0.0195	2.92053
0.02	3.92761
0.0205	5.84106
0.021	4.12903
0.0215	3.22266
0.022	5.94177
0.0225	6.64673
0.023	7.04956
0.0235	5.94177
0.024	6.14319
0.0245	1.91345
0.025	2.81982
0.0255	3.22266
0.026	2.5177
0.0265	5.63965
0.027	5.23682
0.0275	0.60425
0.028	4.12903
0.0285	0.70496
0.029	0.80566
0.0295	5.94177
0.03	5.43823
0.0305	2.81982
0.031	11.07788
0.0315	6.94885
0.032	8.25806
0.0325	5.63965
0.033	4.43115
0.0335	6.04248
0.034	8.35876
0.0345	4.83398
0.035	9.56726
0.0355	8.35876
0.036	8.45947
0.0365	7.85522
0.037	8.15735
0.0375	8.8623
0.038	12.48779
0.0385	4.83398
0.039	9.16443
0.0395	9.26514
0.04	5.0354
0.0405	8.25806
0.041	7.85522
0.0415	5.94177
0.042	1.61133
0.0425	5.0354
0.043	7.45239
0.0435	12.68921
0.044	8.66089
0.0445	4.73328
0.045	4.43115
0.0455	5.23682
0.046	1.71204
0.0465	2.31628
0.047	7.65381
0.0475	7.5531
0.048	3.02124
0.0485	-0.10071
0.049	4.83398
0.0495	8.35876
0.05	9.26514
0.0505	6.74744
0.051	8.96301
0.0515	8.7616
0.052	3.12195
0.0525	8.7616
0.053	10.97717
0.0535	8.66089
0.054	3.12195
0.0545	7.04956
0.055	14.60266
0.0555	14.90479
0.056	15.20691
0.0565	11.48071
0.057	9.26514
0.0575	12.28638
0.058	9.76868
0.0585	9.06372
0.059	14.40125
0.0595	9.56726
0.06	10.17151
0.0605	4.83398
0.061	9.36584
0.0615	9.56726
0.062	10.47363
0.0625	3.22266
0.063	8.56018
0.0635	5.33752
0.064	3.62549
0.0645	3.22266
0.065	3.42407
0.0655	2.92053
0.066	7.85522
0.0665	6.44531
0.067	7.15027
0.0675	8.45947
0.068	9.26514
0.0685	6.74744
0.069	5.74036
0.0695	13.39417
0.07	8.25806
0.0705	5.0354
0.071	5.84106
0.0715	3.12195
0.072	1.40991
0.0725	2.61841
0.073	3.7262
0.0735	7.35168
0.074	5.84106
0.0745	7.85522
0.075	3.92761
0.0755	2.61841
0.076	7.35168
0.0765	-1.00708
0.077	-0.70496
0.0775	3.92761
0.078	4.33044
0.0785	0.90637
0.079	0.70496
0.0795	-3.8269
0.08	5.63965
0.0805	6.54602
0.081	3.62549
0.0815	9.06372
0.082	8.66089
0.0825	5.33752
0.083	2.41699
0.0835	7.65381
0.084	8.56018
0.0845	6.2439
0.085	3.7262
0.0855	0
0.086	6.64673
0.0865	2.41699
0.087	8.8623
0.0875	14.90479
0.088	11.2793
0.0885	7.25098
0.089	6.04248
0.0895	9.66797
0.09	4.93469
0.0905	0.80566
0.091	13.09204
0.0915	9.46655
0.092	9.36584
0.0925	9.86938
0.093	10.17151
0.0935	6.2439
0.094	4.83398
0.0945	-2.71912
0.095	9.97009
0.0955	6.2439
0.096	8.56018
0.0965	7.25098
0.097	5.74036
0.0975	2.41699
0.098	5.94177
0.0985	7.04956
0.099	2.71912
0.0995	0.90637
0.1	-1.81274
0.1005	0.70496
0.101	5.13611
0.1015	4.93469
0.102	3.7262
0.1025	3.12195
0.103	8.56018
0.1035	8.45947
0.104	8.56018
0.1045	4.73328
0.105	7.75452
0.1055	6.44531
0.106	5.23682
0.1065	5.43823
0.107	10.67505
0.1075	6.44531
0.108	6.94885
0.1085	8.7616
0.109	7.85522
0.1095	5.74036
0.11	3.92761
0.1105	6.74744
0.111	7.65381
0.1115	6.2439
0.112	10.57434
0.1125	5.0354
0.113	3.52478
0.1135	2.41699
0.114	5.43823
0.1145	4.02832
0.115	5.23682
0.1155	13.19275
0.116	4.63257
0.1165	9.06372
0.117	2.01416
0.1175	1.61133
0.118	4.43115
0.1185	6.2439
0.119	10.67505
0.1195	7.65381
0.12	4.22974
0.1205	7.35168
0.121	3.02124
0.1215	5.84106
0.122	6.2439
0.1225	6.84814
0.123	6.94885
0.1235	9.16443
0.124	5.94177
0.1245	4.63257
0.125	1.91345
0.1255	0.20142
0.126	1.91345
0.1265	6.14319
0.127	2.41699
0.1275	7.5531
0.128	0.30212
0.1285	5.84106
0.129	3.22266
0.1295	6.3446
0.13	4.63257
0.1305	5.43823
0.131	7.04956
0.1315	1.2085
0.132	5.33752
0.1325	5.23682
0.133	3.32336
0.1335	4.63257
0.134	-1.3092
0.1345	4.53186
0.135	3.12195
0.1355	2.41699
0.136	1.91345
0.1365	1.3092
0.137	1.71204
0.1375	-0.90637
0.138	0.40283
0.1385	-0.80566
0.139	2.92053
0.1395	-1.71204
0.14	-1.71204
0.1405	-2.92053
0.141	1.10779
0.1415	-1.10779
0.142	-6.44531
0.1425	-4.12903
0.143	0.60425
0.1435	-2.92053
0.144	-7.15027
0.1445	-8.15735
0.145	-2.81982
0.1455	-4.83398
0.146	-3.62549
0.1465	-3.62549
0.147	-6.14319
0.1475	-3.12195
