Danilo_Mastropaolo_Right_1.c3d  



Time(s):	Emg_3(μV):
0	8.05664
0.0005	6.44531
0.001	6.84814
0.0015	7.95593
0.002	10.17151
0.0025	12.99133
0.003	8.56018
0.0035	2.31628
0.004	0.50354
0.0045	11.2793
0.005	6.2439
0.0055	5.94177
0.006	1.91345
0.0065	9.66797
0.007	3.92761
0.0075	2.11487
0.008	2.11487
0.0085	8.8623
0.009	4.93469
0.0095	0.20142
0.01	-1.51062
0.0105	7.04956
0.011	10.67505
0.0115	20.84656
0.012	33.83789
0.0125	36.75842
0.013	34.74426
0.0135	38.26904
0.014	33.9386
0.0145	41.39099
0.015	35.2478
0.0155	29.10461
0.016	21.95435
0.0165	18.73169
0.017	22.6593
0.0175	10.27222
0.018	5.63965
0.0185	-1.00708
0.019	-11.98425
0.0195	-16.81824
0.02	-19.63806
0.0205	-26.48621
0.021	-29.00391
0.0215	-34.44214
0.022	-29.20532
0.0225	-27.09045
0.023	-26.3855
0.0235	-25.177
0.024	-24.16992
0.0245	-22.15576
0.025	-22.15576
0.0255	-20.24231
0.026	-14.19983
0.0265	-16.71753
0.027	-2.21558
0.0275	4.33044
0.028	9.86938
0.0285	10.67505
0.029	9.97009
0.0295	7.5531
0.03	1.81274
0.0305	6.04248
0.031	11.98425
0.0315	14.19983
0.032	11.07788
0.0325	17.32178
0.033	21.65222
0.0335	19.13452
0.034	16.81824
0.0345	16.41541
0.035	19.13452
0.0355	16.3147
0.036	17.92603
0.0365	18.42957
0.037	24.37134
0.0375	22.25647
0.038	16.41541
0.0385	17.6239
0.039	18.63098
0.0395	11.98425
0.04	10.87646
0.0405	1.40991
0.041	0.80566
0.0415	-9.76868
0.042	-10.27222
0.0425	-17.42249
0.043	-16.91895
0.0435	-17.6239
0.044	-14.90479
0.0445	-14.09912
0.045	-9.97009
0.0455	-9.66797
0.046	-6.04248
0.0465	0
0.047	4.93469
0.0475	3.22266
0.048	9.46655
0.0485	13.69629
0.049	18.12744
0.0495	22.76001
0.05	20.54443
0.0505	20.04089
0.051	21.55151
0.0515	28.50037
0.052	25.88196
0.0525	21.95435
0.053	18.12744
0.0535	16.81824
0.054	21.04797
0.0545	14.70337
0.055	18.32886
0.0555	16.51611
0.056	17.6239
0.0565	16.81824
0.057	11.38
0.0575	8.66089
0.058	3.92761
0.0585	0.70496
0.059	5.0354
0.0595	2.71912
0.06	5.63965
0.0605	4.63257
0.061	1.2085
0.0615	2.01416
0.062	3.62549
0.0625	0.40283
0.063	3.92761
0.0635	7.85522
0.064	8.45947
0.0645	10.67505
0.065	9.56726
0.0655	8.05664
0.066	10.0708
0.0665	18.8324
0.067	16.11328
0.0675	10.57434
0.068	10.67505
0.0685	11.38
0.069	8.56018
0.0695	5.23682
0.07	4.02832
0.0705	9.97009
0.071	9.36584
0.0715	7.35168
0.072	9.86938
0.0725	9.36584
0.073	7.5531
0.0735	4.63257
0.074	2.81982
0.0745	11.07788
0.075	4.22974
0.0755	6.04248
0.076	6.2439
0.0765	-3.52478
0.077	4.83398
0.0775	4.02832
0.078	4.12903
0.0785	2.01416
0.079	-6.04248
0.0795	-4.83398
0.08	-6.04248
0.0805	-7.5531
0.081	-13.99841
0.0815	-12.38708
0.082	-5.33752
0.0825	2.61841
0.083	-2.71912
0.0835	-4.33044
0.084	3.12195
0.0845	-2.11487
0.085	2.92053
0.0855	1.61133
0.086	3.52478
0.0865	3.92761
0.087	5.74036
0.0875	11.38
0.088	8.8623
0.0885	9.36584
0.089	13.29346
0.0895	9.36584
0.09	19.13452
0.0905	19.73877
0.091	12.08496
0.0915	16.3147
0.092	13.29346
0.0925	10.67505
0.093	10.47363
0.0935	12.99133
0.094	11.58142
0.0945	12.68921
0.095	17.82532
0.0955	23.76709
0.096	23.26355
0.0965	21.45081
0.097	12.99133
0.0975	11.2793
0.098	15.40833
0.0985	15.50903
0.099	14.80408
0.0995	19.13452
0.1	23.66638
0.1005	21.65222
0.101	24.27063
0.1015	20.64514
0.102	23.46497
0.1025	23.66638
0.103	20.04089
0.1035	17.12036
0.104	10.37292
0.1045	13.49487
0.105	4.02832
0.1055	5.84106
0.106	5.13611
0.1065	2.71912
0.107	0.90637
0.1075	6.94885
0.108	0.80566
0.1085	0
0.109	4.83398
0.1095	9.46655
0.11	7.5531
0.1105	1.91345
0.111	4.63257
0.1115	5.94177
0.112	5.43823
0.1125	4.93469
0.113	-1.51062
0.1135	0.10071
0.114	3.8269
0.1145	8.7616
0.115	4.73328
0.1155	7.5531
0.116	11.48071
0.1165	8.15735
0.117	12.99133
0.1175	15.81116
0.118	11.68213
0.1185	6.74744
0.119	5.23682
0.1195	11.58142
0.12	11.78284
0.1205	15.71045
0.121	13.19275
0.1215	11.07788
0.122	5.43823
0.1225	3.92761
0.123	-0.40283
0.1235	0
0.124	-5.53894
0.1245	-5.94177
0.125	-10.17151
0.1255	-12.28638
0.126	-12.38708
0.1265	-7.95593
0.127	-4.93469
0.1275	1.3092
0.128	3.8269
0.1285	4.73328
0.129	7.45239
0.1295	14.40125
0.13	17.82532
0.1305	21.95435
0.131	21.14868
0.1315	20.04089
0.132	19.33594
0.1325	24.37134
0.133	24.06921
0.1335	19.94019
0.134	22.45789
0.1345	20.64514
0.135	20.64514
0.1355	9.66797
0.136	10.17151
0.1365	7.5531
0.137	19.33594
0.1375	13.19275
0.138	8.8623
0.1385	2.92053
0.139	1.81274
0.1395	6.64673
0.14	5.94177
0.1405	5.94177
0.141	4.93469
0.1415	6.94885
0.142	3.32336
0.1425	4.02832
0.143	5.74036
0.1435	1.40991
0.144	-6.2439
0.1445	-2.41699
0.145	-1.81274
0.1455	2.92053
0.146	3.92761
0.1465	3.12195
0.147	1.00708
0.1475	7.15027
0.148	8.15735
0.1485	8.45947
0.149	5.43823
0.1495	0.20142
0.15	-1.10779
0.1505	-4.83398
0.151	3.02124
0.1515	3.02124
0.152	-4.33044
0.1525	0.40283
0.153	4.83398
0.1535	7.65381
0.154	13.39417
0.1545	13.797
0.155	18.22815
0.1555	17.01965
0.156	15.20691
0.1565	14.40125
0.157	8.05664
0.1575	0.40283
0.158	2.61841
0.1585	-6.04248
0.159	-7.15027
0.1595	-10.67505
0.16	-7.65381
0.1605	-1.81274
0.161	2.92053
0.1615	0.50354
0.162	1.2085
0.1625	11.88354
0.163	10.97717
0.1635	15.00549
0.164	19.53735
0.1645	26.88904
0.165	25.57983
0.1655	23.06213
0.166	25.177
0.1665	19.63806
0.167	19.23523
0.1675	22.45789
0.168	24.16992
0.1685	23.66638
0.169	25.177
0.1695	24.47205
0.17	20.04089
0.1705	14.40125
0.171	13.49487
0.1715	10.0708
0.172	6.2439
0.1725	-2.11487
0.173	-9.06372
0.1735	-19.33594
0.174	-29.60815
0.1745	-37.96692
0.175	-41.4917
0.1755	-42.7002
0.176	-38.06763
0.1765	-38.26904
0.177	-33.73718
0.1775	-31.62231
0.178	-30.01099
0.1785	-24.37134
0.179	-18.32886
0.1795	-12.5885
0.18	-12.99133
0.1805	-6.74744
0.181	2.11487
0.1815	10.57434
0.182	9.66797
0.1825	13.09204
0.183	16.61682
0.1835	10.77576
0.184	13.09204
0.1845	16.91895
0.185	11.98425
0.1855	8.96301
0.186	9.86938
0.1865	5.53894
0.187	-3.02124
0.1875	-7.04956
0.188	-2.92053
0.1885	-1.40991
0.189	-4.43115
0.1895	0
0.19	-2.81982
0.1905	-0.20142
0.191	8.56018
0.1915	8.96301
0.192	14.19983
0.1925	12.89062
0.193	19.83948
0.1935	21.65222
0.194	19.33594
0.1945	17.92603
0.195	23.66638
0.1955	20.54443
0.196	19.13452
0.1965	22.45789
0.197	29.70886
0.1975	32.7301
0.198	36.75842
0.1985	30.2124
0.199	32.83081
0.1995	33.23364
0.2	29.80957
0.2005	26.98975
0.201	26.78833
0.2015	30.41382
0.202	34.94568
0.2025	24.37134
0.203	19.03381
0.2035	15.40833
0.204	8.56018
0.2045	5.13611
0.205	7.65381
0.2055	8.05664
0.206	2.81982
0.2065	8.05664
0.207	10.37292
0.2075	10.57434
0.208	10.0708
0.2085	13.49487
0.209	15.30762
0.2095	17.01965
0.21	19.23523
0.2105	22.45789
0.211	21.55151
0.2115	27.6947
0.212	21.45081
0.2125	24.77417
0.213	28.70178
0.2135	28.39966
0.214	25.57983
0.2145	29.20532
0.215	25.57983
0.2155	19.63806
0.216	18.32886
0.2165	8.8623
0.217	5.94177
0.2175	4.43115
0.218	-4.22974
0.2185	1.71204
0.219	-2.41699
0.2195	-3.8269
0.22	-11.78284
0.2205	-11.48071
0.221	-13.49487
0.2215	-14.80408
0.222	-5.43823
0.2225	-2.61841
0.223	7.15027
0.2235	2.5177
0.224	11.78284
0.2245	9.66797
0.225	11.58142
0.2255	12.38708
0.226	8.7616
0.2265	4.12903
0.227	7.45239
0.2275	11.2793
0.228	19.23523
0.2285	21.95435
0.229	31.32019
0.2295	31.11877
0.23	31.32019
0.2305	25.68054
0.231	33.53577
0.2315	34.14001
0.232	28.29895
0.2325	32.12585
0.233	20.34302
0.2335	17.42249
0.234	5.43823
0.2345	-3.12195
0.235	-5.84106
0.2355	-11.38
0.236	-18.02673
0.2365	-22.55859
0.237	-29.00391
0.2375	-24.97559
0.238	-30.11169
0.2385	-27.19116
0.239	-27.39258
0.2395	-24.57275
0.24	-19.53735
0.2405	-17.72461
0.241	-12.5885
0.2415	-10.27222
0.242	-8.96301
0.2425	-5.63965
0.243	0.20142
0.2435	0.50354
0.244	1.61133
0.2445	-4.73328
0.245	-2.71912
0.2455	-1.10779
0.246	2.81982
0.2465	2.31628
0.247	-1.91345
0.2475	-6.3446
0.248	-0.40283
0.2485	2.5177
0.249	6.3446
0.2495	3.32336
0.25	2.41699
0.2505	9.46655
0.251	10.17151
0.2515	9.36584
0.252	4.83398
0.2525	3.12195
0.253	6.3446
0.2535	4.53186
0.254	-1.51062
0.2545	-1.51062
0.255	-1.71204
0.2555	-9.56726
0.256	-8.35876
0.2565	-6.3446
0.257	-3.42407
0.2575	-5.43823
0.258	-3.12195
0.2585	2.81982
0.259	4.22974
0.2595	8.7616
0.26	14.19983
0.2605	16.81824
0.261	20.24231
0.2615	17.01965
0.262	20.94727
0.2625	20.64514
0.263	23.16284
0.2635	16.81824
0.264	21.04797
0.2645	16.71753
0.265	12.38708
0.2655	14.70337
0.266	13.19275
0.2665	3.62549
0.267	4.43115
0.2675	10.57434
0.268	3.8269
0.2685	7.85522
0.269	5.74036
0.2695	-5.74036
0.27	-2.81982
0.2705	-7.45239
0.271	-8.15735
0.2715	-4.73328
0.272	-7.35168
0.2725	-5.23682
0.273	-2.81982
0.2735	-1.61133
0.274	-0.50354
0.2745	3.32336
0.275	8.25806
0.2755	3.42407
0.276	12.28638
0.2765	8.15735
0.277	12.78992
0.2775	12.28638
0.278	5.53894
0.2785	1.91345
0.279	0.30212
0.2795	2.31628
0.28	2.01416
0.2805	-0.30212
0.281	1.2085
0.2815	0.60425
0.282	-0.50354
0.2825	-1.40991
0.283	1.40991
0.2835	2.71912
0.284	1.91345
0.2845	0.70496
0.285	6.04248
0.2855	6.74744
0.286	9.16443
0.2865	14.09912
0.287	11.88354
0.2875	11.17859
0.288	21.45081
0.2885	18.32886
0.289	23.66638
0.2895	22.35718
0.29	24.57275
0.2905	26.3855
0.291	29.60815
0.2915	32.7301
0.292	31.62231
0.2925	38.06763
0.293	37.26196
0.2935	29.60815
0.294	38.06763
0.2945	36.25488
0.295	42.39807
0.2955	42.29736
0.296	36.85913
0.2965	40.2832
0.297	37.16125
0.2975	34.74426
0.298	25.27771
0.2985	18.02673
0.299	15.71045
0.2995	8.56018
0.3	6.54602
0.3005	4.43115
0.301	-3.22266
0.3015	-9.66797
0.302	-14.70337
0.3025	-13.69629
0.303	-8.96301
0.3035	-8.96301
0.304	-2.81982
0.3045	-4.12903
0.305	-2.61841
0.3055	2.92053
0.306	5.43823
0.3065	12.08496
0.307	21.14868
0.3075	27.6947
0.308	37.46338
0.3085	45.11719
0.309	49.85046
0.3095	62.9425
0.31	60.92834
0.3105	59.41772
0.311	59.31702
0.3115	60.3241
0.312	49.64905
0.3125	38.87329
0.313	26.78833
0.3135	16.41541
0.314	2.61841
0.3145	-10.0708
0.315	-16.11328
0.3155	-17.42249
0.316	-23.06213
0.3165	-20.84656
0.317	-25.57983
0.3175	-29.20532
0.318	-29.91028
0.3185	-34.34143
0.319	-34.54285
0.3195	-35.44922
0.32	-34.44214
0.3205	-31.52161
0.321	-25.47913
0.3215	-14.80408
