Danilo_Mastropaolo_Left_1.c3d  



Time(s):	Emg_6(μV):
0	7.65381
0.0005	10.57434
0.001	14.40125
0.0015	15.20691
0.002	5.23682
0.0025	9.36584
0.003	12.38708
0.0035	11.98425
0.004	13.49487
0.0045	8.96301
0.005	15.50903
0.0055	13.09204
0.006	13.19275
0.0065	10.77576
0.007	10.97717
0.0075	12.89062
0.008	10.37292
0.0085	13.19275
0.009	10.87646
0.0095	10.77576
0.01	9.46655
0.0105	9.56726
0.011	11.88354
0.0115	8.66089
0.012	6.3446
0.0125	10.17151
0.013	4.53186
0.0135	12.18567
0.014	1.71204
0.0145	3.62549
0.015	9.26514
0.0155	1.81274
0.016	2.11487
0.0165	4.43115
0.017	4.22974
0.0175	5.0354
0.018	1.10779
0.0185	-1.51062
0.019	2.5177
0.0195	11.17859
0.02	4.02832
0.0205	-0.60425
0.021	4.83398
0.0215	2.81982
0.022	7.95593
0.0225	6.04248
0.023	5.94177
0.0235	2.31628
0.024	4.63257
0.0245	0
0.025	1.2085
0.0255	4.93469
0.026	4.33044
0.0265	2.21558
0.027	6.14319
0.0275	3.42407
0.028	7.95593
0.0285	9.97009
0.029	1.91345
0.0295	10.17151
0.03	7.85522
0.0305	5.53894
0.031	0.20142
0.0315	5.23682
0.032	6.04248
0.0325	6.3446
0.033	3.7262
0.0335	7.04956
0.034	3.7262
0.0345	-1.3092
0.035	3.32336
0.0355	-1.40991
0.036	4.43115
0.0365	6.64673
0.037	12.78992
0.0375	11.58142
0.038	13.797
0.0385	18.12744
0.039	19.23523
0.0395	13.59558
0.04	14.70337
0.0405	9.56726
0.041	10.37292
0.0415	7.75452
0.042	-1.10779
0.0425	-8.66089
0.043	-23.76709
0.0435	-34.44214
0.044	-49.54834
0.0445	-63.24463
0.045	-73.61755
0.0455	-84.2926
0.046	-94.86694
0.0465	-91.04004
0.047	-82.68127
0.0475	-73.21472
0.048	-55.69153
0.0485	-37.7655
0.049	-19.43665
0.0495	0.20142
0.05	28.09753
0.0505	45.52002
0.051	68.88428
0.0515	90.03296
0.052	96.47827
0.0525	102.42004
0.053	97.18323
0.0535	83.08411
0.054	78.35083
0.0545	53.47595
0.055	39.88037
0.0555	23.46497
0.056	14.40125
0.0565	6.94885
0.057	2.5177
0.0575	-1.51062
0.058	4.33044
0.0585	3.12195
0.059	3.7262
0.0595	3.22266
0.06	0.60425
0.0605	2.11487
0.061	1.51062
0.0615	1.2085
0.062	1.71204
0.0625	-3.02124
0.063	4.63257
0.0635	4.02832
0.064	3.12195
0.0645	-2.92053
0.065	-4.22974
0.0655	-6.3446
0.066	-5.53894
0.0665	-3.52478
0.067	-7.45239
0.0675	-12.28638
0.068	-8.35876
0.0685	-5.23682
0.069	-11.78284
0.0695	-5.53894
0.07	-6.3446
0.0705	-3.62549
0.071	-4.83398
0.0715	0.80566
0.072	0.20142
0.0725	5.74036
0.073	8.25806
0.0735	9.86938
0.074	10.0708
0.0745	14.80408
0.075	8.66089
0.0755	8.45947
0.076	5.13611
0.0765	0.50354
0.077	1.40991
0.0775	-7.15027
0.078	-9.16443
0.0785	-14.19983
0.079	-15.50903
0.0795	-14.60266
0.08	-9.56726
0.0805	-4.53186
0.081	-2.81982
0.0815	2.5177
0.082	7.75452
0.0825	8.8623
0.083	13.69629
0.0835	16.01257
0.084	16.01257
0.0845	14.90479
0.085	11.07788
0.0855	8.35876
0.086	1.40991
0.0865	0.50354
0.087	-1.2085
0.0875	-4.73328
0.088	-7.35168
0.0885	-10.57434
0.089	-2.31628
0.0895	-5.84106
0.09	-2.92053
0.0905	-4.93469
0.091	-6.84814
0.0915	-2.71912
0.092	3.7262
0.0925	-3.02124
0.093	-3.8269
0.0935	3.02124
0.094	1.51062
0.0945	-0.80566
0.095	-2.61841
0.0955	3.22266
0.096	-1.91345
0.0965	-4.43115
0.097	-5.23682
0.0975	-4.12903
0.098	-0.70496
0.0985	-7.75452
0.099	-5.74036
0.0995	-7.25098
0.1	-11.2793
0.1005	0.80566
0.101	-3.92761
0.1015	-6.44531
0.102	-5.63965
0.1025	-3.22266
0.103	-0.40283
0.1035	-0.30212
0.104	-2.92053
0.1045	0.80566
0.105	-3.12195
0.1055	-3.42407
0.106	-2.81982
0.1065	-2.92053
0.107	-5.74036
0.1075	-2.41699
0.108	-5.63965
0.1085	-5.43823
0.109	-2.81982
0.1095	0.10071
0.11	-4.33044
0.1105	-2.61841
0.111	-4.53186
0.1115	-0.60425
0.112	-2.11487
0.1125	-1.71204
0.113	3.42407
0.1135	1.3092
0.114	1.3092
0.1145	-0.90637
0.115	0
0.1155	-2.31628
0.116	-1.3092
0.1165	5.43823
0.117	5.94177
0.1175	5.23682
0.118	1.10779
0.1185	8.56018
0.119	7.5531
0.1195	3.92761
0.12	0.80566
0.1205	-0.40283
0.121	0.50354
0.1215	8.96301
0.122	2.21558
0.1225	8.96301
0.123	5.43823
0.1235	5.33752
0.124	1.51062
0.1245	-1.71204
0.125	7.65381
0.1255	8.35876
0.126	4.43115
0.1265	0.80566
0.127	4.53186
0.1275	2.81982
0.128	2.5177
0.1285	-1.3092
0.129	-1.51062
0.1295	2.61841
0.13	4.22974
0.1305	1.40991
0.131	3.02124
0.1315	2.81982
0.132	7.95593
0.1325	1.51062
0.133	0.60425
0.1335	0
0.134	1.91345
0.1345	9.16443
0.135	6.44531
0.1355	1.10779
0.136	-2.61841
0.1365	-3.02124
0.137	-4.22974
0.1375	-3.42407
0.138	-3.7262
0.1385	-2.61841
0.139	-1.3092
0.1395	-1.00708
0.14	-4.53186
0.1405	-7.95593
0.141	-2.01416
0.1415	0.40283
0.142	-0.70496
0.1425	-3.8269
0.143	-1.51062
0.1435	-3.12195
0.144	2.71912
0.1445	0.20142
0.145	-0.60425
0.1455	-1.61133
0.146	2.11487
0.1465	1.61133
0.147	-3.12195
0.1475	-3.42407
0.148	-1.91345
0.1485	2.41699
0.149	-4.43115
0.1495	-4.53186
0.15	-1.2085
0.1505	7.45239
0.151	1.51062
0.1515	-0.60425
0.152	-0.60425
0.1525	3.22266
0.153	5.43823
0.1535	3.92761
0.154	7.95593
0.1545	7.65381
0.155	8.7616
0.1555	7.85522
0.156	4.53186
0.1565	4.83398
0.157	7.95593
0.1575	10.37292
0.158	10.0708
0.1585	5.13611
0.159	8.96301
0.1595	9.66797
0.16	11.48071
0.1605	8.56018
0.161	11.38
0.1615	5.33752
0.162	13.19275
0.1625	8.35876
0.163	13.09204
0.1635	14.60266
0.164	16.61682
0.1645	10.87646
0.165	14.50195
0.1655	17.82532
0.166	15.71045
0.1665	10.57434
0.167	8.56018
0.1675	11.07788
0.168	8.25806
0.1685	9.76868
0.169	8.66089
0.1695	10.97717
0.17	5.84106
0.1705	5.43823
0.171	7.75452
0.1715	8.25806
0.172	2.61841
0.1725	5.33752
0.173	10.87646
0.1735	3.8269
0.174	4.33044
0.1745	1.91345
0.175	6.3446
0.1755	1.10779
0.176	0.70496
0.1765	1.91345
0.177	7.85522
0.1775	6.04248
0.178	5.53894
0.1785	7.04956
0.179	3.02124
0.1795	7.35168
0.18	6.04248
0.1805	4.93469
0.181	4.53186
