Niccolo_Morelli_Right_1.c3d  



Time(s):	Emg_4(μV):
0	9.06372
0.0005	-4.22974
0.001	-3.12195
0.0015	-9.86938
0.002	-15.40833
0.0025	-23.56567
0.003	-18.73169
0.0035	-27.49329
0.004	-33.83789
0.0045	-37.16125
0.005	-44.71436
0.0055	-43.50586
0.006	-54.38232
0.0065	-62.53967
0.007	-65.76233
0.0075	-71.50269
0.008	-64.65454
0.0085	-56.90002
0.009	-50.95825
0.0095	-42.49878
0.01	-37.26196
0.0105	-31.52161
0.011	-14.80408
0.0115	-2.92053
0.012	16.11328
0.0125	24.16992
0.013	42.49878
0.0135	52.26746
0.014	67.27295
0.0145	81.47278
0.015	84.39331
0.0155	89.52942
0.016	91.745
0.0165	95.67261
0.017	93.96057
0.0175	90.23438
0.018	83.18481
0.0185	70.59631
0.019	64.05029
0.0195	65.56091
0.02	59.21631
0.0205	54.78516
0.021	42.8009
0.0215	37.66479
0.022	27.89612
0.0225	25.78125
0.023	25.07629
0.0235	25.37842
0.024	20.84656
0.0245	21.3501
0.025	7.45239
0.0255	3.22266
0.026	-0.60425
0.0265	-0.80566
0.027	-0.50354
0.0275	-1.61133
0.028	-1.10779
0.0285	-2.31628
0.029	-4.93469
0.0295	-8.8623
0.03	-7.45239
0.0305	-9.66797
0.031	-7.5531
0.0315	-9.86938
0.032	-12.5885
0.0325	-18.73169
0.033	-20.1416
0.0335	-23.06213
0.034	-32.93152
0.0345	-30.51453
0.035	-36.95984
0.0355	-40.08179
0.036	-48.03772
0.0365	-36.4563
0.037	-32.32727
0.0375	-36.75842
0.038	-30.31311
0.0385	-25.37842
0.039	-17.32178
0.0395	-9.46655
0.04	-3.02124
0.0405	2.61841
0.041	17.42249
0.0415	21.04797
0.042	34.84497
0.0425	44.41223
0.043	46.22498
0.0435	55.2887
0.044	52.771
0.0445	51.5625
0.045	50.55542
0.0455	48.44055
0.046	44.21082
0.0465	37.36267
0.047	33.33435
0.0475	29.60815
0.048	21.3501
0.0485	24.97559
0.049	25.78125
0.0495	23.96851
0.05	14.70337
0.0505	11.68213
0.051	5.33752
0.0515	10.27222
0.052	2.71912
0.0525	7.5531
0.053	11.07788
0.0535	10.0708
0.054	12.78992
0.0545	10.47363
0.055	0.20142
0.0555	-0.80566
0.056	-0.40283
0.0565	-2.11487
0.057	-7.65381
0.0575	-5.0354
0.058	-7.75452
0.0585	-5.33752
0.059	-5.33752
0.0595	-9.46655
0.06	-4.53186
0.0605	-7.75452
0.061	-5.13611
0.0615	-6.94885
0.062	-7.04956
0.0625	-9.46655
0.063	-14.70337
0.0635	-23.06213
0.064	-30.91736
0.0645	-39.57825
0.065	-43.30444
0.0655	-38.974
0.066	-45.52002
0.0665	-41.29028
0.067	-33.33435
0.0675	-26.78833
0.068	-28.50037
0.0685	-29.00391
0.069	-18.63098
0.0695	-8.15735
0.07	-0.10071
0.0705	11.68213
0.071	11.38
0.0715	18.93311
0.072	27.79541
0.0725	25.07629
0.073	22.35718
0.0735	18.53027
0.074	1.00708
0.0745	-16.71753
0.075	-14.40125
0.0755	-16.71753
0.076	-24.87488
0.0765	-24.27063
0.077	-30.81665
0.0775	-34.34143
0.078	-27.49329
0.0785	-24.06921
0.079	-15.30762
0.0795	-11.58142
0.08	-1.3092
0.0805	9.86938
0.081	23.06213
0.0815	28.70178
0.082	47.13135
0.0825	55.49011
0.083	66.36658
0.0835	68.98499
0.084	74.2218
0.0845	66.06445
0.085	63.94958
0.0855	63.44604
0.086	63.84888
0.0865	67.57507
0.087	63.84888
0.0875	54.48303
0.088	51.36108
0.0885	51.36108
0.089	47.23206
0.0895	41.99524
