Niccolo_Morelli_Right_1.c3d  



Time(s):	C_R_bicipite(μV):
0	-0.10071
0.0005	1.00708
0.001	3.02124
0.0015	0
0.002	6.04248
0.0025	0.40283
0.003	-6.04248
0.0035	-18.42957
0.004	-18.73169
0.0045	-20.54443
0.005	-19.73877
0.0055	-14.40125
0.006	-15.30762
0.0065	-12.08496
0.007	-8.66089
0.0075	-6.64673
0.008	1.51062
0.0085	8.7616
0.009	8.7616
0.0095	23.8678
0.01	22.86072
0.0105	31.52161
0.011	34.14001
0.0115	33.23364
0.012	28.39966
0.0125	25.177
0.013	27.89612
0.0135	26.08337
0.014	26.48621
0.0145	23.76709
0.015	21.55151
0.0155	22.6593
0.016	11.38
0.0165	7.25098
0.017	-10.47363
0.0175	-10.17151
0.018	-2.41699
0.0185	11.78284
0.019	19.13452
0.0195	19.73877
0.02	20.34302
0.0205	13.29346
0.021	4.53186
0.0215	-3.32336
0.022	-4.83398
0.0225	-15.60974
0.023	-25.98267
0.0235	-31.11877
0.024	-34.64355
0.0245	-32.93152
0.025	-43.80798
0.0255	-42.7002
0.026	-40.98816
0.0265	-43.00232
0.027	-37.36267
0.0275	-33.43506
0.028	-30.2124
0.0285	-25.68054
0.029	-23.56567
0.0295	-24.47205
0.03	-29.91028
0.0305	-15.00549
0.031	-3.52478
0.0315	1.40991
0.032	-1.51062
0.0325	-6.14319
0.033	-20.24231
0.0335	-21.3501
0.034	-20.64514
0.0345	-24.06921
0.035	-29.50745
0.0355	-4.73328
0.036	26.3855
0.0365	58.41064
0.037	98.89526
0.0375	133.3374
0.038	140.28625
0.0385	120.34607
0.039	101.11084
0.0395	61.6333
0.04	32.52869
0.0405	-4.12903
0.041	-30.31311
0.0415	-45.41931
0.042	-55.89294
0.0425	-62.8418
0.043	-67.07153
0.0435	-71.30127
0.044	-73.61755
0.0445	-70.59631
0.045	-63.84888
0.0455	-55.79224
0.046	-52.771
0.0465	-44.71436
0.047	-50.05188
0.0475	-47.33276
0.048	-38.67188
0.0485	-40.48462
0.049	-36.05347
0.0495	-39.57825
0.05	-41.4917
0.0505	-39.17542
0.051	-44.51294
0.0515	-48.03772
0.052	-39.88037
0.0525	-22.96143
0.053	-12.38708
0.0535	-5.23682
0.054	1.71204
0.0545	2.21558
0.055	-2.21558
0.0555	-5.74036
0.056	-10.27222
0.0565	-11.58142
0.057	-13.99841
0.0575	-13.59558
0.058	-22.86072
0.0585	-24.47205
0.059	-25.47913
0.0595	-27.99683
0.06	-22.15576
0.0605	-5.33752
0.061	4.93469
0.0615	6.04248
0.062	13.49487
0.0625	12.48779
0.063	12.68921
0.0635	10.77576
0.064	5.63965
0.0645	0
0.065	-18.53027
0.0655	-19.13452
0.066	-34.64355
0.0665	-39.17542
0.067	-51.96533
0.0675	-51.66321
0.068	-52.771
0.0685	-45.82214
0.069	-47.93701
0.0695	-40.58533
0.07	-36.4563
0.0705	-31.72302
0.071	-29.30603
0.0715	-21.95435
0.072	-11.07788
0.0725	-9.76868
0.073	1.10779
0.0735	8.8623
0.074	12.18567
0.0745	11.98425
0.075	8.45947
0.0755	7.85522
0.076	3.8269
0.0765	5.63965
0.077	-8.66089
0.0775	-12.48779
0.078	-19.23523
0.0785	-23.26355
0.079	-30.41382
0.0795	-23.96851
0.08	-20.94727
0.0805	-11.07788
0.081	-20.04089
0.0815	-18.93311
0.082	-13.49487
0.0825	-10.97717
0.083	-10.97717
0.0835	-18.42957
0.084	-16.3147
0.0845	-15.91187
0.085	-8.15735
0.0855	-15.91187
0.086	-9.16443
0.0865	-17.32178
0.087	-23.76709
0.0875	-27.39258
0.088	-29.30603
0.0885	-19.63806
0.089	-8.56018
0.0895	4.93469
0.09	6.64673
0.0905	5.33752
0.091	10.87646
0.0915	24.06921
0.092	55.69153
0.0925	67.67578
0.093	61.43188
0.0935	55.59082
0.094	88.92517
0.0945	152.67334
0.095	174.32556
0.0955	156.80237
0.096	154.08325
0.0965	129.00696
0.097	78.25012
0.0975	26.08337
0.098	-16.51611
0.0985	-53.97949
0.099	-79.35791
0.0995	-98.79456
0.1	-116.31775
0.1005	-118.53333
0.101	-126.89209
0.1015	-118.63403
0.102	-109.87244
0.1025	-91.14075
0.103	-74.72534
0.1035	-43.60657
0.104	-26.28479
0.1045	-2.92053
0.105	19.83948
0.1055	28.9032
0.106	27.89612
0.1065	17.52319
0.107	13.89771
0.1075	6.74744
0.108	-19.03381
0.1085	-36.05347
0.109	-46.12427
0.1095	-40.68604
0.11	-38.16833
0.1105	-24.37134
0.111	-14.19983
0.1115	-7.15027
0.112	-1.3092
0.1125	2.21558
0.113	3.32336
0.1135	5.0354
0.114	7.65381
0.1145	9.46655
0.115	5.84106
0.1155	10.37292
0.116	8.35876
0.1165	16.3147
0.117	14.80408
0.1175	15.60974
0.118	14.19983
0.1185	21.55151
0.119	22.35718
0.1195	14.19983
0.12	19.03381
0.1205	37.46338
0.121	50.45471
0.1215	50.85754
0.122	39.17542
0.1225	20.94727
0.123	-6.3446
0.1235	15.81116
0.124	47.7356
0.1245	59.1156
0.125	61.93542
0.1255	55.3894
0.126	31.11877
0.1265	8.05664
0.127	-17.82532
0.1275	-49.34692
0.128	-76.33667
0.1285	-102.31934
0.129	-129.91333
0.1295	-145.8252
0.13	-157.60803
0.1305	-165.06042
0.131	-156.90308
0.1315	-160.22644
0.132	-151.76697
0.1325	-146.83228
0.133	-143.10608
0.1335	-134.14307
0.134	-123.97156
0.1345	-111.38306
0.135	-90.33508
0.1355	-78.75366
0.136	-72.71118
0.1365	-53.57666
0.137	-32.02515
0.1375	-23.8678
0.138	-6.3446
0.1385	1.91345
0.139	21.24939
0.1395	30.2124
0.14	19.23523
0.1405	13.89771
0.141	13.29346
0.1415	14.70337
0.142	19.83948
0.1425	23.26355
0.143	20.34302
0.1435	22.25647
0.144	19.83948
0.1445	16.81824
0.145	14.09912
0.1455	14.30054
0.146	4.73328
0.1465	-2.61841
0.147	-11.17859
0.1475	-17.72461
0.148	-34.34143
0.1485	-38.87329
0.149	-44.11011
0.1495	-43.30444
0.15	-42.7002
0.1505	-37.46338
0.151	-29.80957
0.1515	-21.55151
0.152	-17.42249
0.1525	-7.95593
0.153	-5.53894
0.1535	-4.02832
0.154	1.10779
0.1545	-3.52478
0.155	5.43823
0.1555	-0.80566
0.156	0.70496
0.1565	10.0708
0.157	7.15027
0.1575	2.61841
0.158	0.80566
0.1585	-4.93469
0.159	20.64514
0.1595	39.77966
0.16	33.43506
0.1605	19.53735
0.161	6.74744
0.1615	-30.01099
0.162	-65.66162
0.1625	-71.80481
0.163	-48.84338
0.1635	-24.06921
0.164	-7.85522
0.1645	7.15027
0.165	22.25647
0.1655	25.27771
0.166	30.31311
0.1665	23.16284
0.167	30.01099
0.1675	38.16833
0.168	40.2832
0.1685	32.7301
0.169	26.48621
0.1695	24.47205
0.17	22.45789
0.1705	30.81665
0.171	41.59241
0.1715	54.78516
0.172	63.94958
0.1725	73.51685
0.173	82.9834
0.1735	84.39331
0.174	80.16357
0.1745	67.17224
0.175	60.12268
0.1755	52.46887
0.176	40.58533
0.1765	34.34143
0.177	33.83789
0.1775	47.63489
0.178	47.43347
0.1785	52.46887
0.179	59.21631
0.1795	74.62463
0.18	94.16199
0.1805	110.27527
0.181	110.37598
0.1815	102.21863
0.182	98.59314
0.1825	89.42871
0.183	84.49402
0.1835	71.7041
0.184	63.74817
0.1845	55.18799
0.185	46.62781
0.1855	34.34143
0.186	27.6947
0.1865	16.41541
0.187	44.11011
0.1875	77.74658
0.188	102.72217
0.1885	104.13208
0.189	101.01013
0.1895	98.0896
0.19	91.54358
0.1905	69.38782
0.191	51.96533
0.1915	27.79541
0.192	4.12903
0.1925	-11.78284
0.193	-20.94727
0.1935	-31.01807
0.194	-32.32727
0.1945	-24.16992
0.195	-17.32178
0.1955	-4.43115
0.196	-3.52478
0.1965	9.97009
0.197	8.8623
0.1975	10.47363
0.198	10.97717
0.1985	5.43823
0.199	8.05664
0.1995	4.73328
0.2	5.84106
0.2005	-5.94177
0.201	-14.50195
0.2015	-23.56567
0.202	-24.37134
0.2025	-34.54285
0.203	-30.71594
0.2035	-37.26196
0.204	-42.7002
0.2045	-49.24622
0.205	-46.12427
0.2055	-44.41223
0.206	-35.34851
0.2065	-33.03223
0.207	-27.6947
0.2075	-19.94019
0.208	-15.20691
0.2085	-12.68921
0.209	-11.68213
0.2095	-17.42249
0.21	-24.06921
0.2105	-5.94177
0.211	47.23206
0.2115	63.44604
0.212	69.48853
0.2125	63.94958
0.213	50.85754
0.2135	47.63489
0.214	21.75293
0.2145	21.3501
0.215	21.85364
0.2155	9.36584
0.216	-2.01416
0.2165	11.98425
0.217	15.40833
0.2175	13.49487
0.218	-0.50354
0.2185	-22.35718
0.219	-31.4209
0.2195	-49.74976
0.22	-51.86462
0.2205	-68.07861
0.221	-71.09985
0.2215	-63.44604
0.222	-61.6333
0.2225	-55.89294
0.223	-51.26038
0.2235	-46.82922
0.224	-32.83081
0.2245	-21.65222
0.225	9.46655
0.2255	16.61682
0.226	14.30054
0.2265	2.81982
0.227	-22.76001
0.2275	-47.13135
0.228	-68.07861
0.2285	-84.39331
0.229	-91.44287
0.2295	-94.06128
0.23	-86.40747
0.2305	-74.82605
0.231	-71.50269
0.2315	-50.95825
0.232	-29.50745
0.2325	-2.81982
0.233	18.02673
0.2335	33.83789
0.234	34.54285
0.2345	16.21399
0.235	-9.46655
0.2355	-39.77966
0.236	-57.60498
0.2365	-71.60339
0.237	-81.97632
0.2375	-75.63171
0.238	-66.6687
0.2385	-62.23755
0.239	-46.5271
0.2395	-33.83789
0.24	-22.15576
0.2405	3.62549
0.241	27.39258
0.2415	35.44922
0.242	44.21082
0.2425	53.77808
0.243	65.46021
0.2435	61.12976
0.244	53.57666
0.2445	57.10144
0.245	66.06445
0.2455	83.68835
0.246	93.75916
0.2465	115.61279
0.247	128.80554
0.2475	128.70483
0.248	129.91333
0.2485	134.14307
0.249	131.82678
0.2495	130.92041
0.25	128.20129
0.2505	126.9928
0.251	127.29492
0.2515	119.23828
0.252	109.67102
0.2525	97.38464
0.253	76.94092
0.2535	66.87012
0.254	58.41064
0.2545	43.90869
0.255	37.26196
0.2555	31.21948
0.256	23.06213
0.2565	4.93469
0.257	-19.83948
0.2575	25.88196
0.258	75.4303
0.2585	104.83704
0.259	110.47668
0.2595	78.95508
0.26	37.16125
0.2605	11.2793
0.261	-16.21399
0.2615	-29.60815
0.262	-51.26038
0.2625	-56.79932
0.263	-55.08728
0.2635	-58.51135
0.264	-66.26587
0.2645	-83.08411
0.265	-75.83313
0.2655	-79.86145
0.266	-78.35083
0.2665	-78.25012
0.267	-73.91968
0.2675	-61.73401
0.268	-44.31152
0.2685	-33.83789
0.269	-26.68762
0.2695	-13.89771
0.27	-7.75452
0.2705	10.27222
0.271	27.49329
0.2715	32.32727
0.272	40.08179
0.2725	46.22498
0.273	49.34692
0.2735	48.03772
0.274	44.81506
0.2745	43.10303
0.275	49.14551
0.2755	43.00232
0.276	44.61365
0.2765	48.13843
0.277	46.62781
0.2775	43.50586
0.278	39.07471
0.2785	34.74426
0.279	19.13452
0.2795	2.5177
0.28	-15.81116
0.2805	-27.99683
0.281	-38.67188
0.2815	-42.29736
0.282	-38.87329
0.2825	-35.54993
0.283	-42.09595
0.2835	-39.77966
0.284	-37.66479
0.2845	-44.11011
0.285	-38.47046
0.2855	-38.87329
0.286	-33.9386
0.2865	-27.89612
0.287	-20.04089
0.2875	-5.94177
0.288	0.80566
0.2885	8.8623
0.289	22.76001
0.2895	28.70178
0.29	34.14001
0.2905	31.52161
0.291	31.72302
0.2915	22.55859
0.292	20.24231
0.2925	25.37842
0.293	27.09045
0.2935	22.15576
0.294	26.98975
0.2945	36.05347
0.295	43.50586
0.2955	43.10303
0.296	34.64355
0.2965	25.27771
0.297	25.177
0.2975	21.04797
0.298	13.49487
0.2985	9.06372
0.299	5.74036
0.2995	6.14319
0.3	0.30212
0.3005	-1.40991
0.301	-3.92761
0.3015	-6.2439
0.302	-4.43115
0.3025	-9.36584
0.303	-14.30054
0.3035	-11.07788
0.304	-15.00549
0.3045	-17.22107
0.305	-11.88354
0.3055	-14.70337
0.306	-13.09204
0.3065	-11.78284
0.307	-7.45239
0.3075	-5.53894
0.308	1.10779
0.3085	9.06372
0.309	23.16284
0.3095	35.54993
0.31	44.11011
0.3105	41.08887
0.311	34.74426
0.3115	27.99683
0.312	3.7262
0.3125	-23.8678
0.313	-46.12427
0.3135	-60.12268
0.314	-84.2926
0.3145	-115.51208
0.315	-141.89758
0.3155	-151.66626
0.316	-153.98254
0.3165	-144.41528
0.317	-135.25085
0.3175	-118.02979
0.318	-95.16907
0.3185	-71.60339
0.319	-49.14551
0.3195	-26.3855
0.32	-13.09204
0.3205	0.90637
0.321	15.60974
0.3215	34.74426
0.322	48.33984
0.3225	39.47754
0.323	14.09912
0.3235	35.2478
0.324	55.3894
0.3245	73.01331
0.325	68.17932
0.3255	63.74817
0.326	66.36658
0.3265	84.2926
0.327	90.73792
0.3275	90.63721
0.328	60.72693
0.3285	19.53735
0.329	-31.21948
0.3295	-67.57507
0.33	-89.83154
0.3305	-91.04004
0.331	-77.64587
0.3315	-63.74817
0.332	-42.90161
0.3325	-21.55151
0.333	4.63257
0.3335	20.44373
0.334	30.61523
0.3345	38.67188
0.335	46.92993
0.3355	43.20374
0.336	45.2179
0.3365	49.44763
0.337	58.61206
0.3375	71.20056
0.338	73.81897
0.3385	72.71118
0.339	80.26428
0.3395	87.21313
0.34	93.15491
0.3405	95.47119
0.341	97.68677
0.3415	84.69543
0.342	64.45312
0.3425	55.99365
0.343	41.4917
0.3435	34.24072
0.344	20.44373
0.3445	13.89771
0.345	3.02124
0.3455	-0.20142
0.346	0.80566
0.3465	4.73328
0.347	-3.7262
0.3475	-7.45239
0.348	-13.09204
0.3485	-12.48779
0.349	-20.24231
0.3495	-20.64514
0.35	-26.18408
0.3505	-35.14709
0.351	-39.07471
0.3515	-45.92285
0.352	-36.05347
0.3525	-36.85913
0.353	-35.75134
0.3535	-28.60107
0.354	-26.58691
0.3545	-22.15576
0.355	-23.96851
0.3555	-24.57275
0.356	-26.08337
0.3565	-31.21948
0.357	-29.30603
0.3575	-23.06213
0.358	-19.43665
0.3585	-9.66797
0.359	4.12903
0.3595	14.70337
0.36	23.26355
0.3605	22.76001
0.361	20.34302
0.3615	19.63806
0.362	3.22266
0.3625	4.02832
0.363	1.91345
0.3635	-3.8269
0.364	-13.09204
0.3645	-17.72461
0.365	-21.75293
0.3655	-13.29346
0.366	-6.14319
0.3665	-3.22266
0.367	3.7262
0.3675	2.21558
0.368	-1.10779
0.3685	-20.64514
0.369	-28.29895
0.3695	-27.39258
0.37	-24.77417
0.3705	-26.08337
0.371	-23.76709
0.3715	-29.91028
0.372	-21.75293
0.3725	-22.55859
0.373	-19.33594
0.3735	-19.63806
0.374	-27.99683
0.3745	-28.29895
0.375	-22.55859
0.3755	-17.6239
0.376	-20.34302
0.3765	-22.6593
0.377	-16.61682
0.3775	-20.44373
0.378	-17.82532
0.3785	-11.58142
0.379	-15.60974
0.3795	-14.50195
0.38	-16.01257
0.3805	-13.59558
0.381	-17.01965
0.3815	-17.42249
