Niccolo_Morelli_Left_1.c3d  



Time(s):	Emg_1(μV):
0	48.54126
0.0005	72.9126
0.001	78.14941
0.0015	70.29419
0.002	58.30994
0.0025	51.66321
0.003	54.18091
0.0035	53.87878
0.004	48.03772
0.0045	35.04639
0.005	24.67346
0.0055	15.91187
0.006	5.94177
0.0065	0.30212
0.007	-6.04248
0.0075	-13.797
0.008	-8.7616
0.0085	-12.89062
0.009	-23.66638
0.0095	-50.2533
0.01	-64.75525
0.0105	-87.31384
0.011	-97.08252
0.0115	-105.6427
0.012	-92.24854
0.0125	-81.47278
0.013	-63.74817
0.0135	-24.37134
0.014	2.31628
0.0145	17.82532
0.015	34.74426
0.0155	40.48462
0.016	50.75684
0.0165	57.10144
0.017	44.71436
0.0175	25.98267
0.018	7.15027
0.0185	-11.17859
0.019	-28.9032
0.0195	-38.16833
0.02	-46.82922
0.0205	-60.62622
0.021	-63.54675
0.0215	-58.20923
0.022	-39.47754
0.0225	-8.45947
0.023	5.84106
0.0235	24.47205
0.024	31.32019
0.0245	41.39099
0.025	70.69702
0.0255	78.55225
0.026	60.4248
0.0265	26.48621
0.027	7.45239
0.0275	-12.08496
0.028	-13.99841
0.0285	-20.54443
0.029	-23.16284
0.0295	-25.37842
0.03	-21.14868
0.0305	-28.80249
0.031	-53.87878
0.0315	-74.02039
0.032	-97.28394
0.0325	-127.29492
0.033	-151.46484
0.0335	-162.54272
0.034	-175.63477
0.0345	-179.76379
0.035	-165.66467
0.0355	-161.43494
0.036	-143.81104
0.0365	-110.47668
0.037	-34.54285
0.0375	54.38232
0.038	121.25244
0.0385	155.79529
0.039	165.86609
0.0395	167.77954
0.04	144.41528
0.0405	83.18481
0.041	17.72461
0.0415	-38.77258
0.042	-66.56799
0.0425	-101.21155
0.043	-138.77563
0.0435	-170.49866
0.044	-196.98486
0.0445	-227.70081
0.045	-243.51196
0.0455	-214.91089
0.046	-167.98096
0.0465	-117.02271
0.047	-70.3949
0.0475	-21.14868
0.048	29.30603
0.0485	84.99756
0.049	145.8252
0.0495	207.15637
0.05	253.58276
0.0505	257.61108
0.051	234.44824
0.0515	208.7677
0.052	195.57495
0.0525	166.67175
0.053	116.82129
0.0535	87.31384
0.054	80.16357
0.0545	92.55066
0.055	89.93225
0.0555	90.13367
0.056	94.66553
0.0565	76.03455
0.057	60.82764
0.0575	51.15967
0.058	39.88037
0.0585	30.51453
0.059	19.94019
0.0595	10.27222
0.06	5.94177
0.0605	-2.81982
0.061	-9.16443
0.0615	-22.35718
0.062	-38.47046
0.0625	-35.85205
0.063	-31.62231
0.0635	-27.19116
0.064	-32.02515
0.0645	-26.98975
0.065	-23.8678
0.0655	-18.22815
0.066	-16.51611
0.0665	-25.68054
0.067	-30.61523
0.0675	-55.79224
0.068	-80.36499
0.0685	-110.77881
0.069	-129.5105
0.0695	-159.42078
0.07	-185.00061
0.0705	-216.72363
0.071	-249.85657
0.0715	-278.55835
0.072	-287.01782
0.0725	-258.81958
0.073	-203.83301
0.0735	-119.4397
0.074	-21.75293
0.0745	70.99915
0.075	155.59387
0.0755	246.13037
0.076	323.77625
0.0765	333.54492
0.077	297.79358
0.0775	243.51196
0.078	203.63159
0.0785	185.00061
0.079	157.40662
0.0795	123.56873
0.08	90.33508
0.0805	83.08411
0.081	90.93933
0.0815	99.2981
0.082	114.10217
0.0825	129.61121
0.083	117.32483
0.0835	94.06128
0.084	53.37524
0.0845	14.30054
0.085	-24.06921
0.0855	-64.151
0.086	-92.55066
0.0865	-115.91492
0.087	-127.99988
0.0875	-129.00696
0.088	-123.87085
0.0885	-83.08411
0.089	-21.75293
0.0895	40.78674
0.09	87.61597
0.0905	113.1958
0.091	131.12183
0.0915	153.17688
0.092	143.10608
0.0925	99.70093
0.093	39.17542
0.0935	-5.53894
0.094	-41.89453
0.0945	-57.40356
0.095	-60.02197
0.0955	-57.8064
0.096	-54.98657
0.0965	-67.37366
0.097	-85.5011
0.0975	-106.24695
0.098	-119.13757
0.0985	-123.36731
0.099	-129.91333
0.0995	-124.4751
0.1	-102.62146
0.1005	-82.88269
0.101	-43.80798
0.1015	9.06372
0.102	47.43347
0.1025	91.54358
0.103	147.33582
0.1035	223.77319
0.104	277.75269
0.1045	298.59924
0.105	275.23499
0.1055	199.09973
0.106	126.08643
0.1065	68.28003
0.107	33.23364
0.1075	36.05347
0.108	55.3894
0.1085	69.89136
0.109	85.80322
0.1095	103.02429
0.11	108.26111
0.1105	94.16199
0.111	74.02039
0.1115	38.67188
0.112	3.92761
0.1125	-24.67346
0.113	-38.36975
0.1135	-40.78674
0.114	-38.87329
0.1145	-24.57275
0.115	13.89771
0.1155	50.55542
0.116	83.08411
0.1165	93.96057
0.117	66.97083
0.1175	27.49329
0.118	-9.46655
0.1185	-31.72302
0.119	-41.29028
0.1195	-49.0448
0.12	-66.87012
0.1205	-86.8103
0.121	-105.54199
0.1215	-109.87244
0.122	-107.55615
0.1225	-90.03296
0.123	-61.23047
0.1235	-45.92285
0.124	-47.53418
0.1245	-39.88037
0.125	-56.79932
0.1255	-83.38623
0.126	-84.09119
0.1265	-71.09985
0.127	-46.02356
0.1275	-11.58142
0.128	4.93469
0.1285	12.68921
0.129	37.16125
0.1295	116.51917
0.13	199.09973
0.1305	250.36011
0.131	269.49463
0.1315	260.22949
0.132	225.38452
0.1325	196.48132
0.133	168.28308
0.1335	140.48767
0.134	105.94482
0.1345	93.15491
0.135	72.30835
0.1355	52.26746
0.136	31.4209
0.1365	2.21558
0.137	-28.50037
0.1375	-60.12268
0.138	-87.41455
0.1385	-118.13049
0.139	-132.43103
0.1395	-138.57422
0.14	-137.66785
0.1405	-128.40271
0.141	-107.55615
0.1415	-87.51526
0.142	-55.69153
0.1425	-37.7655
0.143	-43.50586
0.1435	-48.33984
0.144	-62.43896
0.1445	-110.27527
0.145	-152.77405
0.1455	-162.94556
0.146	-130.11475
0.1465	-48.13843
0.147	39.17542
0.1475	122.56165
0.148	208.86841
0.1485	259.32312
0.149	280.27039
0.1495	300.31128
0.15	289.53552
0.1505	219.54346
0.151	134.94873
0.1515	51.26038
0.152	-4.53186
0.1525	-31.32019
0.153	-17.72461
0.1535	33.9386
0.154	101.41296
0.1545	147.94006
0.155	174.02344
0.1555	169.59229
0.156	127.49634
0.1565	85.40039
0.157	48.23914
0.1575	27.09045
0.158	13.39417
0.1585	8.05664
0.159	6.74744
0.1595	6.94885
0.16	9.46655
0.1605	10.37292
0.161	4.83398
0.1615	7.15027
0.162	-1.2085
0.1625	-1.10779
0.163	-3.8269
0.1635	-8.35876
0.164	-7.45239
0.1645	-8.15735
0.165	-13.69629
0.1655	-18.22815
0.166	-19.73877
0.1665	-20.44373
0.167	-25.177
0.1675	-18.42957
0.168	-7.65381
0.1685	-7.5531
0.169	-4.22974
0.1695	5.0354
0.17	14.30054
0.1705	9.86938
0.171	7.35168
0.1715	-0.10071
0.172	-14.19983
0.1725	-28.39966
0.173	-43.40515
0.1735	-59.31702
0.174	-88.0188
0.1745	-114.70642
0.175	-136.86218
0.1755	-157.40662
0.176	-177.14539
0.1765	-181.97937
0.177	-180.77087
0.1775	-159.01794
0.178	-117.12341
0.1785	-44.11011
0.179	60.62622
0.1795	157.2052
0.18	216.52222
0.1805	242.10205
0.181	247.03674
0.1815	227.70081
0.182	187.82043
0.1825	146.73157
0.183	113.90076
0.1835	81.87561
0.184	70.29419
0.1845	60.22339
0.185	49.64905
0.1855	34.64355
0.186	12.08496
0.1865	-5.23682
0.187	-5.33752
0.1875	-8.45947
0.188	-16.21399
0.1885	-16.71753
0.189	-30.11169
0.1895	-39.27612
0.19	-57.70569
0.1905	-64.65454
0.191	-67.27295
0.1915	-60.3241
0.192	-45.72144
0.1925	-26.78833
0.193	-20.44373
0.1935	-13.29346
0.194	-3.22266
0.1945	14.40125
0.195	15.71045
0.1955	25.78125
0.196	36.35559
0.1965	26.68762
0.197	8.7616
0.1975	-1.2085
0.198	13.59558
0.1985	37.36267
0.199	50.2533
0.1995	38.47046
0.2	29.80957
0.2005	7.15027
0.201	-30.41382
0.2015	-71.7041
0.202	-90.33508
0.2025	-115.20996
0.203	-137.46643
0.2035	-141.09192
0.204	-142.60254
0.2045	-136.05652
0.205	-101.71509
0.2055	-38.47046
0.206	53.67737
0.2065	150.05493
0.207	227.29797
0.2075	258.21533
0.208	226.29089
0.2085	159.7229
0.209	101.61438
0.2095	70.3949
0.21	50.75684
0.2105	30.51453
0.211	4.63257
0.2115	-21.45081
0.212	-23.66638
0.2125	-14.30054
0.213	1.61133
0.2135	10.0708
0.214	28.09753
0.2145	32.93152
0.215	24.77417
0.2155	31.21948
0.216	33.73718
0.2165	34.54285
0.217	37.06055
0.2175	52.56958
0.218	48.54126
0.2185	41.89453
0.219	35.04639
0.2195	27.19116
0.22	8.66089
0.2205	-5.74036
0.221	-19.33594
0.2215	-26.3855
0.222	-31.21948
0.2225	-49.95117
0.223	-76.84021
0.2235	-107.85828
0.224	-128.80554
0.2245	-158.71582
0.225	-162.74414
0.2255	-149.24927
0.226	-134.64661
0.2265	-98.19031
0.227	-78.55225
0.2275	-66.6687
0.228	-54.78516
0.2285	-23.36426
0.229	5.94177
0.2295	47.13135
0.23	81.7749
0.2305	104.4342
0.231	111.68518
0.2315	88.11951
0.232	48.03772
0.2325	16.81824
0.233	3.52478
0.2335	-5.23682
0.234	-12.18567
0.2345	-12.89062
0.235	-9.76868
0.2355	1.00708
0.236	20.54443
0.2365	24.16992
0.237	22.55859
0.2375	20.84656
0.238	-0.50354
0.2385	-18.53027
0.239	-26.68762
0.2395	-32.42798
0.24	-24.06921
0.2405	6.44531
0.241	44.31152
0.2415	71.7041
0.242	68.48145
0.2425	65.05737
0.243	70.59631
0.2435	79.96216
0.244	97.98889
0.2445	87.71667
0.245	48.84338
0.2455	2.41699
0.246	-33.23364
0.2465	-41.08887
0.247	-27.09045
0.2475	-31.32019
0.248	-41.29028
0.2485	-42.59949
0.249	-51.96533
0.2495	-72.00623
0.25	-81.47278
0.2505	-66.46729
0.251	-41.39099
0.2515	-35.54993
0.252	-34.84497
0.2525	-29.20532
0.253	-23.36426
0.2535	-8.8623
0.254	10.97717
0.2545	48.44055
0.255	87.71667
0.2555	122.56165
0.256	143.71033
0.2565	134.34448
0.257	71.20056
0.2575	11.98425
0.258	-18.73169
0.2585	-47.33276
0.259	-82.47986
0.2595	-109.06677
0.26	-134.74731
0.2605	-141.49475
0.261	-128.70483
0.2615	-72.61047
0.262	13.89771
0.2625	96.37756
0.263	164.35547
0.2635	198.49548
0.264	172.81494
0.2645	122.15881
0.265	87.41455
0.2655	70.99915
0.266	59.61914
0.2665	54.38232
0.267	34.94568
0.2675	21.14868
0.268	5.84106
0.2685	2.5177
0.269	-2.92053
0.2695	-8.45947
0.27	-9.36584
0.2705	-16.11328
0.271	-19.73877
0.2715	-24.27063
0.272	-28.09753
0.2725	-21.65222
0.273	0.80566
0.2735	20.34302
0.274	20.84656
0.2745	23.56567
0.275	10.97717
0.2755	-16.01257
0.276	-37.66479
0.2765	-56.49719
0.277	-78.35083
0.2775	-95.77332
0.278	-97.08252
0.2785	-102.72217
0.279	-95.67261
0.2795	-89.63013
0.28	-69.79065
0.2805	-33.83789
0.281	-0.10071
0.2815	22.76001
0.282	42.59949
0.2825	50.15259
0.283	48.74268
0.2835	51.96533
0.284	69.58923
0.2845	87.31384
0.285	90.83862
0.2855	95.77332
0.286	78.25012
0.2865	76.13525
0.287	58.51135
0.2875	30.01099
0.288	-4.63257
0.2885	-10.0708
0.289	4.02832
0.2895	3.22266
0.29	-2.31628
0.2905	-15.1062
0.291	-19.63806
0.2915	1.10779
0.292	30.11169
0.2925	84.19189
0.293	121.9574
0.2935	141.89758
0.294	165.76538
0.2945	146.83228
0.295	109.3689
0.2955	82.07703
0.296	66.06445
0.2965	54.78516
0.297	47.93701
0.2975	30.41382
0.298	12.89062
0.2985	2.41699
0.299	-2.81982
0.2995	-6.14319
0.3	-14.30054
0.3005	-12.78992
0.301	-18.63098
0.3015	-26.88904
0.302	-18.93311
0.3025	-19.83948
0.303	-22.25647
0.3035	-19.03381
0.304	-21.04797
0.3045	-25.07629
0.305	-34.94568
0.3055	-47.13135
0.306	-48.03772
0.3065	-55.2887
0.307	-49.24622
0.3075	-29.70886
0.308	-8.8623
0.3085	5.94177
0.309	34.14001
0.3095	74.02039
0.31	75.12817
0.3105	54.78516
0.311	23.76709
0.3115	-21.75293
0.312	-52.26746
0.3125	-68.68286
0.313	-72.9126
0.3135	-73.91968
0.314	-65.3595
0.3145	-52.36816
0.315	-29.80957
0.3155	4.43115
0.316	38.06763
0.3165	78.55225
0.317	100.6073
0.3175	121.15173
0.318	107.85828
0.3185	77.74658
0.319	63.04321
0.3195	39.47754
0.32	36.75842
0.3205	35.95276
0.321	42.90161
0.3215	35.65063
0.322	17.72461
0.3225	-19.73877
0.323	-43.80798
0.3235	-73.01331
0.324	-93.15491
0.3245	-92.34924
0.325	-82.17773
0.3255	-73.91968
0.326	-67.97791
0.3265	-47.43347
0.327	-6.64673
0.3275	44.81506
0.328	107.55615
0.3285	179.66309
0.329	248.04382
0.3295	239.28223
0.33	190.74097
0.3305	134.04236
0.331	94.56482
0.3315	67.17224
0.332	54.48303
0.3325	37.16125
0.333	25.47913
0.3335	15.71045
0.334	3.8269
0.3345	-9.76868
0.335	-27.89612
0.3355	-27.39258
0.336	-27.49329
0.3365	-26.28479
0.337	-14.80408
0.3375	2.01416
0.338	24.47205
0.3385	40.58533
0.339	56.09436
0.3395	73.71826
0.34	75.02747
0.3405	53.77808
0.341	40.78674
0.3415	21.45081
0.342	12.78992
0.3425	11.07788
0.343	5.33752
0.3435	1.91345
0.344	0.90637
0.3445	-1.61133
0.345	1.2085
0.3455	1.51062
0.346	0.10071
0.3465	9.16443
0.347	4.63257
0.3475	6.94885
0.348	9.86938
0.3485	13.19275
0.349	22.35718
0.3495	37.16125
0.35	32.42798
0.3505	35.04639
0.351	26.58691
0.3515	20.74585
0.352	25.47913
0.3525	22.45789
0.353	25.68054
0.3535	26.88904
0.354	25.07629
0.3545	21.75293
0.355	11.98425
0.3555	8.25806
0.356	3.12195
0.3565	1.10779
0.357	0.40283
0.3575	4.02832
0.358	7.5531
0.3585	6.54602
0.359	3.92761
0.3595	2.92053
0.36	-0.20142
0.3605	1.91345
0.361	-1.71204
0.3615	-2.61841
0.362	-1.71204
0.3625	-1.00708
0.363	-3.8269
0.3635	-2.11487
0.364	-0.70496
0.3645	-1.91345
0.365	4.83398
0.3655	11.38
0.366	13.69629
0.3665	1.51062
0.367	-4.22974
0.3675	-9.16443
0.368	1.40991
0.3685	8.15735
0.369	17.72461
0.3695	39.07471
0.37	60.72693
0.3705	53.67737
