Niccolo_Morelli_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0	4.43115
0.0005	6.14319
0.001	9.06372
0.0015	7.75452
0.002	4.12903
0.0025	8.15735
0.003	7.85522
0.0035	8.35876
0.004	5.94177
0.0045	13.89771
0.005	8.96301
0.0055	9.97009
0.006	8.7616
0.0065	6.74744
0.007	7.25098
0.0075	3.52478
0.008	6.84814
0.0085	10.0708
0.009	9.36584
0.0095	8.45947
0.01	10.57434
0.0105	5.63965
0.011	7.85522
0.0115	7.5531
0.012	11.98425
0.0125	6.3446
0.013	12.68921
0.0135	8.7616
0.014	4.22974
0.0145	8.05664
0.015	5.74036
0.0155	5.0354
0.016	6.44531
0.0165	0
0.017	3.62549
0.0175	5.43823
0.018	2.61841
0.0185	7.04956
0.019	7.25098
0.0195	3.42407
0.02	6.04248
0.0205	4.83398
0.021	7.85522
0.0215	7.45239
0.022	3.92761
0.0225	1.00708
0.023	6.84814
0.0235	4.63257
0.024	5.13611
0.0245	5.63965
0.025	2.01416
0.0255	3.32336
0.026	3.32336
0.0265	5.53894
0.027	2.61841
0.0275	2.81982
0.028	1.91345
0.0285	2.81982
0.029	3.7262
0.0295	4.43115
0.03	5.74036
0.0305	4.73328
0.031	3.92761
0.0315	2.5177
0.032	3.22266
0.0325	0.90637
0.033	3.52478
0.0335	4.22974
0.034	9.97009
0.0345	8.56018
0.035	11.2793
0.0355	4.43115
0.036	0.20142
0.0365	4.53186
0.037	6.84814
0.0375	8.56018
0.038	6.84814
0.0385	5.0354
0.039	6.84814
0.0395	9.36584
0.04	2.61841
0.0405	7.25098
0.041	8.35876
0.0415	3.32336
0.042	3.32336
0.0425	7.75452
0.043	9.36584
0.0435	4.93469
0.044	5.63965
0.0445	6.44531
0.045	6.64673
0.0455	5.94177
0.046	5.74036
0.0465	11.17859
0.047	5.33752
0.0475	6.74744
0.048	5.23682
0.0485	7.95593
0.049	9.76868
0.0495	6.2439
0.05	8.15735
0.0505	5.23682
0.051	8.15735
0.0515	2.92053
0.052	7.85522
0.0525	4.63257
0.053	10.57434
0.0535	9.97009
0.054	13.69629
0.0545	5.0354
0.055	10.67505
0.0555	8.96301
0.056	9.36584
0.0565	12.68921
0.057	10.37292
0.0575	7.25098
0.058	7.75452
0.0585	7.95593
0.059	5.74036
0.0595	-3.02124
0.06	2.41699
0.0605	1.71204
0.061	6.14319
0.0615	8.05664
0.062	2.81982
0.0625	1.61133
0.063	1.71204
0.0635	4.43115
0.064	2.41699
0.0645	2.5177
0.065	7.45239
0.0655	7.75452
0.066	4.83398
0.0665	3.8269
0.067	3.52478
0.0675	3.52478
0.068	7.65381
0.0685	9.26514
0.069	3.8269
0.0695	-2.41699
0.07	4.02832
0.0705	7.65381
0.071	5.53894
0.0715	3.52478
0.072	3.32336
0.0725	3.12195
0.073	-1.10779
0.0735	6.44531
0.074	6.84814
0.0745	5.63965
0.075	4.93469
0.0755	5.43823
0.076	2.01416
0.0765	7.04956
0.077	-1.3092
0.0775	1.51062
0.078	-0.10071
0.0785	5.84106
0.079	5.0354
0.0795	3.12195
0.08	5.53894
0.0805	3.42407
0.081	5.33752
0.0815	9.66797
0.082	7.04956
0.0825	7.65381
0.083	7.5531
0.0835	6.64673
0.084	4.93469
0.0845	3.02124
0.085	7.45239
0.0855	4.73328
0.086	8.96301
0.0865	7.65381
0.087	4.93469
0.0875	4.83398
0.088	4.63257
0.0885	13.39417
0.089	8.96301
0.0895	12.68921
0.09	6.64673
0.0905	1.40991
0.091	7.85522
0.0915	9.46655
0.092	8.25806
0.0925	4.12903
0.093	8.05664
0.0935	12.99133
0.094	11.58142
0.0945	8.45947
0.095	8.05664
0.0955	4.43115
0.096	3.8269
0.0965	4.63257
0.097	7.75452
0.0975	5.13611
0.098	7.35168
0.0985	7.65381
0.099	4.02832
0.0995	1.00708
0.1	4.83398
0.1005	7.95593
0.101	4.93469
0.1015	5.33752
0.102	5.0354
0.1025	2.92053
0.103	4.33044
0.1035	4.63257
0.104	12.18567
0.1045	10.77576
0.105	8.66089
0.1055	8.15735
0.106	9.56726
0.1065	8.96301
0.107	8.35876
0.1075	6.14319
0.108	0.30212
0.1085	6.74744
0.109	7.75452
0.1095	1.3092
0.11	1.40991
0.1105	5.94177
0.111	1.3092
0.1115	3.8269
0.112	1.51062
0.1125	4.43115
0.113	4.53186
0.1135	6.04248
0.114	10.0708
0.1145	12.68921
0.115	10.37292
0.1155	7.25098
0.116	11.38
0.1165	12.48779
0.117	11.2793
0.1175	3.52478
0.118	11.07788
0.1185	9.06372
0.119	7.35168
0.1195	9.46655
0.12	9.56726
0.1205	13.59558
0.121	15.1062
0.1215	6.04248
0.122	8.66089
0.1225	7.75452
0.123	8.05664
0.1235	5.53894
0.124	7.65381
0.1245	5.63965
0.125	6.94885
0.1255	9.56726
0.126	5.63965
0.1265	6.74744
0.127	8.15735
0.1275	7.85522
0.128	3.62549
0.1285	2.61841
0.129	6.44531
0.1295	5.0354
0.13	7.75452
0.1305	5.84106
0.131	2.71912
0.1315	1.91345
0.132	4.12903
0.1325	5.33752
0.133	2.92053
0.1335	5.63965
0.134	3.22266
0.1345	4.22974
0.135	4.63257
0.1355	7.85522
0.136	8.7616
0.1365	1.51062
0.137	3.02124
0.1375	5.13611
0.138	5.53894
0.1385	9.26514
0.139	4.63257
0.1395	2.5177
0.14	1.81274
0.1405	-0.70496
0.141	-0.50354
0.1415	4.93469
0.142	-4.02832
0.1425	1.91345
0.143	4.22974
0.1435	2.5177
0.144	4.12903
0.1445	-0.30212
0.145	5.33752
0.1455	5.13611
0.146	0.10071
0.1465	0
0.147	6.44531
0.1475	2.61841
0.148	10.57434
0.1485	10.77576
0.149	11.88354
0.1495	4.83398
0.15	11.78284
0.1505	6.64673
0.151	4.63257
0.1515	0.30212
0.152	0.40283
0.1525	2.11487
0.153	12.08496
0.1535	6.2439
0.154	8.45947
0.1545	4.53186
0.155	5.94177
0.1555	8.45947
0.156	9.66797
0.1565	10.57434
