Gianluca_La_Polta_Right_1.c3d  



Time(s):	A_L_bicipite(μV):
0	10.77576
0.0005	4.93469
0.001	9.16443
0.0015	11.38
0.002	11.88354
0.0025	6.54602
0.003	3.92761
0.0035	7.95593
0.004	3.8269
0.0045	12.5885
0.005	9.26514
0.0055	9.97009
0.006	6.44531
0.0065	6.84814
0.007	3.52478
0.0075	7.65381
0.008	8.45947
0.0085	3.12195
0.009	4.33044
0.0095	0
0.01	2.11487
0.0105	1.10779
0.011	1.51062
0.0115	6.64673
0.012	8.96301
0.0125	5.74036
0.013	1.10779
0.0135	8.66089
0.014	7.95593
0.0145	7.65381
0.015	8.8623
0.0155	4.83398
0.016	2.61841
0.0165	3.8269
0.017	4.93469
0.0175	1.2085
0.018	-0.90637
0.0185	1.61133
0.019	6.04248
0.0195	7.04956
0.02	6.3446
0.0205	9.76868
0.021	2.21558
0.0215	6.64673
0.022	4.53186
0.0225	5.43823
0.023	8.7616
0.0235	11.38
0.024	7.65381
0.0245	3.52478
0.025	9.66797
0.0255	3.7262
0.026	12.68921
0.0265	6.54602
0.027	12.89062
0.0275	7.85522
0.028	13.59558
0.0285	11.2793
0.029	12.38708
0.0295	14.30054
0.03	12.68921
0.0305	12.78992
0.031	11.78284
0.0315	12.5885
0.032	12.68921
0.0325	16.41541
0.033	13.19275
0.0335	16.71753
0.034	16.81824
0.0345	11.88354
0.035	17.22107
0.0355	13.29346
0.036	13.99841
0.0365	12.78992
0.037	14.50195
0.0375	9.46655
0.038	9.86938
0.0385	9.26514
0.039	7.65381
0.0395	10.67505
0.04	8.05664
0.0405	9.46655
0.041	10.27222
0.0415	12.38708
0.042	10.0708
0.0425	5.0354
0.043	3.12195
0.0435	5.23682
0.044	2.61841
0.0445	2.92053
0.045	5.33752
0.0455	-0.30212
0.046	4.53186
0.0465	5.33752
0.047	5.43823
0.0475	5.13611
0.048	6.64673
0.0485	5.13611
0.049	1.2085
0.0495	2.01416
0.05	1.91345
0.0505	0.80566
0.051	-2.11487
0.0515	0.60425
0.052	4.12903
0.0525	4.73328
0.053	0.50354
0.0535	-3.62549
0.054	5.23682
0.0545	4.73328
0.055	2.71912
0.0555	1.00708
0.056	3.8269
0.0565	6.2439
0.057	10.27222
0.0575	3.7262
0.058	0.40283
0.0585	6.74744
0.059	6.2439
0.0595	3.62549
0.06	3.22266
0.0605	1.71204
0.061	1.61133
0.0615	2.5177
0.062	2.61841
0.0625	-1.51062
0.063	-0.10071
0.0635	2.31628
0.064	7.25098
0.0645	5.53894
0.065	0.80566
0.0655	5.74036
0.066	2.5177
0.0665	8.66089
0.067	1.61133
0.0675	8.05664
0.068	12.18567
0.0685	14.30054
0.069	8.96301
0.0695	5.63965
0.07	0.40283
0.0705	2.01416
0.071	5.63965
0.0715	3.62549
0.072	6.04248
0.0725	2.01416
0.073	2.11487
0.0735	4.73328
0.074	1.71204
0.0745	2.11487
0.075	-1.3092
0.0755	5.53894
