Gianluca_La_Polta_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	7.45239
0.0005	5.94177
0.001	2.31628
0.0015	4.63257
0.002	9.06372
0.0025	8.35876
0.003	3.8269
0.0035	5.33752
0.004	6.54602
0.0045	5.63965
0.005	12.38708
0.0055	12.28638
0.006	6.84814
0.0065	11.07788
0.007	6.74744
0.0075	7.15027
0.008	9.16443
0.0085	10.47363
0.009	9.06372
0.0095	14.90479
0.01	10.87646
0.0105	3.8269
0.011	4.83398
0.0115	1.10779
0.012	1.61133
0.0125	6.74744
0.013	7.85522
0.0135	9.97009
0.014	14.70337
0.0145	7.85522
0.015	5.84106
0.0155	9.66797
0.016	4.83398
0.0165	3.22266
0.017	3.8269
0.0175	7.25098
0.018	5.53894
0.0185	8.7616
0.019	9.36584
0.0195	5.13611
0.02	1.61133
0.0205	4.73328
0.021	7.35168
0.0215	12.5885
0.022	-1.00708
0.0225	1.10779
0.023	4.93469
0.0235	6.84814
0.024	10.97717
0.0245	10.27222
0.025	10.0708
0.0255	4.73328
0.026	13.19275
0.0265	11.07788
0.027	8.25806
0.0275	7.25098
0.028	4.43115
0.0285	6.14319
0.029	-0.30212
0.0295	1.71204
0.03	1.51062
0.0305	5.33752
0.031	3.52478
0.0315	2.81982
0.032	3.22266
0.0325	5.63965
0.033	12.08496
0.0335	12.28638
0.034	9.86938
0.0345	9.86938
0.035	11.38
0.0355	10.57434
0.036	6.44531
0.0365	6.64673
0.037	7.25098
0.0375	4.93469
0.038	5.63965
0.0385	9.46655
0.039	3.62549
0.0395	10.17151
0.04	4.02832
0.0405	9.06372
0.041	4.02832
0.0415	-1.2085
0.042	-0.60425
0.0425	-3.32336
0.043	-4.02832
0.0435	-0.70496
0.044	3.92761
0.0445	0.20142
0.045	-0.80566
0.0455	3.22266
0.046	-1.40991
0.0465	-3.92761
0.047	-4.12903
0.0475	-1.40991
0.048	3.62549
0.0485	3.62549
0.049	6.64673
0.0495	2.71912
0.05	5.33752
0.0505	9.56726
0.051	13.49487
0.0515	15.81116
0.052	7.25098
0.0525	14.90479
0.053	9.66797
0.0535	6.44531
0.054	13.29346
0.0545	10.17151
0.055	8.05664
0.0555	10.47363
0.056	5.13611
0.0565	7.85522
0.057	13.39417
0.0575	8.56018
0.058	9.16443
0.0585	8.35876
0.059	13.09204
0.0595	9.97009
0.06	0.30212
0.0605	-2.21558
0.061	1.40991
0.0615	-2.61841
0.062	-0.60425
0.0625	5.84106
0.063	5.43823
0.0635	2.5177
0.064	-3.32336
0.0645	3.02124
0.065	4.43115
0.0655	5.23682
0.066	3.52478
0.0665	3.8269
0.067	1.61133
0.0675	1.40991
0.068	4.22974
0.0685	2.92053
0.069	1.2085
0.0695	4.22974
0.07	1.51062
0.0705	2.5177
0.071	3.7262
0.0715	5.13611
0.072	3.22266
0.0725	4.83398
0.073	7.45239
0.0735	4.33044
0.074	5.63965
0.0745	-1.3092
0.075	4.02832
0.0755	4.12903
0.076	8.05664
0.0765	13.89771
0.077	5.53894
0.0775	7.04956
0.078	3.62549
0.0785	-3.32336
0.079	-2.11487
0.0795	-2.21558
0.08	1.91345
0.0805	-2.61841
0.081	0.30212
0.0815	3.92761
0.082	1.2085
0.0825	3.7262
0.083	2.81982
0.0835	4.93469
0.084	4.73328
0.0845	-1.2085
0.085	4.83398
0.0855	0.80566
0.086	9.46655
0.0865	10.77576
0.087	10.0708
0.0875	4.93469
0.088	2.5177
0.0885	11.48071
0.089	2.5177
0.0895	7.35168
0.09	11.17859
0.0905	9.16443
0.091	9.97009
0.0915	7.45239
0.092	7.35168
0.0925	1.71204
0.093	2.41699
0.0935	9.66797
0.094	4.53186
0.0945	3.32336
0.095	3.52478
0.0955	2.21558
0.096	7.75452
0.0965	1.00708
0.097	-1.61133
0.0975	4.73328
0.098	3.52478
0.0985	-0.10071
0.099	5.63965
0.0995	3.42407
0.1	10.0708
0.1005	5.84106
0.101	6.2439
0.1015	10.17151
0.102	12.89062
0.1025	7.45239
0.103	5.53894
0.1035	6.94885
0.104	6.44531
0.1045	3.7262
0.105	3.8269
0.1055	4.22974
0.106	-0.30212
0.1065	3.32336
0.107	6.94885
0.1075	6.94885
0.108	3.52478
0.1085	10.27222
0.109	7.65381
0.1095	11.98425
0.11	7.65381
0.1105	3.7262
0.111	4.43115
0.1115	6.94885
0.112	11.68213
0.1125	7.75452
0.113	9.56726
0.1135	11.88354
0.114	13.49487
0.1145	10.77576
0.115	11.2793
0.1155	10.17151
0.116	10.17151
0.1165	3.22266
0.117	-0.10071
0.1175	6.74744
0.118	3.42407
0.1185	-1.81274
0.119	-3.62549
0.1195	2.61841
0.12	-3.42407
0.1205	-0.70496
0.121	1.61133
0.1215	4.22974
0.122	3.02124
0.1225	3.52478
0.123	5.33752
0.1235	7.75452
0.124	5.33752
0.1245	6.44531
0.125	1.81274
0.1255	-0.10071
0.126	2.11487
0.1265	-1.00708
0.127	2.21558
0.1275	0.70496
0.128	-1.71204
0.1285	1.81274
0.129	3.62549
0.1295	-4.22974
0.13	2.61841
0.1305	0.80566
0.131	4.93469
0.1315	-1.51062
0.132	0.20142
0.1325	5.43823
0.133	8.66089
0.1335	7.85522
0.134	2.5177
0.1345	4.22974
0.135	2.11487
0.1355	3.12195
0.136	2.5177
0.1365	6.94885
0.137	6.2439
0.1375	9.16443
0.138	10.27222
0.1385	10.67505
0.139	6.04248
0.1395	5.84106
0.14	0.30212
0.1405	2.81982
0.141	8.05664
0.1415	5.53894
0.142	1.10779
0.1425	9.46655
0.143	6.54602
0.1435	9.86938
0.144	6.94885
0.1445	8.66089
0.145	9.56726
0.1455	11.48071
0.146	2.21558
0.1465	8.8623
0.147	9.06372
0.1475	2.81982
