Gianluca_La_Polta_Left_1.c3d  



Time(s):	A_R_bicipite(μV):
0	9.66797
0.0005	6.74744
0.001	13.99841
0.0015	11.78284
0.002	10.67505
0.0025	7.75452
0.003	8.15735
0.0035	6.14319
0.004	9.16443
0.0045	10.77576
0.005	6.04248
0.0055	5.53894
0.006	1.81274
0.0065	3.8269
0.007	6.2439
0.0075	5.43823
0.008	-2.71912
0.0085	5.43823
0.009	5.43823
0.0095	2.71912
0.01	-1.10779
0.0105	1.3092
0.011	5.0354
0.0115	5.94177
0.012	3.42407
0.0125	12.5885
0.013	8.7616
0.0135	13.29346
0.014	14.50195
0.0145	9.76868
0.015	8.05664
0.0155	3.22266
0.016	6.3446
0.0165	7.45239
0.017	9.46655
0.0175	8.05664
0.018	4.83398
0.0185	6.64673
0.019	5.74036
0.0195	6.44531
0.02	8.45947
0.0205	5.74036
0.021	11.68213
0.0215	5.63965
0.022	5.23682
0.0225	5.13611
0.023	8.25806
0.0235	4.43115
0.024	7.15027
0.0245	-0.30212
0.025	3.12195
0.0255	3.62549
0.026	11.17859
0.0265	6.04248
0.027	5.43823
0.0275	6.94885
0.028	6.3446
0.0285	4.73328
0.029	2.21558
0.0295	2.92053
0.03	6.3446
0.0305	3.22266
0.031	3.52478
0.0315	0.80566
0.032	1.3092
0.0325	-2.71912
0.033	0
0.0335	-0.40283
0.034	1.40991
0.0345	-2.92053
0.035	6.44531
0.0355	8.96301
0.036	10.17151
0.0365	6.04248
0.037	9.56726
0.0375	14.40125
0.038	11.17859
0.0385	9.16443
0.039	11.2793
0.0395	15.91187
0.04	11.88354
0.0405	9.36584
0.041	10.97717
0.0415	8.05664
0.042	3.62549
0.0425	3.8269
0.043	8.35876
0.0435	6.64673
0.044	5.84106
0.0445	10.17151
0.045	7.95593
0.0455	9.06372
0.046	10.97717
0.0465	13.39417
0.047	12.99133
0.0475	12.48779
0.048	6.3446
0.0485	5.74036
0.049	5.74036
0.0495	8.8623
0.05	11.17859
0.0505	12.28638
0.051	11.68213
0.0515	6.94885
0.052	8.56018
0.0525	9.26514
0.053	6.54602
0.0535	8.35876
0.054	6.14319
0.0545	6.64673
0.055	1.2085
0.0555	5.0354
0.056	7.04956
0.0565	13.09204
0.057	4.63257
0.0575	4.83398
0.058	3.62549
0.0585	5.23682
0.059	3.22266
0.0595	4.93469
0.06	9.26514
0.0605	5.94177
0.061	7.04956
0.0615	7.85522
0.062	7.45239
0.0625	6.64673
0.063	3.42407
0.0635	8.8623
0.064	3.7262
0.0645	6.2439
0.065	8.66089
0.0655	3.32336
0.066	12.08496
0.0665	9.86938
0.067	13.59558
0.0675	10.57434
0.068	8.05664
0.0685	7.35168
0.069	9.56726
0.0695	8.7616
0.07	7.85522
0.0705	6.84814
0.071	8.96301
0.0715	12.48779
0.072	10.0708
0.0725	5.94177
0.073	4.12903
0.0735	4.43115
0.074	4.33044
0.0745	5.53894
0.075	3.02124
0.0755	6.14319
0.076	4.63257
0.0765	7.35168
0.077	9.16443
0.0775	7.45239
0.078	8.56018
0.0785	12.68921
0.079	11.48071
0.0795	7.85522
0.08	10.0708
0.0805	7.95593
0.081	13.19275
0.0815	9.36584
0.082	5.94177
0.0825	11.78284
0.083	7.65381
0.0835	5.84106
0.084	1.81274
0.0845	4.33044
0.085	1.00708
0.0855	3.8269
0.086	9.46655
0.0865	8.66089
0.087	8.35876
0.0875	12.18567
0.088	6.14319
0.0885	5.94177
0.089	8.35876
0.0895	13.797
0.09	9.56726
0.0905	12.5885
0.091	7.75452
0.0915	7.75452
0.092	10.57434
0.0925	8.7616
0.093	2.61841
0.0935	7.45239
0.094	4.53186
0.0945	7.65381
0.095	1.3092
0.0955	6.3446
0.096	3.8269
0.0965	10.0708
0.097	8.56018
0.0975	12.18567
0.098	6.2439
0.0985	5.53894
0.099	7.65381
0.0995	3.32336
0.1	0.10071
0.1005	1.81274
0.101	2.31628
0.1015	-2.92053
0.102	3.12195
0.1025	-0.50354
0.103	-5.63965
0.1035	3.02124
0.104	-2.81982
0.1045	0.80566
0.105	3.52478
0.1055	1.51062
0.106	1.40991
0.1065	2.5177
0.107	2.41699
0.1075	-0.70496
0.108	2.01416
0.1085	-0.90637
0.109	8.8623
0.1095	9.46655
0.11	10.67505
0.1105	10.17151
0.111	15.40833
0.1115	8.45947
0.112	10.27222
0.1125	12.48779
0.113	17.22107
0.1135	7.85522
0.114	11.17859
0.1145	8.66089
0.115	6.04248
0.1155	4.22974
0.116	6.74744
0.1165	3.32336
0.117	3.92761
0.1175	-1.71204
0.118	2.11487
0.1185	4.02832
0.119	5.23682
0.1195	2.21558
0.12	3.12195
0.1205	2.71912
0.121	2.31628
0.1215	2.61841
0.122	5.43823
0.1225	7.25098
0.123	5.63965
0.1235	5.23682
0.124	6.74744
0.1245	4.02832
0.125	4.73328
0.1255	9.46655
0.126	7.65381
0.1265	9.46655
0.127	6.3446
0.1275	12.18567
0.128	9.06372
0.1285	8.8623
0.129	4.43115
0.1295	0.90637
0.13	6.3446
0.1305	11.2793
0.131	9.36584
0.1315	11.2793
0.132	11.98425
0.1325	11.2793
0.133	7.04956
0.1335	9.16443
0.134	0.90637
0.1345	3.8269
0.135	6.74744
0.1355	2.61841
0.136	8.8623
0.1365	8.56018
0.137	14.09912
0.1375	10.57434
0.138	15.00549
0.1385	11.2793
0.139	8.66089
0.1395	14.90479
0.14	7.25098
0.1405	11.38
0.141	9.76868
0.1415	3.32336
0.142	8.45947
0.1425	-1.91345
0.143	0.50354
0.1435	1.00708
0.144	-4.53186
0.1445	-5.74036
0.145	4.33044
0.1455	8.25806
0.146	4.73328
0.1465	3.52478
0.147	1.71204
0.1475	3.8269
0.148	3.8269
0.1485	4.43115
0.149	7.85522
0.1495	11.07788
0.15	9.16443
0.1505	14.50195
0.151	13.39417
0.1515	13.797
0.152	16.11328
0.1525	7.85522
0.153	9.76868
0.1535	12.48779
0.154	10.97717
0.1545	12.08496
0.155	1.91345
0.1555	-0.20142
0.156	-3.22266
0.1565	-5.13611
0.157	1.3092
0.1575	5.0354
0.158	3.7262
0.1585	6.14319
0.159	5.94177
0.1595	8.45947
0.16	8.8623
0.1605	5.94177
0.161	6.54602
0.1615	6.14319
0.162	5.94177
0.1625	8.96301
0.163	4.63257
0.1635	4.73328
0.164	6.64673
0.1645	5.84106
0.165	4.53186
0.1655	6.64673
0.166	5.53894
0.1665	7.65381
0.167	1.2085
0.1675	3.12195
0.168	9.46655
0.1685	5.13611
0.169	6.3446
0.1695	5.0354
0.17	2.92053
0.1705	2.11487
0.171	4.33044
0.1715	5.43823
0.172	3.02124
0.1725	9.16443
0.173	7.65381
0.1735	11.88354
0.174	8.7616
0.1745	11.88354
0.175	9.46655
0.1755	4.33044
0.176	4.33044
0.1765	8.15735
0.177	5.33752
0.1775	5.53894
0.178	4.83398
0.1785	5.84106
0.179	-1.10779
0.1795	2.01416
0.18	2.92053
0.1805	3.12195
0.181	0.80566
0.1815	4.73328
0.182	10.57434
0.1825	4.12903
0.183	10.97717
0.1835	5.74036
0.184	8.56018
0.1845	4.22974
0.185	5.63965
0.1855	9.56726
0.186	6.2439
0.1865	2.01416
0.187	-0.10071
0.1875	3.52478
0.188	-0.60425
0.1885	-2.61841
0.189	-2.11487
0.1895	-2.01416
0.19	0.80566
0.1905	-3.52478
0.191	-7.35168
0.1915	-2.81982
0.192	-6.54602
0.1925	-1.3092
0.193	2.5177
0.1935	7.75452
0.194	10.87646
0.1945	9.76868
0.195	10.37292
0.1955	10.87646
0.196	7.85522
0.1965	8.35876
0.197	7.5531
0.1975	6.44531
0.198	8.96301
0.1985	13.29346
0.199	17.92603
0.1995	12.78992
0.2	12.89062
0.2005	4.53186
0.201	3.7262
0.2015	1.2085
0.202	1.2085
0.2025	2.01416
0.203	3.7262
0.2035	1.91345
0.204	0.90637
0.2045	0
0.205	2.41699
0.2055	5.43823
0.206	4.12903
0.2065	1.40991
0.207	0.10071
0.2075	1.61133
0.208	-4.12903
0.2085	-0.30212
0.209	5.0354
0.2095	7.35168
0.21	6.3446
0.2105	10.27222
0.211	7.04956
0.2115	-0.90637
0.212	5.53894
0.2125	7.95593
0.213	5.53894
0.2135	8.25806
0.214	9.97009
0.2145	12.38708
0.215	8.05664
0.2155	4.12903
0.216	5.94177
0.2165	6.3446
0.217	3.52478
0.2175	4.83398
0.218	-0.60425
0.2185	6.64673
0.219	-0.30212
0.2195	2.61841
0.22	2.81982
0.2205	4.22974
0.221	0.30212
0.2215	5.23682
0.222	5.43823
0.2225	2.11487
0.223	5.63965
0.2235	5.0354
0.224	0.40283
0.2245	0.20142
0.225	2.81982
0.2255	-1.00708
0.226	0.60425
0.2265	4.63257
0.227	8.66089
0.2275	6.04248
0.228	8.66089
0.2285	6.2439
0.229	6.94885
0.2295	8.15735
0.23	6.84814
0.2305	1.61133
0.231	10.47363
0.2315	3.62549
0.232	6.04248
0.2325	9.76868
0.233	6.44531
0.2335	6.54602
0.234	10.37292
0.2345	7.15027
0.235	1.91345
0.2355	9.97009
0.236	9.06372
0.2365	9.97009
0.237	13.59558
0.2375	10.47363
0.238	9.06372
0.2385	1.81274
0.239	1.91345
0.2395	3.12195
0.24	9.26514
0.2405	6.94885
0.241	8.25806
0.2415	7.45239
0.242	9.76868
0.2425	9.06372
0.243	10.97717
0.2435	7.15027
0.244	6.3446
0.2445	4.53186
0.245	3.02124
0.2455	4.12903
0.246	-6.14319
0.2465	-4.02832
0.247	-3.02124
0.2475	-2.11487
0.248	-0.60425
0.2485	3.62549
0.249	7.35168
0.2495	9.66797
0.25	6.54602
0.2505	7.25098
0.251	-0.80566
0.2515	1.81274
0.252	7.04956
0.2525	10.57434
0.253	12.18567
0.2535	9.66797
0.254	7.85522
0.2545	8.66089
0.255	9.86938
0.2555	4.63257
0.256	3.32336
0.2565	1.51062
0.257	6.04248
0.2575	2.61841
0.258	0.80566
0.2585	11.98425
0.259	8.25806
0.2595	7.5531
0.26	9.06372
0.2605	10.0708
0.261	12.78992
0.2615	11.78284
0.262	9.46655
0.2625	5.13611
0.263	5.43823
0.2635	2.81982
0.264	7.85522
0.2645	7.45239
0.265	5.84106
0.2655	7.35168
0.266	7.5531
0.2665	8.15735
0.267	8.96301
0.2675	6.64673
0.268	8.35876
0.2685	9.86938
0.269	6.44531
0.2695	13.29346
0.27	9.56726
0.2705	11.68213
0.271	8.15735
0.2715	6.54602
0.272	6.54602
0.2725	5.84106
0.273	6.44531
0.2735	0.50354
0.274	7.35168
0.2745	10.67505
0.275	12.18567
0.2755	10.47363
0.276	7.75452
0.2765	5.63965
0.277	2.81982
0.2775	2.11487
0.278	4.93469
0.2785	7.25098
0.279	7.04956
0.2795	10.67505
0.28	9.86938
0.2805	5.84106
0.281	5.43823
0.2815	4.83398
0.282	2.61841
0.2825	3.7262
0.283	2.71912
0.2835	1.81274
0.284	4.43115
0.2845	6.44531
0.285	10.97717
0.2855	5.63965
0.286	1.3092
0.2865	2.92053
0.287	0.90637
0.2875	5.94177
0.288	10.0708
0.2885	3.22266
0.289	0.40283
0.2895	0.20142
0.29	-2.31628
0.2905	-0.50354
0.291	-0.40283
0.2915	3.7262
0.292	2.31628
0.2925	6.74744
0.293	9.76868
0.2935	7.5531
0.294	2.81982
0.2945	8.66089
0.295	9.76868
0.2955	9.76868
0.296	6.54602
0.2965	5.63965
0.297	4.43115
0.2975	7.5531
0.298	11.17859
0.2985	13.69629
0.299	5.53894
0.2995	9.16443
0.3	3.12195
0.3005	3.8269
0.301	1.91345
0.3015	1.71204
0.302	3.92761
0.3025	2.81982
0.303	5.43823
0.3035	5.84106
0.304	6.04248
0.3045	6.84814
0.305	2.61841
0.3055	6.74744
0.306	7.45239
0.3065	6.04248
0.307	8.15735
0.3075	5.94177
0.308	5.94177
0.3085	1.00708
0.309	1.00708
0.3095	1.00708
0.31	1.00708
0.3105	1.00708
0.311	1.00708
0.3115	1.00708
0.312	1.00708
0.3125	1.00708
0.313	1.00708
0.3135	1.00708
0.314	1.00708
0.3145	1.00708
0.315	1.00708
0.3155	1.00708
0.316	1.00708
0.3165	1.00708
0.317	1.00708
0.3175	1.00708
0.318	1.00708
0.3185	1.00708
0.319	3.12195
0.3195	-0.10071
0.32	0.70496
0.3205	2.11487
0.321	5.13611
0.3215	5.63965
0.322	7.04956
0.3225	6.64673
0.323	6.2439
0.3235	3.8269
0.324	-1.3092
0.3245	-0.80566
0.325	8.05664
0.3255	0.10071
0.326	3.7262
0.3265	3.22266
0.327	5.74036
0.3275	0.10071
0.328	-0.70496
0.3285	2.21558
0.329	2.81982
0.3295	-1.2085
0.33	-1.81274
0.3305	6.94885
0.331	1.3092
0.3315	6.54602
0.332	2.92053
