Gianluca_La_Polta_Left_1.c3d  



Time(s):	B_R_bicipite(μV):
0	4.63257
0.0005	2.61841
0.001	-7.85522
0.0015	-9.86938
0.002	-7.65381
0.0025	-4.02832
0.003	3.52478
0.0035	4.43115
0.004	7.15027
0.0045	4.02832
0.005	1.91345
0.0055	12.18567
0.006	13.49487
0.0065	17.6239
0.007	22.6593
0.0075	24.97559
0.008	21.65222
0.0085	14.60266
0.009	17.42249
0.0095	20.84656
0.01	20.54443
0.0105	17.72461
0.011	18.22815
0.0115	17.42249
0.012	14.90479
0.0125	16.51611
0.013	17.22107
0.0135	16.71753
0.014	13.99841
0.0145	11.07788
0.015	11.88354
0.0155	10.17151
0.016	12.08496
0.0165	8.96301
0.017	8.35876
0.0175	11.38
0.018	5.33752
0.0185	8.25806
0.019	11.88354
0.0195	10.27222
0.02	6.3446
0.0205	8.96301
0.021	16.51611
0.0215	18.8324
0.022	18.53027
0.0225	12.89062
0.023	8.45947
0.0235	13.797
0.024	8.66089
0.0245	7.75452
0.025	5.33752
0.0255	7.5531
0.026	11.38
0.0265	11.88354
0.027	5.94177
0.0275	2.61841
0.028	9.36584
0.0285	5.13611
0.029	5.43823
0.0295	6.04248
0.03	2.61841
0.0305	-2.01416
0.031	-3.92761
0.0315	4.53186
0.032	1.10779
0.0325	-3.22266
0.033	3.12195
0.0335	0.60425
0.034	0.60425
0.0345	0.30212
0.035	0.60425
0.0355	18.42957
0.036	30.31311
0.0365	32.32727
0.037	21.45081
0.0375	18.8324
0.038	10.97717
0.0385	-2.21558
0.039	-15.20691
0.0395	-21.45081
0.04	-24.97559
0.0405	-33.33435
0.041	-33.03223
0.0415	-20.74585
0.042	-19.03381
0.0425	-8.66089
0.043	2.92053
0.0435	-0.70496
0.044	6.74744
0.0445	9.36584
0.045	7.85522
0.0455	9.56726
0.046	7.85522
0.0465	6.94885
0.047	16.91895
0.0475	12.48779
0.048	11.98425
0.0485	17.32178
0.049	23.16284
0.0495	24.97559
0.05	25.68054
0.0505	20.64514
0.051	17.12036
0.0515	20.04089
0.052	16.51611
0.0525	16.61682
0.053	10.87646
0.0535	11.17859
0.054	16.71753
0.0545	12.08496
0.055	9.26514
0.0555	8.35876
0.056	12.89062
0.0565	3.62549
0.057	7.35168
0.0575	13.09204
0.058	7.35168
0.0585	7.04956
0.059	9.76868
0.0595	9.66797
0.06	12.5885
0.0605	8.35876
0.061	9.76868
0.0615	3.8269
0.062	8.45947
0.0625	8.8623
0.063	11.58142
0.0635	7.35168
0.064	8.35876
0.0645	3.7262
0.065	9.26514
0.0655	19.23523
0.066	19.63806
0.0665	20.24231
0.067	24.77417
0.0675	19.13452
0.068	15.40833
0.0685	5.23682
0.069	-2.71912
0.0695	-5.84106
0.07	-9.46655
0.0705	-11.48071
0.071	-6.04248
0.0715	-7.04956
0.072	-3.22266
0.0725	16.61682
0.073	88.72375
0.0735	132.93457
0.074	167.67883
0.0745	162.2406
0.075	134.5459
0.0755	97.38464
0.076	46.12427
0.0765	2.31628
0.077	-26.78833
0.0775	-48.84338
0.078	-66.56799
0.0785	-93.55774
0.079	-106.64978
0.0795	-110.07385
0.08	-118.13049
0.0805	-107.65686
0.081	-96.57898
0.0815	-78.55225
0.082	-66.36658
0.0825	-57.60498
0.083	-44.0094
0.0835	-32.52869
0.084	-29.91028
0.0845	-17.72461
0.085	-14.19983
0.0855	-15.60974
0.086	-5.63965
0.0865	0.40283
0.087	20.74585
0.0875	30.71594
0.088	39.27612
0.0885	41.18958
0.089	40.48462
0.0895	43.40515
0.09	42.49878
0.0905	45.2179
0.091	46.62781
0.0915	47.63489
0.092	33.63647
0.0925	36.4563
0.093	31.11877
0.0935	27.39258
0.094	22.76001
0.0945	22.6593
0.095	22.55859
0.0955	18.73169
0.096	19.53735
0.0965	16.81824
0.097	14.19983
0.0975	16.71753
0.098	10.77576
0.0985	14.60266
0.099	9.36584
0.0995	14.60266
0.1	16.3147
0.1005	7.85522
0.101	3.92761
0.1015	2.61841
0.102	7.45239
0.1025	10.17151
0.103	6.64673
0.1035	12.38708
0.104	8.7616
0.1045	9.66797
0.105	6.94885
0.1055	8.35876
0.106	5.23682
0.1065	5.13611
0.107	3.12195
0.1075	0.60425
0.108	3.62549
0.1085	2.61841
0.109	-0.90637
0.1095	-1.61133
0.11	2.61841
0.1105	-0.60425
0.111	1.51062
0.1115	-0.10071
0.112	0.40283
0.1125	8.45947
0.113	23.96851
0.1135	33.13293
0.114	38.77258
0.1145	29.30603
0.115	19.53735
0.1155	4.22974
0.116	-5.43823
0.1165	-13.29346
0.117	-23.06213
0.1175	-34.44214
0.118	-30.11169
0.1185	-24.57275
0.119	-9.86938
0.1195	-1.51062
0.12	0.40283
0.1205	1.61133
0.121	8.8623
0.1215	24.16992
0.122	31.82373
0.1225	32.32727
0.123	26.48621
0.1235	19.63806
0.124	13.29346
0.1245	6.04248
0.125	5.23682
0.1255	0.40283
0.126	-5.63965
0.1265	-8.56018
0.127	-2.61841
0.1275	-17.01965
0.128	-13.797
0.1285	-17.32178
0.129	-10.97717
0.1295	-14.30054
0.13	-8.7616
0.1305	3.02124
0.131	3.92761
0.1315	4.63257
0.132	-5.74036
0.1325	-11.58142
0.133	-12.89062
0.1335	-15.00549
0.134	-21.45081
0.1345	-20.04089
0.135	-12.89062
0.1355	-5.53894
0.136	-4.53186
0.1365	5.23682
0.137	11.78284
0.1375	20.04089
0.138	13.49487
0.1385	9.76868
0.139	11.07788
0.1395	7.85522
0.14	11.68213
0.1405	9.56726
0.141	10.0708
0.1415	3.92761
0.142	8.25806
0.1425	14.90479
0.143	17.72461
0.1435	20.04089
0.144	16.11328
0.1445	10.17151
0.145	7.45239
0.1455	9.36584
0.146	4.22974
0.1465	-0.80566
0.147	2.31628
0.1475	-2.11487
0.148	1.81274
0.1485	-2.21558
0.149	0.30212
0.1495	0.10071
0.15	-4.33044
0.1505	-7.45239
0.151	-7.45239
0.1515	-6.64673
0.152	-3.7262
0.1525	4.43115
0.153	8.25806
0.1535	6.3446
0.154	12.89062
0.1545	18.32886
0.155	21.14868
0.1555	17.72461
0.156	14.19983
0.1565	5.33752
0.157	-4.83398
0.1575	-12.38708
0.158	-26.58691
0.1585	-24.27063
0.159	-25.57983
0.1595	-20.64514
0.16	-29.70886
0.1605	-23.16284
0.161	-23.46497
0.1615	-21.14868
0.162	-18.8324
0.1625	-13.29346
0.163	-5.63965
0.1635	-9.66797
0.164	-6.54602
0.1645	-7.15027
0.165	2.92053
0.1655	-0.50354
0.166	25.177
0.1665	62.03613
0.167	93.35632
0.1675	126.08643
0.168	137.76855
0.1685	132.12891
0.169	112.89368
0.1695	78.45154
0.17	43.80798
0.1705	-2.81982
0.171	-41.79382
0.1715	-69.48853
0.172	-65.15808
0.1725	-58.41064
0.173	-60.72693
0.1735	-48.54126
0.174	-25.88196
0.1745	-19.13452
0.175	-2.92053
0.1755	-2.11487
0.176	-1.00708
0.1765	-2.5177
0.177	-2.81982
0.1775	5.53894
0.178	21.3501
0.1785	26.98975
0.179	27.59399
0.1795	36.85913
0.18	54.38232
0.1805	47.23206
0.181	51.36108
0.1815	54.0802
0.182	48.23914
0.1825	43.70728
0.183	28.50037
0.1835	18.42957
0.184	11.88354
0.1845	5.84106
0.185	5.33752
0.1855	2.92053
0.186	-3.12195
0.1865	-6.94885
0.187	-8.56018
0.1875	-10.67505
0.188	-7.95593
0.1885	-13.09204
0.189	-8.96301
0.1895	-5.94177
0.19	-6.54602
0.1905	-6.64673
0.191	-7.75452
0.1915	0.10071
0.192	3.12195
0.1925	2.11487
0.193	3.92761
0.1935	1.00708
0.194	-2.21558
0.1945	-2.71912
0.195	-0.80566
0.1955	0
0.196	-0.80566
0.1965	-9.06372
0.197	-7.5531
0.1975	-2.21558
0.198	-6.74744
0.1985	-4.83398
0.199	-0.80566
0.1995	-7.65381
0.2	-5.53894
0.2005	-6.44531
0.201	-5.84106
0.2015	-0.50354
0.202	-3.7262
0.2025	-2.61841
0.203	-2.5177
0.2035	-4.02832
0.204	2.31628
0.2045	2.21558
0.205	2.21558
0.2055	3.7262
0.206	6.2439
0.2065	-0.10071
0.207	6.3446
0.2075	6.3446
0.208	2.31628
0.2085	-0.30212
0.209	-0.70496
0.2095	-0.90637
0.21	-2.21558
0.2105	3.42407
0.211	3.52478
0.2115	1.61133
0.212	3.8269
0.2125	6.84814
0.213	6.14319
0.2135	2.92053
0.214	10.17151
0.2145	3.32336
0.215	12.5885
0.2155	6.84814
0.216	6.44531
0.2165	5.0354
0.217	7.5531
0.2175	7.85522
0.218	4.83398
0.2185	8.56018
0.219	7.75452
0.2195	7.25098
0.22	6.04248
0.2205	11.38
0.221	8.35876
0.2215	8.15735
0.222	5.43823
0.2225	7.5531
0.223	3.92761
0.2235	3.52478
0.224	5.84106
0.2245	8.66089
0.225	10.37292
0.2255	9.36584
0.226	9.97009
0.2265	4.02832
0.227	5.33752
0.2275	1.71204
0.228	6.14319
0.2285	4.53186
0.229	6.04248
0.2295	11.78284
0.23	14.40125
0.2305	10.67505
0.231	9.76868
0.2315	9.46655
0.232	11.68213
0.2325	10.77576
0.233	13.19275
0.2335	9.97009
0.234	8.45947
0.2345	8.05664
0.235	8.66089
0.2355	16.81824
0.236	11.2793
0.2365	11.68213
0.237	7.95593
0.2375	10.0708
0.238	5.84106
0.2385	5.53894
0.239	7.5531
0.2395	8.15735
0.24	7.75452
0.2405	7.65381
0.241	10.17151
0.2415	17.22107
0.242	7.35168
0.2425	10.87646
0.243	11.17859
0.2435	6.2439
0.244	9.66797
0.2445	10.97717
0.245	15.00549
0.2455	9.56726
0.246	9.06372
0.2465	13.89771
0.247	14.60266
0.2475	18.73169
0.248	21.14868
0.2485	24.77417
0.249	25.07629
0.2495	25.177
0.25	20.74585
0.2505	16.71753
0.251	12.48779
0.2515	8.15735
0.252	0.20142
0.2525	2.5177
0.253	-1.2085
0.2535	2.21558
0.254	0.50354
0.2545	3.7262
0.255	2.71912
0.2555	5.43823
0.256	0.70496
0.2565	4.73328
0.257	4.43115
0.2575	-0.10071
0.258	-1.51062
0.2585	-0.60425
0.259	0.70496
0.2595	-7.95593
0.26	-14.30054
0.2605	-12.48779
0.261	-9.26514
0.2615	-6.74744
0.262	-9.76868
0.2625	-5.94177
0.263	-9.36584
0.2635	-6.54602
0.264	-6.04248
0.2645	-9.86938
0.265	-3.52478
0.2655	-1.71204
0.266	-2.5177
