Cristian_Larivera_Left_3.c3d  



Time(s):	B_L_bicipite(μV):
0	6.2439
0.0005	3.22266
0.001	-1.81274
0.0015	-4.22974
0.002	-5.13611
0.0025	-0.60425
0.003	-5.43823
0.0035	-2.71912
0.004	1.51062
0.0045	1.3092
0.005	0.70496
0.0055	6.14319
0.006	5.43823
0.0065	7.04956
0.007	-1.00708
0.0075	-9.86938
0.008	-6.44531
0.0085	-4.93469
0.009	-5.43823
0.0095	-3.22266
0.01	1.51062
0.0105	0.40283
0.011	2.5177
0.0115	7.5531
0.012	0.50354
0.0125	-1.91345
0.013	-6.54602
0.0135	-10.87646
0.014	-14.90479
0.0145	-7.35168
0.015	-3.7262
0.0155	0
0.016	7.85522
0.0165	18.32886
0.017	20.64514
0.0175	32.32727
0.018	35.54993
0.0185	35.04639
0.019	21.65222
0.0195	12.5885
0.02	6.74744
0.0205	4.22974
0.021	6.44531
0.0215	8.8623
0.022	6.64673
0.0225	9.16443
0.023	9.86938
0.0235	16.01257
0.024	16.81824
0.0245	14.90479
0.025	13.39417
0.0255	10.27222
0.026	13.59558
0.0265	12.99133
0.027	7.5531
0.0275	6.44531
0.028	4.33044
0.0285	0.70496
0.029	6.3446
0.0295	0.90637
0.03	7.95593
0.0305	7.65381
0.031	7.25098
0.0315	13.49487
0.032	11.58142
0.0325	2.21558
0.033	2.11487
0.0335	-0.10071
0.034	-2.5177
0.0345	-2.21558
0.035	2.21558
0.0355	3.12195
0.036	-7.85522
0.0365	9.97009
0.037	-0.90637
0.0375	0.20142
0.038	-3.02124
0.0385	-2.41699
0.039	-0.20142
0.0395	-1.2085
0.04	-1.91345
0.0405	-2.5177
0.041	-2.41699
0.0415	-0.10071
0.042	0.30212
0.0425	3.7262
0.043	6.44531
0.0435	14.70337
0.044	15.50903
0.0445	9.86938
0.045	12.5885
0.0455	9.97009
0.046	11.98425
0.0465	11.07788
0.047	8.45947
0.0475	9.97009
0.048	3.92761
0.0485	-4.22974
0.049	-6.54602
0.0495	-0.60425
0.05	1.51062
0.0505	5.33752
0.051	8.35876
0.0515	6.94885
0.052	8.35876
0.0525	10.77576
0.053	13.09204
0.0535	15.71045
0.054	14.19983
0.0545	19.53735
0.055	8.15735
0.0555	14.09912
0.056	12.18567
0.0565	11.88354
0.057	4.22974
0.0575	3.22266
0.058	-0.90637
0.0585	0.10071
0.059	2.81982
0.0595	-1.61133
0.06	1.61133
0.0605	3.7262
0.061	-1.51062
0.0615	2.11487
0.062	-7.04956
0.0625	-11.2793
0.063	-9.56726
0.0635	-7.04956
0.064	-11.2793
0.0645	-6.04248
0.065	3.8269
0.0655	2.81982
0.066	11.07788
0.0665	9.26514
0.067	12.28638
0.0675	11.98425
0.068	7.95593
0.0685	11.58142
0.069	7.35168
0.0695	0.70496
0.07	4.22974
0.0705	-0.70496
0.071	-7.65381
0.0715	-6.44531
0.072	-7.35168
0.0725	-5.74036
0.073	-6.2439
0.0735	-6.94885
0.074	-3.92761
0.0745	-0.70496
0.075	8.8623
0.0755	6.94885
0.076	10.87646
0.0765	10.87646
0.077	15.91187
0.0775	17.22107
0.078	14.19983
0.0785	16.81824
0.079	10.47363
0.0795	15.71045
0.08	12.48779
0.0805	14.60266
0.081	9.76868
0.0815	13.09204
0.082	8.05664
0.0825	6.14319
0.083	6.74744
0.0835	6.04248
0.084	6.2439
0.0845	0.40283
0.085	0.70496
0.0855	-0.60425
0.086	0.90637
0.0865	1.71204
0.087	1.81274
0.0875	0.10071
0.088	-0.80566
0.0885	-0.10071
0.089	8.56018
0.0895	-1.2085
0.09	1.61133
0.0905	4.53186
0.091	-2.61841
0.0915	-0.50354
0.092	5.84106
0.0925	4.33044
0.093	2.41699
0.0935	-5.0354
0.094	0.10071
0.0945	6.2439
0.095	4.73328
0.0955	5.84106
0.096	4.93469
0.0965	3.7262
0.097	6.2439
0.0975	5.43823
0.098	3.7262
0.0985	8.7616
0.099	8.45947
0.0995	0.30212
0.1	3.62549
0.1005	9.66797
0.101	5.23682
0.1015	3.92761
0.102	-1.91345
0.1025	0.70496
0.103	-7.35168
0.1035	-18.12744
0.104	-17.82532
0.1045	-15.60974
0.105	-16.51611
0.1055	-15.1062
0.106	-10.37292
0.1065	-0.80566
0.107	3.92761
0.1075	5.43823
0.108	10.17151
0.1085	8.15735
0.109	5.53894
0.1095	-0.80566
0.11	-3.02124
0.1105	-0.10071
0.111	4.63257
0.1115	12.5885
0.112	13.29346
0.1125	21.95435
0.113	23.26355
0.1135	21.75293
0.114	20.24231
0.1145	14.60266
0.115	12.5885
0.1155	10.0708
0.116	4.93469
0.1165	2.81982
0.117	6.2439
0.1175	1.10779
0.118	2.81982
0.1185	-2.71912
0.119	-6.44531
0.1195	4.02832
0.12	2.5177
0.1205	6.54602
0.121	3.52478
0.1215	9.46655
0.122	7.65381
0.1225	9.56726
0.123	8.66089
0.1235	6.54602
0.124	6.84814
0.1245	5.0354
0.125	2.81982
0.1255	1.81274
0.126	1.2085
0.1265	1.91345
0.127	-5.0354
0.1275	-3.22266
0.128	-2.61841
0.1285	-5.94177
0.129	-6.04248
0.1295	1.2085
0.13	10.67505
0.1305	10.27222
0.131	14.70337
0.1315	13.89771
0.132	10.57434
0.1325	14.60266
0.133	15.71045
0.1335	11.88354
0.134	14.30054
0.1345	9.76868
0.135	6.04248
0.1355	-0.10071
0.136	2.11487
0.1365	-4.93469
0.137	-5.63965
0.1375	-0.50354
0.138	1.81274
0.1385	5.63965
0.139	-2.31628
0.1395	0.40283
0.14	2.92053
0.1405	0
0.141	-2.01416
0.1415	6.94885
0.142	2.01416
0.1425	1.40991
0.143	2.61841
0.1435	6.3446
0.144	4.83398
0.1445	4.33044
0.145	2.21558
0.1455	-7.35168
0.146	-16.41541
0.1465	-16.71753
0.147	-13.89771
0.1475	-16.41541
0.148	-13.69629
0.1485	-10.0708
0.149	0.50354
0.1495	1.81274
0.15	11.78284
0.1505	16.01257
0.151	21.85364
0.1515	23.36426
0.152	26.18408
0.1525	26.28479
0.153	23.66638
0.1535	22.86072
0.154	22.15576
0.1545	14.19983
0.155	10.27222
0.1555	6.04248
0.156	2.11487
0.1565	4.33044
0.157	-6.64673
0.1575	-5.13611
0.158	-2.61841
0.1585	-9.36584
0.159	0.10071
0.1595	3.7262
0.16	8.8623
0.1605	12.38708
0.161	11.88354
0.1615	8.96301
0.162	8.66089
0.1625	8.7616
0.163	5.84106
0.1635	2.5177
0.164	3.12195
0.1645	-3.32336
0.165	-11.17859
0.1655	-7.85522
0.166	-7.25098
0.1665	-1.61133
0.167	0.60425
0.1675	1.10779
0.168	4.22974
0.1685	8.45947
