Christian_Larivera_Left_2.c3d  



Time(s):	C_R_bicipite(μV):
0	-2.21558
0.0005	0.70496
0.001	2.61841
0.0015	-0.60425
0.002	0.10071
0.0025	-0.60425
0.003	-2.5177
0.0035	-0.30212
0.004	-2.11487
0.0045	-0.10071
0.005	-2.31628
0.0055	3.8269
0.006	3.8269
0.0065	1.51062
0.007	5.23682
0.0075	4.43115
0.008	1.2085
0.0085	5.23682
0.009	4.43115
0.0095	5.94177
0.01	2.81982
0.0105	3.7262
0.011	4.93469
0.0115	2.81982
0.012	-1.10779
0.0125	2.92053
0.013	3.62549
0.0135	3.32336
0.014	2.61841
0.0145	0
0.015	1.91345
0.0155	-2.31628
0.016	1.10779
0.0165	1.51062
0.017	7.65381
0.0175	2.01416
0.018	6.2439
0.0185	9.26514
0.019	4.73328
0.0195	9.97009
0.02	3.12195
0.0205	-1.00708
0.021	-1.81274
0.0215	-1.10779
0.022	-2.5177
0.0225	-4.12903
0.023	4.12903
0.0235	2.41699
0.024	-2.81982
0.0245	0.80566
0.025	1.61133
0.0255	5.33752
0.026	5.23682
0.0265	2.81982
0.027	-0.90637
0.0275	-4.73328
0.028	0.80566
0.0285	1.3092
0.029	0.70496
0.0295	-3.62549
0.03	0.80566
0.0305	2.11487
0.031	4.53186
0.0315	2.71912
0.032	3.62549
0.0325	2.21558
0.033	4.73328
0.0335	7.25098
0.034	1.61133
0.0345	-3.92761
0.035	4.12903
0.0355	3.02124
0.036	3.32336
0.0365	3.02124
0.037	-1.10779
0.0375	-0.70496
0.038	2.01416
0.0385	0.20142
0.039	-1.40991
0.0395	1.10779
0.04	-1.71204
0.0405	0.90637
0.041	4.93469
0.0415	0.30212
0.042	1.71204
0.0425	-2.21558
0.043	0.30212
0.0435	1.00708
0.044	-1.51062
0.0445	0.40283
0.045	4.12903
0.0455	-2.81982
0.046	-0.90637
0.0465	3.8269
0.047	3.92761
0.0475	-2.21558
0.048	-3.62549
0.0485	-3.92761
0.049	3.42407
0.0495	0.30212
0.05	-1.81274
0.0505	-4.22974
0.051	1.10779
0.0515	0.30212
0.052	7.15027
0.0525	2.61841
0.053	7.95593
0.0535	0.80566
0.054	-8.25806
0.0545	4.43115
0.055	1.71204
0.0555	3.02124
0.056	4.02832
0.0565	2.71912
0.057	2.61841
0.0575	1.00708
0.058	4.63257
0.0585	7.15027
0.059	8.15735
0.0595	7.5531
0.06	8.56018
0.0605	10.57434
0.061	15.00549
0.0615	11.48071
0.062	8.66089
0.0625	9.66797
0.063	9.46655
0.0635	8.05664
0.064	8.15735
0.0645	1.61133
0.065	-5.94177
0.0655	0.40283
0.066	1.71204
0.0665	-4.93469
0.067	-3.22266
0.0675	-4.33044
0.068	-2.31628
0.0685	-2.92053
0.069	-4.73328
0.0695	-0.30212
0.07	-1.61133
0.0705	-3.12195
0.071	-1.00708
0.0715	5.0354
0.072	3.52478
0.0725	11.98425
0.073	2.71912
0.0735	2.01416
0.074	9.26514
0.0745	2.01416
0.075	3.62549
0.0755	-1.10779
0.076	-3.22266
0.0765	-0.40283
0.077	-0.10071
0.0775	0.30212
0.078	-3.52478
0.0785	-1.40991
0.079	-2.41699
0.0795	1.51062
0.08	2.01416
0.0805	1.91345
0.081	4.33044
0.0815	-0.40283
0.082	-1.2085
0.0825	-6.64673
0.083	-7.04956
0.0835	5.94177
0.084	2.21558
0.0845	-0.70496
0.085	5.43823
0.0855	4.53186
0.086	6.74744
0.0865	0.60425
0.087	0.40283
0.0875	-4.93469
0.088	-3.32336
0.0885	-1.61133
0.089	3.12195
0.0895	6.54602
0.09	4.73328
0.0905	6.74744
0.091	7.25098
0.0915	1.00708
0.092	-3.22266
0.0925	0.70496
0.093	1.10779
0.0935	1.00708
0.094	2.71912
0.0945	-1.51062
0.095	6.14319
0.0955	-1.51062
0.096	1.71204
0.0965	-1.71204
0.097	0
0.0975	-1.40991
0.098	-0.50354
0.0985	3.02124
0.099	1.71204
0.0995	-0.20142
0.1	5.53894
0.1005	5.13611
0.101	4.43115
0.1015	-0.40283
0.102	0.50354
0.1025	3.22266
0.103	-0.40283
0.1035	1.91345
0.104	3.92761
0.1045	1.10779
0.105	10.27222
0.1055	8.96301
0.106	5.33752
0.1065	11.38
0.107	9.76868
0.1075	8.7616
0.108	7.85522
0.1085	9.16443
0.109	10.17151
0.1095	10.27222
0.11	14.30054
0.1105	4.02832
0.111	6.04248
0.1115	7.95593
0.112	5.94177
0.1125	7.15027
0.113	14.09912
0.1135	9.76868
0.114	10.0708
0.1145	6.74744
0.115	8.25806
0.1155	3.02124
0.116	-2.11487
0.1165	0.60425
0.117	2.31628
0.1175	-4.73328
0.118	-5.84106
0.1185	-16.41541
0.119	-13.49487
0.1195	-15.81116
0.12	-16.21399
0.1205	-7.04956
0.121	-9.66797
0.1215	-12.78992
0.122	-8.8623
0.1225	-7.25098
0.123	-4.83398
0.1235	0.40283
0.124	-1.3092
0.1245	1.2085
0.125	-4.02832
0.1255	-3.7262
0.126	-6.94885
0.1265	-3.12195
0.127	-5.63965
0.1275	-0.90637
0.128	1.2085
0.1285	-5.94177
0.129	-6.14319
0.1295	-3.22266
0.13	-4.63257
0.1305	-9.16443
0.131	-2.5177
0.1315	-4.53186
0.132	-8.7616
0.1325	-0.30212
0.133	-3.32336
0.1335	-4.83398
0.134	-2.21558
0.1345	-1.3092
0.135	0
0.1355	-3.62549
0.136	1.2085
0.1365	-0.60425
0.137	2.92053
0.1375	-2.01416
0.138	5.33752
0.1385	-1.40991
0.139	-2.11487
0.1395	-0.80566
0.14	-1.00708
0.1405	2.5177
0.141	-2.41699
0.1415	-0.60425
0.142	0.40283
0.1425	1.2085
0.143	-3.62549
0.1435	-4.12903
0.144	-3.12195
0.1445	-2.31628
0.145	-0.50354
0.1455	4.63257
0.146	-4.33044
0.1465	-4.43115
0.147	4.12903
0.1475	-3.42407
0.148	-0.80566
0.1485	-1.81274
0.149	-5.23682
0.1495	-3.52478
0.15	4.02832
0.1505	0.30212
0.151	3.52478
0.1515	3.22266
0.152	1.81274
0.1525	3.32336
0.153	2.61841
0.1535	2.31628
0.154	-8.15735
0.1545	-5.74036
0.155	-5.53894
0.1555	-1.10779
0.156	-2.21558
0.1565	-3.32336
0.157	5.23682
0.1575	0.60425
0.158	5.13611
0.1585	-5.33752
0.159	-2.21558
0.1595	0.20142
0.16	-4.53186
0.1605	-0.30212
0.161	-5.0354
0.1615	-0.80566
0.162	-6.64673
0.1625	-5.0354
0.163	0
0.1635	3.12195
0.164	2.01416
0.1645	-0.70496
0.165	1.2085
0.1655	-6.44531
0.166	-2.81982
0.1665	-2.41699
0.167	-2.61841
0.1675	2.5177
0.168	-5.33752
0.1685	-1.91345
0.169	-1.40991
0.1695	-3.52478
0.17	0.90637
0.1705	2.31628
0.171	-0.80566
0.1715	-7.75452
0.172	-4.63257
0.1725	1.81274
0.173	2.5177
0.1735	5.33752
0.174	-0.50354
0.1745	-1.71204
0.175	-1.10779
0.1755	-0.60425
0.176	2.01416
0.1765	1.71204
0.177	-0.80566
0.1775	-0.50354
0.178	2.5177
0.1785	0.50354
0.179	5.53894
0.1795	2.11487
0.18	-3.32336
0.1805	0.90637
0.181	-3.12195
0.1815	0.90637
0.182	3.42407
0.1825	2.31628
0.183	-4.53186
0.1835	-6.14319
0.184	4.63257
0.1845	-0.50354
0.185	-0.90637
0.1855	0.30212
0.186	-2.11487
0.1865	-1.3092
0.187	-2.21558
0.1875	2.5177
0.188	3.22266
0.1885	1.61133
0.189	-1.2085
0.1895	-3.32336
0.19	1.2085
0.1905	1.40991
0.191	1.81274
0.1915	0.50354
0.192	2.5177
0.1925	1.91345
0.193	5.74036
0.1935	4.43115
0.194	0.50354
0.1945	-2.11487
0.195	1.71204
0.1955	1.61133
0.196	2.81982
0.1965	0.70496
0.197	-3.02124
0.1975	-9.97009
0.198	-5.0354
0.1985	-8.7616
0.199	-10.17151
0.1995	-2.21558
0.2	-4.02832
0.2005	-3.32336
0.201	-5.74036
0.2015	0.60425
0.202	0.20142
0.2025	-4.02832
0.203	-2.11487
0.2035	0.70496
0.204	-6.44531
0.2045	-3.02124
0.205	-2.41699
0.2055	-4.73328
0.206	-0.80566
0.2065	-3.32336
0.207	-2.01416
0.2075	1.40991
0.208	-5.84106
0.2085	-5.43823
0.209	-3.22266
0.2095	-2.81982
0.21	0.60425
0.2105	-4.93469
0.211	-1.2085
0.2115	-2.81982
0.212	4.22974
0.2125	-0.50354
0.213	-1.91345
0.2135	-3.62549
0.214	3.52478
0.2145	-1.40991
0.215	-0.60425
0.2155	2.31628
0.216	0.70496
0.2165	-1.40991
0.217	4.83398
0.2175	-3.02124
0.218	1.81274
0.2185	-0.90637
0.219	-0.90637
0.2195	3.32336
0.22	1.2085
0.2205	-1.00708
0.221	-1.3092
0.2215	-5.0354
0.222	-4.73328
0.2225	-4.93469
0.223	1.61133
0.2235	1.71204
0.224	3.92761
0.2245	3.52478
0.225	-1.40991
0.2255	-3.42407
0.226	2.11487
0.2265	-0.20142
0.227	3.62549
0.2275	1.61133
0.228	-1.71204
0.2285	-10.27222
0.229	-0.70496
0.2295	-3.7262
0.23	-3.02124
0.2305	-2.81982
0.231	-5.84106
0.2315	-0.80566
0.232	0.40283
0.2325	3.32336
0.233	0.90637
0.2335	2.01416
0.234	-3.92761
0.2345	1.61133
0.235	-2.31628
0.2355	1.3092
0.236	-1.3092
0.2365	-1.91345
0.237	-0.90637
0.2375	-1.3092
0.238	0.80566
0.2385	3.62549
0.239	-2.41699
0.2395	-2.31628
0.24	0
0.2405	0.60425
0.241	-6.54602
0.2415	-0.60425
0.242	-3.02124
0.2425	1.40991
0.243	1.40991
0.2435	-1.71204
0.244	1.2085
0.2445	0
0.245	1.61133
0.2455	-2.11487
0.246	1.3092
0.2465	0.90637
0.247	2.5177
0.2475	4.02832
0.248	6.94885
0.2485	6.94885
0.249	3.52478
0.2495	7.75452
0.25	-0.80566
0.2505	-0.80566
0.251	-0.40283
0.2515	1.51062
0.252	1.91345
0.2525	-3.42407
0.253	-5.63965
0.2535	-4.33044
0.254	-2.92053
0.2545	-2.61841
0.255	-0.60425
0.2555	2.41699
0.256	-2.31628
0.2565	2.31628
0.257	3.92761
0.2575	-0.20142
0.258	-2.21558
0.2585	6.94885
0.259	3.12195
0.2595	-2.92053
0.26	-2.41699
0.2605	-1.51062
0.261	2.41699
0.2615	0.10071
0.262	1.40991
0.2625	2.21558
0.263	-1.40991
0.2635	-5.13611
0.264	3.12195
0.2645	-1.61133
0.265	3.12195
0.2655	5.63965
0.266	4.53186
0.2665	5.94177
0.267	3.12195
0.2675	4.73328
0.268	3.92761
0.2685	6.54602
0.269	0.20142
0.2695	-1.91345
0.27	4.22974
0.2705	-2.31628
0.271	8.7616
0.2715	1.10779
0.272	-1.2085
0.2725	-0.60425
0.273	3.7262
0.2735	7.5531
0.274	3.02124
