Christian_Larivera_Left_1.c3d  



Time(s):	A_L_bicipite(μV):
0	-6.54602
0.0005	-7.75452
0.001	-2.21558
0.0015	8.15735
0.002	7.04956
0.0025	1.2085
0.003	-1.10779
0.0035	3.22266
0.004	1.10779
0.0045	3.02124
0.005	0.40283
0.0055	10.0708
0.006	9.46655
0.0065	9.26514
0.007	9.46655
0.0075	11.48071
0.008	9.36584
0.0085	15.30762
0.009	9.97009
0.0095	8.96301
0.01	9.56726
0.0105	2.81982
0.011	-3.32336
0.0115	-10.37292
0.012	-8.8623
0.0125	-6.3446
0.013	2.92053
0.0135	2.01416
0.014	10.27222
0.0145	13.49487
0.015	19.33594
0.0155	20.84656
0.016	16.51611
0.0165	15.50903
0.017	19.13452
0.0175	21.65222
0.018	22.55859
0.0185	23.06213
0.019	24.16992
0.0195	18.42957
0.02	8.7616
0.0205	-0.80566
0.021	-8.96301
0.0215	-7.65381
0.022	-5.0354
0.0225	2.61841
0.023	2.92053
0.0235	8.8623
0.024	8.45947
0.0245	10.67505
0.025	8.05664
0.0255	7.65381
0.026	9.66797
0.0265	2.61841
0.027	-3.42407
0.0275	-11.98425
0.028	-3.7262
0.0285	-6.2439
0.029	-1.00708
0.0295	-3.22266
0.03	-3.22266
0.0305	-7.25098
0.031	-10.57434
0.0315	-13.797
0.032	-10.97717
0.0325	-2.11487
0.033	-1.3092
0.0335	8.35876
0.034	-0.50354
0.0345	-2.41699
0.035	-1.40991
0.0355	-4.43115
0.036	-4.12903
0.0365	-1.00708
0.037	5.63965
0.0375	1.61133
0.038	5.94177
0.0385	3.32336
0.039	7.5531
0.0395	4.53186
0.04	2.81982
0.0405	4.22974
0.041	9.76868
0.0415	7.5531
0.042	12.68921
0.0425	15.50903
0.043	16.01257
0.0435	15.60974
0.044	15.00549
0.0445	17.22107
0.045	21.65222
0.0455	20.54443
0.046	17.32178
0.0465	18.32886
0.047	13.49487
0.0475	8.25806
0.048	16.11328
0.0485	19.03381
0.049	17.72461
0.0495	5.13611
0.05	3.52478
0.0505	3.42407
0.051	6.3446
0.0515	8.15735
0.052	4.02832
0.0525	7.35168
0.053	4.93469
0.0535	7.25098
0.054	4.73328
0.0545	13.49487
0.055	12.38708
0.0555	6.64673
0.056	15.20691
0.0565	14.80408
0.057	18.02673
0.0575	11.07788
0.058	12.5885
0.0585	11.38
0.059	14.30054
0.0595	4.33044
0.06	-2.92053
0.0605	-5.23682
0.061	-7.65381
0.0615	-3.62549
0.062	-4.93469
0.0625	2.81982
0.063	8.05664
0.0635	10.47363
0.064	6.84814
0.0645	1.71204
0.065	-0.40283
0.0655	-6.44531
0.066	-4.83398
0.0665	1.3092
0.067	5.23682
0.0675	1.71204
0.068	3.12195
0.0685	1.61133
0.069	0.40283
0.0695	0.40283
0.07	-7.95593
0.0705	-2.31628
0.071	-3.8269
0.0715	-0.90637
0.072	-6.04248
0.0725	-8.56018
0.073	-9.26514
0.0735	-11.68213
0.074	-5.94177
0.0745	-6.14319
0.075	-0.70496
0.0755	-2.11487
0.076	8.25806
0.0765	5.94177
0.077	9.56726
0.0775	6.74744
0.078	6.94885
0.0785	5.23682
0.079	1.51062
0.0795	0.30212
0.08	2.41699
0.0805	9.66797
0.081	8.66089
0.0815	13.797
0.082	11.68213
0.0825	15.71045
0.083	15.1062
0.0835	6.94885
0.084	9.06372
0.0845	4.73328
0.085	5.23682
0.0855	8.45947
0.086	7.95593
0.0865	11.98425
0.087	17.22107
0.0875	14.60266
0.088	6.04248
0.0885	8.7616
0.089	6.44531
0.0895	11.58142
