Francesco_Luisi_Right_1.c3d  



Time(s):	A_R_bicipite(μV):
0	161.73706
0.0005	67.77649
0.001	6.44531
0.0015	-66.16516
0.002	-125.07935
0.0025	-173.62061
0.003	-198.59619
0.0035	-197.58911
0.004	-167.98096
0.0045	-126.48926
0.005	-81.87561
0.0055	-54.48303
0.006	-46.92993
0.0065	-48.33984
0.007	-46.62781
0.0075	-39.98108
0.008	-32.32727
0.0085	-18.22815
0.009	-12.99133
0.0095	-11.68213
0.01	-5.33752
0.0105	2.21558
0.011	12.68921
0.0115	36.15417
0.012	45.72144
0.0125	38.974
0.013	37.86621
0.0135	32.22656
0.014	19.43665
0.0145	16.3147
0.015	17.6239
0.0155	24.37134
0.016	25.07629
0.0165	22.96143
0.017	24.06921
0.0175	16.21399
0.018	5.74036
0.0185	11.07788
0.019	10.37292
0.0195	7.35168
0.02	8.8623
0.0205	0.50354
0.021	1.61133
0.0215	-8.66089
0.022	-8.96301
0.0225	-3.12195
0.023	-10.0708
0.0235	-8.15735
0.024	-10.0708
0.0245	-2.01416
0.025	-6.64673
0.0255	-6.74744
0.026	-2.11487
0.0265	-3.62549
0.027	-6.94885
0.0275	-1.61133
0.028	-0.70496
0.0285	2.11487
0.029	0.60425
0.0295	0.60425
0.03	0
0.0305	-4.33044
0.031	-3.7262
0.0315	-5.43823
0.032	-4.02832
0.0325	-5.94177
0.033	-3.02124
0.0335	3.52478
0.034	15.81116
0.0345	21.55151
0.035	21.55151
0.0355	25.98267
0.036	12.89062
0.0365	39.98108
0.037	110.47668
0.0375	185.30273
0.038	234.44824
0.0385	230.21851
0.039	186.91406
0.0395	121.25244
0.04	65.66162
0.0405	6.54602
0.041	-46.62781
0.0415	-78.04871
0.042	-114.60571
0.0425	-150.55847
0.043	-173.21777
0.0435	-177.14539
0.044	-168.28308
0.0445	-153.57971
0.045	-68.88428
0.0455	151.76697
0.046	351.77307
0.0465	416.52832
0.047	368.89343
0.0475	275.4364
0.048	162.34131
0.0485	36.95984
0.049	-84.59473
0.0495	-187.11548
0.05	-258.81958
0.0505	-301.72119
0.051	-338.17749
0.0515	-326.19324
0.052	-281.98242
0.0525	-244.0155
0.053	-201.2146
0.0535	-142.30042
0.054	-100.30518
0.0545	-71.30127
0.055	-62.64038
0.0555	-53.97949
0.056	-45.3186
0.0565	-32.42798
0.057	-18.73169
0.0575	-7.85522
0.058	-1.61133
0.0585	17.72461
0.059	41.59241
0.0595	104.03137
0.06	149.85352
0.0605	163.04626
0.061	167.88025
0.0615	159.01794
0.062	148.3429
0.0625	136.76147
0.063	117.92908
0.0635	110.57739
0.064	100.50659
0.0645	95.5719
0.065	83.58765
0.0655	69.58923
0.066	64.151
0.0665	54.18091
0.067	53.37524
0.0675	40.88745
0.068	23.16284
0.0685	4.22974
0.069	-15.1062
0.0695	-25.57983
0.07	-26.88904
0.0705	-32.02515
0.071	-32.83081
0.0715	-32.7301
0.072	-28.80249
0.0725	-12.99133
0.073	-15.81116
0.0735	-29.20532
0.074	-32.52869
0.0745	-38.57117
0.075	-35.34851
0.0755	-28.70178
0.076	-37.86621
0.0765	-39.67896
0.077	-46.5271
0.0775	-49.34692
0.078	-57.20215
0.0785	-57.60498
0.079	-55.69153
0.0795	-52.26746
0.08	-55.08728
0.0805	-53.77808
0.081	-76.84021
0.0815	-96.8811
0.082	-106.64978
0.0825	-105.84412
0.083	-96.8811
0.0835	-85.90393
0.084	-68.78357
0.0845	-54.38232
0.085	-30.71594
0.0855	-22.45789
0.086	-19.13452
0.0865	-5.74036
0.087	0.10071
0.0875	9.76868
0.088	18.42957
0.0885	27.6947
0.089	29.91028
0.0895	26.28479
0.09	24.67346
0.0905	24.06921
0.091	13.797
0.0915	11.78284
0.092	10.0708
0.0925	12.99133
0.093	27.19116
0.0935	70.3949
0.094	86.50818
0.0945	89.63013
0.095	142.50183
0.0955	191.64734
0.096	194.16504
0.0965	187.71973
0.097	156.29883
0.0975	118.93616
0.098	80.16357
0.0985	40.58533
0.099	-1.91345
0.0995	-39.17542
0.1	-69.1864
0.1005	-100.20447
0.101	-116.61987
0.1015	-129.71191
0.102	-128.20129
0.1025	-121.45386
0.103	-109.87244
0.1035	-92.65137
0.104	-80.26428
0.1045	-72.40906
0.105	-53.07312
0.1055	-34.54285
0.106	-13.99841
0.1065	-0.40283
0.107	11.68213
0.1075	22.76001
0.108	23.66638
0.1085	34.54285
0.109	42.49878
0.1095	57.70569
0.11	74.62463
0.1105	76.13525
0.111	74.2218
0.1115	69.38782
0.112	61.6333
0.1125	52.8717
0.113	71.90552
0.1135	95.97473
0.114	107.35474
0.1145	124.77722
0.115	230.92346
0.1155	322.36633
0.116	366.77856
0.1165	354.6936
0.117	315.92102
0.1175	286.01074
0.118	265.16418
0.1185	402.22778
0.119	524.3866
0.1195	517.33704
0.12	422.77222
0.1205	289.83765
0.121	154.28467
0.1215	4.53186
0.122	-129.61121
0.1225	-238.57727
0.123	-327.20032
0.1235	-389.23645
0.124	-439.48975
0.1245	-470.60852
0.125	-487.42676
0.1255	-473.02551
0.126	-431.13098
0.1265	-354.99573
0.127	-272.71729
0.1275	-199.30115
0.128	-162.84485
0.1285	-136.35864
0.129	-112.39014
0.1295	-83.38623
0.13	-52.16675
0.1305	-19.43665
0.131	2.11487
0.1315	14.30054
0.132	30.11169
0.1325	37.66479
0.133	51.05896
0.1335	82.37915
0.134	99.90234
0.1345	106.14624
0.135	90.03296
0.1355	65.86304
0.136	53.27454
0.1365	41.29028
0.137	42.19666
0.1375	29.50745
0.138	25.78125
0.1385	20.94727
0.139	15.60974
0.1395	8.25806
0.14	5.0354
0.1405	11.2793
0.141	17.6239
0.1415	21.95435
0.142	19.83948
0.1425	18.53027
0.143	14.09912
0.1435	14.40125
0.144	0.30212
0.1445	-7.75452
0.145	-18.12744
0.1455	-32.62939
0.146	-33.83789
0.1465	-46.22498
0.147	-57.70569
0.1475	-69.1864
0.148	-75.73242
0.1485	-81.37207
0.149	-90.93933
0.1495	-95.67261
0.15	-94.2627
0.1505	-94.76624
0.151	-91.34216
0.1515	-75.4303
0.152	-2.81982
0.1525	56.29578
0.153	82.78198
0.1535	79.55933
0.154	88.0188
0.1545	96.8811
0.155	97.88818
0.1555	78.85437
0.156	51.96533
0.1565	24.67346
0.157	7.15027
0.1575	0.50354
0.158	-7.65381
0.1585	-38.67188
0.159	-88.52234
0.1595	-119.13757
0.16	-131.12183
0.1605	-38.36975
0.161	38.16833
0.1615	69.99207
0.162	64.65454
0.1625	66.16516
0.163	50.55542
0.1635	27.59399
0.164	2.21558
0.1645	-15.71045
0.165	-11.38
0.1655	-26.48621
0.166	-57.70569
0.1665	-80.86853
0.167	-93.55774
0.1675	-95.77332
0.168	-74.32251
0.1685	-51.5625
0.169	-40.2832
0.1695	-29.70886
0.17	-19.23523
0.1705	-15.40833
0.171	-4.63257
0.1715	1.91345
0.172	6.44531
0.1725	9.06372
0.173	6.84814
0.1735	3.32336
0.174	3.02124
0.1745	-2.41699
0.175	0
0.1755	3.02124
0.176	4.53186
0.1765	2.11487
0.177	4.12903
0.1775	6.84814
0.178	4.22974
0.1785	10.47363
0.179	9.66797
0.1795	16.3147
0.18	16.01257
0.1805	31.32019
0.181	33.9386
0.1815	38.06763
0.182	47.8363
0.1825	46.02356
0.183	37.96692
0.1835	28.9032
0.184	19.23523
0.1845	18.8324
0.185	17.82532
0.1855	17.72461
0.186	21.75293
0.1865	18.93311
0.187	19.43665
0.1875	22.45789
0.188	21.45081
0.1885	22.45789
0.189	21.85364
0.1895	21.04797
0.19	26.18408
0.1905	26.48621
0.191	20.84656
0.1915	22.55859
0.192	28.09753
0.1925	47.8363
0.193	80.66711
0.1935	96.27686
0.194	117.82837
0.1945	133.53882
0.195	147.53723
0.1955	138.57422
0.196	130.41687
0.1965	107.75757
0.197	84.2926
0.1975	71.20056
0.198	48.13843
0.1985	17.6239
0.199	-16.71753
0.1995	-48.54126
0.2	-76.23596
0.2005	-90.73792
0.201	-105.6427
0.2015	-114.60571
0.202	-103.32642
0.2025	-95.26978
0.203	-77.04163
0.2035	-67.57507
0.204	-61.73401
0.2045	-55.79224
0.205	-44.41223
0.2055	-33.63647
0.206	-29.30603
