Francesco_Luisi_Right_3.c3d  



Time(s):	C_R_bicipite(μV):
0	1.40991
0.0005	3.42407
0.001	0.50354
0.0015	2.01416
0.002	-2.11487
0.0025	-1.10779
0.003	-4.22974
0.0035	-5.84106
0.004	-1.61133
0.0045	0.10071
0.005	6.04248
0.0055	-4.02832
0.006	-5.33752
0.0065	-5.0354
0.007	-5.53894
0.0075	-2.31628
0.008	-6.04248
0.0085	-9.06372
0.009	-5.23682
0.0095	0.10071
0.01	-10.17151
0.0105	-5.94177
0.011	-10.37292
0.0115	-5.74036
0.012	-9.06372
0.0125	-2.61841
0.013	-10.37292
0.0135	-9.76868
0.014	-9.26514
0.0145	-6.3446
0.015	-4.53186
0.0155	-10.27222
0.016	-9.46655
0.0165	-5.94177
0.017	-10.77576
0.0175	-4.33044
0.018	2.5177
0.0185	0
0.019	-4.43115
0.0195	-4.02832
0.02	-13.59558
0.0205	-6.84814
0.021	-3.02124
0.0215	-0.20142
0.022	-2.92053
0.0225	-3.32336
0.023	-2.01416
0.0235	-1.10779
0.024	-5.13611
0.0245	4.12903
0.025	0.10071
0.0255	-4.22974
0.026	-1.3092
0.0265	-3.02124
0.027	-1.71204
0.0275	-4.43115
0.028	3.8269
0.0285	3.52478
0.029	1.71204
0.0295	0.60425
0.03	-1.61133
0.0305	-5.84106
0.031	-4.53186
0.0315	-6.2439
0.032	0.20142
0.0325	-1.10779
0.033	-0.90637
0.0335	-3.32336
0.034	-1.00708
0.0345	3.7262
0.035	-0.80566
0.0355	-5.53894
0.036	0.90637
0.0365	-0.70496
0.037	-3.62549
0.0375	-7.45239
0.038	-4.02832
0.0385	-1.71204
0.039	-6.3446
0.0395	-5.33752
0.04	0
0.0405	0.40283
0.041	2.61841
0.0415	1.2085
0.042	-2.11487
0.0425	-1.91345
0.043	2.01416
0.0435	-2.81982
0.044	2.21558
0.0445	5.13611
0.045	-1.71204
0.0455	2.41699
0.046	0.90637
0.0465	0.90637
0.047	4.33044
0.0475	2.31628
0.048	3.42407
0.0485	2.01416
0.049	1.91345
0.0495	0
0.05	5.84106
0.0505	2.81982
0.051	3.8269
0.0515	5.33752
0.052	1.61133
0.0525	6.44531
0.053	3.02124
0.0535	2.01416
0.054	4.53186
0.0545	5.94177
0.055	7.45239
0.0555	9.66797
0.056	8.25806
0.0565	5.74036
0.057	3.32336
0.0575	1.81274
0.058	-1.91345
0.0585	4.33044
0.059	-1.81274
0.0595	-2.61841
0.06	-2.31628
0.0605	-1.71204
0.061	1.71204
0.0615	0.50354
0.062	0.50354
0.0625	3.12195
0.063	-3.32336
0.0635	1.61133
0.064	7.95593
0.0645	5.13611
0.065	-2.71912
0.0655	-3.62549
0.066	0.10071
0.0665	-4.63257
0.067	-0.80566
0.0675	1.2085
0.068	6.04248
0.0685	0.10071
0.069	-0.30212
0.0695	0.10071
0.07	1.91345
0.0705	1.2085
0.071	0.80566
0.0715	-4.33044
0.072	3.7262
0.0725	-1.3092
0.073	3.02124
0.0735	2.41699
0.074	-1.2085
0.0745	-1.51062
0.075	2.21558
0.0755	-0.40283
0.076	-1.81274
0.0765	4.22974
0.077	3.7262
0.0775	4.93469
0.078	2.01416
0.0785	0.10071
0.079	-1.91345
0.0795	1.00708
0.08	-2.11487
0.0805	0.90637
0.081	8.45947
0.0815	0.60425
0.082	6.3446
0.0825	3.8269
0.083	0.30212
0.0835	2.21558
0.084	3.32336
0.0845	6.64673
0.085	1.2085
0.0855	-0.50354
0.086	4.63257
0.0865	-2.41699
0.087	-1.2085
0.0875	-1.10779
0.088	-0.20142
0.0885	-3.22266
0.089	-2.5177
0.0895	1.40991
0.09	3.22266
0.0905	1.40991
0.091	1.71204
0.0915	-2.31628
0.092	3.8269
0.0925	-2.31628
0.093	-0.40283
0.0935	1.81274
0.094	-0.50354
0.0945	-2.01416
0.095	-0.80566
0.0955	-4.12903
0.096	-0.80566
0.0965	-5.63965
0.097	-5.23682
0.0975	-0.10071
0.098	-1.00708
0.0985	-5.84106
0.099	-7.04956
0.0995	1.00708
0.1	-2.61841
0.1005	-3.52478
0.101	-4.63257
0.1015	-4.73328
0.102	-3.02124
0.1025	-4.83398
0.103	-3.52478
0.1035	-1.91345
0.104	-8.45947
0.1045	-5.63965
0.105	-3.22266
0.1055	-4.53186
0.106	-6.74744
0.1065	-1.2085
0.107	-7.75452
0.1075	-5.0354
0.108	-3.7262
0.1085	-0.20142
0.109	2.71912
0.1095	-2.71912
0.11	-11.98425
0.1105	-2.11487
0.111	1.10779
0.1115	-5.0354
0.112	-0.20142
0.1125	-3.52478
0.113	-3.12195
0.1135	-2.81982
0.114	-5.63965
0.1145	-0.10071
0.115	-0.30212
0.1155	-3.02124
0.116	-4.12903
0.1165	-2.71912
0.117	-6.54602
0.1175	-4.22974
0.118	-4.12903
0.1185	-4.83398
0.119	0.40283
0.1195	-5.33752
0.12	-4.02832
0.1205	-5.23682
0.121	-2.01416
0.1215	-7.75452
0.122	-2.31628
0.1225	2.01416
0.123	0.10071
0.1235	0.70496
0.124	-0.70496
0.1245	0.60425
0.125	4.43115
0.1255	2.21558
0.126	3.02124
0.1265	5.43823
0.127	4.33044
0.1275	-1.61133
0.128	-3.02124
0.1285	-3.22266
0.129	-4.02832
0.1295	-2.11487
0.13	-4.33044
0.1305	-7.45239
0.131	0
0.1315	-2.92053
0.132	-0.60425
0.1325	-2.81982
0.133	-5.43823
0.1335	-3.12195
0.134	-0.20142
0.1345	-4.33044
0.135	3.7262
0.1355	7.85522
0.136	6.54602
0.1365	4.43115
0.137	-0.30212
0.1375	0
0.138	-2.61841
0.1385	2.31628
0.139	-6.14319
0.1395	2.21558
