Francesco_Luisi_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	25.57983
0.0005	26.18408
0.001	28.60107
0.0015	28.50037
0.002	22.6593
0.0025	13.797
0.003	8.15735
0.0035	1.3092
0.004	0.60425
0.0045	1.00708
0.005	-10.27222
0.0055	-10.87646
0.006	-20.34302
0.0065	-22.35718
0.007	-32.93152
0.0075	-41.39099
0.008	-43.50586
0.0085	-41.08887
0.009	-40.2832
0.0095	-38.36975
0.01	-31.4209
0.0105	-26.68762
0.011	-26.08337
0.0115	-13.09204
0.012	-7.35168
0.0125	-1.61133
0.013	-1.71204
0.0135	-0.50354
0.014	2.71912
0.0145	4.43115
0.015	2.81982
0.0155	1.3092
0.016	1.40991
0.0165	-4.43115
0.017	3.02124
0.0175	5.63965
0.018	5.94177
0.0185	3.12195
0.019	3.22266
0.0195	0.40283
0.02	-0.20142
0.0205	5.43823
0.021	2.71912
0.0215	1.61133
0.022	3.22266
0.0225	-0.40283
0.023	12.5885
0.0235	15.91187
0.024	18.32886
0.0245	21.04797
0.025	25.27771
0.0255	29.00391
0.026	32.52869
0.0265	39.98108
0.027	38.47046
0.0275	38.57117
0.028	39.67896
0.0285	40.48462
0.029	45.62073
0.0295	48.44055
0.03	50.15259
0.0305	54.88586
0.031	56.79932
0.0315	56.09436
0.032	54.98657
0.0325	53.67737
0.033	53.17383
0.0335	53.87878
0.034	51.05896
0.0345	46.72852
0.035	40.98816
0.0355	27.89612
0.036	32.93152
0.0365	26.58691
0.037	25.88196
0.0375	22.15576
0.038	16.61682
0.0385	10.37292
0.039	3.52478
0.0395	5.23682
0.04	-5.43823
0.0405	-5.84106
0.041	-6.74744
0.0415	-17.22107
0.042	-16.81824
0.0425	-20.94727
0.043	-27.29187
0.0435	-18.93311
0.044	-13.797
0.0445	-18.22815
0.045	-24.97559
0.0455	-21.24939
0.046	-12.18567
0.0465	-17.12036
0.047	-11.58142
0.0475	-15.91187
0.048	-10.47363
0.0485	-16.91895
