Francesco_Luisi_Left_3.c3d  



Time(s):	A_L_bicipite(μV):
0	8.7616
0.0005	10.57434
0.001	12.78992
0.0015	7.65381
0.002	10.97717
0.0025	8.8623
0.003	2.61841
0.0035	14.09912
0.004	9.16443
0.0045	12.48779
0.005	13.39417
0.0055	14.70337
0.006	6.74744
0.0065	15.30762
0.007	12.28638
0.0075	11.68213
0.008	13.59558
0.0085	13.29346
0.009	10.67505
0.0095	10.67505
0.01	18.8324
0.0105	12.18567
0.011	15.81116
0.0115	17.6239
0.012	15.00549
0.0125	14.50195
0.013	17.32178
0.0135	10.57434
0.014	18.32886
0.0145	13.59558
0.015	13.19275
0.0155	12.89062
0.016	22.05505
0.0165	17.22107
0.017	15.91187
0.0175	17.32178
0.018	19.83948
0.0185	21.3501
0.019	25.57983
0.0195	28.60107
0.02	30.81665
0.0205	33.63647
0.021	36.05347
0.0215	38.87329
0.022	40.1825
0.0225	33.23364
0.023	28.70178
0.0235	32.7301
0.024	27.79541
0.0245	24.47205
0.025	18.02673
0.0255	15.30762
0.026	17.01965
0.0265	9.36584
0.027	10.67505
0.0275	8.96301
0.028	0.40283
0.0285	0.50354
0.029	-6.54602
0.0295	-8.96301
0.03	-16.3147
0.0305	-27.59399
0.031	-31.11877
0.0315	-24.97559
0.032	-25.68054
0.0325	-26.68762
0.033	-25.98267
0.0335	-26.3855
0.034	-18.53027
0.0345	-13.797
0.035	-9.36584
0.0355	-9.76868
0.036	-5.94177
0.0365	-1.00708
0.037	2.01416
0.0375	1.71204
0.038	4.53186
0.0385	-2.31628
0.039	2.01416
0.0395	3.8269
0.04	6.04248
0.0405	-2.21558
0.041	-1.81274
0.0415	-1.10779
0.042	1.2085
0.0425	1.40991
0.043	-0.10071
0.0435	3.92761
0.044	-1.61133
0.0445	-1.40991
0.045	2.5177
0.0455	1.3092
0.046	8.25806
0.0465	3.42407
0.047	7.45239
0.0475	7.95593
0.048	7.65381
0.0485	11.38
0.049	8.35876
0.0495	15.81116
0.05	13.09204
0.0505	15.20691
0.051	13.59558
0.0515	11.88354
0.052	10.77576
0.0525	7.35168
0.053	4.02832
0.0535	3.12195
0.054	0.80566
0.0545	1.91345
0.055	0.80566
0.0555	-2.11487
0.056	-4.43115
0.0565	-3.92761
0.057	-3.42407
0.0575	-7.35168
0.058	-2.01416
0.0585	-3.8269
0.059	-3.8269
0.0595	1.40991
0.06	-6.04248
0.0605	-4.83398
0.061	1.2085
0.0615	5.43823
0.062	1.40991
