Francesco_Luisi_Left_2.c3d  



Time(s):	B_R_bicipite(μV):
0	8.56018
0.0005	7.45239
0.001	8.7616
0.0015	4.63257
0.002	3.92761
0.0025	7.95593
0.003	3.92761
0.0035	2.71912
0.004	5.33752
0.0045	4.73328
0.005	0.10071
0.0055	4.53186
0.006	2.71912
0.0065	4.33044
0.007	10.47363
0.0075	2.5177
0.008	8.15735
0.0085	10.97717
0.009	5.74036
0.0095	0.90637
0.01	7.35168
0.0105	1.3092
0.011	5.84106
0.0115	2.92053
0.012	6.54602
0.0125	8.05664
0.013	8.8623
0.0135	8.7616
0.014	6.54602
0.0145	8.96301
0.015	4.33044
0.0155	11.38
0.016	9.46655
0.0165	6.84814
0.017	9.06372
0.0175	3.92761
0.018	2.41699
0.0185	-1.61133
0.019	0.70496
0.0195	5.63965
0.02	4.63257
0.0205	4.12903
0.021	3.7262
0.0215	1.3092
0.022	0.30212
0.0225	-5.63965
0.023	-3.8269
0.0235	-2.71912
0.024	-1.51062
0.0245	-6.44531
0.025	-2.21558
0.0255	-3.52478
0.026	-3.7262
0.0265	-2.71912
0.027	-4.53186
0.0275	-3.62549
0.028	-3.92761
0.0285	-3.7262
0.029	-0.80566
0.0295	-2.21558
0.03	2.31628
0.0305	-3.02124
0.031	-1.71204
0.0315	3.32336
0.032	0.20142
0.0325	1.51062
0.033	2.81982
0.0335	1.10779
0.034	2.11487
0.0345	-0.20142
0.035	2.92053
0.0355	7.45239
0.036	5.94177
0.0365	11.58142
0.037	6.2439
0.0375	5.33752
0.038	10.47363
0.0385	11.38
0.039	0.90637
0.0395	3.62549
0.04	7.65381
0.0405	11.2793
0.041	6.44531
0.0415	4.22974
0.042	2.92053
0.0425	6.2439
0.043	7.65381
0.0435	7.04956
0.044	2.21558
0.0445	0.10071
0.045	0.40283
0.0455	4.12903
0.046	1.40991
0.0465	4.63257
0.047	4.43115
0.0475	4.22974
0.048	6.14319
0.0485	0.60425
0.049	0.20142
0.0495	2.92053
0.05	4.33044
0.0505	5.53894
0.051	0
0.0515	-1.00708
0.052	0.90637
0.0525	-2.92053
0.053	1.00708
0.0535	-1.2085
0.054	-3.8269
0.0545	-2.31628
0.055	-3.02124
0.0555	0.30212
0.056	0.60425
0.0565	-0.20142
0.057	2.61841
0.0575	6.3446
0.058	2.11487
0.0585	7.5531
0.059	1.81274
0.0595	4.22974
0.06	3.22266
0.0605	2.5177
0.061	5.53894
0.0615	7.75452
0.062	6.44531
0.0625	8.15735
0.063	2.31628
0.0635	4.22974
0.064	10.57434
0.0645	7.65381
0.065	6.04248
0.0655	3.52478
0.066	7.5531
0.0665	9.36584
0.067	3.42407
0.0675	3.52478
0.068	12.68921
0.0685	11.98425
0.069	10.67505
0.0695	7.5531
0.07	6.3446
0.0705	6.84814
0.071	9.36584
0.0715	11.78284
0.072	4.93469
0.0725	11.2793
0.073	7.25098
0.0735	9.06372
0.074	8.35876
0.0745	9.56726
0.075	17.01965
0.0755	6.74744
0.076	9.46655
0.0765	10.17151
0.077	5.13611
0.0775	7.65381
0.078	8.96301
0.0785	5.63965
0.079	4.53186
0.0795	13.29346
0.08	10.97717
0.0805	10.0708
0.081	9.56726
0.0815	11.98425
0.082	11.78284
0.0825	15.91187
0.083	6.04248
0.0835	6.14319
0.084	9.06372
0.0845	6.74744
0.085	6.84814
0.0855	7.25098
0.086	9.46655
0.0865	6.84814
0.087	3.12195
0.0875	6.2439
0.088	8.66089
0.0885	9.76868
0.089	5.0354
0.0895	3.12195
0.09	-1.51062
0.0905	-0.90637
0.091	2.01416
0.0915	-2.01416
0.092	-0.70496
0.0925	-1.61133
0.093	1.00708
0.0935	6.94885
0.094	0.60425
0.0945	2.5177
0.095	-0.80566
0.0955	-2.81982
0.096	-1.10779
0.0965	-1.2085
0.097	3.32336
0.0975	5.0354
0.098	-2.11487
0.0985	3.22266
0.099	-2.71912
0.0995	5.63965
0.1	5.43823
0.1005	2.21558
0.101	4.12903
0.1015	6.14319
0.102	2.41699
0.1025	4.33044
0.103	9.97009
0.1035	5.63965
0.104	4.73328
0.1045	5.43823
0.105	2.92053
0.1055	4.33044
0.106	5.94177
0.1065	2.71912
0.107	1.81274
0.1075	8.35876
0.108	4.33044
0.1085	6.74744
0.109	13.99841
0.1095	5.94177
0.11	4.63257
0.1105	7.04956
0.111	6.64673
0.1115	5.63965
0.112	8.15735
0.1125	6.74744
0.113	11.88354
0.1135	5.43823
0.114	8.45947
0.1145	16.3147
0.115	10.77576
0.1155	15.20691
0.116	10.27222
0.1165	13.19275
0.117	8.15735
0.1175	7.65381
0.118	11.17859
0.1185	3.8269
